"Appname","Date","Score","Text"
"Adobe Premiere Rush","Unknown",1,"Horrendous buggy glitchy neglected app. Great idea. Sadly, it doesn't work. Trying to export a project with any kind of complexity simply fails. Every. Single. Time. Hours and hours wasted."
"Adobe Premiere Rush","Unknown",2,"The exported video has a lot of glitches which don't show up in the editing window, I don't know what the issue is.. tried it on multiple android devices yet it's the same"
"Adobe Premiere Rush","Unknown",1,"Worst experience ever using this waste app, rendering make too long , Kindly other users do not use this one"
"Adobe Premiere Rush","Unknown",1,"Automatically made my videos high pitched. Not user friendly at all. Sticking to CapCut"
"Adobe Premiere Rush","Unknown",1,"i got a phone with 12Gb RAM but the app still keeps freezing"
"Adobe Premiere Rush","Unknown",1,"Not working properly! Disappointed. 😵😵"
"Adobe Premiere Rush","Unknown",5,"Best apps"
"Adobe Premiere Rush","Unknown",1,"BAD"
"Adobe Premiere Rush","Unknown",1,"So useless...spent an hour editing only for it to fail at 16% while trying to save😭😭nktt"
"Adobe Premiere Rush","Unknown",1,"Every video I have uploaded within the past month has distorted audio. Sounds like it's slowed down but when I speed it up it still sounds terrible. I cleared my cache and data and still having this issue. Fix it please"
"Adobe Premiere Rush","Unknown",2,"Why Adobe you disappointed us on mobile"
"Adobe Premiere Rush","Unknown",1,"I'm unable to export a video in the app says ""some error occurred, please try again! It does not tell you what the error is so pointless doing an edit that cannot be exported."
"Adobe Premiere Rush","Unknown",4,"This is my go-to android video editing app. It's precise, intuitive, stable, and can sync multiple audio tracks well (but not automatically). It's missing things like captions and 4:3 aspect ratio and sync with Premiere Pro that could make it exceptional."
"Adobe Premiere Rush","Unknown",1,"Terrible... I was putting the finishing touches on a video that I've been working on for two days. I go to add an emoji to a graphic and it crashes and now it won't let me open the project back up without the app failing. I'm going to find a new app that won't get rid of all of my progress over an emoji."
"Adobe Premiere Rush","Unknown",1,"Can't even export a single clip with speed effect"
"Adobe Premiere Rush","Unknown",5,"I've been using for 4 years now, originally as a stop gap for premier pro, but it is still my go to editing software, beautifully easy...I have to use other software to reverse clips etc but if anything it's made me a better videographer as I think about the editing process as I shoot. Some reviews mention exporting issues I have experienced this as well, but usually a close down app and restart solves. It's aimed at beginners and its so easy, but as a professional its a joy to use"
"Adobe Premiere Rush","Unknown",2,"Works, but 1080p max, really?"
"Adobe Premiere Rush","Unknown",1,"Terrible, unusable app just like everything adobe does."
"Adobe Premiere Rush","Unknown",1,"Impossible to work with .mov file"
"Adobe Premiere Rush","Unknown",1,"Very poor 👎 for tablet Poco pad 😰😰can not up quality videos 👎"
"Adobe Premiere Rush","Unknown",2,"App crashes when used in Samsung Dex. It would be nice to use the app when connected to a larger external display but it crashes constantly."
"Adobe Premiere Rush","Unknown",1,"bro this doesn't even have keyframes😭"
"Adobe Premiere Rush","Unknown",5,"Best video editor download now"
"Adobe Premiere Rush","Unknown",3,"Does not have auto captions"
