"Appname","Date","Score","Text"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good and simple app to scan"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"good captures"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It is very easy to create a pdf"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Great application"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It is a very realiable app for scanning"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Works amazing!"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good. I wish the quick scan option is not a premium feature"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very useful one"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Nice Scanning But Slow"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"excellent application for pdf making"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"This is the best app, it helps without hesitation, what I like the most is that there are no ads to disturb you keep it like that."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Most helpful app"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Old picture"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent 👌"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Lovely"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It's all that I need. And free!"
"Adobe Scan: PDF Scanner, OCR","Unknown",2,"Provide options to increase decrease sharpness of batches image's."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Love it 😀"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Awesome"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great. Thank You :)"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"But it is late to download"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Has all needed features.very quick and efficient"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Really great"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"❤️"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great solution if you have no scanner or if you're on the go!"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Satisfactory experience."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice 👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Easy easy."
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Because he write text edit but he suggeste me subscribe 🥵🥵"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice 👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Excellent services"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent scan. My preferred scanner. Have been using it successfully for the past 2 years."
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"It's very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"It won't let me in."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best scanner app till date"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best app I've ever used."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"No other app us better"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"User friendly"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"cool"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very fast and friendly"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"One of the best app 👍so helpful"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Super"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"adobe scan makes my personal and work files easy to save and print, importantly to my multiple devices used no need to save and transfer to another device to see my scanned documents.. i love it"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good aap for scanning your documents"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very helpful full"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good software"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best App"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice App"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent app"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"We can't even export the pdf without purchasing premium, so cheap. Didn't expect this from adobe"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Awesome"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Verry handy and easy to use"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very useful"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Easy to use free"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"GREAT 👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice apps"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Nice application"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Outstanding.."
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Wonderful experience"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Very good, but sometime failed when i scan a file with some university seal, the seal itself is removed after the scan"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best app"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Works great for capturing"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Works great. Would recommend for scanning needs!"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It's everything I have been looking for and more. You won't regret it, trust me."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"So helpful app for mee 🙂"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Truly awesome"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great app"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"I really love how this lets me make prints of book pages for students to annotate. I do wish when you finished one scan there was an easier way to start a new one."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent. Quick scan feature is particularly good, and saves a load of time if you have multi-page docs to scan."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Thank you."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"User friendly"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Love it"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Amazing app! Easy and light, better than the trashy Camscanner"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Easy to use, and no ads is great"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great quality"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good 👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Superb"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"i would recommend this to all students using notebookLM"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Awesome"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Unable to sign in, very unuseful apps"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very nice. Excellent work"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent 👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice and clean documents"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Simply 👌"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Extremely satisfying"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good as in easy to use and accurate in border recognition and Clear"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great App! Highly recommended"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Perfect app for mobile scan"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great app, 👍"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good pdf"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very nice application"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Easy to use"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good function"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good app automatic crops"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"fine"
"Adobe Scan: PDF Scanner, OCR","Unknown",3,"👍🏻 the capacity of scanning plz increase page 25 to more for the trial"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Have to pay for export as a pdf?? Then what is this app for???"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It is most convenient app on my mobile phone"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Don't use this app. Your pdf will be deleting Automatically."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice app to keep the records of documents"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"love it!"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Cepat,kualitas hasil bagus"
"Adobe Scan: PDF Scanner, OCR","Unknown",2,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Please be updated of it's required, mostly secured and trustworthy app, so you can go for it.. Thank you 🤗👌👍💐"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very helpful"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent application"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great as a portable scanner"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"I don't know what I would do without this. I use it literally every day."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Works"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Easy to scan"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best in the Business... I only believe in Adobe..."
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"I can save many pages as pdf without Watermark and extra payment"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Awesome!!!"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice way to scan documents! If all you need to do is create PDFs, this will do very nicely."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Not just great but also a super app and wish I will continue to use it for free thank you so much"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good 👍🏻👍🏻👍🏻👍🏻👍🏻🦾"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Stop uploading my data online... Edit: Thank you for the response but I do not care if it's ""intended behavior"", stop uploading my scans online without my permission, what do I (and other people) use this app to scan? Confidential documents mostly. Why do they need to be uploaded to your cloud automatically without my permission as ""intended behavior""? Utterly rubbish response."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Best app for ever"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"very user friendly"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"This app is fantastic!!! Loving it :)"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Exalent"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very easy in edit"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It is so convenient."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"good"
"Adobe Scan: PDF Scanner, OCR","Unknown",3,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good easy to operate"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Not free. Demands Credit Card before ""free trial"", will be debited until cancelled (maybe!) Does nothing useful. deleted. Still deleted"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"The app after scanning,,I lost all the documents because it refused to open. I even tried to restart the phone but it could open again. What a west app like this"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"My go to app. Only issue is paid features"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Easy to use, scan, create a pdf of image album etc"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Amazing and a very useful app 😃😃"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Useless app"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Sobra akong na disappoint sa app na ito na download ka ito dahil need ko ng malinaw na copy ng isang documents pero di ko nmn nagamit dahil rin nmn luminaw inuninstall ko dahil di ko nmn nagit pero after 1 month kinaltasan ako sa gcash ako ng 3,550 which is hindi po nakakatuwa. Nakaka trauma po ito lalu na sa sakto lang pera at wala nmn pang abono nakaka disappoint po at not reco 🥲 bery stressful"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Noce"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"It best app I have ever used"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Very useful app"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good App For All Type Of PDF Work"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"using since years. It's awesome in every aspect"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Used for one day. Works well."
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice, skip ads"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Awesome 👍🏻"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Nice"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Helpful app to scan your documents, forms ect. Still doing his magic"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent app Accurate"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Seems finicky, have to hold exact"
"Adobe Scan: PDF Scanner, OCR","Unknown",3,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"I appreciate the quick and easy way to scan documents. It has been incredibly helpful in all situation."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Intuitive, works every time"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Documents look better on this app than in real life - I'm just scanning everything now"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"TRIAL ONLY. The play store never made it clear this was trial only."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"This product are great and big good help for anyone who won't got good skill for office work"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"Edit: Ok peeps, check out Genius Scan - no account required and cloud is not forced upon you so no privacy/security issues. Original review of Adobe Scan: Cannot use without creating an account to upload your scans to Adobe's cloud. MS Lens pulled the same trick."
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"I just love it"
"Adobe Scan: PDF Scanner, OCR","Unknown",1,"जब हम एक डॉक्यूमेंट स्कैन करते है उसी समय दूसरी डॉक्यूमेंट स्कैन कॉपी बन जाती है उस डॉक्यूमेंट की!!"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Excellent"
"Adobe Scan: PDF Scanner, OCR","Unknown",3,"Very good"
"Adobe Scan: PDF Scanner, OCR","Unknown",3,"Very simple to use"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Good"
"Adobe Scan: PDF Scanner, OCR","Unknown",5,"Great app works awesome"
"Adobe Scan: PDF Scanner, OCR","Unknown",4,"Best for Pdf Scanning and Tools are Great to make Quility"
