"Appname","Date","Score","Text"
"AndrOpen Office","Unknown",5,"Excellent Free alternative to Microsoft office. Includes encryption for sensitive files..."
"AndrOpen Office","Unknown",5,"Very easy to use. Wish it was available to run on my Windows PC"
"AndrOpen Office","Unknown",4,"Great application with many functions. Very easy to use and supports a lot of file formats."
"AndrOpen Office","Unknown",5,"The Best App For Word Processing Productivity using ChromeOS"
"AndrOpen Office","Unknown",4,"Really handy for opening all sorts of attached files"
"AndrOpen Office","Unknown",4,"Great for my experience,"
"AndrOpen Office","Unknown",5,"Very great app. Now i can do all my paper work in it as i have no laptop or computers.but please open pdf so i format word docs. Otherwise i give 100%."
"AndrOpen Office","Unknown",5,"I don't write in burmese letter ​ေ in spradsheet"
"AndrOpen Office","Unknown",4,"Made a mistake. Wrong program."
"AndrOpen Office","Unknown",1,"Can't even see show to change page orientation. Ridiculous"
"AndrOpen Office","Unknown",4,"Does pretty much everything Microsoft Office does except Access. Not quite as full-feature as Office and a little clunky on a phone, but adequate for most home office needs. I've used it for years and haven't used Office since I retired (2 years ago)."
"AndrOpen Office","Unknown",4,"I like this app!"
"AndrOpen Office","Unknown",2,"App acting up again, works on samsung A70 And doogee V20, says free version on samsung S22. All connecting to this google account. Lost my paid features again, really annoying..."
"AndrOpen Office","Unknown",1,"2/27/25 Have un-installed 6 times and again just now. Deleted the APK, ran Avast cleanup, and power off/on. Problem persists when offline. App wants to talk to Google Play and can't do so offline (this wasn't a problem before the pre-January update). Users cannot ALWAYS stay connected when they use your app. Please put it back the way it was."
"AndrOpen Office","Unknown",1,"You cannot print. You cannot save as pdf. You cannot upload. What is the point of installing this software? There is no point. Uninstall it and never look back."
"AndrOpen Office","Unknown",5,"It allows simple editing on the phone, signing documents, and sent off while you are on the road."
"AndrOpen Office","Unknown",5,"Excellent"
"AndrOpen Office","Unknown",5,"Works well for me. I can encrypt files I need to as well as have a word processor and spreadsheet."
"AndrOpen Office","Unknown",5,"OK"
"AndrOpen Office","Unknown",1,"Another bait and switch. Free... Unless you want to access any cloud storage or do anything but the absolute basics. Uninstall."
"AndrOpen Office","Unknown",5,"Overall, it's a nice app. Needs dark mode. Black background white text do not just invert colors."
"AndrOpen Office","Unknown",5,"Hands down the best office software. Free and sensible. They listen to users to improve all the time"
"AndrOpen Office","Unknown",5,"Last reviewed in 2014. I hope it's better now in 2025."
"AndrOpen Office","Unknown",5,"This app is a nice throwback to older UI. One-time license purchase model, thank you~"
"AndrOpen Office","Unknown",4,"Open Office is awesome! Better than Word for sure! :-)"
"AndrOpen Office","Unknown",5,"best app ever great for either finger poking office apps on screen or with bluetooth keyboard and mouse on Samsung Dex"
"AndrOpen Office","Unknown",5,"Very good"
"AndrOpen Office","Unknown",5,"nice"
"AndrOpen Office","Unknown",5,"It's got a lot of features, and they WORK. This type of rare app gives back the freedom typically lost in mobile apps. Fits in a phone yet has the options of a desktop program. Best of both worlds."
"AndrOpen Office","Unknown",2,"It seems it doesn't support the function WEBSERVICE( ) on Android 15."
"AndrOpen Office","Unknown",1,"3 Rd class app"
"AndrOpen Office","Unknown",5,"This is a great option for working with ODF format documents. Since it is a 32-bit application, it is more efficient than its 64-bit counterparts in working with ODF documents. I love LibreOffice on the desktop, yet AndOpenOffice is great on Android."
"AndrOpen Office","Unknown",4,"Great App, but it really needs a night mode, so you don't have to burn out the retinas! It is possible to change the background to black, but the buttons and borders are still blindingly white. Thanks!"
"AndrOpen Office","Unknown",5,"This is far better than any other word processor I have ever used. Integration with the other apps is good, all the other apps."
"AndrOpen Office","Unknown",4,"It would be better if there is an option to lock the sliding filtering selection box, and enable touch scrolling for filling data."
"AndrOpen Office","Unknown",5,"Great app, works well for opening open office and Microsoft office documents"
"AndrOpen Office","Unknown",5,"The best"
"AndrOpen Office","Unknown",5,"Wonderfull app but should be improved to enhance all keybord shortcuts, please. Thanks for your good job."
"AndrOpen Office","Unknown",5,"One of the best app ever"
"AndrOpen Office","Unknown",5,"Very good app. I don't have an computer but it helped me a lot to complete my computer project file and score 18/20.😁"
"AndrOpen Office","Unknown",1,"This app is rubbish. It froze everytime I tried to use it."
"AndrOpen Office","Unknown",5,"My favourite app of its kind! Thank you, Akikazu! I tried a bunch of other office apps, but nothing works as good for me as this one."
"AndrOpen Office","Unknown",1,"It's not that good I thought"
"AndrOpen Office","Unknown",5,"Looks and have the features of win7 and winXP office. Love it"
"AndrOpen Office","Unknown",4,"I love open office, and l payed for this suite and I cannot fault lt."
"AndrOpen Office","Unknown",4,"Hello, I am Shariq, I hope you are good. I have a request about andropenoffice android app. It's perfect open office app for any type of task but the menu icons is placed in bottom in new update which i don't like and feels not comfortable, please make an option to bring those menu icons above like previously."
"AndrOpen Office","Unknown",1,"While doing presentation it is closing"
"AndrOpen Office","Unknown",3,"Just purchase the app. I opened an xlsx file but the first 77 rows have the columns A through H covered with a bluish opeque block. I cannot get rid of it. I am using Android 13 on a tablet. Please advise how to get rid of it."
"AndrOpen Office","Unknown",3,"Very complete. Has a few bug, but the most annoying is the protection system by password. Doesn't have option to show. Number of character limited but doesn't warn you. That makes the app impossible to use for me. Let me know when corrected and I will reconsider."
"AndrOpen Office","Unknown",5,"Love it!! Just don't see a way to print envelopes when doing a document."
"AndrOpen Office","Unknown",5,"Full featured. Cross platform capabilities. PDF export. Very responsive and numerous add-ons. 2 1/2 years now...this app continues to perform flawless ✨️ Dito 😎"
"AndrOpen Office","Unknown",5,"This app has worked well on my several Android phones over the past 10(+?) years. Very handy. It is currently on my S23."
"AndrOpen Office","Unknown",5,"Thanks for the free use. Helpful."
"AndrOpen Office","Unknown",5,"The one and only good option to do any real work in a tablet. Lifesaver."
"AndrOpen Office","Unknown",5,"Very good"
"AndrOpen Office","Unknown",3,"Urdu and Arabic fonts not working good."
"AndrOpen Office","Unknown",5,"Great app, lets you create doc, excel etc for FREE TO USE... Then if you want more stuff, you can upgrade with ONE TIME 20 bucks. I upgraded and having fun. I use open office on laptop too. ... all apps should be FULL USE, then pay ONE TIME FEE to upgrade. Only problem corrected when i checked ""opt out of data collection"""
"AndrOpen Office","Unknown",4,"So far so good! Got this to replace bloat ware which came with my tablet. So far it is performing perfectly and beyond my expectations. Would be 5* if advert free, but such is life for this type of. App."
"AndrOpen Office","Unknown",5,"A fully functional and very versatile alternative to all the others. And just like the theme others takes time to learn its functions and how to manipulate it to do what you want first class am considering a purchase to unlock some permanent content . thanks guys n girls keep up the good work"
"AndrOpen Office","Unknown",1,"Very finicky, only works about 3% of documents, can create documents, but then can't open them.. or can open, but not edit..."
"AndrOpen Office","Unknown",5,"Awesome. 👍"
"AndrOpen Office","Unknown",1,"It's causing more issues than not having it. Lost files and it's renaming files. Without user input"
"AndrOpen Office","Unknown",4,"👍"
"AndrOpen Office","Unknown",4,"It's good because it's free, but isn't really intuitive to use."
"AndrOpen Office","Unknown",5,"If you're used to Windows office this is going to really get you where you want to go. The affordability is the real draw here, and you get all the support you need. Super thumbs up."
"AndrOpen Office","Unknown",5,"MUY FUNCIONAL, ABRE ARCHIVOS SIN PROBREMAS... OK OK"
"AndrOpen Office","Unknown",5,"A solid choice for Apache/OpenOffice users on Android. Pretty smooth transitions between desktop and mobile, for those who need to edit on the go."
"AndrOpen Office","Unknown",1,"Not at all useful 😒"
"AndrOpen Office","Unknown",5,"ABSOLUTELY VERY USEFUL APP, I'll DONE MY PROJECT VERY EARLY LIKE BRO PLS USE THIS APP!"
"AndrOpen Office","Unknown",3,"Why is there no open source office suite for Android that's any good? This one isn't properly compatible with LibreOffice. And it's only half converted from a PC app. Many operations use function keys or need a right click. I don't have F11 on my tablet!"
"AndrOpen Office","Unknown",4,"This app need to support ODF document version 1.3"
"AndrOpen Office","Unknown",5,"Works."
"AndrOpen Office","Unknown",5,"Using on my android ereader (boox) with bluetooth keyboard. Love it!!!"
"AndrOpen Office","Unknown",4,"I use it to read spread sheet files. Works."
"AndrOpen Office","Unknown",4,"This app is very helpful for those people who not afford the pc because it have the amazing features because it realize to you are sitting on the pc."
"AndrOpen Office","Unknown",2,"It's a great tool, I use it create ods spreadsheet file locally for tracking purposes. However, one thing that is undesirable is how frequently the app complain that my ods file is corrupted. I often open up my ods file, found it is corrupted so I had to take some time to save the repair file and delete the corrupted file. It is very annoying, I hope the devs can investigate it and fix it asap so that i can consistently work with my ods file. Thank you."
"AndrOpen Office","Unknown",5,"Does everything I want, and is largely intuitive. Otherwise the Help solves my problem. Top app."
"AndrOpen Office","Unknown",4,"This application is a wonderful series of tools"
"AndrOpen Office","Unknown",4,"I found 4 issues but not with Walmart. I don't have a problem with Walmart. Walmart has everything I ever need."
"AndrOpen Office","Unknown",1,"not sure what this app is trying to do"
"AndrOpen Office","Unknown",1,"Have to upgrade to paid subscribe version to print. Grrrrr"
"AndrOpen Office","Unknown",1,"Can you say, Clunkware? I used this for 10 minutes on my Chromebook...... Opening a PDF shipping label with 3d bar codes made a mess of everything. Opening an Avery Label template word file completely broke the formatting. I can see where this is heading..... I have no use for this kind of time-wasting app - uninstalling."
"AndrOpen Office","Unknown",5,"Very cool app and exactly like libre office . I am using the app first time and it looks I have been using this app for years."
"AndrOpen Office","Unknown",5,"Excellent and modern."
"AndrOpen Office","Unknown",5,"Very good app For school project and practice"
"AndrOpen Office","Unknown",4,"It is full version of open office, when i used it long back in 2009...great to see.."
"AndrOpen Office","Unknown",5,"Works well. Bugs have been fixed!"
"AndrOpen Office","Unknown",3,"The original version by Apache is free with no ads. This is a poor port."
"AndrOpen Office","Unknown",3,"The app is glitchy, not particularly easy-to-use on a tablet. I keep having issues with it duplicating words and sentences randomly. I paid for the full app, though, like an idiot, so I'm stuck with it"
"AndrOpen Office","Unknown",5,"I love this app but can you add openofficebase also as I downloaded this app for this purpose but I donot get only my purpose. CAN YOU ADD OPENOFFICEBASE. ALL OTHER THINGS ARE GOOD"
"AndrOpen Office","Unknown",5,"App"
"AndrOpen Office","Unknown",5,"Great"
"AndrOpen Office","Unknown",4,"This is a great little app. I used it to finish self-publishing my book after a computer failure. I highly recommend getting a Bluetooth keyboard and mouse to use on your tablet. The only feature I wish it had that would keep me from using it exclusively is the lack of OpenType feature support. I work in Syriac a little, and I need something that uses OpenType positioning and contextual variants. That's the only reason why it's not 5 stars for me."
"AndrOpen Office","Unknown",5,"I run android 6.0.1 opposite R9 plus, and have tried other apps in this category, but this one, is the, Best, I love the app, and it's unlike any I have seen, so thank you developer, and keep doing the good work."
"AndrOpen Office","Unknown",4,"I compare with other available programs, so far, very good a specially dealing with open office documents. Permanent license could be cheaper since app is based on open source code"
"AndrOpen Office","Unknown",5,"Ok"
"AndrOpen Office","Unknown",1,"Awful"
"AndrOpen Office","Unknown",5,"Great value for cost"
"AndrOpen Office","Unknown",5,"Nice app But it lags sometimes"
"AndrOpen Office","Unknown",4,"Wanted to make some simple calculations in a table (spreadsheet) and it worked just fine. Thanks!"
"AndrOpen Office","Unknown",1,"poor ui"
"AndrOpen Office","Unknown",4,"Not bad. A little cumbersome one you realize you have to use the""mouse"" feature to manipulate an arrow around. But I needed an Excel spreadsheet without trackers or ads and this fit the bill."
"AndrOpen Office","Unknown",5,"It's really good to use on cellular network and it's so easy to use"
"AndrOpen Office","Unknown",5,"A great port of open office!"
"AndrOpen Office","Unknown",5,"It works now! Thanks for the advice to uninstall and reinstall. 😊"
"AndrOpen Office","Unknown",1,"Terrible"
"AndrOpen Office","Unknown",5,"9...c"
"AndrOpen Office","Unknown",4,"I got this to replace Office 365. For whatever reason it was taking so long to open my files that it would time out. This works almost perfectly, except I cannot get it to read my files back to me. I do that to proof read."
"AndrOpen Office","Unknown",5,"Good and simple plus free!!! Thank you"
"AndrOpen Office","Unknown",5,"Oooooohhhh my God, this is exactly I was missed from other apps... Very portable with very very powerful interface and excellent functionality...keeep it up developer 👋👋👋👋👋... Cant wait to subscribe to payed version one day...thanx very much 🙏🙏🙏"
"AndrOpen Office","Unknown",5,"The best privacy oriented app"
"AndrOpen Office","Unknown",5,"Beautiful office software like a desktop program"
"AndrOpen Office","Unknown",3,"I have a problem. I am using dex and sometimes the app opens it opens as I want to, but sometimes it opens in this weird mobile view and I cant do nothing in there"
"AndrOpen Office","Unknown",5,"This app is SO MUCH BETTER than the Microsoft app, it is unreal! It is SO user-friendly that it is very easy to find what you need for edits, etc.!"
"AndrOpen Office","Unknown",5,"Buona anche la condivisione dei file attraverso posta e WA , tutto il resto utilissimo e simile all'applicazione Windows"
"AndrOpen Office","Unknown",5,"This app is very helpfull to me"
"AndrOpen Office","Unknown",4,"Nice"
"AndrOpen Office","Unknown",5,"Why is the PDF not saving? Help us in this now"
"AndrOpen Office","Unknown",4,"I like this app. It is easy for a person thats new to this type of program to use. But, is inclusive of most of the features that a more advanced user would want to use. Thank you and happy holidays, Robert V."
"AndrOpen Office","Unknown",5,"The app is convenient and apparently well-behaved."
"AndrOpen Office","Unknown",1,"Make a doc: surprise, you can't print it unless you pay up. Absolute dog—"
"AndrOpen Office","Unknown",5,"Excellent. Very compatible. To the developers and programmers I can only say thanks. It contains some high priced features which it did not even expect. Love it."
"AndrOpen Office","Unknown",1,"I can't use this because some giant formatting screen covers everything and the interface is very unfamiliar and unusable. I want to live it but I just uninstall."
"AndrOpen Office","Unknown",5,"Good"
"AndrOpen Office","Unknown",5,"Excellent app. There are many options you can take off the tool bar, to make less cluttered. If you are a Word user saving a file is a bit different but easy once get the idea"
"AndrOpen Office","Unknown",5,"This is a great app and I have used it for years"
"AndrOpen Office","Unknown",4,"Powerful app. I would consider the paid version but sadly the upgrade button and the detail buttons dont work. Update: tried the suggested actions. Still doesnt work."
"AndrOpen Office","Unknown",2,"Supposed to be free. Shouldn't need a licence to print."
"AndrOpen Office","Unknown",3,"Goes a long way to mirror Apache Open Office, but I am unable to get it to create a hyperlink to a local pdf file when using the spreadsheet."
"AndrOpen Office","Unknown",1,"Worst and worst...all documents are lost"
"AndrOpen Office","Unknown",5,"♥️"
"AndrOpen Office","Unknown",1,"Everything you do on this is pay to use"
"AndrOpen Office","Unknown",1,"It doesnt work properly, the moment i choose select reange under data validation, there no more cursor show up that i need to select the range, and it suddenly frozen"
"AndrOpen Office","Unknown",5,"It is very important for dav lessons from my book📕"
"AndrOpen Office","Unknown",5,"Linux's freedom! Thanx!"
"AndrOpen Office","Unknown",5,"Works well intuitive to use"
"AndrOpen Office","Unknown",1,"Something happened with the view shortly after my last review 4 years ago. The UI never got better and there are many apps performing way above this one now."
"AndrOpen Office","Unknown",1,"Takes over files"
"AndrOpen Office","Unknown",4,"Works fine"
"AndrOpen Office","Unknown",4,"The application seems effective overall, but I did note some aberrations with some of the lettering who h appears irregular in all areas. I'm not sure either these aberrations are caused by the application or via the technology the document was edited on."
"AndrOpen Office","Unknown",5,"Fantastic though needs pdf support"
"AndrOpen Office","Unknown",5,"Works great on Android with pCloud."
"AndrOpen Office","Unknown",5,"Excellent."
"AndrOpen Office","Unknown",5,"Great alternative to MS Office spyware."
"AndrOpen Office","Unknown",1,"Very frustrating to use due to its complexity. Selecting text is almost impossible, maddening. The 2-finger method of enlarging the view doesn't work. Viewing PDFs is inconsistent. You can't easily move the cursor or even create a plain, unnumbered list. The imbedded help file is nearly worthless. Try doing an index search on the words bullet or cursor and nothing is found! It's the opposite of KISS. User friendly, this is not!"
"AndrOpen Office","Unknown",5,"easy to use"
"AndrOpen Office","Unknown",1,"I cannot create a database in this app"
"AndrOpen Office","Unknown",5,"Good"
"AndrOpen Office","Unknown",5,"It was very good app"
"AndrOpen Office","Unknown",1,"Used to kinda work. Now it won't."
"AndrOpen Office","Unknown",4,"Used mostly for text. Need better interface to import PDF files."
"AndrOpen Office","Unknown",5,"Slow dowloading and if you waste my data for nonsense you will see me lm watching you"
"AndrOpen Office","Unknown",4,"Great app for many document formats but i cant find the zoom in function somehow. Thats anoting for this app that is used on my smartphone"
"AndrOpen Office","Unknown",5,"Helps make your android more functional when cloud apps don't fit the bill."
"AndrOpen Office","Unknown",5,"The spreadsheet works well."
"AndrOpen Office","Unknown",5,"This is a great office suite which is available on windows and android."
"AndrOpen Office","Unknown",1,"This app have not the database 😡😡"
"AndrOpen Office","Unknown",2,"NOT FREE"
"AndrOpen Office","Unknown",5,"great."
"AndrOpen Office","Unknown",5,"ottimo"
"AndrOpen Office","Unknown",1,"Cannot read anything."
"AndrOpen Office","Unknown",5,"Thank you"
"AndrOpen Office","Unknown",5,"Very good app for office use"
"AndrOpen Office","Unknown",1,"The best document editing app, until you have to pay to export it...."
"AndrOpen Office","Unknown",5,"I'm a writer by trade. It does exactly as I require."
"AndrOpen Office","Unknown",5,"Kindly include desktop layout button again like previous version, otherwise it would be inconvenient for the user, whenever we install the physical keyboard & mouse to the device the task bar at the bottom of the screen reduces the screen size, if desktop mode is on then the task bar automatically goes to the top of the screen like previous version which was convenient for the user, plz. Fix it."
"AndrOpen Office","Unknown",5,"One of the best offi e apps EVER!!!"
"AndrOpen Office","Unknown",5,"Within 1 minute after installing, I was copying text (from my Lists App) to a new document and editing it, saving it to my small flash drive in my phone! This seems like a real Keeper! AndrOpen Office is Very Similar to my laptop's LibreOffice and is easy to use and Free! I wonder how much they want for the Paid Version?"
"AndrOpen Office","Unknown",5,"Easy and cool"
"AndrOpen Office","Unknown",1,"Looks nice on phone. That's about all. Totally useless. Uninstalling app. Don't bother, folks! It doesn't behave like any other word processor/editor, all of which have similarities in use. To app creator: Until you actually have a working app, I'd suggest that you remove it from Google Play Store."
"AndrOpen Office","Unknown",5,"It works when I need it--desktop and Android phone."
"AndrOpen Office","Unknown",5,"Still the BEST!! THANKS AGAIN! EXCELLENT!!!! BEST OUT THERE!"
"AndrOpen Office","Unknown",5,"Amazing app!"
"AndrOpen Office","Unknown",1,"Uninstalled. Insisting to enable Google Play. Wanted pdf reader & not Google Play."
"AndrOpen Office","Unknown",5,"Rw to google drive! Best Android Libre Office/Mickeysoft office replacement."
"AndrOpen Office","Unknown",4,"So far this has been good. Wish i could insert multiple lines or columns. Currently it is one at a time and have to go back through menus to do next one. Much better experience overall over two other sheets i have rejected and deleted."
"AndrOpen Office","Unknown",3,"Found it to be very good and easy to use."
"AndrOpen Office","Unknown",5,"Very useful"
"AndrOpen Office","Unknown",5,"I can't use my custom added urdu fonts. The office don't write properly."
"AndrOpen Office","Unknown",4,"I loved this app before the ability to fine tune text size to fit into my chosen area was no longer allowed. I have need of fitting various amounts of text into a certain number of columns and could make font size smaller or larger than predetermined whole or half sizes to reach that goal (i.e. 7.3 size) Now it's equal to Google Sheets which now offers columns (only 3 so far) and limited font size selection. How about AOO Lite to ape Sheets and regular AOO desktop-style for flexibility? 5⭐prior"
"AndrOpen Office","Unknown",3,"Functional but definitely some glitches. First, the app only opens in read-only mode when editing, allowing me to only edit a copy of the file rather than the file itself. Also the presentation part of the app as far as I can see does not have a function to allow timings to change slides after however many seconds."
"AndrOpen Office","Unknown",5,"The best so far."
"AndrOpen Office","Unknown",1,"Not useful"
"AndrOpen Office","Unknown",5,"Android Open Office is a port for Android of the Apache Open Office that exists for distributions of Linux and for Apple IOS. Yet, Android Open Office is surprisingly rich in possibilities, not crippled in comparison to the Apache Open Office for Linux or IOS. For Linux and IOS there is also the option of Collabora Libre Office, but this does not seem to exist for Android. The true international document format is Open Document, because PDF is property of Adobe and DOCX is property of Microsoft."
"AndrOpen Office","Unknown",4,"quite a useful program. some improvement needed in placement of pop up dialogs"
"AndrOpen Office","Unknown",5,"Very good app Could you please make an android version for open office calc"
"AndrOpen Office","Unknown",5,"I love OpenOffice, and this is a great Android port of the program."
"AndrOpen Office","Unknown",5,"Like Microsoft Office but better and free"
"AndrOpen Office","Unknown",5,"It's always good."
"AndrOpen Office","Unknown",4,"Getting used to it but it seems to be OK. Not all the bells and whistles of the pc version but then, I never used all of those anyway."
"AndrOpen Office","Unknown",5,"Great app for spread sheets."
"AndrOpen Office","Unknown",5,"bahut hi aachaa hai bhai"
"AndrOpen Office","Unknown",3,"Many pdf files do not conver to clear printing and is always half eligible and half ineligible."
"AndrOpen Office","Unknown",2,"Very slow downloading processs"
"AndrOpen Office","Unknown",1,"Other tools was disappear like editing the words in PDF."
"AndrOpen Office","Unknown",3,"The Android version more complicated to us than the Windows version"
"AndrOpen Office","Unknown",5,"Works well, and does what it's expected to do. Performs more friendly than MS-360 Office."
"AndrOpen Office","Unknown",5,"Will continue to maximize the capabilities of this App the element of capturing spreadsheets with the mobility to navigate remains pivotal and assimilated"
"AndrOpen Office","Unknown",4,"I love Appache Open Office on my desktop & I was so happy to find out from their website that they make this all for android. Love it!"
"AndrOpen Office","Unknown",5,"x64 equivalent on Linux Open Source features. Thank you very much for being very helpful"
"AndrOpen Office","Unknown",5,"See open source, Open Office, .ODT files right on your Android device. A little clumsy but doable"
"AndrOpen Office","Unknown",5,"Free WMF file viewer - no hassle"
"AndrOpen Office","Unknown",5,"Good night sweet dreams take care of yourself and bye bye bhabhi"
"AndrOpen Office","Unknown",5,"Fanastic. suppors all the formats and no ads. does want to default to its file format."
"AndrOpen Office","Unknown",5,"It gets the job done"
"AndrOpen Office","Unknown",1,"Every other update causes password protected Excel spreadsheets or Word documents to NOT open. After interacting with your support staff, they said it never worked with password protected files, WHICH IS FALSE! Because I've been able to before. They don't even know their own product."
"AndrOpen Office","Unknown",5,"This office suite works well for me. I recommend the upgrade to support the development and porting of future versions for Android ."
"AndrOpen Office","Unknown",5,"Excellent, transforms my mobile into a computer"
"AndrOpen Office","Unknown",5,"Useful app! I found that the CEILING function does not work. Is it possible to add it? Thank you for a pleasant experience."
"AndrOpen Office","Unknown",5,"Underrated (I use free edition) you think it takes a while to get the app, but no (for me at least) I had this app for less than a day and I already love it and understand it. When I open the app from file manager (samsung my files) it goes to read-only mode and when I open it with this app, it goes to edit mode (like it's supposed to)."
"AndrOpen Office","Unknown",4,"Love the fact that AOO is compatible with apache open office, just one thing to typing is a little wanky especially when backspacing on a letter and it ends up take a extra one or two plus... other than that everything looks good.. haven't checked all the features though... looking to see if there a tab button somewhere, it make proper indentation easier than hitting the space bar 5 times everything I wanted to start a new paragraph."
"AndrOpen Office","Unknown",5,"Fabulous, only issue is not being able to upgrade because I don't seem to be able to buy through Google."
"AndrOpen Office","Unknown",1,"Completely worthless and unusable on Android. Has so much clutter on the screen the actual document consumes less than a quarter of the display. Seems to have no zoom options. Will not allow editing of documents. This is what happens when you try to use a desktop user interface on anything that is not a desktop."
"AndrOpen Office","Unknown",1,"While typing in Writer, it randomly removes spaces between words as I type and joins the two words. Tried uninstalling and reinstalling app but it does not help. Very annoying. Using in Chromebook."
"AndrOpen Office","Unknown",4,"I have used this app for a few years and like it a lot"
"AndrOpen Office","Unknown",3,"Expecting payment so I could print. Fraud"
