"Appname","Date","Score","Text"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"EXCELLENT"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"wow"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good experience"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good work"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"nice"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"GOOD"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Excellent 👌👍"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"very good apps"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Excellent service"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Best app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Wow"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Excellent"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Great"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",4,"good pl"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Ok"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Wow"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Fantastic"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Best apo"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",3,"Good."
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Best app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"ഗുഡ്"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",4,"good 👍"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Really great app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Exclemnt app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Ok"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Easy application very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Supar"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Super"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Gud experience"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good finanac3 bajaj"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Niceapp"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Excellent"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good services"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"nice sales officer"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"No cost emi"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Excellent"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Super"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"GOOD"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app👌🏻"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good experienxe"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"excellent"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good service"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Great app.easy to navigate."
"Bajaj Finserv: Loans, UPI & FD","Unknown",4,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"വെരി good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"గుడ్"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good 👍👍👍👍👍👍👍👍"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Superb"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"wow"
"Bajaj Finserv: Loans, UPI & FD","Unknown",1,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"excellent"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Superb app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Ok"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"verry nice"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Best app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",4,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good service"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Great"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good ap"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good service"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"super"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good service"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"சூப்பர் 💐💐"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Great"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"App good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good service done by employees thank you"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"excellent"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Tq for giving easy emi"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good 👍"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice app for loan pi"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Nice"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Very good app"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Good"
"Bajaj Finserv: Loans, UPI & FD","Unknown",5,"Excellent"
