"Appname","Date","Score","Text"
"Captions: For Talking Videos","Unknown",1,"not good"
"Captions: For Talking Videos","Unknown",5,"Simple, effective and reasonably priced!"
"Captions: For Talking Videos","Unknown",5,"Very practical app for video generation and social media automation."
"Captions: For Talking Videos","Unknown",3,"All was going fine. Then they update the app and free version of colourful caption text. they vanish. Atleast one colour full to be free"
"Captions: For Talking Videos","Unknown",1,"Working with app is so hard and get so time. I subscribed this app. But I'm not happy with it. It has bug. Most of time it has error in edit. This isn't helpful"
"Captions: For Talking Videos","Unknown",1,"I can't even use one ai feature neither can I sign up or login with. My google account and on top of that when I try to use the ai it won't let me it will just error error or you video has to be more that 5 seconds long bruh the videos I upload are literally 1 minute."
"Captions: For Talking Videos","Unknown",1,"Doesn't refund my subscription even if I didn't subscribe they still substract my money in my Ewallet acc I hope they can refund my money because it was my payment for my tuition fee."
"Captions: For Talking Videos","Unknown",2,"Lip sync is terrible."
"Captions: For Talking Videos","Unknown",5,"Awesome 👌"
"Captions: For Talking Videos","Unknown",1,"Hello caption, there's seem to be a problem with your app. I am exporting a video, and when I try to download it it's not loading anymore it's stuck in a loading cycle without the possibility of downloading it."
"Captions: For Talking Videos","Unknown",1,"Bekar aap h koi bhi use na kare mb kha jata h or kaam nhi krta h"
"Captions: For Talking Videos","Unknown",1,"Fake 🤥 don't waste your time,"
"Captions: For Talking Videos","Unknown",1,"Worst experience ever"
"Captions: For Talking Videos","Unknown",3,"Had to spend lot of time to get it in order. It never worked the way we were told. Could not edit, nor could I proceed ahead."
"Captions: For Talking Videos","Unknown",5,"great app"
"Captions: For Talking Videos","Unknown",4,"Is app 👑👑👑"
"Captions: For Talking Videos","Unknown",1,"Please refund the accidental purchase that I made, I haven't used it yet. Please return my allowance, it suddenly charged my account. I have the money in my account and it is suddenly charged without confirmation."
"Captions: For Talking Videos","Unknown",2,"is good but slow"
"Captions: For Talking Videos","Unknown",1,"Bad app you have to pay if you want to work on it"
"Captions: For Talking Videos","Unknown",5,"Great"
"Captions: For Talking Videos","Unknown",1,"Useless app 😡😡😡"
"Captions: For Talking Videos","Unknown",1,"It's a paid app"
"Captions: For Talking Videos","Unknown",2,"downloading transcripts of the captions isn't free. it does the work well but then you can't download the subtitle file."
"Captions: For Talking Videos","Unknown",5,"Super"
"Captions: For Talking Videos","Unknown",1,"This app can't even edit my first reel that I have recorded and just wanted to check how will be the final product. Even after update it's trash keeps crashing."
"Captions: For Talking Videos","Unknown",4,"I hope this app doesn't imitate Capcut, don't imitate that app, it's so corrupt on money"
"Captions: For Talking Videos","Unknown",2,"Problem with paying, them problem with internet connection. Problem with email login."
"Captions: For Talking Videos","Unknown",5,"Love this app! Very easy to use!"
"Captions: For Talking Videos","Unknown",1,"The font size after exporting is different from the font size set in the Captions, and support isn’t responding."
"Captions: For Talking Videos","Unknown",1,"Not worth paying for, the captions and the audio never match, captions move too fast,not many editing options,"
"Captions: For Talking Videos","Unknown",1,"I created and edited a video on here I absolutely hate that it does not let you get detailed down into the microseconds when you're cutting and trimming Down video it took me about an hour and a half to get this video edited and when I went into the next steps the app shut down I did the 3-day free trial but it started my month today I'm canceling already"
