"Appname","Date","Score","Text"
"Dhani: UPI, Cards & Bills","Unknown",1,"Faltu app hai dosto...mat kato download..."
"Dhani: UPI, Cards & Bills","Unknown",1,"I close my loan 3 years ago but 2200 rs due speaking with me and warning lok adalat and police sach a fraud company"
"Dhani: UPI, Cards & Bills","Unknown",1,"Service thik nhi h"
"Dhani: UPI, Cards & Bills","Unknown",1,"Please complete video kyc. 5 day ho gaya video kyc apply Kiya hu kyc active nahi ho raha, Pending ma ha... Please help."
"Dhani: UPI, Cards & Bills","Unknown",5,"It's very good app.This will give me business loan, credit card,If I want personal loan it give. Regards, For Akhil Biomass agroBriquettesIndia, Sunkesula Masthan, Proprietor."
"Dhani: UPI, Cards & Bills","Unknown",1,"Very goo app"
"Dhani: UPI, Cards & Bills","Unknown",1,"The worst thing is you, you don't even talk to its customer support executive ."
"Dhani: UPI, Cards & Bills","Unknown",1,"Third class app bakwas not download this app"
"Dhani: UPI, Cards & Bills","Unknown",1,"Most fraud app"
"Dhani: UPI, Cards & Bills","Unknown",1,"Really sab se bekar vala experience.. dhani app ne phile apne mamber ship kharid vaaye fhir 3-saal bad login karta hoon toh vo paise Dale the vo bhi chle gye waste and kyc bhi nhi approve kar rahe bhaiyoo mt karo ap download bekar app ek number scam app hai yeh !!!!!"
"Dhani: UPI, Cards & Bills","Unknown",1,"Worst app ever"
"Dhani: UPI, Cards & Bills","Unknown",1,"Faltu"
"Dhani: UPI, Cards & Bills","Unknown",1,"Very bad.... Do not try.."
"Dhani: UPI, Cards & Bills","Unknown",1,"very dirty service my 2021-22 the problem has not been solved till date I have very bad experience with this"
"Dhani: UPI, Cards & Bills","Unknown",1,"Third class customer service talking rudely to the customer and direct disconnected the call twice not giving properly information"
"Dhani: UPI, Cards & Bills","Unknown",1,"Mera sath ford ho rha hai"
"Dhani: UPI, Cards & Bills","Unknown",1,"Very bad aap very poor person this not use this aap"
"Dhani: UPI, Cards & Bills","Unknown",1,"Worst app"
"Dhani: UPI, Cards & Bills","Unknown",5,"Good"
"Dhani: UPI, Cards & Bills","Unknown",1,"Disgusting app fraud not use this app"
"Dhani: UPI, Cards & Bills","Unknown",1,"Very bad application and the customer service, an agent called me for loan regarding process, as I said yes I want a loan please proceed with my details you have, they asked me for money and told me it was a processing fee, they took 3000 from me in start and then they shared a tds tax paper and told me to pay more money this is how they make you feel dumb and ask more and more money this way they all took 17000 from me for loan and again asked for 15000 , this is the worst app and customer ser."
"Dhani: UPI, Cards & Bills","Unknown",1,"Bad kyc"
"Dhani: UPI, Cards & Bills","Unknown",1,"Dhani pls need Shani shopping aap"
"Dhani: UPI, Cards & Bills","Unknown",1,"very very bad aap"
"Dhani: UPI, Cards & Bills","Unknown",1,"By mistake I deleted my account now I can't open it again I'll try many times to connect customer care but not connecting please resolve my problem how to use dhani upi app"
"Dhani: UPI, Cards & Bills","Unknown",1,"Worst App Fraud Loan App I had Paid Two Times But Still Showing Loan Pending"
"Dhani: UPI, Cards & Bills","Unknown",1,"Block mailing app😞😞😞😞 I paid total due amount in app what they asked through email and message in 2022 and recently in 2025 checked cibil still showing due when called to customer care they demanding to go to court for clearing my cibil score problem.i can't get loan because of this app"
"Dhani: UPI, Cards & Bills","Unknown",1,"Baad"
"Dhani: UPI, Cards & Bills","Unknown",1,"Beware 🙏 Full froud apps After full payment outstaning dikha rahe hai"
"Dhani: UPI, Cards & Bills","Unknown",1,"Dhani app is a worst application don't use."
"Dhani: UPI, Cards & Bills","Unknown",1,"Worest app"
"Dhani: UPI, Cards & Bills","Unknown",5,"Good"
"Dhani: UPI, Cards & Bills","Unknown",1,"dhani fraud app not use"
"Dhani: UPI, Cards & Bills","Unknown",1,"सबसे बेकार एप हैं और कोई भी मत इस्तेमाल करो पैसे अटक जाते ही एसमे 2दिन का समय लगता है और लोन मन तो घंटा नि देता हे wating wating wating wating wating wating wating wating wating wating wating Sabse gatiya app he koi bhi mat use karo"
"Dhani: UPI, Cards & Bills","Unknown",1,"India No.1 Scamer Aap Dhani Aap Because My Loan Limite is Olny ₹-2500 Olny But when Check the CIVIL Showing ₹-35000 So please Dont Use This Scam Dhani Aap 😡😡"
"Dhani: UPI, Cards & Bills","Unknown",4,"Bhai Mera account block ker diya hai please open my account"
"Dhani: UPI, Cards & Bills","Unknown",1,"Your app is not properly working to set paasword to get proper work app and within big pl so nathing thinks personal loan r"
"Dhani: UPI, Cards & Bills","Unknown",1,"This is a very bad application, its recovery agent has threatened to kill me. Listen brothers, if I die, the only person responsible for this will be the Dhani company."
"Dhani: UPI, Cards & Bills","Unknown",1,"Worst one. Once they agreed and settled for full payment and payment done. After that they are calling.... Getting much distrubance am going to file criminal case against them."
"Dhani: UPI, Cards & Bills","Unknown",1,"Ekdum se third class app hain koi download karke fasana mat extra charge lagate cibil down karte paisa total bharne ke baad bhi baar baar call karte extra surcharge lagate don't download it.🙏"
"Dhani: UPI, Cards & Bills","Unknown",1,"These people only know how to harass people in the name of loan. They try to extort triple the money from the original capital. I had taken a loan from them and they increased my payment three times when I had taken the loan from them. When I asked to reduce the loan payment, these people said that you will have to pay the full amount. These people are demanding Rs. 12,000 for a loan of Rs. 3900. These people are doing hooliganism."
"Dhani: UPI, Cards & Bills","Unknown",1,"Simply collecting Data and personal info highly recommended not to use dhani"
"Dhani: UPI, Cards & Bills","Unknown",1,"A froud app don't install this app"
"Dhani: UPI, Cards & Bills","Unknown",1,"All loan close but cibil me swo nehi karta"
"Dhani: UPI, Cards & Bills","Unknown",5,"Fruad application"
"Dhani: UPI, Cards & Bills","Unknown",1,"Very bad app"
"Dhani: UPI, Cards & Bills","Unknown",1,"I try my new password but everything show me try again unless app"
"Dhani: UPI, Cards & Bills","Unknown",5,"Thank you"
"Dhani: UPI, Cards & Bills","Unknown",1,"Not a activated my one freedom card"
"Dhani: UPI, Cards & Bills","Unknown",1,"Dhani scan company big fraud company"
"Dhani: UPI, Cards & Bills","Unknown",1,"It is very defaulter application so please don't install"
"Dhani: UPI, Cards & Bills","Unknown",1,"2 sal se mera account close nhi kr rahe hai dhani wale mera"
"Dhani: UPI, Cards & Bills","Unknown",1,"Worst ap"
"Dhani: UPI, Cards & Bills","Unknown",5,"Good"
"Dhani: UPI, Cards & Bills","Unknown",1,"I paid back my entire loan amount in July 2023 . But still it's showing unpaid in my civil report . I request everyone please don't take any kind of loan from this dhani loan application, it will ruined your civil score."
"Dhani: UPI, Cards & Bills","Unknown",1,"How to get a loan. It's like a normal UPI payment app."
"Dhani: UPI, Cards & Bills","Unknown",1,"It's sqam"
"Dhani: UPI, Cards & Bills","Unknown",1,"Wrist app this app destroy my civil score and my last payment not confirmed in my cibil account data you basted delete this app in Play Store"
