"Appname","Date","Score","Text"
"Document Scanner - PDF Creator","Unknown",5,"good"
"Document Scanner - PDF Creator","Unknown",3,"👍"
"Document Scanner - PDF Creator","Unknown",5,"good"
"Document Scanner - PDF Creator","Unknown",5,"Nice"
"Document Scanner - PDF Creator","Unknown",1,"nice"
"Document Scanner - PDF Creator","Unknown",5,"very nice"
"Document Scanner - PDF Creator","Unknown",4,"good"
"Document Scanner - PDF Creator","Unknown",4,"okay"
"Document Scanner - PDF Creator","Unknown",4,"Nice Nice"
"Document Scanner - PDF Creator","Unknown",5,"super"
"Document Scanner - PDF Creator","Unknown",5,"awsome👍🤩😍"
"Document Scanner - PDF Creator","Unknown",4,"I like it and it is very helpful to me"
"Document Scanner - PDF Creator","Unknown",5,"Very best app must use"
"Document Scanner - PDF Creator","Unknown",5,"nice"
"Document Scanner - PDF Creator","Unknown",1,"💓"
"Document Scanner - PDF Creator","Unknown",5,"superb"
"Document Scanner - PDF Creator","Unknown",5,"outstanding"
"Document Scanner - PDF Creator","Unknown",3,"good"
"Document Scanner - PDF Creator","Unknown",5,"good po"
"Document Scanner - PDF Creator","Unknown",5,"superb ❣️"
"Document Scanner - PDF Creator","Unknown",1,"My recommend don't use this app."
"Document Scanner - PDF Creator","Unknown",5,"good 😊"
"Document Scanner - PDF Creator","Unknown",5,"bahut hi badhia, iske bina mera koi kaam chalta hi nahi."
"Document Scanner - PDF Creator","Unknown",5,"satisfied"
"Document Scanner - PDF Creator","Unknown",5,"good"
"Document Scanner - PDF Creator","Unknown",5,"very helpful full"
"Document Scanner - PDF Creator","Unknown",4,"editing of picture is not possible"
"Document Scanner - PDF Creator","Unknown",5,"good app"
"Document Scanner - PDF Creator","Unknown",5,"good work"
"Document Scanner - PDF Creator","Unknown",5,"good"
"Document Scanner - PDF Creator","Unknown",3,"good"
"Document Scanner - PDF Creator","Unknown",5,"great"
"Document Scanner - PDF Creator","Unknown",5,"good"
"Document Scanner - PDF Creator","Unknown",5,"good"
"Document Scanner - PDF Creator","Unknown",4,"it's good I'm impressed"
"Document Scanner - PDF Creator","Unknown",5,"very effective"
"Document Scanner - PDF Creator","Unknown",1,"good"
"Document Scanner - PDF Creator","Unknown",4,"Please Improve text quality"
"Document Scanner - PDF Creator","Unknown",4,"a good & easy app to use."
"Document Scanner - PDF Creator","Unknown",5,"NICe"
"Document Scanner - PDF Creator","Unknown",4,"👍"
"Document Scanner - PDF Creator","Unknown",5,"Good 👍"
"Document Scanner - PDF Creator","Unknown",4,"nice application for paper scanning"
"Document Scanner - PDF Creator","Unknown",5,"it is very nice appn"
"Document Scanner - PDF Creator","Unknown",5,"good working 😀"
