"Appname","Date","Score","Text"
"Filmr - Pro Video Editor","Unknown",1,"you can't add voice over. justgoes through a loop asking for permissions but never actually recognized them to allow voice over. also if you record a voice note doesn't allow import !"
"Filmr - Pro Video Editor","Unknown",1,"Can't export videos. Useless."
"Filmr - Pro Video Editor","Unknown",1,"Really not worth it"
"Filmr - Pro Video Editor","Unknown",1,"Web is not good"
"Filmr - Pro Video Editor","Unknown",5,"This is sooo good 😌😌😌"
"Filmr - Pro Video Editor","Unknown",5,"The best"
"Filmr - Pro Video Editor","Unknown",1,"If you want to lose your time then use this app 🤦"
"Filmr - Pro Video Editor","Unknown",1,"Bad"
"Filmr - Pro Video Editor","Unknown",2,"Cool"
"Filmr - Pro Video Editor","Unknown",1,"Favorite app either on YouTube Making video youtube"
"Filmr - Pro Video Editor","Unknown",5,"Good"
"Filmr - Pro Video Editor","Unknown",5,"Good"
"Filmr - Pro Video Editor","Unknown",5,"Very nice thank you so much"
"Filmr - Pro Video Editor","Unknown",5,"you most"
"Filmr - Pro Video Editor","Unknown",5,"The best"
"Filmr - Pro Video Editor","Unknown",1,"why is the music not working 😒😑"
"Filmr - Pro Video Editor","Unknown",4,"This app is not bad for beginners in video editing as it provides easy to use user interface for online video editing on various platforms like TikTok, YouTube and Instagram. Download it's legit for beginners and amateurs"
"Filmr - Pro Video Editor","Unknown",1,"Music tracks get cut short and can't be extended over the length of the video."
"Filmr - Pro Video Editor","Unknown",1,"Waste of time ❗️ UNINSTALLED ❗️"
"Filmr - Pro Video Editor","Unknown",1,"Not understandable, it's nonsense"
"Filmr - Pro Video Editor","Unknown",1,"I spent tons of time editing and uploading videos, only to then not be able to access them. I contacted support but they ignore my requests to sync my account to my new device. Infuriating. I wish they had a physical address I could visit to pay my disrespects."
"Filmr - Pro Video Editor","Unknown",1,"After spending many hours editing videos on my tablet, when I log in to filmr on my phone to access them, it shows I have no video files when I have tons on my tablet. But I need to access the videos on my phone, not my tablet mow, and I can't. So all my hours of work were wasted if they can't fix the syncing issue. I contacted customer support 10 days ago, and they still aren't addressing or fixing the issue. I should be able to access my videos on any device I log in on, but I can't."
"Filmr - Pro Video Editor","Unknown",3,"Can't export"
"Filmr - Pro Video Editor","Unknown",5,"Video"
"Filmr - Pro Video Editor","Unknown",5,"Great"
"Filmr - Pro Video Editor","Unknown",5,"A very good app for video creations"
"Filmr - Pro Video Editor","Unknown",5,"It doo cool"
"Filmr - Pro Video Editor","Unknown",1,"No templetes 🤬😡"
"Filmr - Pro Video Editor","Unknown",4,"Why cant we use chroma key?"
"Filmr - Pro Video Editor","Unknown",2,"Stupid app I wish I never downloaded it. it doesn't open in the background"
"Filmr - Pro Video Editor","Unknown",5,"Easy video making without any hassle ,overthinking or any difficulty"
"Filmr - Pro Video Editor","Unknown",1,"Not bad but vrey problem free vretion not good"
"Filmr - Pro Video Editor","Unknown",1,"Ble eew"
"Filmr - Pro Video Editor","Unknown",5,"This is so useful"
"Filmr - Pro Video Editor","Unknown",5,"The app is great, but I cannot pay, it says something went wrong??"
"Filmr - Pro Video Editor","Unknown",5,"A Great App. Very helpful."
"Filmr - Pro Video Editor","Unknown",5,"Cool"
"Filmr - Pro Video Editor","Unknown",1,"Worst app. They charge for year with no option to refund.. Mostly shows error while making vidoes. Scamsters"
"Filmr - Pro Video Editor","Unknown",2,"Very easy to use. BUT, the exported video is always glitchy. There is always some weird video lag in the middle and the transitions don't end up being smooth, so the end result sucks and is too embarrassing to share. Uninstalled."
"Filmr - Pro Video Editor","Unknown",2,"🤪This is a bad one. Unfortunately not much good to say about the interface... There also isn't much to do... I like the variety of fonts, and how mad the vibration gets, when I want to move the text around. But this feels like the first idea of an editing app..."
"Filmr - Pro Video Editor","Unknown",5,"Great experience with making videos"
"Filmr - Pro Video Editor","Unknown",5,"versatile, great effects"
"Filmr - Pro Video Editor","Unknown",4,"That's really great app"
"Filmr - Pro Video Editor","Unknown",1,"Bad not satisfying at all"
"Filmr - Pro Video Editor","Unknown",1,"Worst"
"Filmr - Pro Video Editor","Unknown",5,"great"
"Filmr - Pro Video Editor","Unknown",1,"Bad experience. Time wasting"
"Filmr - Pro Video Editor","Unknown",5,"Excellent"
"Filmr - Pro Video Editor","Unknown",2,"Nothing special"
"Filmr - Pro Video Editor","Unknown",2,"worked on a video but unable to export it so a waste of my time. Free version"
"Filmr - Pro Video Editor","Unknown",5,"Excellent"
"Filmr - Pro Video Editor","Unknown",1,"Stupid app.they first also want email dont download this app"
"Filmr - Pro Video Editor","Unknown",1,"App dies not open"
"Filmr - Pro Video Editor","Unknown",4,"Great"
"Filmr - Pro Video Editor","Unknown",5,"It is a good app and I encourage u to make use of it"
"Filmr - Pro Video Editor","Unknown",4,"This app is cool just take clips of videos and join andit makes it like it's one 😏 video"
"Filmr - Pro Video Editor","Unknown",2,"Not working 😣👎"
"Filmr - Pro Video Editor","Unknown",3,"The app is best for those beginners who dont want a pro level editor for 30 and 60 fps videos that are max 1080p resolution, a really nice thing being the absence of watermarks, which are otherwise a paid affair with the other applications. It misses out on some useful editing tools, such as apply fade in and fade out effects on any frame of the video, and addition of doodles/stickers at any frame of the video. Please introduce these features that make this editor a complete one."
"Filmr - Pro Video Editor","Unknown",1,"Got scammed on their website. The same people who run it runs this app. If you must use their service then use a visa gift card so they can't keep charging your bank debit card like they did me and refuse to refund me. Be safe."
"Filmr - Pro Video Editor","Unknown",5,"This app is revolutionary in the industry of videography. 😘😘😘"
"Filmr - Pro Video Editor","Unknown",1,"Very bad 😞"
"Filmr - Pro Video Editor","Unknown",1,"Rubbish app there's no way of writing text and turn it into video"
"Filmr - Pro Video Editor","Unknown",3,"It's been good for a few projects. Now I can't seem to get it to download a project so I have to do it all over again on another app. So that's giving me a clear indication of my next step."
"Filmr - Pro Video Editor","Unknown",1,"I made a very big mistake for not going through the reviews before downloading this app. This is the worst I've seen so far. You guys can do better please"
"Filmr - Pro Video Editor","Unknown",1,"TIme and data just wasted"
"Filmr - Pro Video Editor","Unknown",1,"This app all out just sucks. Not worth the time to download it."
"Filmr - Pro Video Editor","Unknown",5,"ood to use"
"Filmr - Pro Video Editor","Unknown",1,"𝑯𝒐𝒘 𝒄𝒐𝒎𝒆 𝒕𝒉𝒆 𝑨𝑰 𝒗𝒆𝒓𝒔𝒊𝒐𝒏 𝒊𝒇 𝒕𝒉𝒊𝒔 𝒂𝒑𝒑 𝒊𝒔𝒏𝒕 𝒂𝒗𝒂𝒊𝒍𝒂𝒃𝒍𝒆 𝒐𝒏 𝒂𝒏𝒅𝒓𝒊𝒐𝒅? 𝑰𝒕𝒔 𝒃𝒆𝒆𝒏 𝒎𝒐𝒏𝒕𝒉 𝒏𝒐𝒘 𝒂𝒏𝒅 𝒏𝒐 𝒑𝒍𝒂𝒏𝒔 𝒇𝒐𝒓 𝒂𝒏𝒅𝒓𝒊𝒐𝒅? 𝑯𝒎𝒎𝒎𝒎"
"Filmr - Pro Video Editor","Unknown",5,"I love using Invideo on the computer"
"Filmr - Pro Video Editor","Unknown",5,"Nither bad nor good"
"Filmr - Pro Video Editor","Unknown",5,"Excellent"
"Filmr - Pro Video Editor","Unknown",5,"Easy to use very helpful"
"Filmr - Pro Video Editor","Unknown",1,"stopped working altogether, no longer fit for purpose"
"Filmr - Pro Video Editor","Unknown",5,"Excellent experience in making videos. Very good. As long as you have photos or idea you are good to go with this app. Don't waste time !!"
"Filmr - Pro Video Editor","Unknown",5,"Good app! Easy"
"Filmr - Pro Video Editor","Unknown",1,"The worst app I had ever use ,this is my personal experience that this app is garbage please don't download this app, it's waste of time"
"Filmr - Pro Video Editor","Unknown",1,"I came across this app on YouTube I specifically wanted to see how it would work on my Android phone, downloaded this app several days ago this is not been a good experience because it keeps crashing and will not let me type or voice to text prompts using my Android phone not good invideo needs to fix this issue."
"Filmr - Pro Video Editor","Unknown",5,"Good and easy"
"Filmr - Pro Video Editor","Unknown",1,"Many people are busy complaining about inefficiency. I better hold bad"
"Filmr - Pro Video Editor","Unknown",2,"Video export problem"
"Filmr - Pro Video Editor","Unknown",5,"nice apo"
"Filmr - Pro Video Editor","Unknown",1,"I can generate any type of video or animation Thanks invideo"
"Filmr - Pro Video Editor","Unknown",5,"Best app in video making"
"Filmr - Pro Video Editor","Unknown",1,"App crashing while exporting the file after video created."
"Filmr - Pro Video Editor","Unknown",4,"It's pretty good"
"Filmr - Pro Video Editor","Unknown",5,"Nice 🙂 editing app"
"Filmr - Pro Video Editor","Unknown",5,"Beautiful"
"Filmr - Pro Video Editor","Unknown",5,"I love it it's awesome"
"Filmr - Pro Video Editor","Unknown",5,"Nice"
"Filmr - Pro Video Editor","Unknown",1,"InVideo has been the worst company I have EVER signed up for. I heard so many good things about InVideo on YT. I paid $60/mo for the max plan on AI. I have nothing but horrible experiences with this company. It takes me a week or longer to create a video. Why? Because it takes about a good hour to get a search to show results. No problems running newest pc games or anything online. I have the fastest internet available and InVideo is the only platform I have problems with. STAY AWAY FROM INVIDEO"
"Filmr - Pro Video Editor","Unknown",1,"Lied to me"
"Filmr - Pro Video Editor","Unknown",1,"Does not work on Android."
"Filmr - Pro Video Editor","Unknown",1,"I can create an account, it just shows me tap on new project to start your video"
"Filmr - Pro Video Editor","Unknown",1,"App constantly stalls."
"Filmr - Pro Video Editor","Unknown",5,"Thank you for everything"
"Filmr - Pro Video Editor","Unknown",1,"It's terrible 😔😔 The only button I see when I click on the app is ""new project"" I don't know why it's so. But I see many people say how good it is, does it only work in laptops? I shouldn't give any star but I can't post this review without staring, that's why I starred it"
"Filmr - Pro Video Editor","Unknown",1,"Worst...."
"Filmr - Pro Video Editor","Unknown",1,"Not good... You literally have to do everything from scratch"
"Filmr - Pro Video Editor","Unknown",3,"I don't think there's anything special about it but has all the main functionalities most editors do so here in the middle."
"Filmr - Pro Video Editor","Unknown",1,"It does not work on my phone"
"Filmr - Pro Video Editor","Unknown",1,"Most useless video editing app l have come across 😤😤"
"Filmr - Pro Video Editor","Unknown",1,"Not creating own video"
"Filmr - Pro Video Editor","Unknown",5,"I'm Leaning and I Love it."
"Filmr - Pro Video Editor","Unknown",4,"It gave me zero time to figure out the interface and counted every second of my learning curve against the credits I had, I thought that was pretty lame because by the time I knew the software enough to put together a quality project, I was out of credits. Aside from that, it's great, it has separate edit tracks for video, voiceover, text, music and still frames for seamless transitions and fluid synchronicity. Great app."
"Filmr - Pro Video Editor","Unknown",1,"Terrible"
"Filmr - Pro Video Editor","Unknown",1,"Poor"
"Filmr - Pro Video Editor","Unknown",1,"Bekaar aap"
"Filmr - Pro Video Editor","Unknown",1,"🤢"
"Filmr - Pro Video Editor","Unknown",5,"Great time had by all!! gofund.me/51ea16aa"
"Filmr - Pro Video Editor","Unknown",5,"Excellent"
"Filmr - Pro Video Editor","Unknown",5,"Fantastic site."
"Filmr - Pro Video Editor","Unknown",1,"What a rip off. Downloaded it on android and everything free. I downloaded it on iPhone and I paid for the $7 weekly subscription thinking I was getting more. But got absolutely nothing new that android had. If I had known I would've just paid for Invideo AI smh."
"Filmr - Pro Video Editor","Unknown",5,"Love these appp have different effects and easy to use"
"Filmr - Pro Video Editor","Unknown",5,"I love this app."
"Filmr - Pro Video Editor","Unknown",1,"I thought I'd be able to make some Ai stuff with this app. Not even close. It only gives me the option of using my camera or uploading from my pics. This app tricked me."
"Filmr - Pro Video Editor","Unknown",5,"This is stunning and makes video creation and editing so much fun."
"Filmr - Pro Video Editor","Unknown",1,"Nonsense"
"Filmr - Pro Video Editor","Unknown",5,"Amazing no ads just pure service tho it misses some rare features so all around 9/10"
"Filmr - Pro Video Editor","Unknown",5,"Nice 👍 app"
"Filmr - Pro Video Editor","Unknown",3,"Why is your texts to video is not working again? Supposed to be an AI editor and going back to drag and drop that we all know before now."
"Filmr - Pro Video Editor","Unknown",1,"I have the paid version, but it is only accessible via browser. What is the point of the app?"
"Filmr - Pro Video Editor","Unknown",5,"AI Video generator..... absolutely free try it"
"Filmr - Pro Video Editor","Unknown",5,"Was good"
"Filmr - Pro Video Editor","Unknown",5,"Amazing app unbelievable functions ...."
"Filmr - Pro Video Editor","Unknown",1,"Won't even let you create an account lol"
"Filmr - Pro Video Editor","Unknown",1,"good"
"Filmr - Pro Video Editor","Unknown",1,"This app doesn't work the way it has been said ,in doesn't have where to give prompts it sucks"
"Filmr - Pro Video Editor","Unknown",1,"It doesn't wort..i rate it 0 out of 10"
"Filmr - Pro Video Editor","Unknown",1,"The app not working"
"Filmr - Pro Video Editor","Unknown",1,"Very bad"
"Filmr - Pro Video Editor","Unknown",4,"I am really enjoying this app. I love that I can create videos by selecting a topic or simply giving detailed instructions. I love the regeneration option and that you can edit the final video, by simply changing the details. You can even clone your voice in the paid version. 1 thing is the desktop version is Amazing, I just wish the app on my phone was able to function the same. When this happens, I'll return with the 5th star. Thank you, for creating this platform!"
"Filmr - Pro Video Editor","Unknown",1,"I am unable to download a video I spent hours editing, so do something about that."
"Filmr - Pro Video Editor","Unknown",1,"This does nothing the Web app InVideo does! None of the features I need to create my youtube video. Web version wayyyy better! Mobile App trash"
"Filmr - Pro Video Editor","Unknown",1,"It's like being all hyped up and in the end not living up to expectations. Disappointed in this software. Bad communication from team who deal with customer services. And it's hard to cancel subscriptions you'll have to make complaint to your bank. And waste of time and money"
"Filmr - Pro Video Editor","Unknown",1,"Waste of time and money. So many glitches not worth it"
"Filmr - Pro Video Editor","Unknown",2,"Very safe"
"Filmr - Pro Video Editor","Unknown",1,"Useless can't even open the app"
"Filmr - Pro Video Editor","Unknown",5,"Good"
"Filmr - Pro Video Editor","Unknown",1,"The function of this application is totally deferent to what it was advertised to do"
"Filmr - Pro Video Editor","Unknown",4,"Works great"
"Filmr - Pro Video Editor","Unknown",3,"Good evening dear one please"
"Filmr - Pro Video Editor","Unknown",1,"Trash"
"Filmr - Pro Video Editor","Unknown",1,"Not good at all"
"Filmr - Pro Video Editor","Unknown",1,"Trash scam. Not the same app from the YouTube promos. I think it's Apple only. Probably just trying to steal your data as you're forced to sign up before you can do anything. Scumbags."
"Filmr - Pro Video Editor","Unknown",1,"Terrible. Downloaded and created 2 different accounts but there aren't ANY options to make AI videos as advertised. It literally is now only an app to edit your own videos. You have no options to do anything really, no account page or anything. Confused on who uses this and how......wild."
"Filmr - Pro Video Editor","Unknown",5,"Super app"
"Filmr - Pro Video Editor","Unknown",1,"Use less 🤢🤮"
"Filmr - Pro Video Editor","Unknown",1,"Not as same as the website. Not AI at all."
"Filmr - Pro Video Editor","Unknown",1,"Just video editor. Awful 😞"
"Filmr - Pro Video Editor","Unknown",2,"Nice"
"Filmr - Pro Video Editor","Unknown",5,"The best app on the market"
"Filmr - Pro Video Editor","Unknown",1,"Huge disappointment  As app not working on the phone Been intuoch with customers service one to many times  InVideo perfect example of art of kidology at work"
"Filmr - Pro Video Editor","Unknown",1,"App doesn't work!!"
"Filmr - Pro Video Editor","Unknown",1,"Please fix this!!! I am constantly using the website send decided to use the app period now it keeps telling me to allow permission and i have all the permissions where it can use everything and it still telling me to change my permissions and i already did this app is completely useless to me right now, and I am now left extremely disappointed."
"Filmr - Pro Video Editor","Unknown",1,"After I ""give all permission"" app don't allow me to work give me same message....to ""give permission"""
"Filmr - Pro Video Editor","Unknown",1,"It keep saying not working properly 😭"
"Filmr - Pro Video Editor","Unknown",5,"Excellent"
"Filmr - Pro Video Editor","Unknown",5,"perfct"
"Filmr - Pro Video Editor","Unknown",1,"Not user-friendly regarding length of audio file. Starts out at 3 seconds instead of the full length of the audio file and then makes it difficult to stretch the time to the full length."
"Filmr - Pro Video Editor","Unknown",1,"It won't allow you to make project even if you have all permissions set to allow"
"Filmr - Pro Video Editor","Unknown",1,"Keeps giving me an infinite problem with permissions I allowed everything and I keep getting the pop up and it's not letting me do anything"
"Filmr - Pro Video Editor","Unknown",1,"Hi, would you please advise why i can't use the app while i gave all permissions and still it asks me to give required permissions? Which permission it needs? It doesn't work on Samsung galaxy note20 by asking for storage permission which is no such an option to give that permission. Will uninstall unfortunately."
"Filmr - Pro Video Editor","Unknown",2,"Not working, stuck on allow permission..no way out, it's a Bug."
"Filmr - Pro Video Editor","Unknown",1,"Difficult to use."
"Filmr - Pro Video Editor","Unknown",1,"This is trash I allowed all permission BUT IT STILL DOESN'T WORK"
"Filmr - Pro Video Editor","Unknown",1,"Request permission that I already give. And I cant create a new project"
"Filmr - Pro Video Editor","Unknown",1,"Keeps asking to allow permissions i allow the permissions and it still doesn't work."
"Filmr - Pro Video Editor","Unknown",1,"Worst app ever doesn't even open continuously asking for permissions when I've already granted all the permissions"
"Filmr - Pro Video Editor","Unknown",1,"I can not use the app because it keeps saying to allow permissions which I had but I'm still getting the error message."
"Filmr - Pro Video Editor","Unknown",1,"Garbage.... all permission allowed and said I needed to give them permission."
"Filmr - Pro Video Editor","Unknown",1,"I had given all the permission but still its showing the popup that says, this app will not work with out permission. I have nothing to do more... Worst service worst app."
"Filmr - Pro Video Editor","Unknown",1,"not work: can't create project, ""permission required"", but all permission turn to allowed..."
"Filmr - Pro Video Editor","Unknown",1,"Not working for me."
"Filmr - Pro Video Editor","Unknown",1,"It is not opening after allowing the parmeseaction"
"Filmr - Pro Video Editor","Unknown",1,"Very bad experience had to uninstall immediately"
"Filmr - Pro Video Editor","Unknown",1,"Only does one thing, and that asks for permission and never lets you use it"
"Filmr - Pro Video Editor","Unknown",1,"Used to be amazing Recently stopped working Have emailed Tech support If fixed will give a 5 star rating And yes I tried all the troubleshooting"
"Filmr - Pro Video Editor","Unknown",1,"App unusable"
"Filmr - Pro Video Editor","Unknown",5,"Good"
"Filmr - Pro Video Editor","Unknown",1,"Doesn't work. Kept asking for permission (which it was given)."
"Filmr - Pro Video Editor","Unknown",1,"Installed, click create project, ""you must enable permissions to create a project"", doesn't tell me which permissions, tried a few, still doesn't work, Force Quit, Uninstalled App. Okay a tad unfair becos the website is pretty good. The AI startup market is flooded. Most of them using similar pricing, which is around the $20 a month level, and that's if you pay ~$240 for the annual plan. Realistically, there are going to be losers. Winners will see value in cheaper short term pricing"
"Filmr - Pro Video Editor","Unknown",1,"Doesn't work."
"Filmr - Pro Video Editor","Unknown",5,"Nice app"
"Filmr - Pro Video Editor","Unknown",1,"I'm totally disappointed with it's android version although windows version was good."
"Filmr - Pro Video Editor","Unknown",1,"It's not working even though I enabled all permissions, keep asking for permission"
"Filmr - Pro Video Editor","Unknown",1,"Dont install it,dont use it. Its fake and scam app. You'll use all of you're data and lose you're money."
"Filmr - Pro Video Editor","Unknown",1,"Just a basic editing application for videos / pictures. No media access to files in storage."
"Filmr - Pro Video Editor","Unknown",1,"Downloaded.. asked to turn on permissions, if not app might not work properly. So I turned on all permissions, yet still received same notification. Did other things app still wouldn't work / let me pass that. Uninstalled"
"Filmr - Pro Video Editor","Unknown",1,"Can't get it working I appcepted all permissions and still nothing."
"Filmr - Pro Video Editor","Unknown",3,"It worked great at first. Now, when I open the app and choose a project I was working on, it kicks me out. I can't open and access work. What to do?"
"Filmr - Pro Video Editor","Unknown",1,"The app is not working properly. I have given all the requested permission and yet its not working"
"Filmr - Pro Video Editor","Unknown",1,"Asking for permission but i have give the all permission..nonsense"
"Filmr - Pro Video Editor","Unknown",1,"This app is not available. Please don't waste your time downloading it. I downloaded it, and it is not opening. I tried it out 5 times."
"Filmr - Pro Video Editor","Unknown",1,"I downloaded this app cause ppl on YouTube said it was great for making videos. As soon as I purchase a subscription, nothing is working online, nor the app the whole thing just keeps crashing and lagging out like come on, fix this or give me a refund. I haven't even used the app for a whole 24 hours, and I'm having major problems. I've used android and iOS devices just to try and play not one but two videos that the AI has made, and I can't watch either one of them. Please help!"
