"Appname","Date","Score","Text"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Pi💪💪💪"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"They disrespect the pi network"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"List Pi please"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Why not listing pi network"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Very bad"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"We need Pi Network. Plz list Pi Network."
"Binance: Buy Bitcoin & Crypto","Unknown",1,"The Pi Network Community’s Voice Needs to Be Heard immediately! In the Binance community vote, an overwhelming 86% users voted “Yes, list it right now!” Yet, despite the results, there’s been no listing update or official word from Binance    For a project built on decentralization and community, the clear demand from users should not be ignored 🚫 Binance, why isn’t the outcome of your own democratic vote being acknowledged yet?"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"List pi coin now."
"Binance: Buy Bitcoin & Crypto","Unknown",1,"super"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"PI listing"
"Binance: Buy Bitcoin & Crypto","Unknown",5,"Good App tranding App 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Third class. Not list pi coin and install all fake coins"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"great"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Why you don't list Pi Network. According to voting you would be list pi but not yet.. why ???? So 1 star ⭐"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Worst services pi network should be listed on binance"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Not working properly"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"This exchange not use democracy and not freedom of money"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Exchange is Good but not Support it's community , I think Community makes you No 1 in Crypto industry, now you have no Respect for Community, If you don't list Pi than why are you doing Community poll ? Communities are not your servents, it was make you it will decline you also as well , very disappointed with Binance !!! Now I don't want your account I registered with Get.io and enjoy trading there !!!"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Pi List on Binance"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Partiality for listing the coins"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Can't buy pi :("
"Binance: Buy Bitcoin & Crypto","Unknown",5,"Very secure app for your payments"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"List pi first"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"If binance will list pi coin on their platform.I will give 5 rating."
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Why not list pi.. Why open but pi . pi win you list my demand"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Some Hackers broke into my Binance account and stole all my assets (very large amount of money) and Binance illegally cleared their hands, saying it's not their fault even though I had all 4-layers of security activated. I Don't recommend trusting with your money their lies that your assets are safe with them, as it's clearly not the case!"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"I think binance is the most trusted and reliable exchange in the world of crypto market ❤️ But why u not listing PI coin 🪙 he community is waiting so much for when pi coin list on binance But u guys or your team doesn't takes any action so sad 😢😢😢"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Listing Pi Now"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"I Give you 1 star Because You didn't list Pi Network 😎"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"not listing pi network"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Pi network 👍 💐💐♥️💐💐👌"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Very bad app and bad customer support I advice not download this app"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Not listed PI yet. Bad exchange"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Not listing Pi after voting. Why it had been taken then?"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"It's not selling Pi we take break to it's services it's take it personal we comit to not patronizing again 🥱"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Pi network list we want"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"List the Pi Coins as early as possible !!!"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"List pi network otherwise I will in install binance"
"Binance: Buy Bitcoin & Crypto","Unknown",2,"It's been long my account closed temporarily and they cannot even help me to open it again..this is now disaster"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"1 star for disrespecting pioneers"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Need pi on binance"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Worst app"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Some crypto are not till listed"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Pi not liste no use no no"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"No pi no use"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Bad experience"
"Binance: Buy Bitcoin & Crypto","Unknown",5,"very good"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"disappointed"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Hopeless Binance. Why are you, Didn't Pi of listing."
"Binance: Buy Bitcoin & Crypto","Unknown",5,"Good 👍"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Pi not listed still now"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"1 Star for these apps. because it's not listing Pi Coins. i will rate this 5star after the listing. for now You will be rated as 1 Star"
"Binance: Buy Bitcoin & Crypto","Unknown",5,"Good"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Very poor"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"This platform is so much bad after voting listing pi they will still no update about listing too much disappointed binance user so I leave binance"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Add pi currency"
"Binance: Buy Bitcoin & Crypto","Unknown",5,"Very good"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"No pi on the list"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Naaa"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Verry bad exchange"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"I will give 5 stars the day you do the PI listing."
"Binance: Buy Bitcoin & Crypto","Unknown",1,"I I'll Rate 5Star after pi network Listing.... 😌"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Everything was good user experience was wow.The only thing I gave 1 star bacause of Pi coin did not listed here."
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Not valueing the customer feedback #pinetwork"
"Binance: Buy Bitcoin & Crypto","Unknown",1,"Stop promoting Pi type scam project."
"Binance: Buy Bitcoin & Crypto","Unknown",1,"List Pi instead of stupid meme coins"
