"Appname","Date","Score","Text"
"Fortune City - A Finance App","Unknown",4,"Fun"
"Fortune City - A Finance App","Unknown",5,"Cute! The game gameified budget gets me to open the app every day!"
"Fortune City - A Finance App","Unknown",1,"app got no response on pixel 9 pro"
"Fortune City - A Finance App","Unknown",5,"Fun and encouraging"
"Fortune City - A Finance App","Unknown",5,"Very useful and enjoy tracking routine payment. This is only one app I can use it continuously for many years. It isn't a detailed app but it's ok to use as usual without less complexity."
"Fortune City - A Finance App","Unknown",3,"音樂音效有夠大聲，每次進去耳朵都聾了，只能直接關閉音樂，沒有調整音量的選項"
"Fortune City - A Finance App","Unknown",5,"為什麼更新後會閃退?? 更新後打不開"
"Fortune City - A Finance App","Unknown",5,"Not much to say. They want me to leave a review"
"Fortune City - A Finance App","Unknown",5,"Google drive"
"Fortune City - A Finance App","Unknown",5,"So cute love it"
"Fortune City - A Finance App","Unknown",5,"Very helpful"
"Fortune City - A Finance App","Unknown",2,"Hate subscription services. Seriously just charge me once and is be happy to pay. You need to pay $20 a year to use a budgeting setting. The whole point of a finance app. Otherwise it's just a data collection, that I'm sure is being sold, on top of ads, on top of a paid premium currency with a cute paint job. Again wouldn't mind at all to pay to never have to see any of that."
"Fortune City - A Finance App","Unknown",3,"Kind of incentives spending. Wish there was a building for ""no spend"" days. And rewards for other financial habits."
"Fortune City - A Finance App","Unknown",5,"Cute and easy to use, I never forget tracking my expenses everytime because I'm just excited to build more in my city lol"
"Fortune City - A Finance App","Unknown",5,"Well thought out app. I am more motivated to track my expenses, and do my finances."
"Fortune City - A Finance App","Unknown",3,"A good way to record expense. But after few years, it become boring, as building level maxed up. - The app become slower - No ads available"
"Fortune City - A Finance App","Unknown",5,"Two days and I'm hooked! Although, I would like to have the option to add credit limits of credit cards as well as add the auto debit of amounts as well. Also, a dedicated section for investments. Thank you!"
"Fortune City - A Finance App","Unknown",5,"So cute , i love it , since my sugar daddy been funding me , i dont have things to keep track of it so i just use this apps and can show him that he is investing a town , and im a mayor now thanks to him."
"Fortune City - A Finance App","Unknown",3,"Kinda interesting. Was looking forward to make money management fun. However this app doesn't allow you to customised the default categories. And due to this, I did not explore further. Hope to see changes in future so that I can try out this app again. Overall, cute and interesting."
"Fortune City - A Finance App","Unknown",3,"Performance is getting slow. Cannot load any ads. Tried to reinstall and it's the same"
"Fortune City - A Finance App","Unknown",5,"Having fun while tracking expense"
"Fortune City - A Finance App","Unknown",5,"Cute 😍"
"Fortune City - A Finance App","Unknown",4,"Fun to record ur expenses, but 5 building per day is too less"
"Fortune City - A Finance App","Unknown",3,"Gamification is fun. Wish there was a note area to comment so I can remember what I bought/ate to give the figures more context."
"Fortune City - A Finance App","Unknown",5,"Hello How to find your chat support? I want to delete a Category I randomly created but dont see that option"
"Fortune City - A Finance App","Unknown",4,"Please let me minimize my town, i want to scroll out and see all of it at once. Also it would be really nice if the police car was optional like the police station and doesn't get in the way of my progress if I don't want police in my fortune town."
"Fortune City - A Finance App","Unknown",5,"Easy to use and kinda helpful for me"
"Fortune City - A Finance App","Unknown",1,"Update: There's a BUG that crashes the app 100% of the time. I haven't been able to use the app for days now!! [2023: Religiously use this app to track expenses but I'm afraid I'll get bored since my Coin Storage is always full. Developers, PLEASE ADD Finance levels to Great Capital City Hall building (currently maxed at LV300). | 2021: Still love this app. BUT my island is getting bigger. I'd REALLY love a way to zoom out fully so that I can organize my buildings more easily.]"
"Fortune City - A Finance App","Unknown",4,"用有趣的養成模式來打造自己的城鎮， 讓記帳變得生動有趣。 ^v^b"
"Fortune City - A Finance App","Unknown",4,"Its motivating to track purchases"
"Fortune City - A Finance App","Unknown",5,"I honestly don't know much about the app yet, but I want the free character. It seems like a great gamification app so far, I usually do well with apps like these that reward you for good habits, so we'll see"
"Fortune City - A Finance App","Unknown",5,"Update: 2 years later and still managing expenses in a fun way! Really enjoying this fun way of teaching good financial habits!"
"Fortune City - A Finance App","Unknown",3,"I wish you could disable new buildens for specified categories. Because I made a couple of categories to correct discrepancies. And I don't want discrepancies to produce buildings."
"Fortune City - A Finance App","Unknown",4,"Its fun"
"Fortune City - A Finance App","Unknown",4,"介面乾淨整齊，功能齊全，不過每次進去都有通知，造成單純想要紀錄時還要多按一次關閉通知，有點不便"
