"Appname","Date","Score","Text"
"Mahindra Finance","Unknown",5,"Easy and quick response"
"Mahindra Finance","Unknown",5,"Maninagar branch cashier is good support"
"Mahindra Finance","Unknown",5,"Very good"
"Mahindra Finance","Unknown",5,"Very smart and easy"
"Mahindra Finance","Unknown",5,"Very good service 👍🏻👍🏻👍🏻"
"Mahindra Finance","Unknown",5,"Nice"
"Mahindra Finance","Unknown",1,"Very bad update please restore to previous version"
"Mahindra Finance","Unknown",5,"Good"
"Mahindra Finance","Unknown",1,"It's is the problem of Indians that if you don't good at something don't try it irrelevant unappropriate disaster app I create my mandate for automatic debit EMI but the app server doesn't respond sight not reachable showing I tried to contact Mahindra finance executive they also didn't help me out the day before my EMI date, I how to make a payment towards Mahindra finance in advance so that my EMI was not bounce and deduct properly it's 24 hours but the app doesn't update my payment status"
"Mahindra Finance","Unknown",5,"Nice"
"Mahindra Finance","Unknown",5,"Nice"
"Mahindra Finance","Unknown",5,"Good"
"Mahindra Finance","Unknown",4,"Good app"
"Mahindra Finance","Unknown",5,"Good"
"Mahindra Finance","Unknown",1,"Worst app after updating"
"Mahindra Finance","Unknown",5,"I so happy"
"Mahindra Finance","Unknown",5,"Superb application"
"Mahindra Finance","Unknown",5,"Trying to get loan emergency"
"Mahindra Finance","Unknown",5,"Good experience 🤗"
"Mahindra Finance","Unknown",5,"Good"
"Mahindra Finance","Unknown",5,"Nice experience"
"Mahindra Finance","Unknown",5,"Good service"
"Mahindra Finance","Unknown",4,"Super"
"Mahindra Finance","Unknown",5,"Happt"
"Mahindra Finance","Unknown",5,"Good"
"Mahindra Finance","Unknown",5,"Good"
"Mahindra Finance","Unknown",5,"It's totally good interface"
"Mahindra Finance","Unknown",4,"নাইস"
"Mahindra Finance","Unknown",4,"Good app"
"Mahindra Finance","Unknown",5,"Good working"
"Mahindra Finance","Unknown",5,"Every installment asks for updates"
"Mahindra Finance","Unknown",1,"Good service"
"Mahindra Finance","Unknown",5,"Very good"
"Mahindra Finance","Unknown",5,"Good app"
"Mahindra Finance","Unknown",5,"Mahindra is good till now."
"Mahindra Finance","Unknown",5,"👍"
"Mahindra Finance","Unknown",5,"Good 👍"
"Mahindra Finance","Unknown",5,"I think the app works great."
"Mahindra Finance","Unknown",5,"Very good"
