"Appname","Date","Score","Text"
"Monefy - Budget & Expenses app","Unknown",4,"Thank You team for fixing the bug. Happy using the application."
"Monefy - Budget & Expenses app","Unknown",5,"Necesitaba mucho algo que me ayudara a ver mis gastos gráficamente, intenté con notion, excel y nada me ayudó tanto como Monefy. Realmente la recomiendo, me ha ayudado a llevar un control visual del porcentaje de mis gastos y ganancias 🫶🏻💗"
"Monefy - Budget & Expenses app","Unknown",5,"Genial para tomar conciencia del dinero."
"Monefy - Budget & Expenses app","Unknown",5,"Good 😊"
"Monefy - Budget & Expenses app","Unknown",5,"Great"
"Monefy - Budget & Expenses app","Unknown",4,"More details or opciones to details"
"Monefy - Budget & Expenses app","Unknown",1,"Not clear information about purchase and collection of it..."
"Monefy - Budget & Expenses app","Unknown",5,"Is very good"
"Monefy - Budget & Expenses app","Unknown",1,"Save your money. Very buggy."
"Monefy - Budget & Expenses app","Unknown",5,"Very nice and good"
"Monefy - Budget & Expenses app","Unknown",4,"Wonderful experience, but the limitation it has is , it gives much less options in unpurchased version"
"Monefy - Budget & Expenses app","Unknown",4,"Good app"
"Monefy - Budget & Expenses app","Unknown",5,"Useful and simple app for everyone"
"Monefy - Budget & Expenses app","Unknown",4,"The developers fixed the lag so I am changing my 1 star review to a 4 star review. I have been using this app for almost 8 years and I really like it. I don't really budget with it, just track my expenses. The app is easy to use and set up and I really appreciate the cloud synch feature. The only thing that I would add is a web version of the app so I can access it on my desktop rather than needing to grab my phone every time I make an online purchase at home."
"Monefy - Budget & Expenses app","Unknown",5,"Excellent manual tracker, everything you need including cards and categories to track just about anything you need. All the options needed to group by date, category, or payment method. Plus online backup / sync."
"Monefy - Budget & Expenses app","Unknown",5,"Wonderful app, user friendly experience"
"Monefy - Budget & Expenses app","Unknown",5,"I've used this on and off for a while. And it's by far the best app for tracking your spend."
"Monefy - Budget & Expenses app","Unknown",5,"Best app for calculating money monthly."
"Monefy - Budget & Expenses app","Unknown",5,"Super"
"Monefy - Budget & Expenses app","Unknown",5,"A great app for managing your money and budgeting. Easy to use and the paid version keeps the transactions in sync across devices. Helpful customer services."
"Monefy - Budget & Expenses app","Unknown",2,"Kindly add Lifetime membership & also add import transaction via excel."
"Monefy - Budget & Expenses app","Unknown",3,"Very simple, straightforward. User friendly. Doesnt get too annoying with ads. However unless you pay, you don't have an account and the data is only saved on the phone. When my phone broke, I lost 2 years worth of my data."
"Monefy - Budget & Expenses app","Unknown",5,"🇱🇰👍🤝"
"Monefy - Budget & Expenses app","Unknown",5,"Very helpful app❤️"
"Monefy - Budget & Expenses app","Unknown",1,"This app does not work in android 15. Back button doesn't work some time. Please fix it."
"Monefy - Budget & Expenses app","Unknown",4,"I've buy the premium and used it for years because it's clean and simple. But i would love it if i can change the main color theme, like white pink color or any cute and pastel color becauss i don't really like green. Thanks"
"Monefy - Budget & Expenses app","Unknown",5,"Excellent apps"
"Monefy - Budget & Expenses app","Unknown",5,"Best app"
"Monefy - Budget & Expenses app","Unknown",5,"me encanta"
"Monefy - Budget & Expenses app","Unknown",5,"Easy to use, easy to track, been using for 4 months, very good looking UI"
"Monefy - Budget & Expenses app","Unknown",5,"Very useful App"
"Monefy - Budget & Expenses app","Unknown",1,"Lifetime one time purchases option not available"
"Monefy - Budget & Expenses app","Unknown",5,"Excellent"
"Monefy - Budget & Expenses app","Unknown",1,"I wanted to return to usung Monefy because I had a full lifetime license. Turns out It wasn't lifetime after all, so instead of becoming a returning user I will be an angry reviewer"
"Monefy - Budget & Expenses app","Unknown",5,"Great app"
"Monefy - Budget & Expenses app","Unknown",5,"Joss app"
"Monefy - Budget & Expenses app","Unknown",5,"I've been using this app for years now and never regretted purchasing premium. Hope you continue to develop the app. Would love to see calendar view and be able to attach photo of receipts."
"Monefy - Budget & Expenses app","Unknown",5,"Monefy is an excellent app for managing finances simply and efficiently. The interface is intuitive, making it easy to track expenses and stay organized. I highly recommend it!"
