"Appname","Date","Score","Text"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Worst app ever very slow and inconvenient with laggy interface."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Very bad"
"Paytm Money: Stocks, MF, IPO","Unknown",4,"Nice performance"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Plz Delet my paytm money account"
"Paytm Money: Stocks, MF, IPO","Unknown",5,"Wow"
"Paytm Money: Stocks, MF, IPO","Unknown",5,"Request to all to atleast try this app.........please........u will find the difference.......BUT.....delivery buy & sell Rs 20 newly added... and making the AMC free is no use..........particular for people like me who accumulate 1/2 stocks everyday on everydip.......and that too i being an old client....not happy only with this.....it is increasing the avg price.......plz. change this atleast for old clients like me.....who are there with paytm since inception......."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Pathetic app and service. If we raise any ticket, it will take 1000 of years to complete. I tried create nps but its still in progress from 1947."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Frod app"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"I had freezed my account before some time,and at now I have issues during unfreeze account, and no costumer support for inquiry."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"There brokerage charges are too high. They are Charging 2.5% on delivery."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"I'm facing technical glitch from last 2 days. Even unable to deposit SIP TOO. PLEASE HELP.. Again last month same issue"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"You funded the account but my account is still under activation. Also you are not returning my money in your wallet saying your account is under approval."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Wrost app ever you will use. They have so much hidden charge on each . they will charge you per share 3 rupees for survice. No real time data for mutual fund. High charges"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"No any customer support very bad experience"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Please improve your search experience in stock watchlist on web. Needs basic testing in real time to identify the issue."
"Paytm Money: Stocks, MF, IPO","Unknown",5,"user friendly ui"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"This is the fraud apps don't use this apps there many hide and charges and no support and manipulate. Fraud app paytm money. 4 and half years I use this app but it's fraud app. I recommend avoid this app to invest money."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"This isn't working Better application and network issue is all time or Brokerage charges is high"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Worst service, no one can listen your problem while you face app issue"
"Paytm Money: Stocks, MF, IPO","Unknown",5,"Can you add 5 year and all time charts"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Poor customer care just unreachable"
"Paytm Money: Stocks, MF, IPO","Unknown",5,"👍"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Third class service"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Very bad customer support"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Facing issues with pending order, not getting it canceled, modify or executed. Tried 25 plus time the paytm help no. But no response. Pathetic"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Worst coustomer care"
"Paytm Money: Stocks, MF, IPO","Unknown",2,"Missing many features - Pls bring more sophisticated goal based investment tracking like ETMoney or Scripbox - Show historical performance of investments in MF - Add way to Switch MF (as in INDMoney)"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"No customer care facility, customer care number is out of service"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Sir Aaj isme order cancel nahi ho rha isme nuksan ka jimmedar kon koi support"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Very bad service"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"It's struck badly and no proper customer support"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Pls don't install this app, I stuck with my orders and no one was there to help me, no customer care service, no email support"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Very poor app"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Order not getting executed or cancelled or modified, not even able to raise ticket on the app, customer care number not getting connected"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Very bad service"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"App is getting struck while buying or selling the orders"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Very disappointing experience! My sell order did not execute even though the market price was above my set limit. This is unacceptable and raises serious concerns about the platform's reliability. Please fix these issues and improve order execution accuracy. If not resolved, I will have to consider switching to a more reliable platform"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Worst application handling"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"I'm unable to exit my open position which may occur in loss and if that happens I'll claim on Paytm for my loss and they have to pay it. Because your app isn't responding properly, that's why I'm unable to exit my position. Even i have placed the sell order which had met the selling price but still sell order isn't executed.So please urgently and immediately resolve this problem. I even I'm unable to raise the ticket and customer care call isn't connecting or responding. Worst ever app."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Trying to complete kyc from 3 days,app is showing error,when contacted to customer care they are saying to re install app,but still same issue"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Before update every strike price visible fast move, now too much hanging and prices not move fast"
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Basically no customer support. Useless app interface.Even the account closure option is not available neither in app or web portal."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"very bad experience. which SIP HAS cancelled of this SIP AMOUNT HAS DEDUCTED."
"Paytm Money: Stocks, MF, IPO","Unknown",1,"Ye bahut bakbass app hai,nhi bank account aad ho rha hai aur nhi sell ho rha hai pahle thik tha ab bekar ho gaya hai"
