"Appname","Date","Score","Text"
"Goodbudget: Budget & Finance","Unknown",1,"They have a 3.7 overall rating for a reason. The app, in my opinion, is not at all user-friendly. It's way too complicated. More than anything, their support sucks. Email only. 80.00 wasted. Do not recommend it."
"Goodbudget: Budget & Finance","Unknown",5,"Truly thank you! I am so grateful this is a free app. I am disabled and struggle with keeping numbers in my head and budgeting. This is the only free app that works for me. A little tricky to navigate at first but your YouTube instructional videos helped a lot."
"Goodbudget: Budget & Finance","Unknown",1,"Removed it"
"Goodbudget: Budget & Finance","Unknown",3,"Looks good. Please add alternate date views. I.e Aus in DD/MM/YY"
"Goodbudget: Budget & Finance","Unknown",1,"Used rocket money for budgeting"
"Goodbudget: Budget & Finance","Unknown",3,"App keeps on crashing. Website changes are not synced to app"
"Goodbudget: Budget & Finance","Unknown",3,"Please do bug fixed ASAP. I am struggling to reconcile my envelopes since last 15 months. Every time I open the envelope entry, the app crashes"
"Goodbudget: Budget & Finance","Unknown",1,"Not for me"
"Goodbudget: Budget & Finance","Unknown",5,"The best app for managing budgets. Really good and simple to use."
"Goodbudget: Budget & Finance","Unknown",5,"This is hands down the best budgeting app, because all the others treat you like you are stupid. This is nice and clear, and customisable exactly how I need"
"Goodbudget: Budget & Finance","Unknown",4,"An excellent all with only a few missing features. This app puts budgeting front and center, but it also allows you to track payees and to split transactions, among other helpful features. So many other apps were missing at least one feature. There are a few drawbacks. The account totals can take a while to update, which can be disorienting. Support for multiple currencies and the ability to attach photos to transactions would be helpful. Other than that, an excellent app."
"Goodbudget: Budget & Finance","Unknown",5,"This is the perfect budgeting app for me. I didn't need an app that I had to put in every penny I made and every penny I gave out. I just needed one to show the money that I would normally be pulling out of my account to stick into envelopes such as food, gas and miscellaneous. The regular monthly bills such as electric, mortgage etc. get pulled directly from my account already. However, you could easily use this for every penny if you wish I just don't need that"
"Goodbudget: Budget & Finance","Unknown",5,"This is a beautiful app. Do just what it's supposed to do. Very easy to use. Using this app for almost 3 years. The free version is good enough for most people I guess but if one is able should definitely purchase premium. A must have app for me."
"Goodbudget: Budget & Finance","Unknown",5,"Edit: 5 stars Goodbudget is a really good budgeting app. I use the free version since my budgeting system is simple, and it allows you to sync two devices and also access your account on your browser, which is a great feature. It is also very easy to add transactions and it only takes me a couple of clicks. I would give Goodbudget 5 stars if it had the option to assign a category (or tag, or whatever you call it) to each expense and generate spending report for it. Overall, the app is great."
"Goodbudget: Budget & Finance","Unknown",1,"The app keeps crushing and it has been doing so for a long time. I've been using it hoping that an updated version will come, but it never came."
"Goodbudget: Budget & Finance","Unknown",5,"Exactly what I needed"
"Goodbudget: Budget & Finance","Unknown",1,"You need an account now. No reason to use this data selling scam of an app."
"Goodbudget: Budget & Finance","Unknown",2,"Prices are too high...One time payment option is also not available.."
"Goodbudget: Budget & Finance","Unknown",3,"A lot more to improve"
"Goodbudget: Budget & Finance","Unknown",5,"Good"
"Goodbudget: Budget & Finance","Unknown",2,"I can't use for multiple devices .... I thought we can use this app by entire family members on same account...."
