"Appname","Date","Score","Text"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"nice app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"great app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"best trading app 👍"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"super dment app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"very good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"loving the experience and day to day usage"
"Groww Stocks, Mutual Fund, IPO","Unknown",4,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Nice App 💯💯"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Groww app unable to open"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"best"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"very nice app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very nice 👍"
"Groww Stocks, Mutual Fund, IPO","Unknown",1,"Ghatiya app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very easy to understand and safe"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"invest for the better future for the future genaration"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"superrr"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Easy to invest & withdrawal. User Interface is so good."
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"nice"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"very good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very good app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"very easy and simple to understand everything"
"Groww Stocks, Mutual Fund, IPO","Unknown",4,"I GIVE ONLY 4 STAR BECAUSE OF . I did not see delta price in option chain My request to GROWW is please add delta price in option chain IF GROWW RESPOND ME AND ADD DELTA PRICE IN OPTION CHAIN I WILL DEFINITELY CHANE MY RATING AND GIVE 5 STAR"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"very good 👍"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good 👍"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Supar"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"nice 🙂"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"so good app"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"💯👍"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very nice application Easy to use"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good app"
"Groww Stocks, Mutual Fund, IPO","Unknown",1,"Very poor service I withdraw money in working working still not received i raise concern twice there is no response I have screenshot as well there no action"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Great app... Please provide stop loss option while entering into options trade in point wise."
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"nice 👍"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very nice"
"Groww Stocks, Mutual Fund, IPO","Unknown",1,"Very very bad 😞😞😞"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"nice app"
"Groww Stocks, Mutual Fund, IPO","Unknown",3,"Good"
"Groww Stocks, Mutual Fund, IPO","Unknown",3,"App to much slow need improvement"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"good"
"Groww Stocks, Mutual Fund, IPO","Unknown",1,"Worst experience I have 3 sips because of unfortunate reason I didn't maintain balance when I deposited amount they debited 3 times each of 590 rupees worst worst rules don't use this app this is worst app to use"
"Groww Stocks, Mutual Fund, IPO","Unknown",2,"Since a long period it's very slow app, it takes too much time to open."
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"super"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"Very nice for all"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"very nice"
"Groww Stocks, Mutual Fund, IPO","Unknown",5,"my sip tart"
