"Appname","Date","Score","Text"
"PhotoScan by Google Photos","Unknown",5,"Wow, it's exceptional!"
"PhotoScan by Google Photos","Unknown",4,"Good"
"PhotoScan by Google Photos","Unknown",5,"Voice call and voice msgs"
"PhotoScan by Google Photos","Unknown",4,"An almost-functional app that scans and remove glare by having your camera takes multiple shots at different angles. The main issue is that there's no simple ""save to device"" button and only share options to other apps. Granted, there's an auto-save but if you want another copy, you can't simply save it to device with a click. Document also exports with a version that has a border advertising the app. Wish there was a way to turn that off."
"PhotoScan by Google Photos","Unknown",5,"Scan your photos You can use PhotoScan to scan and save printed photos. Scan a photo To scan a photo, you need the PhotoScan app installed on your phone. Open the Google Photos app . At the top, tap Create . Under 'Get photos', tap Import from other places. Under 'Scan photos with your phone', tap PhotoScan. To start the scan, hold your phone directly above a photo. Tap the button to take a picture. It'll automatically save to your device. Move your phone around until the circle is over each o"
"PhotoScan by Google Photos","Unknown",4,"Best"
"PhotoScan by Google Photos","Unknown",5,"Yeah !!!"
"PhotoScan by Google Photos","Unknown",5,"Supar"
"PhotoScan by Google Photos","Unknown",1,"I didn't like this four dot think 😔 it's so annoying for me as I wanted to take a lot pic related to my notes and the pics come upside down also."
"PhotoScan by Google Photos","Unknown",1,"Useless and low quality app structure."
"PhotoScan by Google Photos","Unknown",5,"Great tool to scan pictures. Best of all, it's free...."
"PhotoScan by Google Photos","Unknown",2,"Fast time try to understand thank you so much"
"PhotoScan by Google Photos","Unknown",5,"Unbelieable how the google team works for you!"
"PhotoScan by Google Photos","Unknown",1,"It's useless. The user has to move the phone to 4 spots and wait until the scan processes it so we can move the other spots. The whole process can take up to 5 min to scan 1 photo."
"PhotoScan by Google Photos","Unknown",5,"nice"
"PhotoScan by Google Photos","Unknown",4,"assalamulaikum,😘Kaisa ho Nice software"
"PhotoScan by Google Photos","Unknown",1,"Images not clear"
"PhotoScan by Google Photos","Unknown",5,"good"
"PhotoScan by Google Photos","Unknown",1,"very poor quality, it takes time to set corner, should be urgent and quickly scan"
"PhotoScan by Google Photos","Unknown",5,"faster"
"PhotoScan by Google Photos","Unknown",5,"Supar"
"PhotoScan by Google Photos","Unknown",1,"garbage"
"PhotoScan by Google Photos","Unknown",5,"It shows photos clear"
"PhotoScan by Google Photos","Unknown",5,"It's good and helpful 👍"
"PhotoScan by Google Photos","Unknown",5,"Ok"
"PhotoScan by Google Photos","Unknown",1,"Not that good. Final image is distorted"
"PhotoScan by Google Photos","Unknown",5,"Very good"
"PhotoScan by Google Photos","Unknown",5,"Awsome 👍👍👍"
"PhotoScan by Google Photos","Unknown",5,"फार च. छान. आहे"
"PhotoScan by Google Photos","Unknown",2,"Doesn't really work on textured prints, the glare off the flash mucks it up. ok on gloss and satin."
"PhotoScan by Google Photos","Unknown",1,"Does NOT work with my device (Redmi 134G) even though the app store says it's compatible with my device. Very disappointed"
"PhotoScan by Google Photos","Unknown",5,"Good update"
"PhotoScan by Google Photos","Unknown",1,"doesn't work"
"PhotoScan by Google Photos","Unknown",3,"I expected more from google, this is BS"
"PhotoScan by Google Photos","Unknown",5,"Can I give 10 ⭐stars?"
"PhotoScan by Google Photos","Unknown",3,"Needs more info for the consumer."
"PhotoScan by Google Photos","Unknown",1,"Not working on Poco F6. When I try to scan a document, a message says to move the circle over a dot but no dots are showing."
"PhotoScan by Google Photos","Unknown",5,"Ok"
"PhotoScan by Google Photos","Unknown",5,"Google, ❤️"
"PhotoScan by Google Photos","Unknown",5,"Good"
"PhotoScan by Google Photos","Unknown",2,"good"
"PhotoScan by Google Photos","Unknown",1,"Billionaire owned evil empire photo scan which means you're just taking a picture of whatever you're scanning super brilliant and Innovative let me tell you"
"PhotoScan by Google Photos","Unknown",5,"It's has been helpful. App"
"PhotoScan by Google Photos","Unknown",5,"Good experience"
"PhotoScan by Google Photos","Unknown",5,"Useful"
"PhotoScan by Google Photos","Unknown",1,"PhotoScan by GOOGLE isn't compatible with Google's own tablet THAT GOOGLE MANUFACTURES! What kind of B$ is that?"
"PhotoScan by Google Photos","Unknown",5,"Great good"
"PhotoScan by Google Photos","Unknown",1,"Worst photo scanning app ever! Looks like the developers have never updated the app since release. I remember using it back then, for a short while, because the resolution of the scanned photos was very low. Reinstalled the app today only to find that nothing has changed. And, the scanning process is still so slow - matching up with 4 dots for every single scan.. Terrible."
"PhotoScan by Google Photos","Unknown",5,"Bahut accha beautiful ❤️"
"PhotoScan by Google Photos","Unknown",1,"This is bad just clicking a regular photo instead works better"
"PhotoScan by Google Photos","Unknown",5,"Ok"
"PhotoScan by Google Photos","Unknown",1,"Nonsense app. Totally disgusting."
"PhotoScan by Google Photos","Unknown",4,"Very good"
"PhotoScan by Google Photos","Unknown",5,"All dat feedback"
"PhotoScan by Google Photos","Unknown",5,"Good"
"PhotoScan by Google Photos","Unknown",1,"good"
"PhotoScan by Google Photos","Unknown",5,"I like this one"
"PhotoScan by Google Photos","Unknown",5,"Good"
"PhotoScan by Google Photos","Unknown",4,"Very good app"
"PhotoScan by Google Photos","Unknown",1,"Horrible we cant scan photo that is already taken...."
"PhotoScan by Google Photos","Unknown",5,"Lovely app, straight forward, easy to use"
"PhotoScan by Google Photos","Unknown",5,"If you have an old photo that's in a poor state. This is the simplest way to scan it into your phone. Need a bit of practise to get going but once you've done that it's really easy and the results are excellent."
"PhotoScan by Google Photos","Unknown",2,"To take one photo i want to hold my phone for 10 to 15 seconds and output also not good"
"PhotoScan by Google Photos","Unknown",5,"Excellent"
"PhotoScan by Google Photos","Unknown",1,"Not much useful app"
"PhotoScan by Google Photos","Unknown",5,"failsiv"
"PhotoScan by Google Photos","Unknown",2,"Impossibile to understand how this works"
"PhotoScan by Google Photos","Unknown",5,"Excellent"
"PhotoScan by Google Photos","Unknown",5,"A very helpful app"
"PhotoScan by Google Photos","Unknown",3,"Good app"
"PhotoScan by Google Photos","Unknown",4,"Good"
"PhotoScan by Google Photos","Unknown",5,"Ok"
"PhotoScan by Google Photos","Unknown",5,"It's always been great"
"PhotoScan by Google Photos","Unknown",5,"descript your experience (option)"
"PhotoScan by Google Photos","Unknown",5,"Nooo way, the last picture of the app pix is one of my really good friends from high school, shout-out, #Julie Conway wherever you're at in life hope you're doing well, you made it on Google, something I haven't done yet ✔️"
"PhotoScan by Google Photos","Unknown",5,"Thank"
"PhotoScan by Google Photos","Unknown",5,"Suresh Rathee"
"PhotoScan by Google Photos","Unknown",5,"Nice 👍🏼"
"PhotoScan by Google Photos","Unknown",5,"Good"
"PhotoScan by Google Photos","Unknown",4,"PhotoScan"
"PhotoScan by Google Photos","Unknown",5,"Love"
"PhotoScan by Google Photos","Unknown",1,"Please release PhotoScan for Iran region."
"PhotoScan by Google Photos","Unknown",5,"Waiyan"
"PhotoScan by Google Photos","Unknown",1,"Delete"
"PhotoScan by Google Photos","Unknown",5,"See"
"PhotoScan by Google Photos","Unknown",1,"It sucks!"
"PhotoScan by Google Photos","Unknown",5,"Can qe make this app straight to PDF converter as option within the app ? Is it already there or am I just pointing out it's missing?"
"PhotoScan by Google Photos","Unknown",5,"Awesome you need to try for yourself"
"PhotoScan by Google Photos","Unknown",5,"Super"
