"Appname","Date","Score","Text"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Love it"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Excellent"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Good day"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Good"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"I love it,,"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Nice apps there are so many things to choose for the photos to make it beautiful I liked it. Thank U all creators for this amazing apps 🥰😘😍"
"PicPlus®️ - Photo Editor Pro","Unknown",1,"It is so slow"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Amazing frames. It's awesome!"
"PicPlus®️ - Photo Editor Pro","Unknown",4,"Really good when working. But can get temperamental and stop processing a picture halfway through."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Love it"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Camera good l am you thank you know you good"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"I l ove this app its 💛💚💙✌💗👰👸👱 Adds more beauty 👸👱👯💕💝👰💗"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Very beautiful app, easy to use"
"PicPlus®️ - Photo Editor Pro","Unknown",1,"Horrible how many ads are played during use of this app."
"PicPlus®️ - Photo Editor Pro","Unknown",3,"Sooo... many long ads. Many more than when I first started using it. Will uninstall."
"PicPlus®️ - Photo Editor Pro","Unknown",1,"Beautiful app but unfortunately everything I click there's an ad and it never ends and I can't edit my photos."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Awesome 👌"
"PicPlus®️ - Photo Editor Pro","Unknown",2,"Stickers doesn't detect face when editing 😩Stickers are not available when you capture and that's what I'm looking for. Sorry."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"best app"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Great"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Nice enchanting app"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"It is easy to use and i love it love fixing my pic i give it 💯"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Great 👍"
"PicPlus®️ - Photo Editor Pro","Unknown",1,"Unsubscribed it."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Beautiful app, appreciate.."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"WOW!!!!!"
"PicPlus®️ - Photo Editor Pro","Unknown",3,"Update as of January 5th, 2024, still not working portrait button, still says ""no internet connection"" The hasn't worked in a few weeks, keeps popping up ""no internet connection"""
"PicPlus®️ - Photo Editor Pro","Unknown",1,"This app is an app advert, nothing more.. nonsense app. I wish i can give zero star 👎👎👎👎👎👎👎👎👎 👎"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Great app!"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Loveit"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Fantastic"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"cool"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Excellent"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Injoying the app"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Sweet"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Love it. Just renewed subscription."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Love!"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"I enjoy enhancing pictures, just for fun."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"😩"
"PicPlus®️ - Photo Editor Pro","Unknown",1,"As other reviewers have noted, the app keeps saying it has no Internet connection, which makes most of the templates unusable. Unistalled."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Lovee this app is awesome🤗💖💯!!"
"PicPlus®️ - Photo Editor Pro","Unknown",1,"Frustrating. Doesn't let me use any effect because it gives ""no internet connection"" error. But I am connected and can use any other app. So it's useless for me. I used to like it."
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Good"
"PicPlus®️ - Photo Editor Pro","Unknown",1,"The number of ads are mind numbing! 2 ads in a row that u cant even skip, even before u start editing... Uninstalling this torture of an app!!!"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Tushar"
"PicPlus®️ - Photo Editor Pro","Unknown",5,"Great so far"
