"Appname","Date","Score","Text"
"Polaris Office: Edit&View, PDF","Unknown",5,"Good"
"Polaris Office: Edit&View, PDF","Unknown",1,"Wasn't this free? I'm pretty sure I downloaded this ages ago because it was free? I tried to use it today and they try to force you subscipe and force you to watch ads every 5 seconds. It's madness!"
"Polaris Office: Edit&View, PDF","Unknown",5,"Good"
"Polaris Office: Edit&View, PDF","Unknown",1,"Turned into an ad-riddled cashgrab. This is not the app I once installed."
"Polaris Office: Edit&View, PDF","Unknown",1,"Riddled with ads, ineffective at doing pretty much anything."
"Polaris Office: Edit&View, PDF","Unknown",1,"Loads of ads"
"Polaris Office: Edit&View, PDF","Unknown",5,"Good"
"Polaris Office: Edit&View, PDF","Unknown",1,"It can't find any documents on my tablet. I've saved the document I'm working on in multiple places on my tablet, and this app is incapable of finding any of them. Blocked at the first step. Deleting and canceling."
"Polaris Office: Edit&View, PDF","Unknown",5,"Nice app"
"Polaris Office: Edit&View, PDF","Unknown",1,"My laptop needs to go into repair. I tried disconnecting the laptop from the account. It won't allow it to happen!"
"Polaris Office: Edit&View, PDF","Unknown",5,"This is the best app out there for word processing. So many functions & easy interface. This helped me a lot."
"Polaris Office: Edit&View, PDF","Unknown",1,"I already cancel my subscription but you still deduct 675 on my gcash . You are scammer too . Bring back my money!!!"
"Polaris Office: Edit&View, PDF","Unknown",1,"I used this app for years and it worked great until recently when I open it I get a add screen with no way to turn it off. Before I watched a commercial then I could use this app for a while with no issues. Now they try to force me to subscribe for using their app. I did this before then after changing my phone my subscription was gone. To me it is pure rip off! Update: I received a answer from open office saying I can pay a one time fee to stop these annoying comercials - that fee is monthly!"
"Polaris Office: Edit&View, PDF","Unknown",1,"Wrost app full of ads.zero star don't recommendation"
"Polaris Office: Edit&View, PDF","Unknown",1,"App doesn't work and open"
"Polaris Office: Edit&View, PDF","Unknown",1,"It forces you to see ads everything you open a document or pay ridiculous price for basic viewing function. It lacks most features that can be found on a basic Microsoft. I don't know where the money is spent 🤣."
"Polaris Office: Edit&View, PDF","Unknown",4,"It's very good but there's I facing the problem with formula, because the formula isn't working properly when I put it in cell"
"Polaris Office: Edit&View, PDF","Unknown",5,"Excellent I love it"
"Polaris Office: Edit&View, PDF","Unknown",1,"1. The app does to work in dex. Impossible to write 2. The customer care is lazy like hell 3. The password does not accept space 4. There is no free trial and you have to take a month subscription to discover this app doesn't work. I now understand why thousands of people rate this app 1 star."
"Polaris Office: Edit&View, PDF","Unknown",1,"Just a plain white screen."
"Polaris Office: Edit&View, PDF","Unknown",2,"It's not usefull. Cannot use mouse in a sensible way it scrolls and not selects the text. What madness is that?? The UI is pretty bad. As a document viewer it's probably fine but otherwise it's just not usefull. I was looking for an office suite for DeX and this is definitely not it. It's just a phone toy, not a real productivity app."
"Polaris Office: Edit&View, PDF","Unknown",4,"I enjoy using this app, however, If you have a lot of pictures to insert by identifying them, that insert option in Word makes it a bit uncomfortable when using it since you don't get access to the storage of the device. Kindly do something about it for me. Thank you"
"Polaris Office: Edit&View, PDF","Unknown",5,"Okay"
"Polaris Office: Edit&View, PDF","Unknown",1,"App keeps crashing and will not open. I just paid for my yearly subscription and this is what I get. Not today Satan!"
"Polaris Office: Edit&View, PDF","Unknown",1,"This app was great until sometime back it keeps getting an error save failed (-18) and I have tried alot to fix it .. but it just doesn't"
"Polaris Office: Edit&View, PDF","Unknown",1,"Unable to give 0 stars! Paid for the app, however since logging in on a new phone have received ads. Now unable to access files at all even after watching the ads. 👎🏼👎🏼👎🏼"
"Polaris Office: Edit&View, PDF","Unknown",2,"No AI I can see, but layout is garbage and it's full of adds."
"Polaris Office: Edit&View, PDF","Unknown",3,"Enjoying using it But install is taking a long time"
"Polaris Office: Edit&View, PDF","Unknown",1,"Pathetic app only ads are coming. Not able to see important document..."
"Polaris Office: Edit&View, PDF","Unknown",5,"Great!"
"Polaris Office: Edit&View, PDF","Unknown",3,"Please kindly fix Khmer unicode scripts rendering."
"Polaris Office: Edit&View, PDF","Unknown",1,"Asking for all file access. Privicy Invader office apps do not need this permission"
"Polaris Office: Edit&View, PDF","Unknown",1,"if you don't mind watching 2 hours of adverts for 20 seconds of use of the app but this is for you"
