"Appname","Date","Score","Text"
"ChatGPT","Unknown",5,"very nice appp"
"ChatGPT","Unknown",5,"its good app 🤍😻"
"ChatGPT","Unknown",5,"Five stars, helped me a lot."
"ChatGPT","Unknown",5,"this is very helpful 🥹"
"ChatGPT","Unknown",5,"this is the best app I have ever seen"
"ChatGPT","Unknown",5,"it's great and helps"
"ChatGPT","Unknown",5,"Great"
"ChatGPT","Unknown",5,"Very good"
"ChatGPT","Unknown",3,"good"
"ChatGPT","Unknown",4,"this app is a very very accurate but language no sport Bengali"
"ChatGPT","Unknown",3,"Please Correct Voice From Sindhi Language"
"ChatGPT","Unknown",5,"very useful"
"ChatGPT","Unknown",5,"good"
"ChatGPT","Unknown",4,"Good app"
"ChatGPT","Unknown",5,"Super"
"ChatGPT","Unknown",5,"I like it very much.it is so helpful for take information about anything.this I'd too helpful for me."
"ChatGPT","Unknown",2,"nice"
"ChatGPT","Unknown",5,"good app"
"ChatGPT","Unknown",5,"good"
"ChatGPT","Unknown",5,"outstanding 👍"
"ChatGPT","Unknown",5,"the best ever"
"ChatGPT","Unknown",5,"super"
"ChatGPT","Unknown",5,"excellent"
"ChatGPT","Unknown",4,"very nice app for student"
"ChatGPT","Unknown",5,"It's so good👍💯"
"ChatGPT","Unknown",5,"good"
"ChatGPT","Unknown",5,"it's just amazing!"
"ChatGPT","Unknown",5,"Ok..."
"ChatGPT","Unknown",3,"This is a very useful app."
"ChatGPT","Unknown",1,"Some answers are wrong"
"ChatGPT","Unknown",5,"good"
"ChatGPT","Unknown",5,"wow amazing"
"ChatGPT","Unknown",1,"I think deepseek is more creative in answers.but the free version become better after the release of deepseek and the competition with ads and all that stuff"
"ChatGPT","Unknown",5,"very helpful"
"ChatGPT","Unknown",5,"This is the best and great app in around the world"
"ChatGPT","Unknown",4,"this aap is fantastic"
"ChatGPT","Unknown",4,"very helpful"
"ChatGPT","Unknown",5,"I love this app because it guides me in homework,studies and more."
"ChatGPT","Unknown",5,"It helps me a lot in my study. Thanks"
"ChatGPT","Unknown",5,"Great"
"ChatGPT","Unknown",5,"Really good and helpful ❤"
"ChatGPT","Unknown",5,"Nice"
"ChatGPT","Unknown",5,"This is a great ai assistant i think it wont take over the world"
"ChatGPT","Unknown",5,"good"
"ChatGPT","Unknown",5,"আলহামদুলিল্লাহ ভালো একটি সাইট"
"ChatGPT","Unknown",5,"vesy useful for learning , planning , making and suggestions"
"ChatGPT","Unknown",5,"Its been a breathe taking experience. overwhelming indeed 5 out of 5 ⭐ s"
"ChatGPT","Unknown",5,"You're very very good"
"ChatGPT","Unknown",5,"good and educational chatting app"
"ChatGPT","Unknown",5,"is the best"
"ChatGPT","Unknown",5,"amazing ai app."
"ChatGPT","Unknown",1,"gud"
