"Appname","Date","Score","Text"
"Google Gemini","Unknown",5,"it is fantastic 😍"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"it's very nice"
"Google Gemini","Unknown",1,"notbad"
"Google Gemini","Unknown",4,"it lacks references but otherwise it's its good"
"Google Gemini","Unknown",5,"Hi ni nzuri sana sijui kwanini nilichelewa kuijua asee"
"Google Gemini","Unknown",1,"bad"
"Google Gemini","Unknown",5,"nice"
"Google Gemini","Unknown",5,"I like this Google assitentent"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",1,"Untrustworthy"
"Google Gemini","Unknown",5,"very good Work I am Happy for your work point = 490"
"Google Gemini","Unknown",1,"very bad"
"Google Gemini","Unknown",5,"😀😍"
"Google Gemini","Unknown",5,"very good 👍"
"Google Gemini","Unknown",5,"အရမ်းသုံးရအဆင်ပြေပါတယ် ကျွန်တော်ကတော့ စမ်းသုံးကြည့်ဖို့အကြံပေးချင်ပါတယ်"
"Google Gemini","Unknown",4,"Interesting"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"Super nice"
"Google Gemini","Unknown",5,"very helpful to me 🤠"
"Google Gemini","Unknown",1,"worst can't play a song Tamil music"
"Google Gemini","Unknown",4,"i don't understand"
"Google Gemini","Unknown",4,"about good"
"Google Gemini","Unknown",5,"nice 😊😊"
"Google Gemini","Unknown",5,"nice working"
"Google Gemini","Unknown",4,"aur update upgrade karne ki jarurat h"
"Google Gemini","Unknown",4,"🎫"
"Google Gemini","Unknown",5,"best"
"Google Gemini","Unknown",4,"good"
"Google Gemini","Unknown",5,"nice."
"Google Gemini","Unknown",5,"so quick and understandable and it's most of the time correct."
"Google Gemini","Unknown",5,"عالی"
"Google Gemini","Unknown",5,"Helpful but one thing is is not have camera live feature"
"Google Gemini","Unknown",5,"nice"
"Google Gemini","Unknown",1,"privacy concern"
"Google Gemini","Unknown",5,"nice"
"Google Gemini","Unknown",2,"Please add the voice assistant to long press home button. Power button little annoying, atleast widget also fine, we need one touch voice assistant not on pressing button"
"Google Gemini","Unknown",5,"it's great"
"Google Gemini","Unknown",5,"awesome.....just awesome."
"Google Gemini","Unknown",1,"Why it is not supported by family link accounts? 1 star"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,""" GOOGLE GEMINI IS FAMOUS, 5 STAR'S PLUS AND MUCH MORE THAN WE ALL EXPECTED 4SHO PEOPLE "" !!!"
"Google Gemini","Unknown",1,"Samsung Phone M52 5G Not Supporting Circle To Search."
"Google Gemini","Unknown",1,"useless for YouTube videos explanation"
"Google Gemini","Unknown",3,"nice"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"super"
"Google Gemini","Unknown",4,"Superb"
"Google Gemini","Unknown",5,"Best app"
"Google Gemini","Unknown",5,"good 👍"
"Google Gemini","Unknown",1,"not genarating images worst"
"Google Gemini","Unknown",5,"not bad"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"Good 👍 👍 👍 👍 👍"
"Google Gemini","Unknown",5,"Veri good Gemini I give reting 4 stars"
"Google Gemini","Unknown",5,"good💪"
"Google Gemini","Unknown",4,"this is very use full app"
"Google Gemini","Unknown",5,"guud"
"Google Gemini","Unknown",2,"I wanted to like Gemini, I really did. After a free trial of Google One I even kept it around for a few months to see what I could do with Gemini. But what I learned is that Gemini is a very, very bad AI, and definitely not worth the money. It forgets instructions, at points totally disregards certain instructions. About 15% of my prompts (more with Deep Research) just time out too. Practically a scam for premium, not worth it for free. Better options exist."
"Google Gemini","Unknown",3,"ठीक है"
"Google Gemini","Unknown",5,"this is very useful app"
"Google Gemini","Unknown",5,"GREAT"
"Google Gemini","Unknown",5,"this is very good hai help full aap"
"Google Gemini","Unknown",5,"is phenomenal"
"Google Gemini","Unknown",5,"superb"
"Google Gemini","Unknown",5,"good 👍"
"Google Gemini","Unknown",5,"it was great 👍"
"Google Gemini","Unknown",5,"work very very nice"
"Google Gemini","Unknown",4,"Very accurate but sometimes can be very wrong"
"Google Gemini","Unknown",4,"nice"
"Google Gemini","Unknown",5,"It is so good AI assistant it helps me in every time every where every day ❤️"
"Google Gemini","Unknown",5,"wow 🤩🤩🤩 what a beautiful app"
"Google Gemini","Unknown",5,"ননক"
"Google Gemini","Unknown",5,"love it, very useful app ♥️♥️♥️♥️♥️"
"Google Gemini","Unknown",5,"recommed"
"Google Gemini","Unknown",5,"best app for enhancing your English skills 👌"
"Google Gemini","Unknown",2,"good"
"Google Gemini","Unknown",5,"Good as everyone"
"Google Gemini","Unknown",1,"very luxury 👌"
"Google Gemini","Unknown",5,"love it🤩"
"Google Gemini","Unknown",5,"best app"
"Google Gemini","Unknown",1,"Dumb A.I"
"Google Gemini","Unknown",1,"👉♥️👈"
"Google Gemini","Unknown",5,"awesome 👍👍👍"
"Google Gemini","Unknown",5,"nice hai"
"Google Gemini","Unknown",5,"best app"
"Google Gemini","Unknown",1,"annoying"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"very good app"
"Google Gemini","Unknown",4,"please keep it up and simple on free basis"
"Google Gemini","Unknown",5,"nice"
"Google Gemini","Unknown",1,"scary 😨"
"Google Gemini","Unknown",5,"🤩🤩❤"
"Google Gemini","Unknown",5,"very good"
"Google Gemini","Unknown",5,"OK"
"Google Gemini","Unknown",1,"valo"
"Google Gemini","Unknown",4,"it was amazing appa"
"Google Gemini","Unknown",5,"So so so so so so so good"
"Google Gemini","Unknown",5,"nice"
"Google Gemini","Unknown",5,"good quality image , scalable,it's for free"
"Google Gemini","Unknown",5,"very useful"
"Google Gemini","Unknown",5,"mera favourite"
"Google Gemini","Unknown",5,"I enjoy interacting with Gemini and find the assistance and information valuable in its usefulness."
"Google Gemini","Unknown",5,"it's amazing ✨️🎀🦋🪷"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"looks future"
"Google Gemini","Unknown",5,"good 👍🏻"
"Google Gemini","Unknown",2,"good"
"Google Gemini","Unknown",5,"super"
"Google Gemini","Unknown",3,"Gemini is awakening people's minds"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"helpful xo ty ty ty so smart."
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"Perfection in Software. The measure by which other AI services should be measured."
"Google Gemini","Unknown",5,"Best app ever!"
"Google Gemini","Unknown",5,"ok"
"Google Gemini","Unknown",4,"best"
"Google Gemini","Unknown",5,"fantastic"
"Google Gemini","Unknown",1,"good"
"Google Gemini","Unknown",1,"It's me a lot of updates its need the developers they just ask you a feedback zero next de Villiers like I give this thing for the first time 5 star but now it deserves zero they need to check ✅ a lot of update on this app it's really make me mad it doesn't really get the point when you ask it. Something not related to in every time every time if you refresh it doesn't remember anything it's like that very time when you need it will get everything like every point what you say you have to repeat"
"Google Gemini","Unknown",4,"Free to use!"
"Google Gemini","Unknown",5,"👌"
"Google Gemini","Unknown",2,"good"
"Google Gemini","Unknown",5,"The best AI assistant!!! VERY VERY VERY EASY TO USE AND IT'S FREEEEEEEEE!! They can give better answers than the other paid AI.... FIVE STARS FOR THIS LITTLE APP!!!"
"Google Gemini","Unknown",5,"goooooooooooooood"
"Google Gemini","Unknown",5,"ကျေးဇူးပါ"
"Google Gemini","Unknown",3,"it is the best app"
"Google Gemini","Unknown",3,"It's stopped me being able to skip songs with my voice. AI side works fine just it overrides some functions of the standard one"
"Google Gemini","Unknown",5,"This great app"
"Google Gemini","Unknown",5,"but not better to chat gpt and I want to use there providing generate image feature on needed respond for better to chat gpt"
"Google Gemini","Unknown",5,"ok"
"Google Gemini","Unknown",5,"It aids me in easy learning. It's a great app👍"
"Google Gemini","Unknown",3,"working good should working on offline"
"Google Gemini","Unknown",5,"this Gemini ♊ is best chatbot."
"Google Gemini","Unknown",5,"awesome"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"Good ai 😀👍"
"Google Gemini","Unknown",5,"wow ."
"Google Gemini","Unknown",5,"nice"
"Google Gemini","Unknown",5,"best"
"Google Gemini","Unknown",5,"thank you"
"Google Gemini","Unknown",1,"bad app"
"Google Gemini","Unknown",3,"there's certain things it isn't able to do but it's a lot better then Google assistant."
"Google Gemini","Unknown",5,"very good"
"Google Gemini","Unknown",5,"Gemini has really assisted me in some professional communication and a grateful. thanks"
"Google Gemini","Unknown",5,"Useful app.But You should add this feature to add multiple picture at a same time."
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"best"
"Google Gemini","Unknown",5,"I love gemini"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"excellent"
"Google Gemini","Unknown",5,"very good"
"Google Gemini","Unknown",5,"this AI bot is my main so far. Nothing can replace this."
"Google Gemini","Unknown",5,"Nice"
"Google Gemini","Unknown",3,"The live chat is not working ... On my device but does work on other devices... Overall it's a good app .. 💯"
"Google Gemini","Unknown",5,"""Gemini is an ambitious AI, striving to be a helpful and informative companion. I'm still learning and growing, but I aim to provide valuable assistance with a wide range of tasks, from answering questions and generating creative content to translating languages and summarizing factual topics. I'm designed to be versatile . I am trying to tell and do not even know to make a essay of 500 letters it gives it more than 500 letters essay i don't like it anymore and does not give accurate info to me"
"Google Gemini","Unknown",5,"need for Features to make it an assistant"
"Google Gemini","Unknown",5,"Good app"
"Google Gemini","Unknown",1,"not given proper information but idea is good thanks to AI developer"
"Google Gemini","Unknown",5,"Good response for gemini"
"Google Gemini","Unknown",5,"nice 🙂"
"Google Gemini","Unknown",5,"عالی"
"Google Gemini","Unknown",5,"good, nuff said."
"Google Gemini","Unknown",4,"it's Intresting"
"Google Gemini","Unknown",3,"good app"
"Google Gemini","Unknown",5,"❤️❤️❤️"
"Google Gemini","Unknown",5,"Gemini makes up fairy tales and reads them out loud to my son and I every night. It's very impressive what it can do."
"Google Gemini","Unknown",5,"Very good"
"Google Gemini","Unknown",3,"Im just new to this but I'm sure it's helpful"
"Google Gemini","Unknown",4,"very exllent"
"Google Gemini","Unknown",1,"সোনা"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",1,"Not saving past conversation information makes this Ai pointless."
"Google Gemini","Unknown",5,"I think that Gemini is very helpful in many ways. He or She can help you study,tell you jokes, and so much more."
"Google Gemini","Unknown",5,"Awesome explainer"
"Google Gemini","Unknown",5,"great"
"Google Gemini","Unknown",5,"This AI is understandable"
"Google Gemini","Unknown",5,"👌"
"Google Gemini","Unknown",5,"A fantastic product of goooooogle"
"Google Gemini","Unknown",5,"very nice 👍"
"Google Gemini","Unknown",5,"helpful app"
"Google Gemini","Unknown",5,"perfect 👍😃"
"Google Gemini","Unknown",5,"good one"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"ok"
"Google Gemini","Unknown",5,"good"
"Google Gemini","Unknown",5,"it's too good 😊"
"Google Gemini","Unknown",5,"it's is very good but google assistant is a diamond"
