"Appname","Date","Score","Text"
"Journey: Diary, Journal","Unknown",5,"Love this app!"
"Journey: Diary, Journal","Unknown",5,"Great tool to store info"
"Journey: Diary, Journal","Unknown",5,"I have been using Journey since 2015 and as someone who never fixates on just one app for a certain purpose, I must say, Journey had me captivated. I think what stood out to me from the very beginning was the easy to use interface but also the very clean and minimalistic design. Also, I also really like the new features that have been added over the years (like stories) without compromising the basic integrity of the app design and making it better. I hope Journey stays as amazing as it is <3"
"Journey: Diary, Journal","Unknown",3,"Nice app👌🏿"
"Journey: Diary, Journal","Unknown",4,"I love this app, have been using it religiously for years for my journaling needs. My only issue with it is that if I copy text from elsewhere that contains line breaks or separate paragraphs, the app will not let me paste it."
"Journey: Diary, Journal","Unknown",1,"Seems to only use AI to answer questions! Not helpful!! I can't find 2 years worth of journal entries and there is no way for AI to help me sort this. I've tried. I've tried to talk to a human for a week. I can't even find an email to ants to ask these questions. I need access to my old journal and it seems maybe because my subscription ended they deleted everything! Even though I just reinstated my user status. I sure hope they didn't delete everything! They force you to keep your membership!!"
"Journey: Diary, Journal","Unknown",1,"Handy app, but beware, you get no notice before an automatic renewal and the policy is not to refund you if you forget."
"Journey: Diary, Journal","Unknown",5,"Simple and clear. So far no annoying ads. I can happily continue to use it as it is."
"Journey: Diary, Journal","Unknown",4,"It's a good app for journaling, like the custom template feature but it's not intuitive to edit or clean up if you want to change your template. Using Google drive to sync and it's really inconsistent about actually syncing as I switch between 3 devices, PC, Android phone, Android tablet"
"Journey: Diary, Journal","Unknown",5,"Love this app I know give wrong address but know that know do want not to do I love app lot on. Do say. I am change act. Grow up"
"Journey: Diary, Journal","Unknown",5,"Love Love Love this app!"
"Journey: Diary, Journal","Unknown",5,"Very Pleased with Journey / Diary. It's so easy to get used to, & It's Everything I Could Want From A Diary! MANY THANKS"
"Journey: Diary, Journal","Unknown",5,"Been using it for years, love it, easy to use."
"Journey: Diary, Journal","Unknown",1,"The app is good. But I got charged almost 50 USD for journey cloud services which I never used and I was not even aware of it. Not even getting a response from the customer service. And it's the worst. They never reply. Terribly disappointed."
"Journey: Diary, Journal","Unknown",4,"Hi I have been using this app for some time now, but for the past few months, I don't seem to be able to log in with Google on the web version. It is incredibly frustrating since I can't use it on my computer anymore. I've tried different browsers as well but it just won't load the Google account window."
"Journey: Diary, Journal","Unknown",1,"App does not support photos in heic file format, which is very disappointing in 2025."
"Journey: Diary, Journal","Unknown",1,"I've been using this for years, and every single entry is gone. I haven't opened it since Jan 20. 2025. Devastating, what happened, devs?"
"Journey: Diary, Journal","Unknown",1,"I have used Journey for years. The app just started closing when I opened it and wouldn't sync when I tried to back up as usual. My understanding was I had my journal on their cloud, so I logged out and tried to log back in. I didn't have my credentials, so I reset the password. All my journals are gone."
"Journey: Diary, Journal","Unknown",5,"Incredible reliability, efficient, smooth and easy to use"
"Journey: Diary, Journal","Unknown",5,"I like this app."
"Journey: Diary, Journal","Unknown",2,"might as well just make it a one time payment to own the app and i'd be happier - can't even add a geotag or more than 4 photos per entry without paying."
"Journey: Diary, Journal","Unknown",5,"Good and great since first time doing this writing."
"Journey: Diary, Journal","Unknown",5,"Takes eternity to download images"
"Journey: Diary, Journal","Unknown",5,"too many ads"
"Journey: Diary, Journal","Unknown",5,"Easy to use"
"Journey: Diary, Journal","Unknown",5,"Impressed"
"Journey: Diary, Journal","Unknown",5,"I love this app for journalling. I've been using it for a long time - at least five years I think. Love it."
"Journey: Diary, Journal","Unknown",3,"The app itself is perfect BUT.. The reason for my uninstallation was I couldn't make an account. It said *Error* every single time I tried. If u fixed it, I thank u for replying to this review. ♡"
