"Appname","Date","Score","Text"
"Monica AI: Deep Chat & Search","Unknown",5,"very useful"
"Monica AI: Deep Chat & Search","Unknown",5,"😲 1 no. app"
"Monica AI: Deep Chat & Search","Unknown",5,"nice"
"Monica AI: Deep Chat & Search","Unknown",5,"very well..always havd best answers"
"Monica AI: Deep Chat & Search","Unknown",1,"The video length is too short, 5 seconds or 10 seconds video generation is very very short to explain anything on social media. And I tried to see if they is a way I can expand the length of the video at up to 1 minute, I couldn't find it. Am very highly disappointed. Thank you."
"Monica AI: Deep Chat & Search","Unknown",1,"very bad"
"Monica AI: Deep Chat & Search","Unknown",5,"It is not bad"
"Monica AI: Deep Chat & Search","Unknown",5,"Very 👍 👍 👍 👍 👍 👍 👍 👍, I love it"
"Monica AI: Deep Chat & Search","Unknown",5,"Excellent"
"Monica AI: Deep Chat & Search","Unknown",5,"nice"
"Monica AI: Deep Chat & Search","Unknown",1,"Paid site, though shown as free, but got know after installing the app"
"Monica AI: Deep Chat & Search","Unknown",5,"very good 👍 👏 👌 😀 ☺️ 🙌"
"Monica AI: Deep Chat & Search","Unknown",5,"👍 nice"
"Monica AI: Deep Chat & Search","Unknown",5,"Great innovation, the crystallization of human wisdom"
"Monica AI: Deep Chat & Search","Unknown",5,"love it"
"Monica AI: Deep Chat & Search","Unknown",1,"bad"
"Monica AI: Deep Chat & Search","Unknown",5,"nice and good"
"Monica AI: Deep Chat & Search","Unknown",5,"Perfect app for solving scholars problems I highly recommend it Just that we miss the past features of customizing responses such as options of making the responses long, short, professional and funny"
"Monica AI: Deep Chat & Search","Unknown",5,"awesome"
"Monica AI: Deep Chat & Search","Unknown",5,"perfect💯"
"Monica AI: Deep Chat & Search","Unknown",5,"Phenomenal!!! 😍"
"Monica AI: Deep Chat & Search","Unknown",5,"great models 👍"
"Monica AI: Deep Chat & Search","Unknown",5,"love it"
"Monica AI: Deep Chat & Search","Unknown",5,"This is an amazing app"
"Monica AI: Deep Chat & Search","Unknown",5,"it's massive"
"Monica AI: Deep Chat & Search","Unknown",5,"solid answers 👌 👏"
