"Appname","Date","Score","Text"
"Squid: Take Notes, Markup PDFs","Unknown",1,"Until you pay money, you cannot use even a good template or a smart feature in free version because almost all things can be used in premium version. I already tested so many digital notes taking apps, and this app is one of the worst apps!!"
"Squid: Take Notes, Markup PDFs","Unknown",5,"The writing is smooth and satisfying"
"Squid: Take Notes, Markup PDFs","Unknown",5,"For a while I neglected my studying and but recently I found this app and I'm currently using it with my new stylus and it works amazing writes better than if I were writing on paper for once I'm not neglecting my studies no more I'm studying again thank you guys"
"Squid: Take Notes, Markup PDFs","Unknown",5,"Great lightweight app"
"Squid: Take Notes, Markup PDFs","Unknown",4,"Awesome app. I would buy if it was one time purchase but subscription is a no go for me"
"Squid: Take Notes, Markup PDFs","Unknown",2,"Been stagnant for several years. Needs more basic features like bookmarks and bookmark navigation and swipe to turn page. The inking is still great imo, but the lack of other features makes it hard to recommend this program anymore."
"Squid: Take Notes, Markup PDFs","Unknown",1,"This app is subscription slop. I would have been happy with paying one time for the app, but no. You have to have paid subscription to use it. Definitely skip this one, don't let these developers get away with abusive pricing."
"Squid: Take Notes, Markup PDFs","Unknown",5,"My favorite note taking app. Have been a user for several years"
"Squid: Take Notes, Markup PDFs","Unknown",1,"Yearly subscription is not good in Android"
"Squid: Take Notes, Markup PDFs","Unknown",5,"Best Note Taking App out there. I use it with my table for documentation of inspections (on the go) and also for protocoling meetings. It just completely replaces the need for paper. Additional features like inserting image etc. are just great. Currently, it just defines my work a d could not go without it. Only missing feature but currently no real need (nice to have): synchronization of multiple devices or access over pc/browser."
"Squid: Take Notes, Markup PDFs","Unknown",5,"I frequently used it for art since grade 2 and I STILL had my drawings on Google photos"
"Squid: Take Notes, Markup PDFs","Unknown",3,"Responsive app and has all the features I expect from a note taking app on a tablet, but the paywalls are a dealbreaker for me. No PDF import in the free version..."
"Squid: Take Notes, Markup PDFs","Unknown",4,"Why do you not allow customisation of the task bar? It's stupid that I cannot just add eraser to the top, instead of having to click a button and then select eraser, just do the same to get back to the pen... This would be much easier if you put them all separately at the top Also, it would be good if I could add subfolders in each folder to organise notes..."
"Squid: Take Notes, Markup PDFs","Unknown",3,"Basic app. Works smoothly with pen but lacks major features. It would be an ultimate app if they provide Auto-Shape features. It's cumbersome to select shapes everytime."
