"Appname","Date","Score","Text"
"To-Do List - Schedule Planner","Unknown",5,"Bhai mast cheez hai"
"To-Do List - Schedule Planner","Unknown",5,"Excellent 👌"
"To-Do List - Schedule Planner","Unknown",5,"Good"
"To-Do List - Schedule Planner","Unknown",5,"Very useful"
"To-Do List - Schedule Planner","Unknown",5,"Amazing app....Minimalistic and Fine"
"To-Do List - Schedule Planner","Unknown",5,"Very good 👍from me"
"To-Do List - Schedule Planner","Unknown",5,"True gd🤌 budy"
"To-Do List - Schedule Planner","Unknown",5,"Good"
"To-Do List - Schedule Planner","Unknown",5,"Nice app"
"To-Do List - Schedule Planner","Unknown",5,"It's nice and it makes me focus on what I have to do"
"To-Do List - Schedule Planner","Unknown",5,"It is a good 👍 app I liked it. You may also try it. It's a really best reminder you need which is without money. I think with the help of this app I could succede success. I liked it. ♥️"
"To-Do List - Schedule Planner","Unknown",5,"𝐻𝑒𝑙𝑝𝑠 𝑎 𝑙𝑜𝑡"
"To-Do List - Schedule Planner","Unknown",5,"Nice app great"
"To-Do List - Schedule Planner","Unknown",4,"Nice 👍🏻"
"To-Do List - Schedule Planner","Unknown",5,"This is lovely to have this and know I can be organised"
"To-Do List - Schedule Planner","Unknown",5,"It is very easy to use and very nice"
"To-Do List - Schedule Planner","Unknown",5,"👍🏻"
"To-Do List - Schedule Planner","Unknown",5,"Nice"
"To-Do List - Schedule Planner","Unknown",5,"Excellent"
"To-Do List - Schedule Planner","Unknown",5,"افضللل برنامج 💘"
"To-Do List - Schedule Planner","Unknown",4,"Good"
"To-Do List - Schedule Planner","Unknown",5,"perfect😩✨"
"To-Do List - Schedule Planner","Unknown",5,"very aesthetic and useful"
"To-Do List - Schedule Planner","Unknown",5,"Good app"
"To-Do List - Schedule Planner","Unknown",5,"Անբլիվըբլ"
"To-Do List - Schedule Planner","Unknown",5,"Super this app"
"To-Do List - Schedule Planner","Unknown",1,"None existent support. I don't know how you have a 4.8 start rating. I want a refund! Check the emails I've sent and help me with issue before asking me to give you 5 stars"
"To-Do List - Schedule Planner","Unknown",5,"𝐢𝐭 𝐬𝐨 𝐂𝐎𝐎𝐋✮😎✮ ♥︎"
"To-Do List - Schedule Planner","Unknown",5,"I am new to the app, and I love it.❤️"
"To-Do List - Schedule Planner","Unknown",1,"Pop up ads every time you alter something. No thanks"
"To-Do List - Schedule Planner","Unknown",1,"Very beautiful app, organised my routine"
"To-Do List - Schedule Planner","Unknown",5,"It helps me"
"To-Do List - Schedule Planner","Unknown",5,"This app helps me sort all my tasks and makes it look so simple. 😊 THANKS❤"
"To-Do List - Schedule Planner","Unknown",5,"I am amazed . This app helps me organize my day . It also helps me with my chores . I am never late with tasks . if I would reccomend anyone in this world to try apps which contain To do lists I would recommend this app. 😉🙂"
"To-Do List - Schedule Planner","Unknown",5,"Very nice and beautiful 🤩❤️ aap"
"To-Do List - Schedule Planner","Unknown",5,"Convenience! Easy to use! Try it."
