"Appname","Date","Score","Text"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"very good"
"QR Code & Barcode Scanner Read","Unknown",5,"beautiful 🤩❤️ app"
"QR Code & Barcode Scanner Read","Unknown",1,"Its so good"
"QR Code & Barcode Scanner Read","Unknown",5,"super 💯"
"QR Code & Barcode Scanner Read","Unknown",3,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"paisa paisa"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"super"
"QR Code & Barcode Scanner Read","Unknown",4,"ok"
"QR Code & Barcode Scanner Read","Unknown",1,"too many advertisements. they all me to rate before even giving me an answer"
"QR Code & Barcode Scanner Read","Unknown",5,"nice 👍"
"QR Code & Barcode Scanner Read","Unknown",4,"i like 👍"
"QR Code & Barcode Scanner Read","Unknown",1,"bahut hi Shandar app hai"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",4,"it's really too nice"
"QR Code & Barcode Scanner Read","Unknown",5,"excellent"
"QR Code & Barcode Scanner Read","Unknown",5,"ver good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"enjoy"
"QR Code & Barcode Scanner Read","Unknown",3,"very good"
"QR Code & Barcode Scanner Read","Unknown",5,"very good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"result good"
"QR Code & Barcode Scanner Read","Unknown",5,"good 👍👍"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",1,"Bad"
"QR Code & Barcode Scanner Read","Unknown",5,"nice good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"all india"
"QR Code & Barcode Scanner Read","Unknown",5,"very nice👍👍"
"QR Code & Barcode Scanner Read","Unknown",3,"best application for the app"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"ఓకే"
"QR Code & Barcode Scanner Read","Unknown",5,"lovely game"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"OK"
"QR Code & Barcode Scanner Read","Unknown",4,"fine"
"QR Code & Barcode Scanner Read","Unknown",5,"Love it"
"QR Code & Barcode Scanner Read","Unknown",5,"this app is the best apo"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"I see a code"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"Bad"
"QR Code & Barcode Scanner Read","Unknown",1,"ok"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"thik hai aapka parsal hai aapka"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",3,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"I think this is great"
"QR Code & Barcode Scanner Read","Unknown",5,"nice app"
"QR Code & Barcode Scanner Read","Unknown",5,"How much is it"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",3,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"I like it"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"best"
"QR Code & Barcode Scanner Read","Unknown",1,"😄"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"𝓹𝓮𝓻𝓯𝓮𝓬𝓽"
"QR Code & Barcode Scanner Read","Unknown",1,"supar"
"QR Code & Barcode Scanner Read","Unknown",5,"👍🏻"
"QR Code & Barcode Scanner Read","Unknown",5,"this is a good app"
"QR Code & Barcode Scanner Read","Unknown",5,"awesome"
"QR Code & Barcode Scanner Read","Unknown",1,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"हैवी"
"QR Code & Barcode Scanner Read","Unknown",4,"best sap"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",2,"nice"
"QR Code & Barcode Scanner Read","Unknown",3,"very nice"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"excellent"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"awesome"
"QR Code & Barcode Scanner Read","Unknown",5,"i love it"
"QR Code & Barcode Scanner Read","Unknown",4,"Fair"
"QR Code & Barcode Scanner Read","Unknown",5,"Amazing"
"QR Code & Barcode Scanner Read","Unknown",4,"nice one& beneficial financially for poormass like us"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"good 👍"
"QR Code & Barcode Scanner Read","Unknown",5,"I love this"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice app"
"QR Code & Barcode Scanner Read","Unknown",2,"ari"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",1,"very nice"
"QR Code & Barcode Scanner Read","Unknown",5,"sahi hai"
"QR Code & Barcode Scanner Read","Unknown",3,"its fun"
"QR Code & Barcode Scanner Read","Unknown",4,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"nice spp"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good app"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"too ads"
"QR Code & Barcode Scanner Read","Unknown",1,"verry good"
"QR Code & Barcode Scanner Read","Unknown",4,"Akshay👌"
"QR Code & Barcode Scanner Read","Unknown",5,"bekar hai"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",4,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"nice 👍"
"QR Code & Barcode Scanner Read","Unknown",5,"doing a very fantastic job"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"happy 😊😊"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",1,"happy"
"QR Code & Barcode Scanner Read","Unknown",5,"fine"
"QR Code & Barcode Scanner Read","Unknown",4,"this app is pretty cool"
"QR Code & Barcode Scanner Read","Unknown",4,"very good"
"QR Code & Barcode Scanner Read","Unknown",3,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"usp"
"QR Code & Barcode Scanner Read","Unknown",5,"good 👍"
"QR Code & Barcode Scanner Read","Unknown",5,"👍"
"QR Code & Barcode Scanner Read","Unknown",5,"you are the best"
"QR Code & Barcode Scanner Read","Unknown",5,"nice 👍"
"QR Code & Barcode Scanner Read","Unknown",5,"best"
"QR Code & Barcode Scanner Read","Unknown",1,"not good"
"QR Code & Barcode Scanner Read","Unknown",5,"good job"
"QR Code & Barcode Scanner Read","Unknown",5,"बहुत बेहतरीन"
"QR Code & Barcode Scanner Read","Unknown",5,"Full satisfaction."
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",4,"easy earn scan QR code"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"amazing"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"hi super"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",3,"kitna price"
"QR Code & Barcode Scanner Read","Unknown",5,"the app is so good try it now yo go get money now"
"QR Code & Barcode Scanner Read","Unknown",5,"Great app I love it"
"QR Code & Barcode Scanner Read","Unknown",1,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"so wow"
"QR Code & Barcode Scanner Read","Unknown",5,"very lovely 🌹"
"QR Code & Barcode Scanner Read","Unknown",2,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"Best app"
"QR Code & Barcode Scanner Read","Unknown",4,"👍"
"QR Code & Barcode Scanner Read","Unknown",3,"very nice"
"QR Code & Barcode Scanner Read","Unknown",5,"withrow mon"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"new"
"QR Code & Barcode Scanner Read","Unknown",5,"cool"
"QR Code & Barcode Scanner Read","Unknown",5,"it's so good"
"QR Code & Barcode Scanner Read","Unknown",5,"let's try the NATO app. There is nothing. I'll lose this, is it legit?"
"QR Code & Barcode Scanner Read","Unknown",5,"surprised"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"viri nahis*"
"QR Code & Barcode Scanner Read","Unknown",5,"coupon scan karte"
"QR Code & Barcode Scanner Read","Unknown",5,"thank you"
"QR Code & Barcode Scanner Read","Unknown",5,"ગુડ"
"QR Code & Barcode Scanner Read","Unknown",4,"good app"
"QR Code & Barcode Scanner Read","Unknown",5,"love 😘"
"QR Code & Barcode Scanner Read","Unknown",5,"nice and earning money app"
"QR Code & Barcode Scanner Read","Unknown",5,"nice app"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"Awesome"
"QR Code & Barcode Scanner Read","Unknown",5,"superb for business"
"QR Code & Barcode Scanner Read","Unknown",5,"good tool kit for emergency"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",1,"how can I use"
"QR Code & Barcode Scanner Read","Unknown",3,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"gud"
"QR Code & Barcode Scanner Read","Unknown",4,"😍"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"Why My own is not doing"
"QR Code & Barcode Scanner Read","Unknown",5,"I love this app. simple educative and nice"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"nice one"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",3,"It's educating"
"QR Code & Barcode Scanner Read","Unknown",3,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good 👍"
"QR Code & Barcode Scanner Read","Unknown",5,"So nice"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",4,"thank"
"QR Code & Barcode Scanner Read","Unknown",5,"great"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"great app"
"QR Code & Barcode Scanner Read","Unknown",5,"hA yes"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"Cool"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"ok"
"QR Code & Barcode Scanner Read","Unknown",1,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"I love this app"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"kudush ansari print janch"
"QR Code & Barcode Scanner Read","Unknown",2,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"good quality"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",3,"useful"
"QR Code & Barcode Scanner Read","Unknown",5,"very nice"
"QR Code & Barcode Scanner Read","Unknown",4,"ok"
"QR Code & Barcode Scanner Read","Unknown",1,"Fake app"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"Nice"
"QR Code & Barcode Scanner Read","Unknown",1,"ok"
"QR Code & Barcode Scanner Read","Unknown",4,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"Beautiful"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice 🙂 👍🏿"
"QR Code & Barcode Scanner Read","Unknown",1,"every step has ads"
"QR Code & Barcode Scanner Read","Unknown",5,"good 😊👍"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",3,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice app"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"👍👍🙏super ❤️❤️❤️❤️❤️❤️❤️"
"QR Code & Barcode Scanner Read","Unknown",4,"nice"
"QR Code & Barcode Scanner Read","Unknown",3,"good"
"QR Code & Barcode Scanner Read","Unknown",3,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"very good"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",3,"very nice"
"QR Code & Barcode Scanner Read","Unknown",1,"fake"
"QR Code & Barcode Scanner Read","Unknown",3,"best of app"
"QR Code & Barcode Scanner Read","Unknown",5,"🙋🙏"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"mast hai bhai"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",4,"mast hai"
"QR Code & Barcode Scanner Read","Unknown",5,"High ,"
"QR Code & Barcode Scanner Read","Unknown",5,"Okay"
"QR Code & Barcode Scanner Read","Unknown",5,"a good"
"QR Code & Barcode Scanner Read","Unknown",1,"How come this app get into my phone?! Something messy. I didn't even know the app and download but comes directly after I updated the apps. Sorry"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",2,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",1,"Niec"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"🥰"
"QR Code & Barcode Scanner Read","Unknown",1,"nicw"
"QR Code & Barcode Scanner Read","Unknown",5,"nice 👍👍👍👍👍"
"QR Code & Barcode Scanner Read","Unknown",5,"thanks for your"
"QR Code & Barcode Scanner Read","Unknown",2,"smart"
"QR Code & Barcode Scanner Read","Unknown",1,"to many adds"
"QR Code & Barcode Scanner Read","Unknown",5,"super semma"
"QR Code & Barcode Scanner Read","Unknown",1,"Nice"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",1,"very good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"nice look"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"gajab"
"QR Code & Barcode Scanner Read","Unknown",5,"nice darling 😚"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",4,"thank"
"QR Code & Barcode Scanner Read","Unknown",5,"reliable"
"QR Code & Barcode Scanner Read","Unknown",5,"❤️❤️❤️"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"super hero"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"very nice"
"QR Code & Barcode Scanner Read","Unknown",3,"what is the use of this app"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"very nice 👍👍 app"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",1,"I think this good business"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"It is not working at all"
"QR Code & Barcode Scanner Read","Unknown",3,"very good job"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"it's very good app"
"QR Code & Barcode Scanner Read","Unknown",5,"ok"
"QR Code & Barcode Scanner Read","Unknown",2,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"Effective"
"QR Code & Barcode Scanner Read","Unknown",2,"not received scanner"
"QR Code & Barcode Scanner Read","Unknown",5,"very good"
"QR Code & Barcode Scanner Read","Unknown",2,"high"
"QR Code & Barcode Scanner Read","Unknown",5,"❤️😘"
"QR Code & Barcode Scanner Read","Unknown",5,"nice app"
"QR Code & Barcode Scanner Read","Unknown",5,"maganda"
"QR Code & Barcode Scanner Read","Unknown",1,"🔥🔥"
"QR Code & Barcode Scanner Read","Unknown",5,"excellent"
"QR Code & Barcode Scanner Read","Unknown",5,"Nice"
"QR Code & Barcode Scanner Read","Unknown",1,"5Star"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"very good"
"QR Code & Barcode Scanner Read","Unknown",4,"nice"
"QR Code & Barcode Scanner Read","Unknown",5,"I like it"
"QR Code & Barcode Scanner Read","Unknown",5,"super"
"QR Code & Barcode Scanner Read","Unknown",5,"supr"
"QR Code & Barcode Scanner Read","Unknown",4,"it's good to use it"
"QR Code & Barcode Scanner Read","Unknown",5,"shi h aap"
"QR Code & Barcode Scanner Read","Unknown",5,"I love this app it really work"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"very good aaps"
"QR Code & Barcode Scanner Read","Unknown",2,"It so nice"
"QR Code & Barcode Scanner Read","Unknown",4,"fast and good"
"QR Code & Barcode Scanner Read","Unknown",5,"very nice 🙂👍"
"QR Code & Barcode Scanner Read","Unknown",5,"this is best app"
"QR Code & Barcode Scanner Read","Unknown",5,"Good one"
"QR Code & Barcode Scanner Read","Unknown",5,"Super super"
"QR Code & Barcode Scanner Read","Unknown",5,"Good"
"QR Code & Barcode Scanner Read","Unknown",5,"very good"
"QR Code & Barcode Scanner Read","Unknown",5,"🥰🥰🥰"
"QR Code & Barcode Scanner Read","Unknown",4,"good"
"QR Code & Barcode Scanner Read","Unknown",5,"i want to know if this product it original"
"QR Code & Barcode Scanner Read","Unknown",5,"very nice I will tell most of my friends"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"wow"
"QR Code & Barcode Scanner Read","Unknown",1,"DO NOT DOWNLOAD!!!🚩 Google needs to test these apps to find out if they do what they said they are doing... This App is one of the the fake apps that deceive people to make money through 3rd party adds. Once you download, you make money for them by watching ads on every click and in the end, that doesn't work. I'm am therefore encouraging Google to delete this app from its playstore and ban whoever made it. DO NOT DOWNLAOD!!!"
"QR Code & Barcode Scanner Read","Unknown",1,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"Nice"
"QR Code & Barcode Scanner Read","Unknown",5,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"ওকে"
"QR Code & Barcode Scanner Read","Unknown",3,"good"
"QR Code & Barcode Scanner Read","Unknown",1,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"Amazing"
"QR Code & Barcode Scanner Read","Unknown",3,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"ok"
"QR Code & Barcode Scanner Read","Unknown",5,"I love the app is really wuw am Charles Molele in South Africa Pretoria mamelondi try it is working really Money in your Bank account"
"QR Code & Barcode Scanner Read","Unknown",3,"nice game"
"QR Code & Barcode Scanner Read","Unknown",5,"nice"
"QR Code & Barcode Scanner Read","Unknown",4,"interesting app"
"QR Code & Barcode Scanner Read","Unknown",5,"nice 👍"
