"Appname","Date","Score","Text"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's really easy, reliable app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Vgood app"
"ACE Scanner - PDF Scanner App","Unknown",4,"Awosome"
"ACE Scanner - PDF Scanner App","Unknown",5,"V good"
"ACE Scanner - PDF Scanner App","Unknown",5,"So effective 👌"
"ACE Scanner - PDF Scanner App","Unknown",5,"good app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Really nice app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Ok"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best"
"ACE Scanner - PDF Scanner App","Unknown",5,"So good 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful"
"ACE Scanner - PDF Scanner App","Unknown",4,"Easy to use"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"gambar terang.... mudah"
"ACE Scanner - PDF Scanner App","Unknown",5,"Not interested too much space has been gone on the phone"
"ACE Scanner - PDF Scanner App","Unknown",5,"i love it it is perfect for me or for everyone"
"ACE Scanner - PDF Scanner App","Unknown",4,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"its so helpful app"
"ACE Scanner - PDF Scanner App","Unknown",5,"I love all the features and the fact that it's free, makes the app more appealing and amazing"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Ok"
"ACE Scanner - PDF Scanner App","Unknown",5,"This app is super. Iove it and it makes my work easier"
"ACE Scanner - PDF Scanner App","Unknown",5,"😎"
"ACE Scanner - PDF Scanner App","Unknown",1,"I really love this app It make the delivery of my assignment easy"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good 👍"
"ACE Scanner - PDF Scanner App","Unknown",1,"Scammer not scanner😂😂😂😂🤣😂😂😂😂😂😂🤪😜🤪😜🤪😜"
"ACE Scanner - PDF Scanner App","Unknown",4,"really nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"ఓకే"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very easy to navigate and understand. But there are a bit of too many ads though"
"ACE Scanner - PDF Scanner App","Unknown",5,"Super app!"
"ACE Scanner - PDF Scanner App","Unknown",1,"Too many ads. Dont install"
"ACE Scanner - PDF Scanner App","Unknown",5,"Presentable at disposal"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"It is helpful"
"ACE Scanner - PDF Scanner App","Unknown",4,"Good App for PDF'S"
"ACE Scanner - PDF Scanner App","Unknown",5,"Ok good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app"
"ACE Scanner - PDF Scanner App","Unknown",4,"Great 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very very comfortable to use thanks🙏"
"ACE Scanner - PDF Scanner App","Unknown",5,"Quick, easy and handy"
"ACE Scanner - PDF Scanner App","Unknown",5,"عالی"
"ACE Scanner - PDF Scanner App","Unknown",5,"Ok"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",4,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"ممتازه جدا"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's nice app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app for using with"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excited"
"ACE Scanner - PDF Scanner App","Unknown",5,"Users friendly app"
"ACE Scanner - PDF Scanner App","Unknown",1,"Bekar"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice app sofar"
"ACE Scanner - PDF Scanner App","Unknown",5,"Exceptional"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice application"
"ACE Scanner - PDF Scanner App","Unknown",5,"Meh"
"ACE Scanner - PDF Scanner App","Unknown",4,"Love"
"ACE Scanner - PDF Scanner App","Unknown",5,"Amazing and professional"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great app"
"ACE Scanner - PDF Scanner App","Unknown",4,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very fast to use and sharp"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good ( too many ads btw)"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice n great 😃😃👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's very good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good scanner"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great"
"ACE Scanner - PDF Scanner App","Unknown",1,"Filled with ads one click one ads without skip and cancel please don't use this application"
"ACE Scanner - PDF Scanner App","Unknown",5,"Out standing performance"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app and easy in use"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very impressive"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very clear"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent app and features"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good PDF scanner keep it up"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful"
"ACE Scanner - PDF Scanner App","Unknown",5,"I was fed up with Adobe scan, then found this app ..,.Very smooth workflow & high quality PDFs... Loved it ❤️"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best scanning app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great!"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very fast and high quality scanning"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Superb😍🥰"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's sharp & clear and can be converted to a PDF document."
"ACE Scanner - PDF Scanner App","Unknown",4,"Best"
"ACE Scanner - PDF Scanner App","Unknown",5,"Amazing App"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's better to be use"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good app for scanning"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"easy to use..love it"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app. I like it"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's so user friendly, I love it!!"
"ACE Scanner - PDF Scanner App","Unknown",5,"easy and comfortable"
"ACE Scanner - PDF Scanner App","Unknown",5,"Working perfectly"
"ACE Scanner - PDF Scanner App","Unknown",1,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Lovely App"
"ACE Scanner - PDF Scanner App","Unknown",5,"Awesome app and also for free.very less ad"
"ACE Scanner - PDF Scanner App","Unknown",5,"👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"I'm interested"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good⭐️⭐️⭐️⭐️⭐️👍👍👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great app!"
"ACE Scanner - PDF Scanner App","Unknown",5,"Super cool app and it's user friendly. I love it and Highly recommend it."
"ACE Scanner - PDF Scanner App","Unknown",5,"This app is very amazing and this app normal page to converted into PDF and documents and scanner and editing and many features in this app this is so amazing and very useful for businessman's this app is very amazing and it is very useful app ."
"ACE Scanner - PDF Scanner App","Unknown",5,"Awesome"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's laka"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice App"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best app ever"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good one"
"ACE Scanner - PDF Scanner App","Unknown",5,"❤️❤️ very nice pdf maker ."
"ACE Scanner - PDF Scanner App","Unknown",5,"Very powerful"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Exlent"
"ACE Scanner - PDF Scanner App","Unknown",5,"So suitable and unique just like a physical scanner machine"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very use full"
"ACE Scanner - PDF Scanner App","Unknown",5,"This is good."
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",1,"It starts with ads and continues like a hell. Respect your customer and let it use firstly. You load 10 ads as soon as it starts. Unbelievable."
"ACE Scanner - PDF Scanner App","Unknown",5,"Good application useful app 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best among all those PDF scanner's no stress and no add on."
"ACE Scanner - PDF Scanner App","Unknown",3,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Amazing quality, scanned documents come in so much clear format it's amazing to see what it's doing, highly recommended for anyone looking to scan documents into pdf files"
"ACE Scanner - PDF Scanner App","Unknown",5,"Love it!"
"ACE Scanner - PDF Scanner App","Unknown",5,"User friendly"
"ACE Scanner - PDF Scanner App","Unknown",5,"Wonderful"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best app ever! HAS almost everything to make my photo documents clear. Love it 😊"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great"
"ACE Scanner - PDF Scanner App","Unknown",5,"It is fast and clear"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very nice and useful"
"ACE Scanner - PDF Scanner App","Unknown",4,"Good app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good working"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Love it"
"ACE Scanner - PDF Scanner App","Unknown",5,"Thank you"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Wonderful pdf.This system is very easy to send photos.And picture quality.Thank you🙏"
"ACE Scanner - PDF Scanner App","Unknown",5,"Exceptional"
"ACE Scanner - PDF Scanner App","Unknown",5,"best performance i am not expected this app realy good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Fantastic"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app for use"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful"
"ACE Scanner - PDF Scanner App","Unknown",3,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best app scanner ever"
"ACE Scanner - PDF Scanner App","Unknown",5,"good app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Fast n easy"
"ACE Scanner - PDF Scanner App","Unknown",5,"Help ful"
"ACE Scanner - PDF Scanner App","Unknown",5,"Thank you"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Like"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",4,"It's good for me, thank you"
"ACE Scanner - PDF Scanner App","Unknown",5,"Quality scanning"
"ACE Scanner - PDF Scanner App","Unknown",5,"Ok"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Love using it"
"ACE Scanner - PDF Scanner App","Unknown",5,"good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Easy to use and effective"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good application"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent"
"ACE Scanner - PDF Scanner App","Unknown",4,"Really good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good app"
"ACE Scanner - PDF Scanner App","Unknown",5,"It is best"
"ACE Scanner - PDF Scanner App","Unknown",3,"nice application keep up rhe good work thats all"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Owesome"
"ACE Scanner - PDF Scanner App","Unknown",5,"Yeas to use and very helpful app"
"ACE Scanner - PDF Scanner App","Unknown",5,"I had a problem of opening a shared note on my phone from my other phone as there was no app to run the shared document so I tried scanning with this app and share it as pdf file, it did the task wonderfully."
"ACE Scanner - PDF Scanner App","Unknown",5,"Very nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice work simple handle every one"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great app Thanks"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful"
"ACE Scanner - PDF Scanner App","Unknown",5,"Marvelous"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great App"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"The best.."
"ACE Scanner - PDF Scanner App","Unknown",5,"Amazingly amazing"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good quality"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice app"
"ACE Scanner - PDF Scanner App","Unknown",1,"Spam app. Makes you install one app after another."
"ACE Scanner - PDF Scanner App","Unknown",5,"Better working"
"ACE Scanner - PDF Scanner App","Unknown",5,"Perfect scanning app - highly recommended ♥️♥️"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent app"
"ACE Scanner - PDF Scanner App","Unknown",5,"great"
"ACE Scanner - PDF Scanner App","Unknown",5,"The only irritating experience is adverts popping in everytime I want to use this app for office use."
"ACE Scanner - PDF Scanner App","Unknown",5,"Good 😊"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best"
"ACE Scanner - PDF Scanner App","Unknown",1,"Free version only 5 pages per day"
"ACE Scanner - PDF Scanner App","Unknown",4,"Excellent"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best! ⭐"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"okay"
"ACE Scanner - PDF Scanner App","Unknown",5,"عالی"
"ACE Scanner - PDF Scanner App","Unknown",2,"Good one"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Work's if you work it"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice app👏"
"ACE Scanner - PDF Scanner App","Unknown",5,"I love this app Very simple to use"
"ACE Scanner - PDF Scanner App","Unknown",5,"The best app."
"ACE Scanner - PDF Scanner App","Unknown",5,"It's best 👌"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very nice 🙂👍"
"ACE Scanner - PDF Scanner App","Unknown",4,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Jay Maharashtra"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good and simple to use"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good Lock"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Must download"
"ACE Scanner - PDF Scanner App","Unknown",5,"Love it."
"ACE Scanner - PDF Scanner App","Unknown",5,"app is great 👍 👌 🙂"
"ACE Scanner - PDF Scanner App","Unknown",5,"It nice app and very fast app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Really awesome friendly app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Perfect app for pdf making"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"This is very interesting appPerfect Scanning App - Highly Recommended! PDF Scanner-ACE Scanner is simply amazing! It's user-friendly, provides high-quality scans, and even comes with basic photo editing options, which is super handy. I love how fast it works-no time lag at all! Whether it's documents, receipts, or notes, the app gets the job done perfectly. Features like auto-cropping and OCR make it even more efficient. This app has truly made my life easier. A must-have for anyone looking for"
"ACE Scanner - PDF Scanner App","Unknown",1,"Money money waste of time"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very nice 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"It's a very good app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very helpful app"
"ACE Scanner - PDF Scanner App","Unknown",5,"Alhamdulillah Finlay I got the best one"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very nice product and service"
"ACE Scanner - PDF Scanner App","Unknown",5,"Works fine. Some adds slowing you down but job's done at the end"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Not bad"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",5,"Best app"
"ACE Scanner - PDF Scanner App","Unknown",3,"Good 👍"
"ACE Scanner - PDF Scanner App","Unknown",5,"Amazing aap"
"ACE Scanner - PDF Scanner App","Unknown",5,"Excellent App for scanning documents."
"ACE Scanner - PDF Scanner App","Unknown",5,"Best !"
"ACE Scanner - PDF Scanner App","Unknown",5,"Great"
"ACE Scanner - PDF Scanner App","Unknown",5,"Good"
"ACE Scanner - PDF Scanner App","Unknown",4,"Nice"
"ACE Scanner - PDF Scanner App","Unknown",5,"Nice app for creating a pdf file"
"ACE Scanner - PDF Scanner App","Unknown",5,"Very useful"
"ACE Scanner - PDF Scanner App","Unknown",5,"User friendly"
