"Appname","Date","Score","Text"
"Clear Scan - PDF Scanner App","Unknown",5,"Very impressive"
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",3,"OCR AVAILABLE IN FEW LANGUAGE ONLY.. KINDLY REQUEST ADD MY LANGUAGE TAMIL"
"Clear Scan - PDF Scanner App","Unknown",5,"Document clear karta best"
"Clear Scan - PDF Scanner App","Unknown",5,"Very Very good"
"Clear Scan - PDF Scanner App","Unknown",4,"Good"
"Clear Scan - PDF Scanner App","Unknown",4,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"Looks great so far"
"Clear Scan - PDF Scanner App","Unknown",5,"beste 100%"
"Clear Scan - PDF Scanner App","Unknown",5,"Excellent app"
"Clear Scan - PDF Scanner App","Unknown",5,"User friendly. I love it so much, my favorite."
"Clear Scan - PDF Scanner App","Unknown",5,"Excellent"
"Clear Scan - PDF Scanner App","Unknown",5,"Very nice"
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"Clear Scanner is the best scanner I have ever used. Clear photos easy to use, free, which to install. ... Thanks a lot the developers"
"Clear Scan - PDF Scanner App","Unknown",5,"Best app to scan your documents into pdf"
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"Very nice appp"
"Clear Scan - PDF Scanner App","Unknown",5,"I have never been disappointed by this app. It is extremely great👍. Every option that I have tried to use with my documents, it always delivers to its best."
"Clear Scan - PDF Scanner App","Unknown",4,"👍"
"Clear Scan - PDF Scanner App","Unknown",4,"I love this app,has made things easier for me"
"Clear Scan - PDF Scanner App","Unknown",5,"I use those in my mobile microchip business. Once the paperwork filled out, I take a pic of it and when I get home I can just print from my phone. Never had an issues and I've used it for about 4 years! I love it"
"Clear Scan - PDF Scanner App","Unknown",5,"Excellent"
"Clear Scan - PDF Scanner App","Unknown",5,"Experience is excellent 🆗"
"Clear Scan - PDF Scanner App","Unknown",5,"A good app. Easy to use."
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"Best app for scanning"
"Clear Scan - PDF Scanner App","Unknown",5,"This app is amazing"
"Clear Scan - PDF Scanner App","Unknown",5,"My app sometimes doesn't show the file sharing options. For example I want to share file to WhatsApp but it doesn't show the options"
"Clear Scan - PDF Scanner App","Unknown",5,"Awesome"
"Clear Scan - PDF Scanner App","Unknown",5,"Assisted me when I needed to send documents while in a foreign country and in just a blink of an eye ,documents were scanned and sent .."
"Clear Scan - PDF Scanner App","Unknown",5,"Nice and free"
"Clear Scan - PDF Scanner App","Unknown",5,"Very clear. 0"
"Clear Scan - PDF Scanner App","Unknown",5,"good app"
"Clear Scan - PDF Scanner App","Unknown",5,"This app; Clear Scan,works Comfortably and customizably. It also allows for transformation of scanned documents to PDF. Thanks and shutouts to the creator(s)"
"Clear Scan - PDF Scanner App","Unknown",5,"Very good app quick scan"
"Clear Scan - PDF Scanner App","Unknown",5,"Very nice"
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"Very nice app"
"Clear Scan - PDF Scanner App","Unknown",5,"Excellent app for office and personal use."
"Clear Scan - PDF Scanner App","Unknown",5,"Amazing app"
"Clear Scan - PDF Scanner App","Unknown",5,"BEST DOCUMENTS SCAN APP.. I AM USING FOR 5 YEARS.. WAY BETTER THAN CAM SCANNER .. IT IS FREE AND ALSO PROVIDE SYNC SCAN DOCUMENTS TO GOOGLE DRIVE WHICH IS VERY GOOD AND SAFE IF MOBILE IS LOST OR SNATCHED.. THIS APP IS COMPULSORY APP IN MY LIST OF APPS IN ANY MOBILE.. 👍👍👍"
"Clear Scan - PDF Scanner App","Unknown",1,"E we get?"
"Clear Scan - PDF Scanner App","Unknown",5,"Very good app for scanning for color and black n white both 10 by 10"
"Clear Scan - PDF Scanner App","Unknown",5,"Awesome app , recommend this more than anything for scanning docs tho I would like to have a setting where original photo could be blended with light docs feel"
"Clear Scan - PDF Scanner App","Unknown",5,"Intuitive and simple to use... does exactly what you want it to. No complaints. I usually use free apps for all they're worth and ended up just paying for this one, simply out of appreciation."
"Clear Scan - PDF Scanner App","Unknown",5,"Good app."
"Clear Scan - PDF Scanner App","Unknown",5,"App works well...very precise and clear."
"Clear Scan - PDF Scanner App","Unknown",5,"Good application"
"Clear Scan - PDF Scanner App","Unknown",5,"Useful application.must have application"
"Clear Scan - PDF Scanner App","Unknown",4,"The reason it's not 5 stars, it's because it's a bit complicated especially if you want to merge documents but other than that it's perfect."
"Clear Scan - PDF Scanner App","Unknown",5,"Very nice. Free."
"Clear Scan - PDF Scanner App","Unknown",5,"Very useful"
"Clear Scan - PDF Scanner App","Unknown",3,"Good, Lesser advertisement would be better"
"Clear Scan - PDF Scanner App","Unknown",5,"Very nice"
"Clear Scan - PDF Scanner App","Unknown",5,"Great app - clear, free and fast. Thanks for your efforts."
"Clear Scan - PDF Scanner App","Unknown",5,"Efficient"
"Clear Scan - PDF Scanner App","Unknown",5,"Wonderful"
"Clear Scan - PDF Scanner App","Unknown",5,"Simple n best application"
"Clear Scan - PDF Scanner App","Unknown",5,"The apps is very easy to use and effective since it produces a clear picture. The procedure is easy to manage and smooth."
"Clear Scan - PDF Scanner App","Unknown",5,"Nice apps"
"Clear Scan - PDF Scanner App","Unknown",5,"Thanks, its great"
"Clear Scan - PDF Scanner App","Unknown",5,"👍🙂 nice"
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"I have been using this app for years ut never gave me problems"
"Clear Scan - PDF Scanner App","Unknown",4,"I have been using the app for quite some time and enjoyed its features like signature input on the scanned documents, filter pictures etc. Infact I am in love with this app"
"Clear Scan - PDF Scanner App","Unknown",5,"Good"
"Clear Scan - PDF Scanner App","Unknown",5,"Excellent"
"Clear Scan - PDF Scanner App","Unknown",5,"Nice"
"Clear Scan - PDF Scanner App","Unknown",5,"Excellent"
"Clear Scan - PDF Scanner App","Unknown",1,"the picture is faint"
"Clear Scan - PDF Scanner App","Unknown",4,"Great scan app. Image output is awesome and very rich colour presentation"
"Clear Scan - PDF Scanner App","Unknown",5,"Great app 👍 very clear documents"
"Clear Scan - PDF Scanner App","Unknown",5,"Superb and clean and cleared printing thank you so much"
