"Appname","Date","Score","Text"
"Easy Scanner - PDF Maker","Unknown",5,"Excellent"
"Easy Scanner - PDF Maker","Unknown",5,"Very nice product and service"
"Easy Scanner - PDF Maker","Unknown",5,"Fantastic"
"Easy Scanner - PDF Maker","Unknown",5,"Love it it makes my job easy"
"Easy Scanner - PDF Maker","Unknown",2,"It's all right too many advertisements"
"Easy Scanner - PDF Maker","Unknown",5,"Good"
"Easy Scanner - PDF Maker","Unknown",5,"Very good experience"
"Easy Scanner - PDF Maker","Unknown",5,"Very good to help in completing exercise 😃☺️"
"Easy Scanner - PDF Maker","Unknown",5,"Nice app"
"Easy Scanner - PDF Maker","Unknown",5,"Excellent.."
"Easy Scanner - PDF Maker","Unknown",5,"Better"
"Easy Scanner - PDF Maker","Unknown",5,"Super"
"Easy Scanner - PDF Maker","Unknown",5,"Nice guys. Thanks 😊"
"Easy Scanner - PDF Maker","Unknown",5,"Good"
"Easy Scanner - PDF Maker","Unknown",5,"Best"
"Easy Scanner - PDF Maker","Unknown",5,"Excellent but document not easily shared"
"Easy Scanner - PDF Maker","Unknown",5,"رائع"
"Easy Scanner - PDF Maker","Unknown",5,"Good"
"Easy Scanner - PDF Maker","Unknown",5,"Excellent"
"Easy Scanner - PDF Maker","Unknown",5,"Muy buena"
"Easy Scanner - PDF Maker","Unknown",5,"Very usefull in all your documents files"
"Easy Scanner - PDF Maker","Unknown",5,"Easy to use and it's free 👍👍👍❤"
"Easy Scanner - PDF Maker","Unknown",5,"Easy to use. And actually does everything when it comes to editing pdfs. I highly recommend it. Also use it to certify my documents."
"Easy Scanner - PDF Maker","Unknown",5,"Vimlesn kumar"
"Easy Scanner - PDF Maker","Unknown",5,"Very good"
"Easy Scanner - PDF Maker","Unknown",5,"Nice"
"Easy Scanner - PDF Maker","Unknown",5,"It is good and reliable app to use it"
"Easy Scanner - PDF Maker","Unknown",5,"Works great"
"Easy Scanner - PDF Maker","Unknown",5,"990000000 billion views"
"Easy Scanner - PDF Maker","Unknown",5,"Well"
"Easy Scanner - PDF Maker","Unknown",5,"Enna pandra ne reply"
"Easy Scanner - PDF Maker","Unknown",5,"👍"
"Easy Scanner - PDF Maker","Unknown",5,"Awesomely good"
"Easy Scanner - PDF Maker","Unknown",1,"Crashed"
"Easy Scanner - PDF Maker","Unknown",1,"App can't change handwriting to PDF."
"Easy Scanner - PDF Maker","Unknown",5,"Great app"
"Easy Scanner - PDF Maker","Unknown",1,"delet"
"Easy Scanner - PDF Maker","Unknown",5,"Good impression"
"Easy Scanner - PDF Maker","Unknown",5,"This was helpful app by taking important files"
"Easy Scanner - PDF Maker","Unknown",5,"Good"
"Easy Scanner - PDF Maker","Unknown",4,"Easy and convenient"
"Easy Scanner - PDF Maker","Unknown",5,"Good app. It does the right thing. 👍"
"Easy Scanner - PDF Maker","Unknown",5,"Good"
"Easy Scanner - PDF Maker","Unknown",3,"Just Took The Trial, Will Download Again In A Few Days Soon If Needed."
