"Appname","Date","Score","Text"
"PDF Scanner - Document Scanner","Unknown",5,"5star"
"PDF Scanner - Document Scanner","Unknown",5,"Nice"
"PDF Scanner - Document Scanner","Unknown",5,"It's quick and make things easier"
"PDF Scanner - Document Scanner","Unknown",5,"Very helpful"
"PDF Scanner - Document Scanner","Unknown",5,"Easy to use I recommend"
"PDF Scanner - Document Scanner","Unknown",5,"As easy as 123"
"PDF Scanner - Document Scanner","Unknown",5,"Very nice"
"PDF Scanner - Document Scanner","Unknown",1,"Unable to reach support team ! Email bounced !!"
"PDF Scanner - Document Scanner","Unknown",5,"Good PDF scanner"
"PDF Scanner - Document Scanner","Unknown",5,"Good"
"PDF Scanner - Document Scanner","Unknown",5,"Very very good app"
"PDF Scanner - Document Scanner","Unknown",5,"Very good"
"PDF Scanner - Document Scanner","Unknown",5,"Very good app"
"PDF Scanner - Document Scanner","Unknown",5,"EXCELENTE!!!"
"PDF Scanner - Document Scanner","Unknown",5,"Very nice"
"PDF Scanner - Document Scanner","Unknown",4,"The problem it's a trial because when you download it it's says free why trials and payments"
"PDF Scanner - Document Scanner","Unknown",1,"This app keeps on showing ad that eat my data, so I want to remove your app"
"PDF Scanner - Document Scanner","Unknown",5,"Yes this app is useful for scan documents and save it"
"PDF Scanner - Document Scanner","Unknown",5,"Good work"
"PDF Scanner - Document Scanner","Unknown",5,"Nice 👍👍👍👍👍👍👍👍"
"PDF Scanner - Document Scanner","Unknown",2,"I did a payment I can't find how to cancel my account"
"PDF Scanner - Document Scanner","Unknown",5,"Convenient and easy to use wherever I am."
"PDF Scanner - Document Scanner","Unknown",5,"This is outstanding!"
"PDF Scanner - Document Scanner","Unknown",5,"Nice app with easy to use"
"PDF Scanner - Document Scanner","Unknown",5,"It. Is. Perfect. I love it.😊"
"PDF Scanner - Document Scanner","Unknown",5,"Everything works great for me I don't have any complaints"
"PDF Scanner - Document Scanner","Unknown",5,"User friendly. Clear pictures"
"PDF Scanner - Document Scanner","Unknown",5,"Much effective and user friendly. It is a helpful and easy to operate software. I must appreciate and pay a bundle of thanks to the developers and the company. Thanks again and look forward to have more supportive softwares from your side."
"PDF Scanner - Document Scanner","Unknown",5,"Awesome app"
"PDF Scanner - Document Scanner","Unknown",5,"Ok"
"PDF Scanner - Document Scanner","Unknown",5,"Best app👍👍"
"PDF Scanner - Document Scanner","Unknown",5,"good"
"PDF Scanner - Document Scanner","Unknown",1,"Preferable 🥰"
"PDF Scanner - Document Scanner","Unknown",5,"All is good"
"PDF Scanner - Document Scanner","Unknown",5,"Excellent app"
"PDF Scanner - Document Scanner","Unknown",5,"Excellent"
"PDF Scanner - Document Scanner","Unknown",5,"Awesome"
"PDF Scanner - Document Scanner","Unknown",5,"Good"
"PDF Scanner - Document Scanner","Unknown",5,"Awesome"
"PDF Scanner - Document Scanner","Unknown",5,"Good"
"PDF Scanner - Document Scanner","Unknown",4,"Good but history available hona chiye tha"
"PDF Scanner - Document Scanner","Unknown",5,"Good app"
"PDF Scanner - Document Scanner","Unknown",5,"Excellent"
"PDF Scanner - Document Scanner","Unknown",5,"Good"
"PDF Scanner - Document Scanner","Unknown",5,"Okkayy"
"PDF Scanner - Document Scanner","Unknown",1,"Horrible. It's always blurry"
"PDF Scanner - Document Scanner","Unknown",1,"Rubbish"
"PDF Scanner - Document Scanner","Unknown",5,"I really enjoyed this app9"
"PDF Scanner - Document Scanner","Unknown",4,"Nice"
"PDF Scanner - Document Scanner","Unknown",5,"Good"
"PDF Scanner - Document Scanner","Unknown",5,"Nice"
"PDF Scanner - Document Scanner","Unknown",5,"Good"
"PDF Scanner - Document Scanner","Unknown",5,"Great application with different choices"
"PDF Scanner - Document Scanner","Unknown",5,"Easy to chnage png . Into pdf .hogh quality"
"PDF Scanner - Document Scanner","Unknown",1,"Very bad experience on using this scanner. My stored documents got deleted again and again many times and this problem is still running, unfixed problem. In just one click one docs goes disappeared"
"PDF Scanner - Document Scanner","Unknown",5,"It very easy to use and you even do CV thanks to PDF scan.👌"
