"Appname","Date","Score","Text"
"PDF Scanner app - TapScanner","Unknown",5,"Really helpful"
"PDF Scanner app - TapScanner","Unknown",5,"good and affordable"
"PDF Scanner app - TapScanner","Unknown",5,"Great pdf scanner with various features"
"PDF Scanner app - TapScanner","Unknown",1,"Worst. Never download it"
"PDF Scanner app - TapScanner","Unknown",5,"Very nice"
"PDF Scanner app - TapScanner","Unknown",5,"the app is so amazing and easy to use"
"PDF Scanner app - TapScanner","Unknown",1,"Nothing is good in this and subscription is not worth"
"PDF Scanner app - TapScanner","Unknown",5,"it's easy to use,I love it"
"PDF Scanner app - TapScanner","Unknown",1,"Such a worst app asking money to send the documents"
"PDF Scanner app - TapScanner","Unknown",2,"eash meathod"
"PDF Scanner app - TapScanner","Unknown",4,"Good"
"PDF Scanner app - TapScanner","Unknown",5,"Good application I like it."
"PDF Scanner app - TapScanner","Unknown",5,"Perfect"
"PDF Scanner app - TapScanner","Unknown",5,"good"
"PDF Scanner app - TapScanner","Unknown",5,"Nice app very convenient and easy to use."
"PDF Scanner app - TapScanner","Unknown",5,"this is the best app. I am really amazed with it. great thanks."
"PDF Scanner app - TapScanner","Unknown",1,"Trying to hustle you for premium"
"PDF Scanner app - TapScanner","Unknown",5,"Super"
"PDF Scanner app - TapScanner","Unknown",5,"👍good"
"PDF Scanner app - TapScanner","Unknown",5,"good"
"PDF Scanner app - TapScanner","Unknown",5,"Wow"
"PDF Scanner app - TapScanner","Unknown",5,"I really enjoying for this app"
"PDF Scanner app - TapScanner","Unknown",4,"Worked for the few I've tried so far"
"PDF Scanner app - TapScanner","Unknown",5,"Good"
"PDF Scanner app - TapScanner","Unknown",5,"Easy to use use as described"
"PDF Scanner app - TapScanner","Unknown",5,"Masta"
"PDF Scanner app - TapScanner","Unknown",1,"Only let's you scan a few pages before you have to pay"
"PDF Scanner app - TapScanner","Unknown",5,"excellent"
"PDF Scanner app - TapScanner","Unknown",1,"Frustrating not east to use"
"PDF Scanner app - TapScanner","Unknown",5,"I really love it!!!!!!!"
"PDF Scanner app - TapScanner","Unknown",1,"bad l"
"PDF Scanner app - TapScanner","Unknown",5,"it was amazing and good"
"PDF Scanner app - TapScanner","Unknown",5,"A very reliable app"
"PDF Scanner app - TapScanner","Unknown",5,"Good"
"PDF Scanner app - TapScanner","Unknown",5,"fantastic! amazing! extraordinary! Just wow!"
"PDF Scanner app - TapScanner","Unknown",5,"seems super easy"
"PDF Scanner app - TapScanner","Unknown",5,"Really good 👍😊 excellent app"
"PDF Scanner app - TapScanner","Unknown",5,"In my opinion I would say that this is an excellent app for taking pictures of documents and have options and filters and it's just amazing thank you for creating an wonderful app for us 💗🥰💗💗"
"PDF Scanner app - TapScanner","Unknown",5,"I love your app"
"PDF Scanner app - TapScanner","Unknown",5,"Good"
"PDF Scanner app - TapScanner","Unknown",5,"😄😄♥️♥️"
"PDF Scanner app - TapScanner","Unknown",5,"nice app"
"PDF Scanner app - TapScanner","Unknown",1,"I shouldn't have to pay to save my own pictures to my device. I will be installing after tax season."
"PDF Scanner app - TapScanner","Unknown",5,"great app. easy to use. highly recommended"
"PDF Scanner app - TapScanner","Unknown",5,"Amazing"
"PDF Scanner app - TapScanner","Unknown",1,"Faltu Aap hai Download na kare"
"PDF Scanner app - TapScanner","Unknown",5,"its very Amazing Easy to use🌹"
"PDF Scanner app - TapScanner","Unknown",3,"It's a great but pls let's enjoy no water mark document."
"PDF Scanner app - TapScanner","Unknown",5,"awesome"
"PDF Scanner app - TapScanner","Unknown",5,"Great"
"PDF Scanner app - TapScanner","Unknown",5,"Gud"
"PDF Scanner app - TapScanner","Unknown",3,"Confusing"
"PDF Scanner app - TapScanner","Unknown",5,"Spectacular"
"PDF Scanner app - TapScanner","Unknown",5,"nice App to us"
"PDF Scanner app - TapScanner","Unknown",5,"Perfect and easy"
"PDF Scanner app - TapScanner","Unknown",2,"Paid service. Works well enough but very limited to what you can do for free. Would not recommend."
"PDF Scanner app - TapScanner","Unknown",1,"Nonsense app 🙄"
"PDF Scanner app - TapScanner","Unknown",5,"Amazing"
"PDF Scanner app - TapScanner","Unknown",5,"Good job"
"PDF Scanner app - TapScanner","Unknown",5,"Nice app"
"PDF Scanner app - TapScanner","Unknown",5,"Great app"
"PDF Scanner app - TapScanner","Unknown",5,"😭"
"PDF Scanner app - TapScanner","Unknown",5,"Very good"
"PDF Scanner app - TapScanner","Unknown",5,"Amazing"
"PDF Scanner app - TapScanner","Unknown",5,"good"
"PDF Scanner app - TapScanner","Unknown",5,"Work like magic 👌 👍"
"PDF Scanner app - TapScanner","Unknown",5,"Okay"
"PDF Scanner app - TapScanner","Unknown",5,"So easy to use. I highly recommend it."
"PDF Scanner app - TapScanner","Unknown",5,"Brilliant thanks 👍"
"PDF Scanner app - TapScanner","Unknown",5,"❤️"
"PDF Scanner app - TapScanner","Unknown",5,"Excellent"
"PDF Scanner app - TapScanner","Unknown",5,"Nice 👍"
