"Appname","Date","Score","Text"
"QR & Barcode Reader","Unknown",1,"it does not read qr, when viewing scanned qr it creates its own qr. what the h3ll?"
"QR & Barcode Reader","Unknown",1,"it didn't work! grrrrr"
"QR & Barcode Reader","Unknown",5,"Njuguna Njoroge perfect"
"QR & Barcode Reader","Unknown",5,"nice"
"QR & Barcode Reader","Unknown",5,"حلو جدا"
"QR & Barcode Reader","Unknown",5,"ok"
"QR & Barcode Reader","Unknown",4,"ok"
"QR & Barcode Reader","Unknown",1,"Now destroyed by intrusive ads claiming it is out of date forcing update which is in fact downloading a replacement app"
"QR & Barcode Reader","Unknown",1,"complicated"
"QR & Barcode Reader","Unknown",5,"it's good it's all good."
"QR & Barcode Reader","Unknown",4,"after few extra touvh ups It will prove to be its 5 star"
"QR & Barcode Reader","Unknown",1,"Illegally forces you into accepting targeted ads if you don't pay for their subscription. Blatant violation of GDPR rules"
"QR & Barcode Reader","Unknown",5,"works !"
"QR & Barcode Reader","Unknown",4,"very good 😊"
"QR & Barcode Reader","Unknown",3,"Worked for a little when the barcode I scanned last month worked just fine. Coming back just 2 months later and the same app and barcode are used, except this time it refuses to scan. Couldn't figure out why??"
"QR & Barcode Reader","Unknown",5,"A great app that does exactly what it's supposed to do."
"QR & Barcode Reader","Unknown",5,"best quality. best customer service.."
"QR & Barcode Reader","Unknown",1,"STOP ASKING FOR RATINGS"
"QR & Barcode Reader","Unknown",4,"it's an awesome app"
"QR & Barcode Reader","Unknown",5,"நன்றாக உள்ளது"
"QR & Barcode Reader","Unknown",1,"Too many tracking cookies!"
"QR & Barcode Reader","Unknown",1,"This app is linked to a company called vvum.top. Whenever I try to use the app they try to charge my card 39.95"
"QR & Barcode Reader","Unknown",1,"not good"
"QR & Barcode Reader","Unknown",1,"Doesn't work at all"
"QR & Barcode Reader","Unknown",1,"toi much fin spam"
"QR & Barcode Reader","Unknown",4,"عالی"
"QR & Barcode Reader","Unknown",5,"good 👍 and get and it's great"
"QR & Barcode Reader","Unknown",5,"its good"
"QR & Barcode Reader","Unknown",5,"Awesome used it for years"
"QR & Barcode Reader","Unknown",5,"GOOD"
"QR & Barcode Reader","Unknown",5,"Very useful never fails"
"QR & Barcode Reader","Unknown",1,"Can't decline cookies for targeted ads without going pro. Now removed and believe this is against gdpr regs."
"QR & Barcode Reader","Unknown",5,"this works good"
"QR & Barcode Reader","Unknown",1,"Under GDPR you give the same access whether someone accepts data-mining or not. This has been very clear for some time. If you don't want to give free access regardless of choice feel free to stop offering a free version in the EU."
"QR & Barcode Reader","Unknown",5,"Good"
"QR & Barcode Reader","Unknown",5,"good"
"QR & Barcode Reader","Unknown",1,"I've been using this app for a while, but now the ads prevent me from scanning codes."
"QR & Barcode Reader","Unknown",5,"very good."
"QR & Barcode Reader","Unknown",5,"Works great"
"QR & Barcode Reader","Unknown",5,"Works pretty well, good job maintaining, dont make it by purchase only"
"QR & Barcode Reader","Unknown",1,"app serves easy to click advertisements that navigate to scam pages"
"QR & Barcode Reader","Unknown",1,"Full of scam advertisers"
"QR & Barcode Reader","Unknown",4,"ok"
"QR & Barcode Reader","Unknown",5,"nice application"
"QR & Barcode Reader","Unknown",5,"Works well."
"QR & Barcode Reader","Unknown",1,"Forced to accept cookies to use"
"QR & Barcode Reader","Unknown",1,"U either buy the pro version, or you give them all ur consent... Naah, not for me"
"QR & Barcode Reader","Unknown",1,"Wouldn't scan 2 barcodes on Xbox1 controller bought at Gamestop. One their sticker, one Microsoft, under the battery. No info at all. Then tried random QR Code I noticed on a letter I got from U.S. post office next to address. That code came back as pack if 4 LED lightbulbs. Letter had nothing to do w/ light bulbs. And then 2 obvious ads, saying MUST update. The download should be the most recent version already. Not a good experience."
"QR & Barcode Reader","Unknown",5,"Simply it just works No ads constantly pushed in your face When using the app. No trying to make you upgrade and buy an expensive version. One of the best free apps I've ever downloaded."
"QR & Barcode Reader","Unknown",5,"nice and very cool app"
"QR & Barcode Reader","Unknown",5,"very good"
"QR & Barcode Reader","Unknown",1,"Scam ads taking up over 70% of screen disguised as ui. This is highly misleading and borders on a dark pattern. Shame on you."
"QR & Barcode Reader","Unknown",4,"Good"
"QR & Barcode Reader","Unknown",4,"Good 😊👍"
"QR & Barcode Reader","Unknown",5,"thank you"
"QR & Barcode Reader","Unknown",5,"Good"
"QR & Barcode Reader","Unknown",1,"Forces you to agree to personalized ads"
"QR & Barcode Reader","Unknown",5,"Thank you Teacaps! The scanned results are accurate."
"QR & Barcode Reader","Unknown",5,"Nice"
"QR & Barcode Reader","Unknown",5,"Great app, fast and efficient"
"QR & Barcode Reader","Unknown",5,"good"
"QR & Barcode Reader","Unknown",5,"this is app is really good u guys should use"
"QR & Barcode Reader","Unknown",1,"scam"
"QR & Barcode Reader","Unknown",1,"Yeah forcing me to accept your cookies is a big NO. That is no longer consent"
"QR & Barcode Reader","Unknown",5,"Excelent Customer Service Best Regards Sujith"
"QR & Barcode Reader","Unknown",5,"Perfect"
