"Appname","Date","Score","Text"
"QR Scanner: Barcode Scanner","Unknown",5,"Never let me down as most competitors do..."
"QR Scanner: Barcode Scanner","Unknown",5,"Good camera u should download it for best experience"
"QR Scanner: Barcode Scanner","Unknown",5,"Pleasant"
"QR Scanner: Barcode Scanner","Unknown",5,"Excellent work"
"QR Scanner: Barcode Scanner","Unknown",5,"Nice App"
"QR Scanner: Barcode Scanner","Unknown",5,"this app is great and interesting"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"Best"
"QR Scanner: Barcode Scanner","Unknown",5,"Very nice"
"QR Scanner: Barcode Scanner","Unknown",5,"QR scanner app"
"QR Scanner: Barcode Scanner","Unknown",5,"Cool app that works"
"QR Scanner: Barcode Scanner","Unknown",5,"Works great so far and quick"
"QR Scanner: Barcode Scanner","Unknown",5,"Very good"
"QR Scanner: Barcode Scanner","Unknown",5,"Easy"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"I have had to use this APP only a Few times and I once again efficient"
"QR Scanner: Barcode Scanner","Unknown",1,"Does work in any shape or form. Not even worth loading onto my phone even it's free."
"QR Scanner: Barcode Scanner","Unknown",5,"Works perfectly!"
"QR Scanner: Barcode Scanner","Unknown",5,"This is exceptional"
"QR Scanner: Barcode Scanner","Unknown",5,"It's good"
"QR Scanner: Barcode Scanner","Unknown",4,"Easy to use once you know to only click the very top of it after you have viewed your barcode and not the ad that's below it"
"QR Scanner: Barcode Scanner","Unknown",5,"Super appk 100% Good"
"QR Scanner: Barcode Scanner","Unknown",5,"User friendly and helpful."
"QR Scanner: Barcode Scanner","Unknown",5,"Simple, free and works"
"QR Scanner: Barcode Scanner","Unknown",1,"Can't get it working"
"QR Scanner: Barcode Scanner","Unknown",5,"Great"
"QR Scanner: Barcode Scanner","Unknown",5,"A very good app very fast and Sharp"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"Very nice app"
"QR Scanner: Barcode Scanner","Unknown",5,"Just installed. No comment yet"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"Nice"
"QR Scanner: Barcode Scanner","Unknown",3,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"This application is vary good"
"QR Scanner: Barcode Scanner","Unknown",5,"Excellent"
"QR Scanner: Barcode Scanner","Unknown",5,"Very good"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"Very good"
"QR Scanner: Barcode Scanner","Unknown",4,"Just wanted to know more about the application"
"QR Scanner: Barcode Scanner","Unknown",5,"🥰🥰😍"
"QR Scanner: Barcode Scanner","Unknown",5,"#1 best of the best fast and 100% accurate 👌 👏"
"QR Scanner: Barcode Scanner","Unknown",5,"Nice"
"QR Scanner: Barcode Scanner","Unknown",5,"Good"
"QR Scanner: Barcode Scanner","Unknown",5,"nice working."
"QR Scanner: Barcode Scanner","Unknown",1,"Good aap"
"QR Scanner: Barcode Scanner","Unknown",5,"Supper good nya legit y"
"QR Scanner: Barcode Scanner","Unknown",5,"Good app"
"QR Scanner: Barcode Scanner","Unknown",5,"Very good app for scan and password copy karney kay liya bohat acha app ha"
"QR Scanner: Barcode Scanner","Unknown",5,"গুড"
"QR Scanner: Barcode Scanner","Unknown",5,"Very good"
"QR Scanner: Barcode Scanner","Unknown",5,"Very good"
"QR Scanner: Barcode Scanner","Unknown",3,"Nice app"
"QR Scanner: Barcode Scanner","Unknown",5,"Always works perfectly!!!"
"QR Scanner: Barcode Scanner","Unknown",5,"Very nice and very good"
"QR Scanner: Barcode Scanner","Unknown",5,"It just works 👍"
"QR Scanner: Barcode Scanner","Unknown",5,"Works really works!"
