"Appname","Date","Score","Text"
"SwiftScan: Scan PDF Documents","Unknown",4,"Would be a 5 but the fact you have to buy credits to fax is lame."
"SwiftScan: Scan PDF Documents","Unknown",1,"Very bad service"
"SwiftScan: Scan PDF Documents","Unknown",1,"Added page limit. Had this app since the start of the pandemic, and now I will be deleting it."
"SwiftScan: Scan PDF Documents","Unknown",1,"One of the worst apps i have ever used"
"SwiftScan: Scan PDF Documents","Unknown",1,"Always processes documents, not sure why, even when All options are turned off. Unless it processes we cannot share or use the document scanned!!"
"SwiftScan: Scan PDF Documents","Unknown",1,"Too much adds and restrictions. Just trying to make you pay for it too hard. There are other free and better ones"
"SwiftScan: Scan PDF Documents","Unknown",1,"Used to be EXCELLENT and now I can not even choose which Google drive folder to synch to ! Why fix what was perfect ? Excellent program but did not appreciate being forced to evaluate to stop interroption. This is a paid program if the customer does not want to make a review give him a break!"
"SwiftScan: Scan PDF Documents","Unknown",5,"Great app, wish it was cheaper though"
"SwiftScan: Scan PDF Documents","Unknown",1,"Quality has declined after changing hands. Wasted money on this app. Moved to another free app and getting better scan results."
"SwiftScan: Scan PDF Documents","Unknown",4,"Thanks for no longer being blocked by Google Drive. Finally the app does again the one thing it's supposed to do."
"SwiftScan: Scan PDF Documents","Unknown",5,"Issues with gDrive are fixed! The best scanning app (used to be ScanBot) is now working properly again!!! This app is THE BEST."
"SwiftScan: Scan PDF Documents","Unknown",5,"OK"
"SwiftScan: Scan PDF Documents","Unknown",3,"The scanning works fine but I don't think the AI or OCR works. My pdfs (fairly small) have been stuck in 'queued' and there's no way to cancel it."
"SwiftScan: Scan PDF Documents","Unknown",4,"Very useable scanner."
"SwiftScan: Scan PDF Documents","Unknown",4,"Trying to get a bug figured out with acquiring vip. 5 mega stars if it can be figured out. Otherwise it's a incredible app."
"SwiftScan: Scan PDF Documents","Unknown",1,"Not able to connect google drive. It happened starting Jan 2025. Shows ""This app is blocked This app tried to access sensitive info in your Google Account."""
"SwiftScan: Scan PDF Documents","Unknown",1,"Too many tricks to get you to click stuff that makes them money, try a free no other info app"
"SwiftScan: Scan PDF Documents","Unknown",1,"Will not let me create a >2 page scan, I expected more from the free version"
"SwiftScan: Scan PDF Documents","Unknown",5,"Super and easy to use App !!"
"SwiftScan: Scan PDF Documents","Unknown",1,"Google Drive Sync is broken and the App shows an error, if you try to establish a connection to your Google Account. Support does not provide any information if and when this will be fixed in the future. Please fix this problem."
"SwiftScan: Scan PDF Documents","Unknown",4,"Bought lifetime on StackSocial: Need to take a page from camscanner. extract text without having to save a scan. this sprouts be awesome. Request autoupload to more cloud services (pcloud) AND autoupload local folder and ftp. faxing is cool but too expensive."
"SwiftScan: Scan PDF Documents","Unknown",1,"Used to be great, now the interface is more cluttered, they added AI nonsense and I can't upload to Google drive anymore"
"SwiftScan: Scan PDF Documents","Unknown",1,"Absolutely dumb. When trying to take pictures of mail almost all have a tiny QR code assuming for the senders processing. Damn app won't take a photo of the doc unless I've covered the QR code!!! COME ON."
"SwiftScan: Scan PDF Documents","Unknown",3,"The actual scanning of docs is excellent. However, the interface for uploading documents and pics is convoluted and unreliable. I've lost count on the number of uploads that I have lost while trying to upload to the cloud. The file movements interface should be a simple, easy to use system, which is why my rating is not 5 stars."
"SwiftScan: Scan PDF Documents","Unknown",1,"In the recent Nov 2024 update they broke their Google Drive integration (User just sees an error: ""This app tried to access sensitive info in your Google Account. To keep your account safe, Google blocked this access.""). No idea how their QA process could miss this.. Reporting to their support also didnt provide any info if this will be fixed and when."
"SwiftScan: Scan PDF Documents","Unknown",1,"Do not use. Always blurry. My camera works fine but this app is always blurry. It worked well years and years ago, but now it is non-operational. Don't pay for this or waste time downloading it. There aren't options in the settings to alter the camera settings Aslo, I paid for this years ago and then they wanted me to buy it again, which I did, because I was in a rush to scan and it doesn't even work. Garbage app."
"SwiftScan: Scan PDF Documents","Unknown",3,"Device sync and Automatic upload cannot be linked to Google account. it's blocked by Google.please advise, App responsive is best, user friendly, I might switch to this ..."
"SwiftScan: Scan PDF Documents","Unknown",1,"Ads, subscription, bad permission policy. It used to be feature-complete and went without updates for years but the owner got greedy."
"SwiftScan: Scan PDF Documents","Unknown",3,"Stopped working with Google Drive. And it is trying to upsell more stuff I don't need."
"SwiftScan: Scan PDF Documents","Unknown",1,"Edit: No longer syncs to Google Drive. This was just the best APP for scanning and uploading documents!"
"SwiftScan: Scan PDF Documents","Unknown",1,"Not great. Loaded with predatory and deceptive ad popups."
"SwiftScan: Scan PDF Documents","Unknown",1,"In data saftey section, app makes no mention of collecting browsing data. Once you install the app however. They force you go consent to sharing your browsing data? Why does Google allow these deceptive apps on their own app store?"
"SwiftScan: Scan PDF Documents","Unknown",1,"Worst Scanning App Ever Used"
"SwiftScan: Scan PDF Documents","Unknown",1,"Broken After Update (again). This time, the automatically saved PDFs are empty. I have to export the PDF a second time for the correct content."
"SwiftScan: Scan PDF Documents","Unknown",5,"A little hard to navigate, but gets the job done!"
"SwiftScan: Scan PDF Documents","Unknown",1,"It is not possible to upload files do Google Drive anymore. ""This app is blocked"" is the error. Probably this is problem on SwiftScan side."
"SwiftScan: Scan PDF Documents","Unknown",1,"Been using for many years. Was great now it's AI..AI ... And subscription ...Don't want it. Also no longer syncs with Google drive. I just want to scan receipts . Btw found out google drive has the same feature built in so using that"
"SwiftScan: Scan PDF Documents","Unknown",1,"Just need it to do a simple pdf save and upload. Way too many clicks. Early versions were better"
"SwiftScan: Scan PDF Documents","Unknown",3,"It does not provide useful services in the free version."
"SwiftScan: Scan PDF Documents","Unknown",2,"They used to be one time payment app. Now they are a subscription app. I am deleting it as I hate subscription apps"
"SwiftScan: Scan PDF Documents","Unknown",1,"after the newest update swift scan is unusable on my pixel 7, because it keeps wanting me to grant permissions that it already has. ""SwiftScan wants additional access to your Google Account"" Google says there's an error in the app. please fix!"
"SwiftScan: Scan PDF Documents","Unknown",1,"Cloud sync stopped working, and apart from the ads... can we please stop getting AI shoved down our throats?! I just need to scan documents and have them uploaded, period. This app used to do the job smoothly. Now it doesn't anymore"
"SwiftScan: Scan PDF Documents","Unknown",3,"Nutze die App eigentlich schon lange und gernel. Aber... Seit dem letzten Update merkt sich die App nicht mehr meine Scan-Einstellungen, was extrem lästig und aufwendig ist. Es ist unklar, ob dies Absicht ist, um den Nutzer zum Abo zu zwingen. Vor dem Hintergrund, dass Funktionen aus einer früheren Einmalzahlung nun nicht mehr inklusive sind, da auf ein Abo umgestellt wurde, werde ich sicherlich nicht erneut Geld bezahlen."
"SwiftScan: Scan PDF Documents","Unknown",5,"Great scanner...gets job done quickly..,thank you"
"SwiftScan: Scan PDF Documents","Unknown",2,"Edit: app has become unbearable"
"SwiftScan: Scan PDF Documents","Unknown",1,"não tem mais nenhuma funcionalidade gratuita. é melhor usar o do Adobe que oferece tudo gratuitamente e precisa pagar apenas se quiser alguma recursos a mais, mas o básico (scanear e baixar o scan) é gratuito."
"SwiftScan: Scan PDF Documents","Unknown",5,"this has been so far the best scanner app I have used. very happy. very intuitive."
"SwiftScan: Scan PDF Documents","Unknown",5,"Usefull aplication"
"SwiftScan: Scan PDF Documents","Unknown",5,"Always the best"
"SwiftScan: Scan PDF Documents","Unknown",1,"ALERT ⚠️ THIS APP IS FRAUDULENT AND PHISHING ON USERS ACCOUNTS AND INFO. PLEASE BE ADVISED DO NOT ATTEMPT TO DOWNLOAD THIS APP. I RECEIVED AN ALERT FROM RISK MANAGEMENT THAT THIS APPLICATION IS INVOLVED IN FRAUDULENT ACTIVITIES AND PHISHING THRU USER ACCOUNTS. ALERT ⚠️ PLEASE DO NOT USE THIS APPLICATION IT IS MISUSING USERS ACCOUNT INFO INVOLVED IN FRAUDULENT/PHISHING ACTIVITES! THIS IS MY SECOND POSTING OF THIS APPS RISK BEHAVIORS AND THEY DELETED/ INTERCEPTED MY FIRST REVIEW"
"SwiftScan: Scan PDF Documents","Unknown",5,"good"
"SwiftScan: Scan PDF Documents","Unknown",1,"Previously purchased no longer functions as purchased, now requires a subscription and have filled the app with advertisements that interfere with use of the application. Can't recommend this app any longer"
"SwiftScan: Scan PDF Documents","Unknown",1,"I had purchased full version of this App and after the vendor changed it to monthly or yearly subscription, the app not working anymore, get stuck on camera scanning initial mode and does not let me access my previous scanned files anymore. Not recommended anymore, lost all my stored scanned files through this app. Update. The updated version seems to have fixed the previous issues."
"SwiftScan: Scan PDF Documents","Unknown",1,"Used to be very good. Now filled with ads. Daily notification to see ads."
"SwiftScan: Scan PDF Documents","Unknown",4,"Great app, love the auto OCR and Drive upload."
"SwiftScan: Scan PDF Documents","Unknown",5,"I like this app, different functions and quality!"
"SwiftScan: Scan PDF Documents","Unknown",1,"It was free in the past, now it is full of advertisements and subscriptions"
"SwiftScan: Scan PDF Documents","Unknown",2,"I've used the app for years as it does it's job really well: scan - process - share/save. Less than 5 stars because: 1) Google Drive is currently not supported: (""This app tried to access sensitive info in your Google Account. To keep your account safe, Google blocked this access."") 2) I cannot access my documents from the file manager, nor can I choose what folder the app saves files too (access denied). This means that my scans aren't accessible for me! (unless I set up an FTP server somehow)"
"SwiftScan: Scan PDF Documents","Unknown",1,"All I want do to is to scan to PDF and upload to a shared drive. Multi page scans are asking if I want to use the camera, image or file all the time. That was not the case in the past. Real deal breaker since last week, uploaded PDFs are plain white pages missing the content."
"SwiftScan: Scan PDF Documents","Unknown",1,"I paid for this a while back and now it's full of stinking adverts. Also no longer connects to Drive: ""This app is blocked.. This app tried to access sensitive info in your Google Account. To keep your account safe, Google blocked this access."""
"SwiftScan: Scan PDF Documents","Unknown",2,"Use ""CamScaner"" it's better."
"SwiftScan: Scan PDF Documents","Unknown",1,"No longer able to upload scans to Google Drive."
"SwiftScan: Scan PDF Documents","Unknown",5,"im loving my app store more and more it has been an adventure"
"SwiftScan: Scan PDF Documents","Unknown",1,"Al parecer se volvio una apliyde suscripción lo que habia pagado antes ya no es valido, una pena"
"SwiftScan: Scan PDF Documents","Unknown",1,"Update: it's now subscription based. Pretty good scanner, but the free version is a bit too limited. Also, processing should be done after you take a picture not before because as it stands it requires keeping the phone steady and it takes a while. There's no way to share a single page from a document."
"SwiftScan: Scan PDF Documents","Unknown",5,"Nidhanam bhavgeet album"
"SwiftScan: Scan PDF Documents","Unknown",2,"Can not connect to Google drive Been here since your early days and lived it. PIx for the app and now I can not sync to Google Dru e. Error says login was blooked by Google for my protection."
"SwiftScan: Scan PDF Documents","Unknown",5,"This app made my life so much easier!"
