"Appname","Date","Score","Text"
"Stop Motion Studio","Unknown",5,"Decent app, no adds and if you cant be bothered to edit in a different app then premium is awsome its easy to use. The tutorials are decent aswell"
"Stop Motion Studio","Unknown",5,"Perfect for kids. My 9 y.o. daughter is fond of stop motion animations and has already taken a class on it. This app gives her an opportunity to be autonomous and creative while being guided by video tutorials. Very happy with my purchase."
"Stop Motion Studio","Unknown",5,"Cool"
"Stop Motion Studio","Unknown",5,"I like it perfect for animations"
"Stop Motion Studio","Unknown",1,"Sounds don't work and can't download to phone"
"Stop Motion Studio","Unknown",1,"Can't do much with the free version."
"Stop Motion Studio","Unknown",1,"TERRIBLE!! SO BASICALLY I TOOK PICTURES AND IT DELETED HALF OF THE PICTURES I TOOK. DONT DOWNLOAD THIS SCAM"
"Stop Motion Studio","Unknown",5,"Fun and accurate"
"Stop Motion Studio","Unknown",5,"A five star remarks good app no problem at all infact the paid promotion is better"
"Stop Motion Studio","Unknown",5,"It is the best app me and my friend had so much fun . Even if you don't have a lot of money you can still make really good and excellent stop motion. Go and make your own with your friends."
"Stop Motion Studio","Unknown",1,"all important things in the app need to be pay so if you wanted a free app to create animation don't try this app"
"Stop Motion Studio","Unknown",5,"this is a surprisingly great stop motion app and easy to navigate and finding more sounds on the internet and implementing them here is easy I've loved making films with this and hope more features will be added soon"
"Stop Motion Studio","Unknown",5,"So good hope"
"Stop Motion Studio","Unknown",3,"It's a good app. The only problem is I cannot get a remote camera button to work in the app. I have tried a couple of different makes of remote button. They do work on the device camera outside of the app. So not sure why it doesn't work in the app? I am using the Galaxy Tab A9"
"Stop Motion Studio","Unknown",5,"Very great, it's awesome, and it takes time to get it smooth, I like doing stop motion with Legos"
"Stop Motion Studio","Unknown",5,"Very cool app! Though I need to paid for unlocking some features, but it worth:3"
"Stop Motion Studio","Unknown",4,"I love how it make my movie look like a pro did it but it needs to let me save it to my phone"
"Stop Motion Studio","Unknown",5,"Easy to use"
"Stop Motion Studio","Unknown",5,"🔥"
"Stop Motion Studio","Unknown",4,"It doesn't give you access to download your files so I can't upload them to an editing software. It's kind of a pretty big downside to this app. I feel like it could have had a lot more potential, but sadly not."
"Stop Motion Studio","Unknown",1,"It doesn't work. I hate a it. If I could, I would rate it a zero"
"Stop Motion Studio","Unknown",5,"Thank you for helping me during my practical exam assignment for school graduation. It's really a very helpful tool for making stop motion, 5 star worthy."
"Stop Motion Studio","Unknown",5,"I love this app bc it has all the features i need to make a good film"
"Stop Motion Studio","Unknown",5,"It's really good app for stop motion makers like me and I have really smooth animations like if I would have to go in premiere and take pictures on like a camera and like do that and upload it would be hard but with this app I just take a picture move you don't have to really do it in premiere I could just like import it into capcut"
"Stop Motion Studio","Unknown",4,"It's a great app and is very useful, I just wish you could record on the app. There is a couple other problems that I would like to be included in the game such as being able to change the frame rate and background/color theme, but other than a couple preferences I have, it's very useful"
"Stop Motion Studio","Unknown",2,"You can't even erase for cool effects,you can't even set how to make it without having to pay premium,bet you can't even upload without having to pay premium.But it's the thought that counts."
"Stop Motion Studio","Unknown",4,"Really cool and fun, but I don't have premium.S so I can't have any of the cool stuff😁"
"Stop Motion Studio","Unknown",3,"I cannot donload it, it says there id somrthing wrong."
"Stop Motion Studio","Unknown",4,"A decent app"
"Stop Motion Studio","Unknown",2,"Every thing is behind a pay wall and goodluck with the audio"
"Stop Motion Studio","Unknown",3,"You have to pay for special effects and stuff, which is kinda bummy."
"Stop Motion Studio","Unknown",5,"This is a good app for stop motion it is easy to use it."
"Stop Motion Studio","Unknown",5,"I say, stop motions. Tudio is a really fun app and a good way to start like a career like a stopwatching YouTube channel. And I really enjoyed it and enjoy it. I have made some really good job stop motions with this and I hope you enjoy it as much as I do."
"Stop Motion Studio","Unknown",5,"Please check . I think you charged me twice...4 Feb and 31 January. Two amounts paid to Retail in Motion"
"Stop Motion Studio","Unknown",5,"the app is amazing but I think it should have better compatible with Android like having focus which I don't have currently but overall it's tey what app for stop motion out there"
"Stop Motion Studio","Unknown",1,"COOL. 12/25"
"Stop Motion Studio","Unknown",4,"Good"
"Stop Motion Studio","Unknown",1,"Meh"
"Stop Motion Studio","Unknown",5,"I really like it it helps me out my stop motion"
"Stop Motion Studio","Unknown",5,"This is so amazing app"
"Stop Motion Studio","Unknown",5,"Awesome"
"Stop Motion Studio","Unknown",1,"I hate it"
"Stop Motion Studio","Unknown",1,"It keeps crashing on my pixel"
"Stop Motion Studio","Unknown",1,"You can't draw stop motion"
"Stop Motion Studio","Unknown",5,"Brilliant app. But I have to say, it doesn't focus close objects on my Xiaomi 13T Pro. Stop motion often requires shooting close objects."
"Stop Motion Studio","Unknown",5,"Amazing"
"Stop Motion Studio","Unknown",5,"It is good,however,over the past few days it has not been allowing to take pictures and I do not know why. But I accidently gave this five stars,but because of those problems,-3 stars."
"Stop Motion Studio","Unknown",5,"It is so amazing it is kind of smooth if you can make it even smoother I will give you 5,000 Stars I put it in the thing I guess 😁 please"
"Stop Motion Studio","Unknown",5,"It is good"
"Stop Motion Studio","Unknown",5,"יש המון אפשרויות לעשות סרטונים קצרים או ארוכים, כדאי להתקין"
"Stop Motion Studio","Unknown",5,"There's so much packed into this one app. The premium version is just very very good for the cost. Very grateful that they made it so it's a one time payment for life. Appreciate you all so much ♥️"
"Stop Motion Studio","Unknown",2,"The app used to be great, however recently there's a bug that whenever I try to filming the camera always set back to default settings if I left it open for a while and its very annoying if I have to set it right again and again. Can you please fix this problem? Thank you very much."
"Stop Motion Studio","Unknown",1,"To add any imported sounds you have tobuy premium"
"Stop Motion Studio","Unknown",3,"All okay. but export option should be more clear. I tried everything and only then I was able to download my video."
"Stop Motion Studio","Unknown",2,"It was good. Then the features didn't work."
"Stop Motion Studio","Unknown",4,"really good, the only negative the object is a bit blurred near the camera"
"Stop Motion Studio","Unknown",3,"It was ok but my screen went up side down one time and it is hard to control or it is just me"
"Stop Motion Studio","Unknown",2,"Cant erace"
"Stop Motion Studio","Unknown",4,"Very cool but I wish they had more features that were free like drawing over the video because I then could make explosions for my army men videos. But overall it's not bad. But please make features free."
"Stop Motion Studio","Unknown",1,"Cant add images gotta buy for 5 bucks 🤮🤬🤬🤮🤢😬"
"Stop Motion Studio","Unknown",5,"Amazing and with this game you get to let out your creativity ⭐⭐⭐⭐⭐"
"Stop Motion Studio","Unknown",5,"It's really easy to make good stop motion movies al u need is something to hold your device"
"Stop Motion Studio","Unknown",5,"Awesome🙀"
"Stop Motion Studio","Unknown",2,"I would have read this a four star but there's one thing that annoys me so much on this app first of all I installed another app call the filmmaker and I went on there trying to make something and all of my stop-motion wasn't on there so I couldn't add all my stop-motion together second of all second of all there is no way to share it to anything..."
"Stop Motion Studio","Unknown",1,"I whont let my download this app so one star"
"Stop Motion Studio","Unknown",5,"This is a great app for all levels of stop motions. There is simply nothing wrong with it."
"Stop Motion Studio","Unknown",1,"You need ""Premium"" to even do what the app is supposed to do."
"Stop Motion Studio","Unknown",1,"fun horse things that you can make"
"Stop Motion Studio","Unknown",1,"App doesn't want to run/open on Lenovo Tab M10 (3rd Gen), hence 1 star. Works fine on Samsung mobile device."
"Stop Motion Studio","Unknown",1,"Didn't even work it's terrible 😛"
"Stop Motion Studio","Unknown",1,"I just want to give zero star but there is no option to to zero star You can do everything in this by every video editor app of free plan"
"Stop Motion Studio","Unknown",5,"It is so good with this app 5 stars"
"Stop Motion Studio","Unknown",5,"Good"
"Stop Motion Studio","Unknown",5,"good"
