"Appname","Date","Score","Text"
"VN - Video Editor & Maker","Unknown",5,"Super and free"
"VN - Video Editor & Maker","Unknown",5,"Best app 👀"
"VN - Video Editor & Maker","Unknown",3,"Good"
"VN - Video Editor & Maker","Unknown",5,"It's a wonderful app. I strongly recommend"
"VN - Video Editor & Maker","Unknown",5,"Vn is the best. Other app. They just keep focusing on selling premium. 🤡. But vn don't. And it's simple too. I love them."
"VN - Video Editor & Maker","Unknown",5,"PUNNETH"
"VN - Video Editor & Maker","Unknown",5,"Super Vn App"
"VN - Video Editor & Maker","Unknown",5,"Nice"
"VN - Video Editor & Maker","Unknown",5,"It's very easy to operate and has nice and cool features"
"VN - Video Editor & Maker","Unknown",5,"Good"
"VN - Video Editor & Maker","Unknown",5,"Good"
"VN - Video Editor & Maker","Unknown",4,"Isma song nhi aati ha"
"VN - Video Editor & Maker","Unknown",2,"Nice"
"VN - Video Editor & Maker","Unknown",5,"Best"
"VN - Video Editor & Maker","Unknown",1,"😤🤢🤮"
"VN - Video Editor & Maker","Unknown",5,"Nice 👍 good"
"VN - Video Editor & Maker","Unknown",3,"we"
"VN - Video Editor & Maker","Unknown",5,"Cool"
"VN - Video Editor & Maker","Unknown",2,"Hello Dosto"
"VN - Video Editor & Maker","Unknown",5,"Nice app,, I very like it."
"VN - Video Editor & Maker","Unknown",5,"Nice"
"VN - Video Editor & Maker","Unknown",4,"Very good"
"VN - Video Editor & Maker","Unknown",5,"Great"
"VN - Video Editor & Maker","Unknown",1,"Very good"
"VN - Video Editor & Maker","Unknown",5,"Nice"
"VN - Video Editor & Maker","Unknown",5,"Good"
"VN - Video Editor & Maker","Unknown",4,"I love this application being an editor and content creator"
"VN - Video Editor & Maker","Unknown",5,"Good"
"VN - Video Editor & Maker","Unknown",5,"Great 👍"
"VN - Video Editor & Maker","Unknown",5,"Excellent 👌👌👌"
"VN - Video Editor & Maker","Unknown",5,"Nice great second time used 👍 interest"
"VN - Video Editor & Maker","Unknown",5,"Nice app 👍"
"VN - Video Editor & Maker","Unknown",4,"Hoog"
"VN - Video Editor & Maker","Unknown",4,"Nice 🙂"
"VN - Video Editor & Maker","Unknown",5,"NYC working and good app"
"VN - Video Editor & Maker","Unknown",5,"One of the best video editor in the world 🌍"
"VN - Video Editor & Maker","Unknown",1,"Need animationats effects, LIKE INSHOT,"
"VN - Video Editor & Maker","Unknown",5,"Cool"
"VN - Video Editor & Maker","Unknown",5,"Best app"
"VN - Video Editor & Maker","Unknown",5,"Good"
"VN - Video Editor & Maker","Unknown",5,"It's an easy application, I like it"
"VN - Video Editor & Maker","Unknown",5,"👍"
"VN - Video Editor & Maker","Unknown",5,"What a this app ❤️🙌"
"VN - Video Editor & Maker","Unknown",5,"My favourite app 🥰🥰"
"VN - Video Editor & Maker","Unknown",5,"Fabulous"
"VN - Video Editor & Maker","Unknown",4,"Just awesome 💗"
"VN - Video Editor & Maker","Unknown",5,"Nice to great"
"VN - Video Editor & Maker","Unknown",5,"Excellent app💝"
"VN - Video Editor & Maker","Unknown",2,"Super"
"VN - Video Editor & Maker","Unknown",5,"🔝"
"VN - Video Editor & Maker","Unknown",5,"good app"
"VN - Video Editor & Maker","Unknown",5,"Nice and easy to use"
"VN - Video Editor & Maker","Unknown",5,"Nice application 🥰"
"VN - Video Editor & Maker","Unknown",5,"Good 👍"
"VN - Video Editor & Maker","Unknown",5,"osm"
"VN - Video Editor & Maker","Unknown",1,"Nice edit"
"VN - Video Editor & Maker","Unknown",5,"This is a very great app for editing 💥🔥🔥🔥"
"VN - Video Editor & Maker","Unknown",1,"Nice"
"VN - Video Editor & Maker","Unknown",5,"Suoerb App"
"VN - Video Editor & Maker","Unknown",5,"It's very good aap"
"VN - Video Editor & Maker","Unknown",5,"Very good editing app"
"VN - Video Editor & Maker","Unknown",5,"Good 😊"
"VN - Video Editor & Maker","Unknown",4,"Nice"
"VN - Video Editor & Maker","Unknown",5,"Nice"
"VN - Video Editor & Maker","Unknown",1,"App downgrade the quality after rendering video"
"VN - Video Editor & Maker","Unknown",5,"ɪ ʟɪᴋᴇ ᴠɴ ᴀᴘᴘ ᴛʜɪs sᴄᴇɴᴀʀ ᴜᴘʟᴏᴅ ɪɴ ᴠɪᴅᴇᴏ ʀᴇᴅʏ"
"VN - Video Editor & Maker","Unknown",5,"Nice editing app"
"VN - Video Editor & Maker","Unknown",4,"Very useful application"
"VN - Video Editor & Maker","Unknown",5,"Nice"
"VN - Video Editor & Maker","Unknown",4,"Very dangerous app 💀"
"VN - Video Editor & Maker","Unknown",5,"Very good"
"VN - Video Editor & Maker","Unknown",5,"This app is very useful"
"VN - Video Editor & Maker","Unknown",5,"Great"
"VN - Video Editor & Maker","Unknown",1,"vn aap nhi ho rha hi"
