"Appname","Date","Score","Text"
"KineMaster - Video Editor","Unknown",5,"kinemaster editing best app"
"KineMaster - Video Editor","Unknown",1,"Logo problem"
"KineMaster - Video Editor","Unknown",5,"Very good app but watermark is big issue."
"KineMaster - Video Editor","Unknown",5,"ধন্যবাদ"
"KineMaster - Video Editor","Unknown",5,"Nice"
"KineMaster - Video Editor","Unknown",5,"good"
"KineMaster - Video Editor","Unknown",5,"Very nice"
"KineMaster - Video Editor","Unknown",5,"very good editing 💯💯💯"
"KineMaster - Video Editor","Unknown",1,"save problem"
"KineMaster - Video Editor","Unknown",5,"Best ❤️❤️💪🤟"
"KineMaster - Video Editor","Unknown",1,"This aap is excellent. I like to much. Thank you so much."
"KineMaster - Video Editor","Unknown",5,"good app"
"KineMaster - Video Editor","Unknown",3,"good app! love it but the ads are annyoying"
"KineMaster - Video Editor","Unknown",3,"Good"
"KineMaster - Video Editor","Unknown",5,"best for minded editing"
"KineMaster - Video Editor","Unknown",2,"water mark not good"
"KineMaster - Video Editor","Unknown",5,"super"
"KineMaster - Video Editor","Unknown",5,"good"
"KineMaster - Video Editor","Unknown",5,"super"
"KineMaster - Video Editor","Unknown",5,"nice softwere very comfortable"
"KineMaster - Video Editor","Unknown",4,"kine master is best editor app in all editors kinemaster is all good for edit"
"KineMaster - Video Editor","Unknown",4,"Very nice 👍 , There is many features . And also keep going with many features..."
"KineMaster - Video Editor","Unknown",1,"good"
"KineMaster - Video Editor","Unknown",4,"good app"
"KineMaster - Video Editor","Unknown",4,"It is good but it would be great if the watermark is removed"
"KineMaster - Video Editor","Unknown",4,"super"
"KineMaster - Video Editor","Unknown",5,"❣️❣️"
"KineMaster - Video Editor","Unknown",5,"nice 🙂"
"KineMaster - Video Editor","Unknown",1,"Thank you"
"KineMaster - Video Editor","Unknown",2,"I am not able to understand this app"
"KineMaster - Video Editor","Unknown",5,"Good"
"KineMaster - Video Editor","Unknown",1,"app is not working when going more and more zoom or enhance timeline"
"KineMaster - Video Editor","Unknown",5,"Best app"
