"Appname","Date","Score","Text"
"Photo Editor by BeFunky","Unknown",1,"Couldn't download the application for my laptop from Google Play. Which is my preferred way of using apps. Hope this becomes available at some point."
"Photo Editor by BeFunky","Unknown",3,"Average. There are better apps with more intuitive user friendly functions"
"Photo Editor by BeFunky","Unknown",5,"Love this app/website, have been using it for a long time. All of the features are very easy to use. It is perfect for graphic design. Although if you are trying to find an app to draw with, please never use this one"
"Photo Editor by BeFunky","Unknown",1,"I've used this app for years, absolutely loved it, did everything I needed it to do, but today I had to delete quick to make space then redownload it, but I can't, it's telling me it doesn't work for my device, yet I used it fine yesterday? I've used it for years and no problems, so why now can I no longer use it? How can it not work for my device anymore even when it was fine yesterday, was there an update that makes it so I can download it anymore?"
"Photo Editor by BeFunky","Unknown",3,"i can't get it on my pc."
"Photo Editor by BeFunky","Unknown",5,"FANTASTIC!"
"Photo Editor by BeFunky","Unknown",5,"so far no issues love it"
"Photo Editor by BeFunky","Unknown",1,"Went from a user friendly app for ""the common man"" to a super strong app that only a small number of professional geeks can easily use. Another great and strong simple app ruined by computer geniuses. The should have kept the simple one (i.e. the FORD) and given the new product ( the hand tuned Ferrari) for those who can enjoy such beasts. What a disappointment and marketing blunder all companies seem to fall victim."
"Photo Editor by BeFunky","Unknown",5,"awesome thanks"
"Photo Editor by BeFunky","Unknown",1,"The app is subscribed by mistake How do I cancel the subscription"
"Photo Editor by BeFunky","Unknown",1,"Money grab. Useless trash."
"Photo Editor by BeFunky","Unknown",1,"Time waste"
"Photo Editor by BeFunky","Unknown",1,"I used to love this app. Now, it crashes whenever I upload a photo to image manager. I went from being able to upload 30+ at once to sometimes 1, mostly none. I've tried everything. Cleared the cache, uninstalled/reinstalled, log out/log in. I'm done. Since the last update it's been horrible. I'm not paying for this anymore. I'll edit photos and make collages elsewhere."
"Photo Editor by BeFunky","Unknown",1,"Do you want to use the AI TOOLS? PAYWALL. There are some mild makeup tools that are usable for free. However, if you DARE USE these free tools, you get a BIGASS ""BE FUNKY"" watermark logo that's 25% of your image size in the corner. Insultingly useless app. BONUS, no advertising deluge required while the free version of the app wastes your time and annoys you. The demo AI isn't bad at object removal. Demo AI isn't great at image uncropping, it like to change styles randomly. EXTREMELY WORTHLESS"
"Photo Editor by BeFunky","Unknown",4,"Basically, I LOVE THE app and would have given it 5 stars. HOWEVER, there is one major problem with the mobile version. There is no way to group layers! I can do it on the desktop version, but not on my android! That is very frustrating as I'm always designing graphics, etc."
"Photo Editor by BeFunky","Unknown",1,"I guess since my review was mysteriously deleted, that could only mean that they are trying to silence me because they know they are fraudulently scamming people. Freedom of speech is the first amendment right of all Americans. Maybe I should sue them for restricting my speech to warn others of their scams?? Do not use this application! They are definitely not to be trusted! If they delete this comment, I will call my lawyer and take this pathetically evil scamming developer to court. Why lie?"
"Photo Editor by BeFunky","Unknown",1,"I absolutely love this app. Ive used it for years on a variety of phones. I really should buy the upgrade. Edit: how do I get pro version back. Edit 2: I loved this app. I don't anymore. I paid for pro. I can't access it anymore the new version sucks. 5 star to no star."
"Photo Editor by BeFunky","Unknown",1,"Signed up for a free month, took out the $18.99 straight away and won't refund me"
"Photo Editor by BeFunky","Unknown",1,"to hard to use with moble even using a mouse . Then after you spend a hour retouching a photo it stops and put in a add and every thing is lost. and all things good is pay for . no free good things. I just wanted to change a color from white to blue I send 1 hour and could not do it."
"Photo Editor by BeFunky","Unknown",1,"Just redownloaded the app on my replacement phone and absolutely hate it. It's brought up in Chrome for reason, and is a completely different app than the simple but effective and enjoyed one I've been using since 2018. Is there any way to go back to that version of the app without having to replace the busted screen on the phone I had before? Ugh."
"Photo Editor by BeFunky","Unknown",1,"Worthless"
"Photo Editor by BeFunky","Unknown",5,"great!!!!"
"Photo Editor by BeFunky","Unknown",1,"Big obnoxious watermark. Why even bother. Waste of time."
"Photo Editor by BeFunky","Unknown",3,"usefuul profesional"
"Photo Editor by BeFunky","Unknown",5,"Awesome!"
"Photo Editor by BeFunky","Unknown",1,"Can't use the app unless you upgrade"
"Photo Editor by BeFunky","Unknown",1,"DO NOT DOWNLOAD! It's terrible. You cannot download any pictures without premium and the pictures are too small to screenshot. DO NOT DOWNLOAD!"
"Photo Editor by BeFunky","Unknown",5,"i love this app!!"
"Photo Editor by BeFunky","Unknown",1,"Opening in browser and cannot create image as per mentioned. Immediately removed this"
"Photo Editor by BeFunky","Unknown",1,"tried to get the subscription on my Google pixel 8. But it tells me the subscription is not compatible with my phone, although I use the app just fine. Weird. But too much hassle trying to contact BeFunky. Found another app that did the job. Saved me some money!"
"Photo Editor by BeFunky","Unknown",1,"never worked"
"Photo Editor by BeFunky","Unknown",5,"Just superb"
"Photo Editor by BeFunky","Unknown",4,"Great AI editing tool."
"Photo Editor by BeFunky","Unknown",5,"I use this app for the AI enhancer all the time."
"Photo Editor by BeFunky","Unknown",1,"Absolutamente inaceitável, Esta aplicação de alteração de imagem é absolutamente inaceitável. Como Davinci disse no século V: - ""Eu gostavs mais de flappy bird."" 0 estrelas. Edit: Encontrei outro ainda pior, 1 estrela."
"Photo Editor by BeFunky","Unknown",5,"It's not letting me use any photos."
"Photo Editor by BeFunky","Unknown",5,"google com/password is"
"Photo Editor by BeFunky","Unknown",5,"Love BeFunky!"
"Photo Editor by BeFunky","Unknown",5,"Great editing and posting platform! I love it!"
"Photo Editor by BeFunky","Unknown",1,"Extremely OVERPRICED!!!"
"Photo Editor by BeFunky","Unknown",5,"Legit"
"Photo Editor by BeFunky","Unknown",5,"Nice"
"Photo Editor by BeFunky","Unknown",5,"open problem"
"Photo Editor by BeFunky","Unknown",1,"I am not going to pay for an app that won't let me at least find out if I like it or if it can do what I need. This app does not. Must pay before you even know if you can actually use it"
"Photo Editor by BeFunky","Unknown",5,"Very good"
"Photo Editor by BeFunky","Unknown",1,"If it's running in chrome anyway, don't make me download it. I was already using chrome. I also don't appreciate the absolutely massive watermark. Put it down in the corner, not 1/3 of the image."
"Photo Editor by BeFunky","Unknown",5,"I really say that ,It's such a professional experience. Thank you team for doing great 👍 work for us 🫂"
"Photo Editor by BeFunky","Unknown",1,"Useless app. At first it worked just fine but now it won't even allow me access my project. Absolute trash. Don't recommend. I've un-installed and installed many time but same issue. Utterly useless."
"Photo Editor by BeFunky","Unknown",1,"Gotta setup account just to save a picture. At least give couple of free ones."
"Photo Editor by BeFunky","Unknown",4,"Not bad though just find it hard to upload photos sent to me on WhatsApp"
"Photo Editor by BeFunky","Unknown",4,"Great when it works, sometimes infinite loading."
"Photo Editor by BeFunky","Unknown",1,"Redirects to a webpage which then redirects to play store. Unusable for collages."
"Photo Editor by BeFunky","Unknown",1,"Fraudulent BILLING! STAY AWAY!"
"Photo Editor by BeFunky","Unknown",5,"Great Art Filters"
"Photo Editor by BeFunky","Unknown",5,"excellent program!!"
"Photo Editor by BeFunky","Unknown",1,"You need to create an account and sign in if you wish to edit your own photos"
"Photo Editor by BeFunky","Unknown",5,"love it 🥰"
"Photo Editor by BeFunky","Unknown",5,"A+ ...very nice app. With a great UX. Take it for a test run, and see for yourself."
"Photo Editor by BeFunky","Unknown",5,"Not used yet"
"Photo Editor by BeFunky","Unknown",2,"Not free."
"Photo Editor by BeFunky","Unknown",5,"Best app out there."
"Photo Editor by BeFunky","Unknown",5,"gonna be a tool of the future 7"
"Photo Editor by BeFunky","Unknown",1,"It's basically just a shortcut to their website where they charge you absolutely"
"Photo Editor by BeFunky","Unknown",1,"Difficult to load project too many clicks for simple project"
"Photo Editor by BeFunky","Unknown",5,"Used this app for a day and I Replaced Picsart . More free Tools and Ad free ✌️"
"Photo Editor by BeFunky","Unknown",1,"too expensive without the option to try it . have no idea if it's good to commit financially."
"Photo Editor by BeFunky","Unknown",1,"🗑"
