"Appname","Date","Score","Text"
"Pixlr AI Art Photo Editor","Unknown",5,"ABSOLUTELY THE BEST PHOTO EDITOR APP. I HAVE EVER USED! (YOU NEED THIS APP!)"
"Pixlr AI Art Photo Editor","Unknown",5,"Great app"
"Pixlr AI Art Photo Editor","Unknown",5,"good"
"Pixlr AI Art Photo Editor","Unknown",2,"Error - sorry something went wrong , couldn't remove background , the online pixlr works thou ."
"Pixlr AI Art Photo Editor","Unknown",1,"App only works every 1 in 10 goes..mostly stuck on open screen. Uninstalled and reinstalled a bunch of times but just won't work?"
"Pixlr AI Art Photo Editor","Unknown",1,"Used to be good. Total trash now. Deleting it."
"Pixlr AI Art Photo Editor","Unknown",4,"Backbone of my pic editing but the recent changes to the collage editing has rendered it useless. This breaks my heart. Virtually all the updates in collage have made every function more difficult for me as a 15 year plus user and promoter of your incredible app. Pleased rethink the ability to swap out images back to the simple 'press and drag' and I'll go back to 5 stars. Thank you!"
"Pixlr AI Art Photo Editor","Unknown",4,"Best wishes"
"Pixlr AI Art Photo Editor","Unknown",4,"This has always been a good app. My husband & I have been using & enjoying it for years. The only reason I didn't give it a 5 star rating is the extra cost of having to buy stickers, frames, overlays, fonts, some of which used to be free & the cost of using some of the new AI features. The app also has put in new adds, most of the time they're not intrusive, but if they have to have these adds, then why can't ALL of the apps features be free?"
"Pixlr AI Art Photo Editor","Unknown",1,"I have used this app for years and despite having my info leaked when they were hacked I still use it, but now it is unusable on a Samsung Z Fold. This is the first review I have ever written for any app simply because the interface is terrible and the buttons are smushed on top of each other and it is virtually impossible to use now from whatever update made it terrible."
"Pixlr AI Art Photo Editor","Unknown",5,"A+"
"Pixlr AI Art Photo Editor","Unknown",5,"Good"
"Pixlr AI Art Photo Editor","Unknown",3,"can't open the app after your latest update. I've used it for years and never had a problem but it pops up and says it had to close because of an error and to try updating after dev fixes error."
"Pixlr AI Art Photo Editor","Unknown",5,"very useful"
"Pixlr AI Art Photo Editor","Unknown",5,"nice work nice app"
"Pixlr AI Art Photo Editor","Unknown",5,"Well I'm off and on with my subscription, but even when it's out Pixlr is the best... I do all my work on it, in the times when I can afford all my subscriptions I get even more to play with... Thank you very much.D.K"
"Pixlr AI Art Photo Editor","Unknown",5,"Most useful app"
"Pixlr AI Art Photo Editor","Unknown",5,"this is the best app I've used"
"Pixlr AI Art Photo Editor","Unknown",2,"For years this was my preferred application for photography editing, once I bought the Pro version but after a while it became public for everyone which was a good thing , why I suggested it every one. When very short and understanble advertisings started showing After saving my work I find it acceptable, But for a few days because of looooong video ads before even saving, I keep forgetting whether I saved or not, two times it crashed just after the ads and lost my efforts."
"Pixlr AI Art Photo Editor","Unknown",4,"good"
"Pixlr AI Art Photo Editor","Unknown",5,"I've had this app for years just keeps getting better. I couldn't ask for a better tool for my photos. happy would be an understatement."
"Pixlr AI Art Photo Editor","Unknown",3,"Used to be great powerful app, now with obnoxious Ads and a push for AI paid subscriptions."
"Pixlr AI Art Photo Editor","Unknown",5,"It's a dope app"
"Pixlr AI Art Photo Editor","Unknown",5,"I have used this app for about 9 years & still it delivers awesome."
