"Appname","Date","Score","Text"
"PowerDirector - Video Editor","Unknown",5,"Excellent app"
"PowerDirector - Video Editor","Unknown",5,"This is very useful you can download this app"
"PowerDirector - Video Editor","Unknown",5,"good app video creater"
"PowerDirector - Video Editor","Unknown",5,"Nice"
"PowerDirector - Video Editor","Unknown",3,"Hey is there a way to increas the amount of Layers you can add? Because you can only do 5 for me ofc but last time i can do 9 why in this new version downgraded into 5 layers?"
"PowerDirector - Video Editor","Unknown",5,"Amazing👏🤩🙀😯😮😲👏🤩"
"PowerDirector - Video Editor","Unknown",4,"good"
"PowerDirector - Video Editor","Unknown",3,"Some of the neon templates are not working any longer. Example would be colorful neon. If it's in an existing project the project will stop when you have the video rolling. If you try to add it to a project it doesn't show up. This is the same for several of the neon options. It doesn't appear to be a memory storage issue on this end. Please take a look at this."
"PowerDirector - Video Editor","Unknown",5,"Best app"
"PowerDirector - Video Editor","Unknown",5,"A good app to learn editing, just practice, lots of choices to choose how you edit your videos."
"PowerDirector - Video Editor","Unknown",1,"Unusable now, was really good but the app won't let me place any videos on the time line so it won't work. I updated it but it still don't work. Just am update. This app still don't work for me."
"PowerDirector - Video Editor","Unknown",1,"This app is so garbage. I've been editing since 2003 and this barely has basic functions. I can't move and adjust placement in frame but I have access to ai? Very difficult just get something else"
"PowerDirector - Video Editor","Unknown",5,"Awesome"
"PowerDirector - Video Editor","Unknown",1,"Worst app doesn't work and you need to pay before using"
"PowerDirector - Video Editor","Unknown",1,"Best app"
"PowerDirector - Video Editor","Unknown",5,"Great"
"PowerDirector - Video Editor","Unknown",5,"Awesome"
"PowerDirector - Video Editor","Unknown",1,"False Advertising. Ads made it seem like you were able to use the ""non-pro"" features for free, only to find out you need credits to use these ""free"" features. Credits you have to buy."
"PowerDirector - Video Editor","Unknown",1,"It is awful,I wrote to them it is charge credit and money it is not good app"
"PowerDirector - Video Editor","Unknown",4,"This app has been useful to me. For free I use it instead of capcut."
"PowerDirector - Video Editor","Unknown",2,"Well, when I originally purchased it 2 years ago it worked good...then after an update certain transitions etc stopped working properly I was advised to do the usual clear cache etc...if that didn't work uninstall reinstall....I did, it worked but not as good as before Now with the latest update, I cannot export, save in any format, add text to intro....much less than do anything else at this point Thanks you've officially bricked your own app on my phone Close to canceling subscription"
"PowerDirector - Video Editor","Unknown",5,"Great app for video editing and mixing free version have limited access but overall it good 💯/💯"
"PowerDirector - Video Editor","Unknown",5,"Great product even at the free level!"
"PowerDirector - Video Editor","Unknown",5,"Good app"
"PowerDirector - Video Editor","Unknown",4,"Really easy, user friendly."
"PowerDirector - Video Editor","Unknown",4,"Nice working"
"PowerDirector - Video Editor","Unknown",5,"I absolutely love this app. It offers literally everything you would need to start your content creating journey. Has well over +100 functions, MANY of these options are available without Pro. This app also offers the ability to try out pro options and also has the option to watch an ad to let you use certain pro functions. If your a content creator, new or long time, you NEED this app. This is among one of the absolute best video editing apps."
"PowerDirector - Video Editor","Unknown",5,"I think this app is best for video editing 😸"
"PowerDirector - Video Editor","Unknown",5,"Just awesome 👌 👏 👍 😍 everyone must have app....thanks makers"
"PowerDirector - Video Editor","Unknown",1,"I used to like it, but now with its update I can't take photos from my album, unless it's through Google Photos, which I find disgusting."
"PowerDirector - Video Editor","Unknown",5,"Fixed :)"
"PowerDirector - Video Editor","Unknown",1,"I took this app as a 7 day trial and i lost my money from my account instantly. The feature which i was searched is bluring number plates but it has face bluring. When i was tried to cancel it, it says my money wont get back, i took this for 7 days trial. Now they are not retirning my money back"
"PowerDirector - Video Editor","Unknown",1,"Update ** NOW ISSUES WITH LISTENING TO THE MUSIC 1ST BEFORE USING IT ... 30SECS FOR DEMO PLAYBACK TO BE HEARD ?????? On EVERY UPDATE Powerdirector just gets worst !!? Firstly we had constant 4k rendering issues followed by the same in 1080p@30fps when a message appeared asking to choose a different format and smaller file size (if it can't cope with 1080p then what's the point) So many issues, crashes etc."
"PowerDirector - Video Editor","Unknown",5,"awsome"
"PowerDirector - Video Editor","Unknown",5,"This was my best app ever."
"PowerDirector - Video Editor","Unknown",5,"Excellent"
"PowerDirector - Video Editor","Unknown",4,"I am happy with this app and I have not used an editing app before and will continue to use it in the future."
"PowerDirector - Video Editor","Unknown",5,"Totally impressive. I can easily edit my videos.Thanks to the power Director"
"PowerDirector - Video Editor","Unknown",5,"Once upon a time, I was interested very much in VDO editing. I used Power Director, as a hobby. But due to my own limitations, did not take it as a career. But it is good and easy to understand."
"PowerDirector - Video Editor","Unknown",5,"Graat"
"PowerDirector - Video Editor","Unknown",5,"Cool app👍👍"
"PowerDirector - Video Editor","Unknown",5,"Lots of options for posting on the fly..including AI generated music (no copyright strike).Never had a problem with this app."
"PowerDirector - Video Editor","Unknown",5,"I've been using this for 3 years now, I haven't used any ai in my editing, that's all optional, it let's you use every conveniently use tons of editing tools for clips, images, subtitles, fonts, send videos in its own cloud servers to transfer from mobile to pc clips which let's you use edit in a specific way where it'd be helpful on pc This has been the best editing service I've ever been able to use with no crashes."
"PowerDirector - Video Editor","Unknown",5,"awesome!"
"PowerDirector - Video Editor","Unknown",5,"reallyy helpfull"
"PowerDirector - Video Editor","Unknown",1,"I’m using PowerDirector Premium on my Samsung Galaxy S25 Ultra, but it’s full of issues. Audio Problem – After using the noise removal feature, the exported audio gets distorted, with random pitch changes, making it unusable. Export Fails – Videos often get stuck at 30%, 40%, or 90% and show errors, wasting hours of effort. ★Even with a premium subscription, these issues persist. Fix this or refund my money! This is unacceptable for a paid app."
"PowerDirector - Video Editor","Unknown",5,"Very best"
"PowerDirector - Video Editor","Unknown",5,"So far so good, a lot of good editing features. I'm discovering new items every visit to the app. Easy to use, and non tech friendly."
"PowerDirector - Video Editor","Unknown",5,"This is one of the best video editing apps on the market"
"PowerDirector - Video Editor","Unknown",4,"Quite glitchy. Trying to upload a video to edit and I get an error message to say that the resolution is too high! Frustrating, it was ok before I got my new phone. Have since found a way to upload successfully, so have upgraded my review."
"PowerDirector - Video Editor","Unknown",5,"I use the app and I am getting more views and likes this is far too good best 100000000000 stars 🌟 and you shall introduce motion tracking like capcut as my friend uses capcut"
"PowerDirector - Video Editor","Unknown",5,"Best"
"PowerDirector - Video Editor","Unknown",5,"Does what it's supposed to and can use without subscription"
"PowerDirector - Video Editor","Unknown",5,"YES! YES! YES! ""Power Director is the #1 App for making Great Movies Right on YOUR PHONE!"" Period! Use the Free Features ""Out-the-Box"" to start Making Movies like a Pro you can Save or Share. Or.. Buy the Upgrades for more options and Even Better Results. I ""Definitely Recommend"" this to Anyone who wants to Produce Quality Videos/Movies and Impress Anybody with their Cool-AF Movies. 😁 One Love Fam PS. I paid for Lifetime Unlock Years Ago.. but Having a Hard Time with Verification!! Smh!"
"PowerDirector - Video Editor","Unknown",3,"So glitchy. Constant crashes. Pixel 7 pro."
"PowerDirector - Video Editor","Unknown",5,"It is good"
"PowerDirector - Video Editor","Unknown",1,"Now it crashes often ruined hard work"
"PowerDirector - Video Editor","Unknown",1,"No free"
"PowerDirector - Video Editor","Unknown",5,"It's good app"
"PowerDirector - Video Editor","Unknown",4,"Just went to subscribe for a year and you've put the price up !! Seriously, I have purchased from you since pd9 currently owning PD 19 thought I would switch over to Android and you increase the price. I shall find an alternative even though I love PD"
"PowerDirector - Video Editor","Unknown",5,"I didnt know I could do it. WOW!!! Its really easy to use. Thanks!"
"PowerDirector - Video Editor","Unknown",5,"ये ऐप बहुत अच्छा है 😍💯"
"PowerDirector - Video Editor","Unknown",1,"Paid $3 on a small video to enhance and upgrade from ""fuzzy"" - which is what it claims to do. ZERO difference."
"PowerDirector - Video Editor","Unknown",4,"Would be perfect if I could edit the 8k videos in app"
"PowerDirector - Video Editor","Unknown",3,"There's not a lot of good stuff that's free on it but it's pretty unful"
"PowerDirector - Video Editor","Unknown",5,"Good"
"PowerDirector - Video Editor","Unknown",1,"Too many ads and self promotion. Its gone."
"PowerDirector - Video Editor","Unknown",5,"👍🏻"
"PowerDirector - Video Editor","Unknown",4,"It's great for putting together content on the go."
"PowerDirector - Video Editor","Unknown",5,"Nice BB"
"PowerDirector - Video Editor","Unknown",5,"Great tool"
"PowerDirector - Video Editor","Unknown",1,"WHY IS THERE NO 4:3 OPTION FOR VIDEOE??? Who even uses 4:5, which is actually present?"
"PowerDirector - Video Editor","Unknown",5,"Friendly app for video editing..."
"PowerDirector - Video Editor","Unknown",5,"Today, I can not produce videos without the water mark, and I have a valid subscription. I am so annoyed. The app is updated. I am unable to add an Outro. App is updated"
"PowerDirector - Video Editor","Unknown",5,"Awesome app love making videos on it 5 stars!!!"
"PowerDirector - Video Editor","Unknown",1,"BaD"
"PowerDirector - Video Editor","Unknown",5,"Using since 10 years nice application and updated timely with new features"
"PowerDirector - Video Editor","Unknown",4,"Pretty good app"
"PowerDirector - Video Editor","Unknown",5,"Great editing software with awesome tools for editing professional videos and an intuitive easy-to-use interface."
"PowerDirector - Video Editor","Unknown",1,"This blows when you don't pay for premium! Every other click is to clear the ads for itself!"
"PowerDirector - Video Editor","Unknown",5,"It is simple and easy to edit your videos."
"PowerDirector - Video Editor","Unknown",2,"Update: doesn't work right on samsung phone and tablet. It was great on my Google phone, but now it sucks. The music doesn't work, and like 75% of the transitions are gone. Bummer. Canceling subscription. Amazing! So glad I found it. I'm horrible at tech, and I was able to figure it out. I'm still finding new features every time I use it! Highly recommend! Totally worth the money 100%!!"
"PowerDirector - Video Editor","Unknown",5,"This is giid the best app that use to edit video and is good"
"PowerDirector - Video Editor","Unknown",4,"Good app."
"PowerDirector - Video Editor","Unknown",5,"Very good app.. easy to do"
"PowerDirector - Video Editor","Unknown",5,"Best"
"PowerDirector - Video Editor","Unknown",5,"Nice"
"PowerDirector - Video Editor","Unknown",1,"Nice to edit but sorry I uninstalled as I can't add music to a video."
"PowerDirector - Video Editor","Unknown",3,"It took a while to export my edits to 100% like an hour or so. I thought it was my storage problem but I still have a lot of space"
"PowerDirector - Video Editor","Unknown",1,"This is terrible I supported this app when it started and payed for their full service you'd think they'll give you some sort of grandfather deal for supporting from the start but no they want their subscription. This blows, not good power director"
"PowerDirector - Video Editor","Unknown",5,"Nice experience"
"PowerDirector - Video Editor","Unknown",2,"This app started crashing bad tonight I can't even edit my video worked fine last night please fix what ever you broke"
"PowerDirector - Video Editor","Unknown",5,"Hey. I 'm used in this app. I thinking a good app. But, have a video editor apps in playstory. The all apps used. Beaucse, I told video makes for good app to win it's app 😉 But, than wasn't using not this app. Beaucse, than time wasn't seen me this app 😣 But, after see a video editor for good app 😎 This app name is power director video editor 💖 _ Thank you so much aaps company_ 😃"
"PowerDirector - Video Editor","Unknown",1,"New worls order app,subscription only"
"PowerDirector - Video Editor","Unknown",3,"I used to really like it, but as of lately the audio generates a loud ""pop"" sound between to video transitions. I've tried everything and it doesn't eliminate that pop. Not sure if it's a bug, but it hasn't got fixed. I may have to cancel my subscription because of this"
"PowerDirector - Video Editor","Unknown",5,"Excellent"
"PowerDirector - Video Editor","Unknown",5,"I use the free version, and it works great! I would definitely recommend this to anyone who (like myself) is just starting their video editing journey!"
"PowerDirector - Video Editor","Unknown",5,"Nice"
"PowerDirector - Video Editor","Unknown",1,"Can't even export a video I finished. I'm done."
"PowerDirector - Video Editor","Unknown",5,"love it"
"PowerDirector - Video Editor","Unknown",5,"Love it so far !"
"PowerDirector - Video Editor","Unknown",5,"बहुत ही बढ़िया और इस्तेमाल करने में बहुत आसान है। Very nice and very easy to use."
"PowerDirector - Video Editor","Unknown",5,"Awesome Free sound tracks for still images and motion clips to be crafted into a Spectacular video production ❗"
"PowerDirector - Video Editor","Unknown",1,"For a subscription paid service, and an expensive one at that, this app is rubbish. Spent 3 days putting together a video which is only 20 minutes long and it won't produce past 32% 😡 this isn't the first time I've had this issue or others. Doesn't seem to cope well with anything that isn't fairly simple."
"PowerDirector - Video Editor","Unknown",2,"Pretty damn professional. Does everything. Free version is cool. Hardly any ads.update changing the five stars to two because when I start this app I get not one but two full screen adds that have tricky dismiss buttons loading random advertisers websites launching my browser. Cap cut is better."
"PowerDirector - Video Editor","Unknown",5,"I would say BEST EDITING APP!! I've been using years. Now, the AI just makes it even best-er!!"
"PowerDirector - Video Editor","Unknown",1,"👎👎👎👎"
"PowerDirector - Video Editor","Unknown",5,"Op video editor app I like this very much"
"PowerDirector - Video Editor","Unknown",3,"Power director no sound coming from my downloaded clip"
"PowerDirector - Video Editor","Unknown",4,"Best application so far for creative design"
"PowerDirector - Video Editor","Unknown",1,"Sucks For Laptop"
"PowerDirector - Video Editor","Unknown",4,"Actual good, I'm often not intrested in some features but it's really intresting. Some of the features may have problemsiz but I'm still keeping a 4 stars."
"PowerDirector - Video Editor","Unknown",1,"Download nhi ho rha"
"PowerDirector - Video Editor","Unknown",5,"Nice good editing app especially it can be offline"
"PowerDirector - Video Editor","Unknown",5,"Its effortless for all skill levels"
"PowerDirector - Video Editor","Unknown",5,"Excellent!"
"PowerDirector - Video Editor","Unknown",4,"Nice"
"PowerDirector - Video Editor","Unknown",5,"Love it easy to use"
"PowerDirector - Video Editor","Unknown",5,"This I my fav edit I think like capcut ai voice!"
"PowerDirector - Video Editor","Unknown",5,"It's so nice to use, there are so many types of edits in this app. I love this app"
"PowerDirector - Video Editor","Unknown",5,"Good"
"PowerDirector - Video Editor","Unknown",1,"This app is a trash 🗑 dont download it"
"PowerDirector - Video Editor","Unknown",4,"one and only the best powerdirector"
"PowerDirector - Video Editor","Unknown",5,"This is very good app for editing ♥️♥️"
"PowerDirector - Video Editor","Unknown",2,"Cannot edit the LOG video format."
"PowerDirector - Video Editor","Unknown",5,"Love you"
"PowerDirector - Video Editor","Unknown",2,"Like smashing my own hand with a hammer over & over. Had to trick it into accepting external sound FX & it kept trying to snap the audio to a particular starting point. Turned what should have been a quick & easy splice & edit into a multi-hour torture fest"
"PowerDirector - Video Editor","Unknown",5,"I love this app!!!"
"PowerDirector - Video Editor","Unknown",5,"Fun, editing suite. Allows for a lot of creativity. Many features to play with. I pay a small subscription because I use it regularly for work. I've upgraded my rating as this app has improved considerably in the last 2 years. It's quite excellent what you can mash together on just a smartphone."
"PowerDirector - Video Editor","Unknown",5,"La versión gratuita ya es genial. Así que imagínate cómo es la versión de paga. Me encanta que pueda poner subtítulos automáticamente."
"PowerDirector - Video Editor","Unknown",5,"Amazing & Mind blowing editing tool."
"PowerDirector - Video Editor","Unknown",5,"Serve me really well. And the feature is great. Definitely recommend it."
