"Appname","Date","Score","Text"
"Video Maker & Photo Music","Unknown",5,"Nice"
"Video Maker & Photo Music","Unknown",4,"It's nice"
"Video Maker & Photo Music","Unknown",5,"Nice"
"Video Maker & Photo Music","Unknown",1,"Ads heavy no.good app🌹🌹"
"Video Maker & Photo Music","Unknown",5,"It is actually a nice app wish you will add more features to it😊"
"Video Maker & Photo Music","Unknown",5,"This app is so cool 🆒 app"
"Video Maker & Photo Music","Unknown",5,"Super"
"Video Maker & Photo Music","Unknown",5,"Good app"
"Video Maker & Photo Music","Unknown",5,"Good"
"Video Maker & Photo Music","Unknown",5,"Nice"
"Video Maker & Photo Music","Unknown",5,"Cool app!"
"Video Maker & Photo Music","Unknown",5,"Awesome App. 👌🏼👍"
"Video Maker & Photo Music","Unknown",5,"WHOOOAAA"
"Video Maker & Photo Music","Unknown",5,"Just started tobplay around with this app to edit a few holiday videos, all good so far 👍"
"Video Maker & Photo Music","Unknown",5,"Super"
"Video Maker & Photo Music","Unknown",5,"Very good"
"Video Maker & Photo Music","Unknown",5,"Excellent"
"Video Maker & Photo Music","Unknown",5,"Excellent 💯💯💯"
"Video Maker & Photo Music","Unknown",4,"I think it's a pretty good app overall , there are just a few things that could be improved . More effects of butterflies would be nice also some different catorgies of effects would be nice . Also I have issues occasinally will the app freezing up"
"Video Maker & Photo Music","Unknown",5,"Not bad at all"
"Video Maker & Photo Music","Unknown",5,"Awesome pictures editing 👌🏻"
"Video Maker & Photo Music","Unknown",5,"👍"
"Video Maker & Photo Music","Unknown",5,"Good👍"
"Video Maker & Photo Music","Unknown",5,"Best"
"Video Maker & Photo Music","Unknown",5,"Super"
"Video Maker & Photo Music","Unknown",5,"Like it"
"Video Maker & Photo Music","Unknown",5,"Nice l like it ghanto ka kaam minto main ho jata hai"
"Video Maker & Photo Music","Unknown",4,"Very nice app for both photo and vedio editing"
"Video Maker & Photo Music","Unknown",5,"Best"
"Video Maker & Photo Music","Unknown",3,"Nice app"
"Video Maker & Photo Music","Unknown",4,"Good"
"Video Maker & Photo Music","Unknown",5,"I totally l9ve this app"
"Video Maker & Photo Music","Unknown",5,"Best app have ever seen ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍😍🥰🥰"
"Video Maker & Photo Music","Unknown",5,"Advance ✴️"
"Video Maker & Photo Music","Unknown",5,"Super fun."
"Video Maker & Photo Music","Unknown",5,"Great app, AWESOME features."
"Video Maker & Photo Music","Unknown",5,"Good"
"Video Maker & Photo Music","Unknown",3,"Good app but needs a little bit upgrading"
"Video Maker & Photo Music","Unknown",5,"Like it"
"Video Maker & Photo Music","Unknown",5,"Usefully without irritating 👍"
"Video Maker & Photo Music","Unknown",5,"Really good thanks"
"Video Maker & Photo Music","Unknown",5,"Good"
"Video Maker & Photo Music","Unknown",5,"Good app👍"
"Video Maker & Photo Music","Unknown",1,"Useless"
"Video Maker & Photo Music","Unknown",5,"I like it 👍,vedio editing is very easy."
"Video Maker & Photo Music","Unknown",5,"Nice app"
"Video Maker & Photo Music","Unknown",5,"Good experience"
"Video Maker & Photo Music","Unknown",4,"Very nice app"
"Video Maker & Photo Music","Unknown",4,"Very good app"
"Video Maker & Photo Music","Unknown",5,"This is very awesome appp"
"Video Maker & Photo Music","Unknown",5,"Five star"
