"Appname","Date","Score","Text"
"piZap: Design & Edit Photos","Unknown",5,"Very simple to use and highly recommend! I like editing my pictures and this app is great for that..."
"piZap: Design & Edit Photos","Unknown",4,"One of my favorite apps. The only issue I have is that the projects created on the app do not populate in the online account and vice versa. They are working on it, though, and I'm looking forward to that. I am VERY HAPPY with their support team and resolution when I had an issue/question."
"piZap: Design & Edit Photos","Unknown",1,"This app not worth a star. What is wrong with the so called people running this app. It got updated and it still is not giving realistic images on the Magic AI Image Maker. I just re-download it and I had to cancel my subscription cause I thought it was fixed. Thanks alot for wasting my time. This app was a really good one till it got updated. Very disappointing the ugly pics I'm given now."
"piZap: Design & Edit Photos","Unknown",5,"I can edit for my module pics"
"piZap: Design & Edit Photos","Unknown",5,"Used this app for years for fun photo edits!!"
"piZap: Design & Edit Photos","Unknown",5,"Very good apps"
"piZap: Design & Edit Photos","Unknown",1,"I can't use this anymore"
"piZap: Design & Edit Photos","Unknown",2,"Not happy that the app says my phone not compatible with the app but I used to have it on my phone ."
"piZap: Design & Edit Photos","Unknown",1,"Data breach from this app. Do not install"
"piZap: Design & Edit Photos","Unknown",5,"I have used this for years and years for making memes and is the best app out there as far as I'm concerned!"
"piZap: Design & Edit Photos","Unknown",5,"Very nice app"
"piZap: Design & Edit Photos","Unknown",1,"Won't let me use any more"
"piZap: Design & Edit Photos","Unknown",5,"Good"
"piZap: Design & Edit Photos","Unknown",4,"This has been reliable to me since i started using it online 13yrs ago! My needs are simple so did not require pro version. Right now, I have been trying to do simple crops into different shapes and the circles get cut off at the bottom. I don't get why."
"piZap: Design & Edit Photos","Unknown",5,"This app is so much fun, you can be anybody with a little magic."
"piZap: Design & Edit Photos","Unknown",2,"Mostly useless free app. Huge chunk of the usability is locked behind a paywall. Great news, no advertising vids. Bad news, huge price for functionality that HYPIC (Chinese Bytesoft CCP SPYWARE) can do for free. Primary functions in MEME apps are layering (free), text (a dozen free fonts, rest paywall), background erased (manual free, smart erase paywall), you've got about 85% of the app behind a paywall. My first MEME maker app was PHOTOLAYERS, then PICSKIT, now it's mostly HYPIC."
"piZap: Design & Edit Photos","Unknown",5,"Good amount of creative freedom"
"piZap: Design & Edit Photos","Unknown",5,"Awsome.fun"
"piZap: Design & Edit Photos","Unknown",5,"n/a"
"piZap: Design & Edit Photos","Unknown",5,"Best app"
"piZap: Design & Edit Photos","Unknown",5,"Great 😃👍 experience and fun too."
"piZap: Design & Edit Photos","Unknown",5,"4 yrs the best Created 👌"
"piZap: Design & Edit Photos","Unknown",2,"My Samsung S21 still can't access the Samsung Gallery App. It keeps telling me the only albums it can access her the ones that I give it permission to. I do not have permission denied to anything."
"piZap: Design & Edit Photos","Unknown",3,"The older version was much easier to use, especially for older generations."
"piZap: Design & Edit Photos","Unknown",4,"SHARE? Sharing doesn't work? When I tried sharing on a couple different places and a message says the file isn't readable?"
"piZap: Design & Edit Photos","Unknown",1,"The application once provided a reliable AI image generator that produced high-quality images with impressive detail. However, it has since transitioned to a different image generation tool, which unfortunately does not meet the previous standards of quality. This change is particularly disappointing for me, as I relied on this app to create stunning visuals for my business and Facebook page. Now, I must seek an alternative that matches or exceeds the capabilities of its former generator."
