"Appname","Date","Score","Text"
"Video Editor & Maker - InShot","Unknown",5,"NICE APP 🤠"
"Video Editor & Maker - InShot","Unknown",5,"Super experience with knshot in video editing"
"Video Editor & Maker - InShot","Unknown",5,"Excellent"
"Video Editor & Maker - InShot","Unknown",5,"Ok"
"Video Editor & Maker - InShot","Unknown",5,"Superb"
"Video Editor & Maker - InShot","Unknown",4,"It always annoys me that it says to me to buy premium"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Good👍"
"Video Editor & Maker - InShot","Unknown",5,"Superb...easy to use"
"Video Editor & Maker - InShot","Unknown",5,"❤️✨"
"Video Editor & Maker - InShot","Unknown",5,"Good aapl"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Great"
"Video Editor & Maker - InShot","Unknown",5,"❤"
"Video Editor & Maker - InShot","Unknown",5,"I love this app"
"Video Editor & Maker - InShot","Unknown",4,"Good app"
"Video Editor & Maker - InShot","Unknown",5,"The app is very easy to use and does not take long to save your edits. You can use it to make collages,edits videos and crop photos. It doesn't take up much space either. I would totaly recommend"
"Video Editor & Maker - InShot","Unknown",5,"Superb app"
"Video Editor & Maker - InShot","Unknown",5,"Awesome"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Very good app I love it ❤️ thanks so much 🥰🥰🥀"
"Video Editor & Maker - InShot","Unknown",5,"Editing keliye perfect aap"
"Video Editor & Maker - InShot","Unknown",5,"Beast app and my best helper."
"Video Editor & Maker - InShot","Unknown",5,"MONEY"
"Video Editor & Maker - InShot","Unknown",5,"V good"
"Video Editor & Maker - InShot","Unknown",1,"Lags badly if the video is over 9 minutes long. Unusable."
"Video Editor & Maker - InShot","Unknown",5,"Best"
"Video Editor & Maker - InShot","Unknown",5,"To good inshot"
"Video Editor & Maker - InShot","Unknown",5,"Great editor"
"Video Editor & Maker - InShot","Unknown",5,"Great"
"Video Editor & Maker - InShot","Unknown",5,"❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😰"
"Video Editor & Maker - InShot","Unknown",4,"Thanks full"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"This app is so awesome and easy to use!!!!!!!"
"Video Editor & Maker - InShot","Unknown",5,"This nice app"
"Video Editor & Maker - InShot","Unknown",5,"👍"
"Video Editor & Maker - InShot","Unknown",5,"Absolutely its so gud"
"Video Editor & Maker - InShot","Unknown",4,"Good 👍🏻"
"Video Editor & Maker - InShot","Unknown",5,"Good to edit super"
"Video Editor & Maker - InShot","Unknown",5,"Best app"
"Video Editor & Maker - InShot","Unknown",5,"Amazing features and editing app"
"Video Editor & Maker - InShot","Unknown",5,"Nice app"
"Video Editor & Maker - InShot","Unknown",5,"Bast edit app"
"Video Editor & Maker - InShot","Unknown",5,"Best app"
"Video Editor & Maker - InShot","Unknown",5,"Really easy and fun to be honest it's better than capcut also it has ai for you if your scared to talk and edits are fast to learn really good"
"Video Editor & Maker - InShot","Unknown",5,"I really appreciate😊❤"
"Video Editor & Maker - InShot","Unknown",5,"❤️❤️"
"Video Editor & Maker - InShot","Unknown",5,"Hoooooop"
"Video Editor & Maker - InShot","Unknown",5,"Cute"
"Video Editor & Maker - InShot","Unknown",4,"Easy and many option"
"Video Editor & Maker - InShot","Unknown",5,"I got recommended by my sister and it's soo soo easy to used and it totally free If u want to edit the photo or make a video do download this app i highly recommend"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Editing super"
"Video Editor & Maker - InShot","Unknown",5,"nice"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Nice application"
"Video Editor & Maker - InShot","Unknown",5,"Easy to use and simple"
"Video Editor & Maker - InShot","Unknown",5,"Best editing app imo"
"Video Editor & Maker - InShot","Unknown",5,"bast edition app but it's nide more updates"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Good Good"
"Video Editor & Maker - InShot","Unknown",5,"Wow this app"
"Video Editor & Maker - InShot","Unknown",5,"Hi is the best video app"
"Video Editor & Maker - InShot","Unknown",5,"Nice app"
"Video Editor & Maker - InShot","Unknown",5,"Excellent"
"Video Editor & Maker - InShot","Unknown",5,"Nice"
"Video Editor & Maker - InShot","Unknown",5,"Good app"
"Video Editor & Maker - InShot","Unknown",5,"I was using Capcut before but some Problems my Capcut can't be used so I find different editing app then I found inshot and this is the best"
"Video Editor & Maker - InShot","Unknown",4,"A really good app for beginner"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",4,"Nice"
"Video Editor & Maker - InShot","Unknown",5,"সুন্দর"
"Video Editor & Maker - InShot","Unknown",4,"I think all functions are good"
"Video Editor & Maker - InShot","Unknown",5,"Good"
"Video Editor & Maker - InShot","Unknown",3,"It's perfect pr don't know why caption is not working"
"Video Editor & Maker - InShot","Unknown",5,"Awesome App."
"Video Editor & Maker - InShot","Unknown",5,"Very helpful for video editing"
"Video Editor & Maker - InShot","Unknown",5,"Good app"
"Video Editor & Maker - InShot","Unknown",4,"Good"
"Video Editor & Maker - InShot","Unknown",5,"Super da"
"Video Editor & Maker - InShot","Unknown",5,"Good app"
"Video Editor & Maker - InShot","Unknown",5,"Thank you inshot."
"Video Editor & Maker - InShot","Unknown",5,"InShot-Video Editor was really great! I used it to merge my videos together for band audition and was very useful! 5 stars!!!"
"Video Editor & Maker - InShot","Unknown",5,"Nice app for video editing"
"Video Editor & Maker - InShot","Unknown",5,"OMG very easy editing"
