"Appname","Date","Score","Text"
"Videoleap: AI Video Editor App","Unknown",5,"Brilliant! Simply brilliant."
"Videoleap: AI Video Editor App","Unknown",5,"I like you❤"
"Videoleap: AI Video Editor App","Unknown",4,"I'm a editor everytime u kno"
"Videoleap: AI Video Editor App","Unknown",4,"I paid for it and it told me that there were a lot of requests so you can try later."
"Videoleap: AI Video Editor App","Unknown",1,"If you are not willing to pay a lot! Don't waste your time"
"Videoleap: AI Video Editor App","Unknown",1,"I was charged for their serive which was for one year ... and I edited one video when I log in another time they ask me to pay and subscribe again ? as if I subscribe for one video?? I won't be paying everytime i wanna use it 🤨"
"Videoleap: AI Video Editor App","Unknown",1,"Pura bakar app hai"
"Videoleap: AI Video Editor App","Unknown",5,"SUPER"
"Videoleap: AI Video Editor App","Unknown",1,"Couldn't do first video got stuck on crunching for 2 hours. Poor"
"Videoleap: AI Video Editor App","Unknown",5,"Super easy and fun to use!"
"Videoleap: AI Video Editor App","Unknown",5,"Awe we love it"
"Videoleap: AI Video Editor App","Unknown",1,"This app used to be great even with the free version, but now it's a pay to use app. Unless you're okay with your videos having a frosted white layer over them instead of your normal scenery vid, its pay to use. Capcut is 100% better. This app is now garbage."
"Videoleap: AI Video Editor App","Unknown",5,"outstanding videos editor app"
"Videoleap: AI Video Editor App","Unknown",3,"ok"
"Videoleap: AI Video Editor App","Unknown",5,"THE BEST"
"Videoleap: AI Video Editor App","Unknown",5,"Dayum"
"Videoleap: AI Video Editor App","Unknown",5,"great app"
"Videoleap: AI Video Editor App","Unknown",4,"Not show Ai effect option But this Aap is Amazing"
"Videoleap: AI Video Editor App","Unknown",3,"it's great, when it works. even when I paid for the app it would glitch and force shut down on me constantly while working on a project. it needs a little work, but overall pretty good still if you have patience for that."
"Videoleap: AI Video Editor App","Unknown",5,"It is good but it went can,t make videos... With out premium..."
"Videoleap: AI Video Editor App","Unknown",1,"No way to cancel subscription"
"Videoleap: AI Video Editor App","Unknown",1,"Very bad app don't install it ai effects not working and many more problems 😡😡😡"
"Videoleap: AI Video Editor App","Unknown",5,"I am fan thish app"
"Videoleap: AI Video Editor App","Unknown",4,"occasionally it skips a photo/ video in the download and I have no idea why. but otherwise I like. this app a lot *Edit* ok now it's having a hard time with a lot of things. I've closed background aps, cleared cache, cleaned phone memory and I'm still getting the error that ""there's too much going on and video leap might shut down"". The creation is 4 videos <15 sec each with music and transitions. Nothing complicated"
"Videoleap: AI Video Editor App","Unknown",5,"ohhhhhhhhh"
"Videoleap: AI Video Editor App","Unknown",1,"Not worth it.yeah you can improve the app. By it actually working instead of having something went wrong every time I use it ."
"Videoleap: AI Video Editor App","Unknown",5,"good"
"Videoleap: AI Video Editor App","Unknown",5,"Adam Talks with Dimitar Berbatov"
"Videoleap: AI Video Editor App","Unknown",3,"It's a good app"
"Videoleap: AI Video Editor App","Unknown",5,"Super tool to edit the best videos on your social media"
"Videoleap: AI Video Editor App","Unknown",1,"Not installing"
"Videoleap: AI Video Editor App","Unknown",1,"Worst app ever..I spend an hour editing the video..but it won't export or even play the full video."
"Videoleap: AI Video Editor App","Unknown",1,"I CAN'T LOG IN???"
"Videoleap: AI Video Editor App","Unknown",1,"This is one of the worst app if you are looking for video eraser option they ask to pay and then there is no option for that. Worst experience."
"Videoleap: AI Video Editor App","Unknown",2,"Not good anymore. There was a downgrade on the AI available, fewer templates, there are best option for same money"
"Videoleap: AI Video Editor App","Unknown",5,"Cool 😎"
"Videoleap: AI Video Editor App","Unknown",5,"fast short edits, easy to use, large selection, very ime sive and creative, actually lots of fun! rave it 🫰👌"
"Videoleap: AI Video Editor App","Unknown",1,"This was a total waste of $35.99. I downloaded it to remove backgrounds and other features but they do not work as advertised. You can't use it unless you pay and if you pay, you don't get your money back when you don't like it. Just warning you."
"Videoleap: AI Video Editor App","Unknown",5,"Great app"
"Videoleap: AI Video Editor App","Unknown",4,"It's a good app, I'd suggest adding a beat feature for audio so we can sync audio better, even better if it's auto beat but that's your wish."
"Videoleap: AI Video Editor App","Unknown",5,"very easy to edit videos and photos. it's the best app I've found for both."
"Videoleap: AI Video Editor App","Unknown",1,"Awful avoid. Wants you to paying without even seeing what it can do. Plenty of free options."
"Videoleap: AI Video Editor App","Unknown",1,"The app was great, I have been using it consistently since 2020 without ever having a problem but since November 2024 I could not import any video I shot with my phone to the project I am working on. I have to send it to myself over WhatsApp or use websites to drop the quality to something terrible just to use the video. This is totally unacceptable."
"Videoleap: AI Video Editor App","Unknown",1,"I keep emailing these people that the ai effects keeps failing. I included my receipt in the message as prove of payment. But they keep sending me the same scripted message over and over. Are they crooks this company?"
"Videoleap: AI Video Editor App","Unknown",5,"love it"
"Videoleap: AI Video Editor App","Unknown",1,"Be warned, I cancelled my subscription nearly a year of $95.99 after a one month trial. They kept my money without cancelling! 9 months later they are still taking out monthly fees on top of this amount and there is no way I can cancel it! Avoid buying through Google and avoid my experience."
"Videoleap: AI Video Editor App","Unknown",5,"totally amazing"
"Videoleap: AI Video Editor App","Unknown",5,"very good app not disappointed at all"
"Videoleap: AI Video Editor App","Unknown",3,"While Adding Effect and Filter, my Experience was too Bad."
"Videoleap: AI Video Editor App","Unknown",5,"Good aap for Advertising"
"Videoleap: AI Video Editor App","Unknown",5,"Value and ease but like every app needs to care about securing functionality from Fusion centers access (local stalker cops and the Fusion STASI I depict in my videos)."
"Videoleap: AI Video Editor App","Unknown",5,"very good"
"Videoleap: AI Video Editor App","Unknown",2,"Constantly crashing"
"Videoleap: AI Video Editor App","Unknown",1,"Be careful. I read that this app would remove an unwanted object from a video. It not only didn't do that nor could I find a way, It totally locked up at one point freezing my phone I couldn't minimize the screen nor could I even restart it for a minute or so. Everything was unavailable. This is the only app I've ever had do that! Not only that I downloaded this again because I was looking for an app that could handle exportation of 4K video and this one couldn't."
"Videoleap: AI Video Editor App","Unknown",2,"Can we upload the created animated video on YouTube"
"Videoleap: AI Video Editor App","Unknown",5,"nice 👍👍👍👍"
"Videoleap: AI Video Editor App","Unknown",5,"Best Video editing app!"
"Videoleap: AI Video Editor App","Unknown",1,"I downloaded this app to convert anime videos and subscribed but it doesn't convert anime videos. It converts to videos like some cartoons. The detailing is not complete and is completely useless. Even though I try to download endless videos, the issue is showing up. Downloading is a waste of money."
"Videoleap: AI Video Editor App","Unknown",3,"Best AI editor"
"Videoleap: AI Video Editor App","Unknown",3,"It helps me do so many things"
"Videoleap: AI Video Editor App","Unknown",5,"awesome!"
"Videoleap: AI Video Editor App","Unknown",1,"AI effects not available"
"Videoleap: AI Video Editor App","Unknown",2,"This is good editing app"
"Videoleap: AI Video Editor App","Unknown",5,"great"
"Videoleap: AI Video Editor App","Unknown",1,"I canceled my subscription for this app and they still went ahead to debit me, so I'm requesting for my refund NOW! Their desktop site is not working, This is not making sense at all. After paying, I still can't use the app. I NEED MY REFUND! The Link you sent me is not effective as I suppose , I sent my receipt but I was redirected to Google and now Google Play store is unable to process my REFUND! I NEED MY REFUND!"
"Videoleap: AI Video Editor App","Unknown",5,"very nice! easy to learn! Great options"
"Videoleap: AI Video Editor App","Unknown",5,"I love it 😀"
"Videoleap: AI Video Editor App","Unknown",5,"Simple to use Video editing app. love it!"
"Videoleap: AI Video Editor App","Unknown",5,"super"
"Videoleap: AI Video Editor App","Unknown",5,"OMG IT'S SO GOOD, it's quite simple but I love the shake effects tho, and I can't believe the adjustment of quality is so DAMN GOOD!!!! 😭😭😭 really I was amazed about the filters, finally!!!! I can have a good quality at my edits!!! This app is good 10/10 because it's free!! ^°^"
"Videoleap: AI Video Editor App","Unknown",2,"Wow"
"Videoleap: AI Video Editor App","Unknown",4,"very good 👍"
"Videoleap: AI Video Editor App","Unknown",4,"Could you please optimize it for tablets/fold phones? And add more features like the iOS version? Don't leave Android users behind like this please :)"
"Videoleap: AI Video Editor App","Unknown",1,"Awful company. Charged me. Scam. They never reply by mail"
"Videoleap: AI Video Editor App","Unknown",5,"wow"
"Videoleap: AI Video Editor App","Unknown",5,"Thank you"
"Videoleap: AI Video Editor App","Unknown",1,"I got a notification there is too much going on and video leap might crash. Try deleting some of the clips in your video. I made two clips. And you want me to pay for this garbage? It can't even do basic video editing without being overwhelmed. Why does Google allow scammers like this to be on the app store?"
"Videoleap: AI Video Editor App","Unknown",2,"seems that upon editing the sound slips out of synch with visual"
"Videoleap: AI Video Editor App","Unknown",5,"flopp"
"Videoleap: AI Video Editor App","Unknown",5,"Very useful"
"Videoleap: AI Video Editor App","Unknown",4,"it is so wonderful and very helpful for me and my work"
"Videoleap: AI Video Editor App","Unknown",1,"Absolute garbage ...... and you need to pay for it too!"
"Videoleap: AI Video Editor App","Unknown",3,"You messed up bad by not allowing us to select the type of project such as Instagram post story etc"
"Videoleap: AI Video Editor App","Unknown",5,"great..."
"Videoleap: AI Video Editor App","Unknown",5,"better than capcut"
"Videoleap: AI Video Editor App","Unknown",5,"videoleap for joy!"
"Videoleap: AI Video Editor App","Unknown",5,"Best video editing app 🥰"
"Videoleap: AI Video Editor App","Unknown",5,"👌👌👌👌👌"
"Videoleap: AI Video Editor App","Unknown",1,"Junk waste of time and effort. Much better things that actually work to install and use don't waste your space with this app. Claims to send a code to your email so you can use it and oops there was a problem is the message you get and you got that right problem is I installed this poorly made app well corrected un installed thanks that was the easiest thing with this app oh yeah and that actually worked. Good luck with your garbage app"
"Videoleap: AI Video Editor App","Unknown",2,"worst app"
