Appname,Date,Score,Text,text
Binance: Buy Bitcoin & Crypto,Unknown,1,Pi💪💪💪,pi
Binance: Buy Bitcoin & Crypto,Unknown,1,They disrespect the pi network,they disrespect the pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,List Pi please,list pi please
Binance: Buy Bitcoin & Crypto,Unknown,1,Why not listing pi network,why not listing pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,Very bad,very bad
Binance: Buy Bitcoin & Crypto,Unknown,1,We need Pi Network. Plz list Pi Network.,we need pi network plz list pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,"The Pi Network Community’s Voice Needs to Be Heard immediately! In the Binance community vote, an overwhelming 86% users voted “Yes, list it right now!” Yet, despite the results, there’s been no listing update or official word from Binance    For a project built on decentralization and community, the clear demand from users should not be ignored 🚫 Binance, why isn’t the outcome of your own democratic vote being acknowledged yet?",the pi network communitys voice needs to be heard immediately in the binance community vote an overwhelming users voted yes list it right now yet despite the results theres been no listing update or official word from binance for a project built on decentralization and community the clear demand from users should not be ignored binance why isnt the outcome of your own democratic vote being acknowledged yet
Binance: Buy Bitcoin & Crypto,Unknown,1,List pi coin now.,list pi coin now
Binance: Buy Bitcoin & Crypto,Unknown,1,super,super
Binance: Buy Bitcoin & Crypto,Unknown,1,PI listing,pi listing
Binance: Buy Bitcoin & Crypto,Unknown,5,Good App tranding App 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,good app tranding app
Binance: Buy Bitcoin & Crypto,Unknown,1,Third class. Not list pi coin and install all fake coins,third class not list pi coin and install all fake coins
Binance: Buy Bitcoin & Crypto,Unknown,1,great,great
Binance: Buy Bitcoin & Crypto,Unknown,1,Why you don't list Pi Network. According to voting you would be list pi but not yet.. why ???? So 1 star ⭐,why you dont list pi network according to voting you would be list pi but not yet why so star
Binance: Buy Bitcoin & Crypto,Unknown,1,Worst services pi network should be listed on binance,worst services pi network should be listed on binance
Binance: Buy Bitcoin & Crypto,Unknown,1,Not working properly,not working properly
Binance: Buy Bitcoin & Crypto,Unknown,1,This exchange not use democracy and not freedom of money,this exchange not use democracy and not freedom of money
Binance: Buy Bitcoin & Crypto,Unknown,1,"Exchange is Good but not Support it's community , I think Community makes you No 1 in Crypto industry, now you have no Respect for Community, If you don't list Pi than why are you doing Community poll ? Communities are not your servents, it was make you it will decline you also as well , very disappointed with Binance !!! Now I don't want your account I registered with Get.io and enjoy trading there !!!",exchange is good but not support its community i think community makes you no in crypto industry now you have no respect for community if you dont list pi than why are you doing community poll communities are not your servents it was make you it will decline you also as well very disappointed with binance now i dont want your account i registered with getio and enjoy trading there
Binance: Buy Bitcoin & Crypto,Unknown,1,Pi List on Binance,pi list on binance
Binance: Buy Bitcoin & Crypto,Unknown,1,Partiality for listing the coins,partiality for listing the coins
Binance: Buy Bitcoin & Crypto,Unknown,1,Can't buy pi :(,cant buy pi
Binance: Buy Bitcoin & Crypto,Unknown,5,Very secure app for your payments,very secure app for your payments
Binance: Buy Bitcoin & Crypto,Unknown,1,List pi first,list pi first
Binance: Buy Bitcoin & Crypto,Unknown,1,If binance will list pi coin on their platform.I will give 5 rating.,if binance will list pi coin on their platformi will give rating
Binance: Buy Bitcoin & Crypto,Unknown,1,Why not list pi.. Why open but pi . pi win you list my demand,why not list pi why open but pi pi win you list my demand
Binance: Buy Bitcoin & Crypto,Unknown,1,"Some Hackers broke into my Binance account and stole all my assets (very large amount of money) and Binance illegally cleared their hands, saying it's not their fault even though I had all 4-layers of security activated. I Don't recommend trusting with your money their lies that your assets are safe with them, as it's clearly not the case!",some hackers broke into my binance account and stole all my assets very large amount of money and binance illegally cleared their hands saying its not their fault even though i had all layers of security activated i dont recommend trusting with your money their lies that your assets are safe with them as its clearly not the case
Binance: Buy Bitcoin & Crypto,Unknown,1,I think binance is the most trusted and reliable exchange in the world of crypto market ❤️ But why u not listing PI coin 🪙 he community is waiting so much for when pi coin list on binance But u guys or your team doesn't takes any action so sad 😢😢😢,i think binance is the most trusted and reliable exchange in the world of crypto market but why u not listing pi coin he community is waiting so much for when pi coin list on binance but u guys or your team doesnt takes any action so sad
Binance: Buy Bitcoin & Crypto,Unknown,1,Listing Pi Now,listing pi now
Binance: Buy Bitcoin & Crypto,Unknown,1,I Give you 1 star Because You didn't list Pi Network 😎,i give you star because you didnt list pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,not listing pi network,not listing pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,Pi network 👍 💐💐♥️💐💐👌,pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,Very bad app and bad customer support I advice not download this app,very bad app and bad customer support i advice not download this app
Binance: Buy Bitcoin & Crypto,Unknown,1,Not listed PI yet. Bad exchange,not listed pi yet bad exchange
Binance: Buy Bitcoin & Crypto,Unknown,1,Not listing Pi after voting. Why it had been taken then?,not listing pi after voting why it had been taken then
Binance: Buy Bitcoin & Crypto,Unknown,1,It's not selling Pi we take break to it's services it's take it personal we comit to not patronizing again 🥱,its not selling pi we take break to its services its take it personal we comit to not patronizing again
Binance: Buy Bitcoin & Crypto,Unknown,1,Pi network list we want,pi network list we want
Binance: Buy Bitcoin & Crypto,Unknown,1,List the Pi Coins as early as possible !!!,list the pi coins as early as possible
Binance: Buy Bitcoin & Crypto,Unknown,1,List pi network otherwise I will in install binance,list pi network otherwise i will in install binance
Binance: Buy Bitcoin & Crypto,Unknown,2,It's been long my account closed temporarily and they cannot even help me to open it again..this is now disaster,its been long my account closed temporarily and they cannot even help me to open it againthis is now disaster
Binance: Buy Bitcoin & Crypto,Unknown,1,1 star for disrespecting pioneers,star for disrespecting pioneers
Binance: Buy Bitcoin & Crypto,Unknown,1,Need pi on binance,need pi on binance
Binance: Buy Bitcoin & Crypto,Unknown,1,Worst app,worst app
Binance: Buy Bitcoin & Crypto,Unknown,1,Some crypto are not till listed,some crypto are not till listed
Binance: Buy Bitcoin & Crypto,Unknown,1,Pi not liste no use no no,pi not liste no use no no
Binance: Buy Bitcoin & Crypto,Unknown,1,No pi no use,no pi no use
Binance: Buy Bitcoin & Crypto,Unknown,1,Bad experience,bad experience
Binance: Buy Bitcoin & Crypto,Unknown,5,very good,very good
Binance: Buy Bitcoin & Crypto,Unknown,1,disappointed,disappointed
Binance: Buy Bitcoin & Crypto,Unknown,1,"Hopeless Binance. Why are you, Didn't Pi of listing.",hopeless binance why are you didnt pi of listing
Binance: Buy Bitcoin & Crypto,Unknown,5,Good 👍,good
Binance: Buy Bitcoin & Crypto,Unknown,1,Pi not listed still now,pi not listed still now
Binance: Buy Bitcoin & Crypto,Unknown,1,1 Star for these apps. because it's not listing Pi Coins. i will rate this 5star after the listing. for now You will be rated as 1 Star,star for these apps because its not listing pi coins i will rate this star after the listing for now you will be rated as star
Binance: Buy Bitcoin & Crypto,Unknown,5,Good,good
Binance: Buy Bitcoin & Crypto,Unknown,1,Very poor,very poor
Binance: Buy Bitcoin & Crypto,Unknown,1,This platform is so much bad after voting listing pi they will still no update about listing too much disappointed binance user so I leave binance,this platform is so much bad after voting listing pi they will still no update about listing too much disappointed binance user so i leave binance
Binance: Buy Bitcoin & Crypto,Unknown,1,Add pi currency,add pi currency
Binance: Buy Bitcoin & Crypto,Unknown,5,Very good,very good
Binance: Buy Bitcoin & Crypto,Unknown,1,No pi on the list,no pi on the list
Binance: Buy Bitcoin & Crypto,Unknown,1,Naaa,naaa
Binance: Buy Bitcoin & Crypto,Unknown,1,Verry bad exchange,verry bad exchange
Binance: Buy Bitcoin & Crypto,Unknown,1,I will give 5 stars the day you do the PI listing.,i will give stars the day you do the pi listing
Binance: Buy Bitcoin & Crypto,Unknown,1,I I'll Rate 5Star after pi network Listing.... 😌,i ill rate star after pi network listing
Binance: Buy Bitcoin & Crypto,Unknown,1,Everything was good user experience was wow.The only thing I gave 1 star bacause of Pi coin did not listed here.,everything was good user experience was wowthe only thing i gave star bacause of pi coin did not listed here
Binance: Buy Bitcoin & Crypto,Unknown,1,Not valueing the customer feedback #pinetwork,not valueing the customer feedback pinetwork
Binance: Buy Bitcoin & Crypto,Unknown,1,Stop promoting Pi type scam project.,stop promoting pi type scam project
Binance: Buy Bitcoin & Crypto,Unknown,1,List Pi instead of stupid meme coins,list pi instead of stupid meme coins
Binance: Buy Bitcoin & Crypto,Unknown,1,"They need to change their marketing tactics. They come across as childish and unprofessional. I'm regards to the new Pi coin most people want listed, they do special announcements, eg - march third at 4pm (3.14), 'cutie Pi' posts, polls, etc etc. Is this how a legitimate exchange is meant to be run these days 🤷🤦",they need to change their marketing tactics they come across as childish and unprofessional im regards to the new pi coin most people want listed they do special announcements eg march third at pm cutie pi posts polls etc etc is this how a legitimate exchange is meant to be run these days
Binance: Buy Bitcoin & Crypto,Unknown,1,It has disrespected Pi Network,it has disrespected pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,Binance is doing injustice to Pi Coin and Public's review..... Its too bad....,binance is doing injustice to pi coin and publics review its too bad
Binance: Buy Bitcoin & Crypto,Unknown,1,List pi coin,list pi coin
Binance: Buy Bitcoin & Crypto,Unknown,1,Binance promise to list pi but fail after 83 percent vote on consensus to list . Binance doesn't give importance to the people trust,binance promise to list pi but fail after percent vote on consensus to list binance doesnt give importance to the people trust
Binance: Buy Bitcoin & Crypto,Unknown,1,Why don't list the Pi network?,why dont list the pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,Not a good experience,not a good experience
Binance: Buy Bitcoin & Crypto,Unknown,1,Not list Pi Network 😅,not list pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,I'm giving one star because Binance has not listed pi yet. I will change my review if it does so,im giving one star because binance has not listed pi yet i will change my review if it does so
Binance: Buy Bitcoin & Crypto,Unknown,1,Binance Men 350 Dollar Mery Dob Gaey Ghatiya App,binance men dollar mery dob gaey ghatiya app
Binance: Buy Bitcoin & Crypto,Unknown,1,It is a very good app and is also the fastest for transferring dollars.,it is a very good app and is also the fastest for transferring dollars
Binance: Buy Bitcoin & Crypto,Unknown,1,List Pi Network,list pi network
Binance: Buy Bitcoin & Crypto,Unknown,1,Very sad that pi network coin not listed on binance 😒😞,very sad that pi network coin not listed on binance
Binance: Buy Bitcoin & Crypto,Unknown,1,"Deceiving p2p payments, bank accounts are being blocked by binance users and binance is not helping out the sufferers.",deceiving pp payments bank accounts are being blocked by binance users and binance is not helping out the sufferers
Binance: Buy Bitcoin & Crypto,Unknown,5,Please listing to pi network,please listing to pi network
