Appname,Date,Score,Text,text
"Dhani: UPI, Cards & Bills",Unknown,1,Faltu app hai dosto...mat kato download...,faltu app hai dostomat kato download
"Dhani: UPI, Cards & Bills",Unknown,1,I close my loan 3 years ago but 2200 rs due speaking with me and warning lok adalat and police sach a fraud company,i close my loan years ago but rs due speaking with me and warning lok adalat and police sach a fraud company
"Dhani: UPI, Cards & Bills",Unknown,1,Service thik nhi h,service thik nhi h
"Dhani: UPI, Cards & Bills",Unknown,1,"Please complete video kyc. 5 day ho gaya video kyc apply Kiya hu kyc active nahi ho raha, Pending ma ha... Please help.",please complete video kyc day ho gaya video kyc apply kiya hu kyc active nahi ho raha pending ma ha please help
"Dhani: UPI, Cards & Bills",Unknown,5,"It's very good app.This will give me business loan, credit card,If I want personal loan it give. Regards, For Akhil Biomass agroBriquettesIndia, Sunkesula Masthan, Proprietor.",its very good appthis will give me business loan credit cardif i want personal loan it give regards for akhil biomass agrobriquettesindia sunkesula masthan proprietor
"Dhani: UPI, Cards & Bills",Unknown,1,Very goo app,very goo app
"Dhani: UPI, Cards & Bills",Unknown,1,"The worst thing is you, you don't even talk to its customer support executive .",the worst thing is you you dont even talk to its customer support executive
"Dhani: UPI, Cards & Bills",Unknown,1,Third class app bakwas not download this app,third class app bakwas not download this app
"Dhani: UPI, Cards & Bills",Unknown,1,Most fraud app,most fraud app
"Dhani: UPI, Cards & Bills",Unknown,1,Really sab se bekar vala experience.. dhani app ne phile apne mamber ship kharid vaaye fhir 3-saal bad login karta hoon toh vo paise Dale the vo bhi chle gye waste and kyc bhi nhi approve kar rahe bhaiyoo mt karo ap download bekar app ek number scam app hai yeh !!!!!,really sab se bekar vala experience dhani app ne phile apne mamber ship kharid vaaye fhir saal bad login karta hoon toh vo paise dale the vo bhi chle gye waste and kyc bhi nhi approve kar rahe bhaiyoo mt karo ap download bekar app ek number scam app hai yeh
"Dhani: UPI, Cards & Bills",Unknown,1,Worst app ever,worst app ever
"Dhani: UPI, Cards & Bills",Unknown,1,Faltu,faltu
"Dhani: UPI, Cards & Bills",Unknown,1,Very bad.... Do not try..,very bad do not try
"Dhani: UPI, Cards & Bills",Unknown,1,very dirty service my 2021-22 the problem has not been solved till date I have very bad experience with this,very dirty service my the problem has not been solved till date i have very bad experience with this
"Dhani: UPI, Cards & Bills",Unknown,1,Third class customer service talking rudely to the customer and direct disconnected the call twice not giving properly information,third class customer service talking rudely to the customer and direct disconnected the call twice not giving properly information
"Dhani: UPI, Cards & Bills",Unknown,1,Mera sath ford ho rha hai,mera sath ford ho rha hai
"Dhani: UPI, Cards & Bills",Unknown,1,Very bad aap very poor person this not use this aap,very bad aap very poor person this not use this aap
"Dhani: UPI, Cards & Bills",Unknown,1,Worst app,worst app
"Dhani: UPI, Cards & Bills",Unknown,5,Good,good
"Dhani: UPI, Cards & Bills",Unknown,1,Disgusting app fraud not use this app,disgusting app fraud not use this app
"Dhani: UPI, Cards & Bills",Unknown,1,"Very bad application and the customer service, an agent called me for loan regarding process, as I said yes I want a loan please proceed with my details you have, they asked me for money and told me it was a processing fee, they took 3000 from me in start and then they shared a tds tax paper and told me to pay more money this is how they make you feel dumb and ask more and more money this way they all took 17000 from me for loan and again asked for 15000 , this is the worst app and customer ser.",very bad application and the customer service an agent called me for loan regarding process as i said yes i want a loan please proceed with my details you have they asked me for money and told me it was a processing fee they took from me in start and then they shared a tds tax paper and told me to pay more money this is how they make you feel dumb and ask more and more money this way they all took from me for loan and again asked for this is the worst app and customer ser
"Dhani: UPI, Cards & Bills",Unknown,1,Bad kyc,bad kyc
"Dhani: UPI, Cards & Bills",Unknown,1,Dhani pls need Shani shopping aap,dhani pls need shani shopping aap
"Dhani: UPI, Cards & Bills",Unknown,1,very very bad aap,very very bad aap
"Dhani: UPI, Cards & Bills",Unknown,1,By mistake I deleted my account now I can't open it again I'll try many times to connect customer care but not connecting please resolve my problem how to use dhani upi app,by mistake i deleted my account now i cant open it again ill try many times to connect customer care but not connecting please resolve my problem how to use dhani upi app
"Dhani: UPI, Cards & Bills",Unknown,1,Worst App Fraud Loan App I had Paid Two Times But Still Showing Loan Pending,worst app fraud loan app i had paid two times but still showing loan pending
"Dhani: UPI, Cards & Bills",Unknown,1,Block mailing app😞😞😞😞 I paid total due amount in app what they asked through email and message in 2022 and recently in 2025 checked cibil still showing due when called to customer care they demanding to go to court for clearing my cibil score problem.i can't get loan because of this app,block mailing app i paid total due amount in app what they asked through email and message in and recently in checked cibil still showing due when called to customer care they demanding to go to court for clearing my cibil score problemi cant get loan because of this app
