Appname,Date,Score,Text,text
Fortune City - A Finance App,Unknown,4,Fun,fun
Fortune City - A Finance App,Unknown,5,Cute! The game gameified budget gets me to open the app every day!,cute the game gameified budget gets me to open the app every day
Fortune City - A Finance App,Unknown,1,app got no response on pixel 9 pro,app got no response on pixel pro
Fortune City - A Finance App,Unknown,5,Fun and encouraging,fun and encouraging
Fortune City - A Finance App,Unknown,5,Very useful and enjoy tracking routine payment. This is only one app I can use it continuously for many years. It isn't a detailed app but it's ok to use as usual without less complexity.,very useful and enjoy tracking routine payment this is only one app i can use it continuously for many years it isnt a detailed app but its ok to use as usual without less complexity
Fortune City - A Finance App,Unknown,3,音樂音效有夠大聲，每次進去耳朵都聾了，只能直接關閉音樂，沒有調整音量的選項,音樂音效有夠大聲每次進去耳朵都聾了只能直接關閉音樂沒有調整音量的選項
Fortune City - A Finance App,Unknown,5,為什麼更新後會閃退?? 更新後打不開,為什麼更新後會閃退 更新後打不開
Fortune City - A Finance App,Unknown,5,Not much to say. They want me to leave a review,not much to say they want me to leave a review
Fortune City - A Finance App,Unknown,5,Google drive,google drive
Fortune City - A Finance App,Unknown,5,So cute love it,so cute love it
Fortune City - A Finance App,Unknown,5,Very helpful,very helpful
Fortune City - A Finance App,Unknown,2,"Hate subscription services. Seriously just charge me once and is be happy to pay. You need to pay $20 a year to use a budgeting setting. The whole point of a finance app. Otherwise it's just a data collection, that I'm sure is being sold, on top of ads, on top of a paid premium currency with a cute paint job. Again wouldn't mind at all to pay to never have to see any of that.",hate subscription services seriously just charge me once and is be happy to pay you need to pay a year to use a budgeting setting the whole point of a finance app otherwise its just a data collection that im sure is being sold on top of ads on top of a paid premium currency with a cute paint job again wouldnt mind at all to pay to never have to see any of that
Fortune City - A Finance App,Unknown,3,"Kind of incentives spending. Wish there was a building for ""no spend"" days. And rewards for other financial habits.",kind of incentives spending wish there was a building for no spend days and rewards for other financial habits
Fortune City - A Finance App,Unknown,5,"Cute and easy to use, I never forget tracking my expenses everytime because I'm just excited to build more in my city lol",cute and easy to use i never forget tracking my expenses everytime because im just excited to build more in my city lol
Fortune City - A Finance App,Unknown,5,"Well thought out app. I am more motivated to track my expenses, and do my finances.",well thought out app i am more motivated to track my expenses and do my finances
Fortune City - A Finance App,Unknown,3,"A good way to record expense. But after few years, it become boring, as building level maxed up. - The app become slower - No ads available",a good way to record expense but after few years it become boring as building level maxed up the app become slower no ads available
Fortune City - A Finance App,Unknown,5,"Two days and I'm hooked! Although, I would like to have the option to add credit limits of credit cards as well as add the auto debit of amounts as well. Also, a dedicated section for investments. Thank you!",two days and im hooked although i would like to have the option to add credit limits of credit cards as well as add the auto debit of amounts as well also a dedicated section for investments thank you
Fortune City - A Finance App,Unknown,5,"So cute , i love it , since my sugar daddy been funding me , i dont have things to keep track of it so i just use this apps and can show him that he is investing a town , and im a mayor now thanks to him.",so cute i love it since my sugar daddy been funding me i dont have things to keep track of it so i just use this apps and can show him that he is investing a town and im a mayor now thanks to him
Fortune City - A Finance App,Unknown,3,"Kinda interesting. Was looking forward to make money management fun. However this app doesn't allow you to customised the default categories. And due to this, I did not explore further. Hope to see changes in future so that I can try out this app again. Overall, cute and interesting.",kinda interesting was looking forward to make money management fun however this app doesnt allow you to customised the default categories and due to this i did not explore further hope to see changes in future so that i can try out this app again overall cute and interesting
Fortune City - A Finance App,Unknown,3,Performance is getting slow. Cannot load any ads. Tried to reinstall and it's the same,performance is getting slow cannot load any ads tried to reinstall and its the same
Fortune City - A Finance App,Unknown,5,Having fun while tracking expense,having fun while tracking expense
Fortune City - A Finance App,Unknown,5,Cute 😍,cute
Fortune City - A Finance App,Unknown,4,"Fun to record ur expenses, but 5 building per day is too less",fun to record ur expenses but building per day is too less
Fortune City - A Finance App,Unknown,3,Gamification is fun. Wish there was a note area to comment so I can remember what I bought/ate to give the figures more context.,gamification is fun wish there was a note area to comment so i can remember what i boughtate to give the figures more context
