Appname,Date,Score,Text,text
Goodbudget: Budget & Finance,Unknown,1,"They have a 3.7 overall rating for a reason. The app, in my opinion, is not at all user-friendly. It's way too complicated. More than anything, their support sucks. Email only. 80.00 wasted. Do not recommend it.",they have a overall rating for a reason the app in my opinion is not at all userfriendly its way too complicated more than anything their support sucks email only wasted do not recommend it
Goodbudget: Budget & Finance,Unknown,5,Truly thank you! I am so grateful this is a free app. I am disabled and struggle with keeping numbers in my head and budgeting. This is the only free app that works for me. A little tricky to navigate at first but your YouTube instructional videos helped a lot.,truly thank you i am so grateful this is a free app i am disabled and struggle with keeping numbers in my head and budgeting this is the only free app that works for me a little tricky to navigate at first but your youtube instructional videos helped a lot
Goodbudget: Budget & Finance,Unknown,1,Removed it,removed it
Goodbudget: Budget & Finance,Unknown,3,Looks good. Please add alternate date views. I.e Aus in DD/MM/YY,looks good please add alternate date views ie aus in ddmmyy
Goodbudget: Budget & Finance,Unknown,1,Used rocket money for budgeting,used rocket money for budgeting
Goodbudget: Budget & Finance,Unknown,3,App keeps on crashing. Website changes are not synced to app,app keeps on crashing website changes are not synced to app
Goodbudget: Budget & Finance,Unknown,3,"Please do bug fixed ASAP. I am struggling to reconcile my envelopes since last 15 months. Every time I open the envelope entry, the app crashes",please do bug fixed asap i am struggling to reconcile my envelopes since last months every time i open the envelope entry the app crashes
Goodbudget: Budget & Finance,Unknown,1,Not for me,not for me
Goodbudget: Budget & Finance,Unknown,5,The best app for managing budgets. Really good and simple to use.,the best app for managing budgets really good and simple to use
Goodbudget: Budget & Finance,Unknown,5,"This is hands down the best budgeting app, because all the others treat you like you are stupid. This is nice and clear, and customisable exactly how I need",this is hands down the best budgeting app because all the others treat you like you are stupid this is nice and clear and customisable exactly how i need
Goodbudget: Budget & Finance,Unknown,4,"An excellent all with only a few missing features. This app puts budgeting front and center, but it also allows you to track payees and to split transactions, among other helpful features. So many other apps were missing at least one feature. There are a few drawbacks. The account totals can take a while to update, which can be disorienting. Support for multiple currencies and the ability to attach photos to transactions would be helpful. Other than that, an excellent app.",an excellent all with only a few missing features this app puts budgeting front and center but it also allows you to track payees and to split transactions among other helpful features so many other apps were missing at least one feature there are a few drawbacks the account totals can take a while to update which can be disorienting support for multiple currencies and the ability to attach photos to transactions would be helpful other than that an excellent app
Goodbudget: Budget & Finance,Unknown,5,"This is the perfect budgeting app for me. I didn't need an app that I had to put in every penny I made and every penny I gave out. I just needed one to show the money that I would normally be pulling out of my account to stick into envelopes such as food, gas and miscellaneous. The regular monthly bills such as electric, mortgage etc. get pulled directly from my account already. However, you could easily use this for every penny if you wish I just don't need that",this is the perfect budgeting app for me i didnt need an app that i had to put in every penny i made and every penny i gave out i just needed one to show the money that i would normally be pulling out of my account to stick into envelopes such as food gas and miscellaneous the regular monthly bills such as electric mortgage etc get pulled directly from my account already however you could easily use this for every penny if you wish i just dont need that
Goodbudget: Budget & Finance,Unknown,5,This is a beautiful app. Do just what it's supposed to do. Very easy to use. Using this app for almost 3 years. The free version is good enough for most people I guess but if one is able should definitely purchase premium. A must have app for me.,this is a beautiful app do just what its supposed to do very easy to use using this app for almost years the free version is good enough for most people i guess but if one is able should definitely purchase premium a must have app for me
Goodbudget: Budget & Finance,Unknown,5,"Edit: 5 stars Goodbudget is a really good budgeting app. I use the free version since my budgeting system is simple, and it allows you to sync two devices and also access your account on your browser, which is a great feature. It is also very easy to add transactions and it only takes me a couple of clicks. I would give Goodbudget 5 stars if it had the option to assign a category (or tag, or whatever you call it) to each expense and generate spending report for it. Overall, the app is great.",edit stars goodbudget is a really good budgeting app i use the free version since my budgeting system is simple and it allows you to sync two devices and also access your account on your browser which is a great feature it is also very easy to add transactions and it only takes me a couple of clicks i would give goodbudget stars if it had the option to assign a category or tag or whatever you call it to each expense and generate spending report for it overall the app is great
Goodbudget: Budget & Finance,Unknown,1,"The app keeps crushing and it has been doing so for a long time. I've been using it hoping that an updated version will come, but it never came.",the app keeps crushing and it has been doing so for a long time ive been using it hoping that an updated version will come but it never came
Goodbudget: Budget & Finance,Unknown,5,Exactly what I needed,exactly what i needed
Goodbudget: Budget & Finance,Unknown,1,You need an account now. No reason to use this data selling scam of an app.,you need an account now no reason to use this data selling scam of an app
Goodbudget: Budget & Finance,Unknown,2,Prices are too high...One time payment option is also not available..,prices are too highone time payment option is also not available
Goodbudget: Budget & Finance,Unknown,3,A lot more to improve,a lot more to improve
Goodbudget: Budget & Finance,Unknown,5,Good,good
Goodbudget: Budget & Finance,Unknown,2,I can't use for multiple devices .... I thought we can use this app by entire family members on same account....,i cant use for multiple devices i thought we can use this app by entire family members on same account
Goodbudget: Budget & Finance,Unknown,2,"I am a premium customer, yet why su h pathetic user experience? Addi g an income and dividing it into envelope is lot lot harder with app",i am a premium customer yet why su h pathetic user experience addi g an income and dividing it into envelope is lot lot harder with app
Goodbudget: Budget & Finance,Unknown,3,didn't quite scratch the itch,didnt quite scratch the itch
Goodbudget: Budget & Finance,Unknown,5,Great to have envelopes system,great to have envelopes system
Goodbudget: Budget & Finance,Unknown,5,Love that it let's you have multiple instances of a household on different phones - really helpful for shared expenses,love that it lets you have multiple instances of a household on different phones really helpful for shared expenses
Goodbudget: Budget & Finance,Unknown,1,Setup is confusing!,setup is confusing
Goodbudget: Budget & Finance,Unknown,1,What just happened? I had been using the app for a while and had a lot of info/numbers saved in it and now suddenly I can't access the information and it's asking me to log in or create an account and start over??? Where is my info I had already saved??? Horrible.,what just happened i had been using the app for a while and had a lot of infonumbers saved in it and now suddenly i cant access the information and its asking me to log in or create an account and start over where is my info i had already saved horrible
