Appname,Date,Score,Text,text
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice app,nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,great app,great app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,best trading app 👍,best trading app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,super dment app,super dment app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very good,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,loving the experience and day to day usage,loving the experience and day to day usage
"Groww Stocks, Mutual Fund, IPO",Unknown,4,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Nice App 💯💯,nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Groww app unable to open,groww app unable to open
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,best,best
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very nice app,very nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very nice 👍,very nice
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Ghatiya app,ghatiya app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very easy to understand and safe,very easy to understand and safe
"Groww Stocks, Mutual Fund, IPO",Unknown,5,invest for the better future for the future genaration,invest for the better future for the future genaration
"Groww Stocks, Mutual Fund, IPO",Unknown,5,superrr,superrr
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Easy to invest & withdrawal. User Interface is so good.,easy to invest withdrawal user interface is so good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice,nice
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very good,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very good app,very good app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very good,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very easy and simple to understand everything,very easy and simple to understand everything
"Groww Stocks, Mutual Fund, IPO",Unknown,4,I GIVE ONLY 4 STAR BECAUSE OF . I did not see delta price in option chain My request to GROWW is please add delta price in option chain IF GROWW RESPOND ME AND ADD DELTA PRICE IN OPTION CHAIN I WILL DEFINITELY CHANE MY RATING AND GIVE 5 STAR,i give only star because of i did not see delta price in option chain my request to groww is please add delta price in option chain if groww respond me and add delta price in option chain i will definitely chane my rating and give star
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very good 👍,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good 👍,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Supar,supar
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice 🙂,nice
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good app,good app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,so good app,so good app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,💯👍,
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very nice application Easy to use,very nice application easy to use
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good app,good app
