Appname,Date,Score,Text,text
Mahindra Finance,Unknown,5,Easy and quick response,easy and quick response
Mahindra Finance,Unknown,5,Maninagar branch cashier is good support,maninagar branch cashier is good support
Mahindra Finance,Unknown,5,Very good,very good
Mahindra Finance,Unknown,5,Very smart and easy,very smart and easy
Mahindra Finance,Unknown,5,Very good service 👍🏻👍🏻👍🏻,very good service
Mahindra Finance,Unknown,5,Nice,nice
Mahindra Finance,Unknown,1,Very bad update please restore to previous version,very bad update please restore to previous version
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,1,"It's is the problem of Indians that if you don't good at something don't try it irrelevant unappropriate disaster app I create my mandate for automatic debit EMI but the app server doesn't respond sight not reachable showing I tried to contact Mahindra finance executive they also didn't help me out the day before my EMI date, I how to make a payment towards Mahindra finance in advance so that my EMI was not bounce and deduct properly it's 24 hours but the app doesn't update my payment status",its is the problem of indians that if you dont good at something dont try it irrelevant unappropriate disaster app i create my mandate for automatic debit emi but the app server doesnt respond sight not reachable showing i tried to contact mahindra finance executive they also didnt help me out the day before my emi date i how to make a payment towards mahindra finance in advance so that my emi was not bounce and deduct properly its hours but the app doesnt update my payment status
Mahindra Finance,Unknown,5,Nice,nice
Mahindra Finance,Unknown,5,Nice,nice
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,4,Good app,good app
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,1,Worst app after updating,worst app after updating
Mahindra Finance,Unknown,5,I so happy,i so happy
Mahindra Finance,Unknown,5,Superb application,superb application
Mahindra Finance,Unknown,5,Trying to get loan emergency,trying to get loan emergency
Mahindra Finance,Unknown,5,Good experience 🤗,good experience
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,5,Nice experience,nice experience
Mahindra Finance,Unknown,5,Good service,good service
Mahindra Finance,Unknown,4,Super,super
Mahindra Finance,Unknown,5,Happt,happt
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,5,It's totally good interface,its totally good interface
Mahindra Finance,Unknown,4,নাইস,নইস
Mahindra Finance,Unknown,4,Good app,good app
Mahindra Finance,Unknown,5,Good working,good working
Mahindra Finance,Unknown,5,Every installment asks for updates,every installment asks for updates
Mahindra Finance,Unknown,1,Good service,good service
Mahindra Finance,Unknown,5,Very good,very good
Mahindra Finance,Unknown,5,Good app,good app
Mahindra Finance,Unknown,5,Mahindra is good till now.,mahindra is good till now
Mahindra Finance,Unknown,5,👍,
Mahindra Finance,Unknown,5,Good 👍,good
Mahindra Finance,Unknown,5,I think the app works great.,i think the app works great
Mahindra Finance,Unknown,5,Very good,very good
Mahindra Finance,Unknown,1,"App is good but this bank deserve 0 star rating because they are fraudsters dont take any loan from this bank. Because at the time of loan they told me the intrest rate will be 9.5%, But now the loan has been applied at 10.84%. I am helpless and hope less. So its better to stay far from this bank.",app is good but this bank deserve star rating because they are fraudsters dont take any loan from this bank because at the time of loan they told me the intrest rate will be but now the loan has been applied at i am helpless and hope less so its better to stay far from this bank
Mahindra Finance,Unknown,5,Need & very helpful app,need very helpful app
Mahindra Finance,Unknown,1,ಥರ್ಡ್ ಕ್ಲಾಸ್ ಫೈನಾನ್ಸ್,ಥರಡ ಕಲಸ ಫನನಸ
Mahindra Finance,Unknown,5,New upadated version of this app is user friendly and very easy to nevigate. Loved it.,new upadated version of this app is user friendly and very easy to nevigate loved it
Mahindra Finance,Unknown,4,Nice and easy to use,nice and easy to use
Mahindra Finance,Unknown,5,ब्रिलिएंट,बरलएट
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,5,Nice,nice
Mahindra Finance,Unknown,5,Super App,super app
Mahindra Finance,Unknown,5,Very very good 👍👍,very very good
Mahindra Finance,Unknown,1,My sibil scor high but not loan me,my sibil scor high but not loan me
Mahindra Finance,Unknown,5,Excellent,excellent
Mahindra Finance,Unknown,5,good 😊💯,good
Mahindra Finance,Unknown,5,Good,good
Mahindra Finance,Unknown,5,Dear good app,dear good app
Mahindra Finance,Unknown,5,Additional charges payment not showing,additional charges payment not showing
Mahindra Finance,Unknown,5,Ok,ok
Mahindra Finance,Unknown,5,Osum 1 no he app,osum no he app
Mahindra Finance,Unknown,5,Loan chahiye,loan chahiye
Mahindra Finance,Unknown,4,Good,good
Mahindra Finance,Unknown,5,Very nice,very nice
Mahindra Finance,Unknown,5,Amazing 😍,amazing
Mahindra Finance,Unknown,5,Good,good
