Appname,Date,Score,Text,text
Monefy - Budget & Expenses app,Unknown,4,Thank You team for fixing the bug. Happy using the application.,thank you team for fixing the bug happy using the application
Monefy - Budget & Expenses app,Unknown,5,"Necesitaba mucho algo que me ayudara a ver mis gastos gráficamente, intenté con notion, excel y nada me ayudó tanto como Monefy. Realmente la recomiendo, me ha ayudado a llevar un control visual del porcentaje de mis gastos y ganancias 🫶🏻💗",necesitaba mucho algo que me ayudara a ver mis gastos gráficamente intenté con notion excel y nada me ayudó tanto como monefy realmente la recomiendo me ha ayudado a llevar un control visual del porcentaje de mis gastos y ganancias
Monefy - Budget & Expenses app,Unknown,5,Genial para tomar conciencia del dinero.,genial para tomar conciencia del dinero
Monefy - Budget & Expenses app,Unknown,5,Good 😊,good
Monefy - Budget & Expenses app,Unknown,5,Great,great
Monefy - Budget & Expenses app,Unknown,4,More details or opciones to details,more details or opciones to details
Monefy - Budget & Expenses app,Unknown,1,Not clear information about purchase and collection of it...,not clear information about purchase and collection of it
Monefy - Budget & Expenses app,Unknown,5,Is very good,is very good
Monefy - Budget & Expenses app,Unknown,1,Save your money. Very buggy.,save your money very buggy
Monefy - Budget & Expenses app,Unknown,5,Very nice and good,very nice and good
Monefy - Budget & Expenses app,Unknown,4,"Wonderful experience, but the limitation it has is , it gives much less options in unpurchased version",wonderful experience but the limitation it has is it gives much less options in unpurchased version
Monefy - Budget & Expenses app,Unknown,4,Good app,good app
Monefy - Budget & Expenses app,Unknown,5,Useful and simple app for everyone,useful and simple app for everyone
Monefy - Budget & Expenses app,Unknown,4,"The developers fixed the lag so I am changing my 1 star review to a 4 star review. I have been using this app for almost 8 years and I really like it. I don't really budget with it, just track my expenses. The app is easy to use and set up and I really appreciate the cloud synch feature. The only thing that I would add is a web version of the app so I can access it on my desktop rather than needing to grab my phone every time I make an online purchase at home.",the developers fixed the lag so i am changing my star review to a star review i have been using this app for almost years and i really like it i dont really budget with it just track my expenses the app is easy to use and set up and i really appreciate the cloud synch feature the only thing that i would add is a web version of the app so i can access it on my desktop rather than needing to grab my phone every time i make an online purchase at home
Monefy - Budget & Expenses app,Unknown,5,"Excellent manual tracker, everything you need including cards and categories to track just about anything you need. All the options needed to group by date, category, or payment method. Plus online backup / sync.",excellent manual tracker everything you need including cards and categories to track just about anything you need all the options needed to group by date category or payment method plus online backup sync
Monefy - Budget & Expenses app,Unknown,5,"Wonderful app, user friendly experience",wonderful app user friendly experience
Monefy - Budget & Expenses app,Unknown,5,I've used this on and off for a while. And it's by far the best app for tracking your spend.,ive used this on and off for a while and its by far the best app for tracking your spend
Monefy - Budget & Expenses app,Unknown,5,Best app for calculating money monthly.,best app for calculating money monthly
Monefy - Budget & Expenses app,Unknown,5,Super,super
Monefy - Budget & Expenses app,Unknown,5,A great app for managing your money and budgeting. Easy to use and the paid version keeps the transactions in sync across devices. Helpful customer services.,a great app for managing your money and budgeting easy to use and the paid version keeps the transactions in sync across devices helpful customer services
Monefy - Budget & Expenses app,Unknown,2,Kindly add Lifetime membership & also add import transaction via excel.,kindly add lifetime membership also add import transaction via excel
Monefy - Budget & Expenses app,Unknown,3,"Very simple, straightforward. User friendly. Doesnt get too annoying with ads. However unless you pay, you don't have an account and the data is only saved on the phone. When my phone broke, I lost 2 years worth of my data.",very simple straightforward user friendly doesnt get too annoying with ads however unless you pay you dont have an account and the data is only saved on the phone when my phone broke i lost years worth of my data
Monefy - Budget & Expenses app,Unknown,5,🇱🇰👍🤝,
Monefy - Budget & Expenses app,Unknown,5,Very helpful app❤️,very helpful app
Monefy - Budget & Expenses app,Unknown,1,This app does not work in android 15. Back button doesn't work some time. Please fix it.,this app does not work in android back button doesnt work some time please fix it
Monefy - Budget & Expenses app,Unknown,4,"I've buy the premium and used it for years because it's clean and simple. But i would love it if i can change the main color theme, like white pink color or any cute and pastel color becauss i don't really like green. Thanks",ive buy the premium and used it for years because its clean and simple but i would love it if i can change the main color theme like white pink color or any cute and pastel color becauss i dont really like green thanks
Monefy - Budget & Expenses app,Unknown,5,Excellent apps,excellent apps
Monefy - Budget & Expenses app,Unknown,5,Best app,best app
Monefy - Budget & Expenses app,Unknown,5,me encanta,me encanta
Monefy - Budget & Expenses app,Unknown,5,"Easy to use, easy to track, been using for 4 months, very good looking UI",easy to use easy to track been using for months very good looking ui
Monefy - Budget & Expenses app,Unknown,5,Very useful App,very useful app
