Appname,Date,Score,Text,text
Payoneer,Unknown,5,Nice service,nice service
Payoneer,Unknown,5,Very good app for international payments,very good app for international payments
Payoneer,Unknown,5,It is very easy to get paid in Pakistan with this app,it is very easy to get paid in pakistan with this app
Payoneer,Unknown,1,I get asked for the sms code too many times for simple transactions,i get asked for the sms code too many times for simple transactions
Payoneer,Unknown,5,Love it 😻,love it
Payoneer,Unknown,1,"Creating an account is a nightmare, otps are not received once they were received the next step button is not working. I would have given 0 stars if it was possible. Shittiest experience of my life.",creating an account is a nightmare otps are not received once they were received the next step button is not working i would have given stars if it was possible shittiest experience of my life
Payoneer,Unknown,5,Hello Payoneer team please approve my payment. I sent you many requests but still my application is still pending Cpa platform sent me payment but the money still not in my account please help me,hello payoneer team please approve my payment i sent you many requests but still my application is still pending cpa platform sent me payment but the money still not in my account please help me
Payoneer,Unknown,5,Good 👍,good
Payoneer,Unknown,5,Payoneer app is very convenient to use however the taxes are troublesome 🥲,payoneer app is very convenient to use however the taxes are troublesome
Payoneer,Unknown,1,Bar bar account blook ker dety ha Mera or new b nhi bnany dety or na hi pahly Wala delete kerdy ha,bar bar account blook ker dety ha mera or new b nhi bnany dety or na hi pahly wala delete kerdy ha
Payoneer,Unknown,5,Love this,love this
Payoneer,Unknown,1,Worst application I have ever used for transaction. No customer support. Didn't resolve my any issues. Lame rules and excuses for help. Never gonna use it again,worst application i have ever used for transaction no customer support didnt resolve my any issues lame rules and excuses for help never gonna use it again
Payoneer,Unknown,5,THANK YOU,thank you
Payoneer,Unknown,4,At login app is slow,at login app is slow
Payoneer,Unknown,5,Faster and convenient,faster and convenient
Payoneer,Unknown,1,"I beg you don't download please use Skrill instead which sends money directly to your phone by passing banks. 1. This app has bots for customer service ie. No one will attend to you if your money is stuck. 2. It's extremely slow and rigid 3. Don't let the 3,4,5 stars fool you most of them if you've ever used the app is questionable. 4. If anything happens to your hard earned money you have yourself to blame bruh... 5. For those who dare to adventure better get use to loss and silent treatment.",i beg you dont download please use skrill instead which sends money directly to your phone by passing banks this app has bots for customer service ie no one will attend to you if your money is stuck its extremely slow and rigid dont let the stars fool you most of them if youve ever used the app is questionable if anything happens to your hard earned money you have yourself to blame bruh for those who dare to adventure better get use to loss and silent treatment
Payoneer,Unknown,1,"This has to be the worst service I've seen in yrs and I'm from Africa where customer service doesn't exist. I created my account yrs (6) back but had a gut feeling not to use the platform and thank GOD I didn't at the time, the whole interface gve me the old and slow chills, almost dead looking actually. RecentIy got paid through a platform that unfortunately uses very few online banking platforms and unfortunately I had to use payoneer, and as soon as my funds landed it's locked and no answers.",this has to be the worst service ive seen in yrs and im from africa where customer service doesnt exist i created my account yrs back but had a gut feeling not to use the platform and thank god i didnt at the time the whole interface gve me the old and slow chills almost dead looking actually recentiy got paid through a platform that unfortunately uses very few online banking platforms and unfortunately i had to use payoneer and as soon as my funds landed its locked and no answers
Payoneer,Unknown,3,I want to log in my account but login jazzchase not in app please solve the problem,i want to log in my account but login jazzchase not in app please solve the problem
Payoneer,Unknown,5,handy n fast,handy n fast
Payoneer,Unknown,5,Using payoneer for a long time. And all good,using payoneer for a long time and all good
Payoneer,Unknown,5,fund transfer fee is higher to wise and paypal but the service & security features are tremendous love it!!! 💗,fund transfer fee is higher to wise and paypal but the service security features are tremendous love it
Payoneer,Unknown,5,Easy and safe,easy and safe
Payoneer,Unknown,5,Perfect so far,perfect so far
Payoneer,Unknown,5,Smooth and Easy to use,smooth and easy to use
Payoneer,Unknown,5,Best one and trustable,best one and trustable
Payoneer,Unknown,5,I am enjoying the platform...very fast and reliable service,i am enjoying the platformvery fast and reliable service
Payoneer,Unknown,5,Excellent 👍,excellent
Payoneer,Unknown,5,Good,good
Payoneer,Unknown,4,I love it but it's a lil slow when it comes on to giving verification codes,i love it but its a lil slow when it comes on to giving verification codes
Payoneer,Unknown,5,Good . But I have an issue I wish you could solve .,good but i have an issue i wish you could solve
Payoneer,Unknown,5,its helpful I really like it because it is simple and understandable,its helpful i really like it because it is simple and understandable
Payoneer,Unknown,5,Great app Swift And seamless,great app swift and seamless
Payoneer,Unknown,1,This application needs a lot of time for start,this application needs a lot of time for start
Payoneer,Unknown,4,Good 👍👍👍,good
Payoneer,Unknown,4,very nice,very nice
Payoneer,Unknown,5,Good app,good app
Payoneer,Unknown,5,Good app,good app
Payoneer,Unknown,5,Great app,great app
Payoneer,Unknown,5,It works.,it works
Payoneer,Unknown,5,Exceptional,exceptional
Payoneer,Unknown,5,⭐⭐⭐,
Payoneer,Unknown,5,So convenient,so convenient
Payoneer,Unknown,3,Nice,nice
Payoneer,Unknown,5,It is so amazing for their support ❤️,it is so amazing for their support
Payoneer,Unknown,5,Awesome but its taking a lot of time & getting less price then others.,awesome but its taking a lot of time getting less price then others
Payoneer,Unknown,5,Nice one,nice one
Payoneer,Unknown,1,I was using Payoneer for withdrawal from social media platforms but after updating your pathetic policies I am unable to link my Payoneer account to withdrawal my earning. Why we pay 60$ to upgrade our account even automatically deducting yearly fees and users also paying service charges on all transaction. Ask 60$ to those who are doing business online and have business account on Payoneer.,i was using payoneer for withdrawal from social media platforms but after updating your pathetic policies i am unable to link my payoneer account to withdrawal my earning why we pay to upgrade our account even automatically deducting yearly fees and users also paying service charges on all transaction ask to those who are doing business online and have business account on payoneer
Payoneer,Unknown,5,Good,good
Payoneer,Unknown,5,superb,superb
Payoneer,Unknown,4,Good,good
Payoneer,Unknown,5,♥️,
Payoneer,Unknown,1,"Declining Service & Increasing Fees I've been using Payoneer since 2016, but their service has been going downhill. They initially charged a 2% fee, which was already high, but now they keep increasing their charges, making it harder for freelancers and businesses to sustain transactions. The transaction times can be frustratingly long. With so many better alternatives available, its no longer worth sticking with Payoneer. Time to switch my customers to a more cost-effective payment solutions",declining service increasing fees ive been using payoneer since but their service has been going downhill they initially charged a fee which was already high but now they keep increasing their charges making it harder for freelancers and businesses to sustain transactions the transaction times can be frustratingly long with so many better alternatives available its no longer worth sticking with payoneer time to switch my customers to a more costeffective payment solutions
Payoneer,Unknown,5,Great app,great app
Payoneer,Unknown,4,Good UI,good ui
Payoneer,Unknown,5,Easy to use,easy to use
Payoneer,Unknown,2,Its great just issue is this that minimum withdraw 150% Is not good please unlock custom withdraw Please,its great just issue is this that minimum withdraw is not good please unlock custom withdraw please
Payoneer,Unknown,5,Very interactive and user friendly.,very interactive and user friendly
Payoneer,Unknown,5,The best app for handling payments,the best app for handling payments
Payoneer,Unknown,5,Good,good
Payoneer,Unknown,5,it's greaattt,its greaattt
Payoneer,Unknown,5,Great payment system,great payment system
Payoneer,Unknown,5,Good application,good application
Payoneer,Unknown,5,Very nice,very nice
Payoneer,Unknown,5,Nice,nice
Payoneer,Unknown,5,It's working each and everything is amazing 😍,its working each and everything is amazing
Payoneer,Unknown,5,Does exactly what it needs to do.,does exactly what it needs to do
Payoneer,Unknown,5,Amazing,amazing
Payoneer,Unknown,4,It very good app gets the job done,it very good app gets the job done
Payoneer,Unknown,1,"Bad and pathetic policy, i hate this app",bad and pathetic policy i hate this app
Payoneer,Unknown,5,Big help for us freelancers. I hope there will be no more delays on transfers. so far so good.,big help for us freelancers i hope there will be no more delays on transfers so far so good
Payoneer,Unknown,5,Swifty App,swifty app
Payoneer,Unknown,5,I'm happy to use it,im happy to use it
Payoneer,Unknown,5,Excellent service.,excellent service
Payoneer,Unknown,1,it's very bad to take Annual fee of 30 USD when you are taking commission on every transaction....👎👎👎👎 Not satisfied with it....,its very bad to take annual fee of usd when you are taking commission on every transaction not satisfied with it
Payoneer,Unknown,1,"Worst experience. Dont use this method of payment. Too hectic and will make you wait months just to get a little amount of money. Please dont install this, use something else. Anything else but this can be a good experience.",worst experience dont use this method of payment too hectic and will make you wait months just to get a little amount of money please dont install this use something else anything else but this can be a good experience
Payoneer,Unknown,5,Reliable app,reliable app
Payoneer,Unknown,1,"I had a very bad experience God, I ask for a withdrawal through tiktok for someday now, it's taking too long to drop, like it's taking 4days and yet my money hasn't drop, still pending to date refund it back, they've not, credit me they've not gushhhh am tired I swear and am not happy 😭",i had a very bad experience god i ask for a withdrawal through tiktok for someday now its taking too long to drop like its taking days and yet my money hasnt drop still pending to date refund it back theyve not credit me theyve not gushhhh am tired i swear and am not happy
Payoneer,Unknown,5,Very nice working perfectly.,very nice working perfectly
Payoneer,Unknown,5,Super and Great...,super and great
Payoneer,Unknown,5,Excellent app,excellent app
Payoneer,Unknown,5,"It was swift and smooth, but the rate or tax levied per withdrawal or deposit should be revised... $9 is too much",it was swift and smooth but the rate or tax levied per withdrawal or deposit should be revised is too much
Payoneer,Unknown,3,"The platform and service itself is good and reliable. However, the Android app is constantly freezing, restarting, and it keeps crashing when I want to unlock it using my fingerprint.",the platform and service itself is good and reliable however the android app is constantly freezing restarting and it keeps crashing when i want to unlock it using my fingerprint
Payoneer,Unknown,5,"I don't have more than 5 stars options. If I had, i will give all star to this app ot is just like a wow, an amazing and outstanding service they provided i just want to say thank you so much for the services you provided to us thanks again",i dont have more than stars options if i had i will give all star to this app ot is just like a wow an amazing and outstanding service they provided i just want to say thank you so much for the services you provided to us thanks again
Payoneer,Unknown,1,Its a trash app with 0%safety and is 0% responsible i would suggest never to open an account in this app this app should be removed from app store and play store,its a trash app with safety and is responsible i would suggest never to open an account in this app this app should be removed from app store and play store
Payoneer,Unknown,5,Really good experience,really good experience
Payoneer,Unknown,5,Always Best 😊,always best
Payoneer,Unknown,5,Excellent service,excellent service
Payoneer,Unknown,5,I receive my monthly payments hassle free,i receive my monthly payments hassle free
Payoneer,Unknown,5,Good aap,good aap
Payoneer,Unknown,5,Easy and reliable 👌,easy and reliable
Payoneer,Unknown,5,Excellent,excellent
Payoneer,Unknown,4,Logo was better than this rainbow colors,logo was better than this rainbow colors
Payoneer,Unknown,5,Good and convenient application!,good and convenient application
Payoneer,Unknown,5,Works great for me.,works great for me
Payoneer,Unknown,5,nice App,nice app
Payoneer,Unknown,5,verry nice,verry nice
Payoneer,Unknown,5,"Excelente, todo muy claro y fácil",excelente todo muy claro y fácil
Payoneer,Unknown,4,Good app.,good app
Payoneer,Unknown,5,Good,good
Payoneer,Unknown,5,Great app and highly recommended,great app and highly recommended
Payoneer,Unknown,5,So smooth!,so smooth
Payoneer,Unknown,5,Good,good
Payoneer,Unknown,5,"A nice interface, and quite efficient. Better than the webpage.",a nice interface and quite efficient better than the webpage
Payoneer,Unknown,5,Good application. Hassle free transaction with strong security. Thanks Payoneer.,good application hassle free transaction with strong security thanks payoneer
Payoneer,Unknown,5,Using Payoneer for 10 years now,using payoneer for years now
Payoneer,Unknown,3,Not much useful in Pakistan 😞😕 Debit card should be available and provide without the condition you put on. You should charge direct amount for debit card rather than the condition you apply.,not much useful in pakistan debit card should be available and provide without the condition you put on you should charge direct amount for debit card rather than the condition you apply
Payoneer,Unknown,5,Excellent,excellent
Payoneer,Unknown,2,"Terrible experience. Slow transactions, endless verifications, and unresponsive support. Using Payoneer feels like a constant struggle just to access your own money. Not worth it.",terrible experience slow transactions endless verifications and unresponsive support using payoneer feels like a constant struggle just to access your own money not worth it
Payoneer,Unknown,5,Its quick and easy!,its quick and easy
Payoneer,Unknown,5,My favorite application Payoneer love it.,my favorite application payoneer love it
Payoneer,Unknown,5,Payoneer never let me down! Keep up the good work!,payoneer never let me down keep up the good work
