Appname,Date,Score,Text,text
"Paytm Money: Stocks, MF, IPO",Unknown,1,Worst app ever very slow and inconvenient with laggy interface.,worst app ever very slow and inconvenient with laggy interface
"Paytm Money: Stocks, MF, IPO",Unknown,1,Very bad,very bad
"Paytm Money: Stocks, MF, IPO",Unknown,4,Nice performance,nice performance
"Paytm Money: Stocks, MF, IPO",Unknown,1,Plz Delet my paytm money account,plz delet my paytm money account
"Paytm Money: Stocks, MF, IPO",Unknown,5,Wow,wow
"Paytm Money: Stocks, MF, IPO",Unknown,5,Request to all to atleast try this app.........please........u will find the difference.......BUT.....delivery buy & sell Rs 20 newly added... and making the AMC free is no use..........particular for people like me who accumulate 1/2 stocks everyday on everydip.......and that too i being an old client....not happy only with this.....it is increasing the avg price.......plz. change this atleast for old clients like me.....who are there with paytm since inception.......,request to all to atleast try this apppleaseu will find the differencebutdelivery buy sell rs newly added and making the amc free is no useparticular for people like me who accumulate stocks everyday on everydipand that too i being an old clientnot happy only with thisit is increasing the avg priceplz change this atleast for old clients like mewho are there with paytm since inception
"Paytm Money: Stocks, MF, IPO",Unknown,1,"Pathetic app and service. If we raise any ticket, it will take 1000 of years to complete. I tried create nps but its still in progress from 1947.",pathetic app and service if we raise any ticket it will take of years to complete i tried create nps but its still in progress from
"Paytm Money: Stocks, MF, IPO",Unknown,1,Frod app,frod app
"Paytm Money: Stocks, MF, IPO",Unknown,1,"I had freezed my account before some time,and at now I have issues during unfreeze account, and no costumer support for inquiry.",i had freezed my account before some timeand at now i have issues during unfreeze account and no costumer support for inquiry
"Paytm Money: Stocks, MF, IPO",Unknown,1,There brokerage charges are too high. They are Charging 2.5% on delivery.,there brokerage charges are too high they are charging on delivery
"Paytm Money: Stocks, MF, IPO",Unknown,1,I'm facing technical glitch from last 2 days. Even unable to deposit SIP TOO. PLEASE HELP.. Again last month same issue,im facing technical glitch from last days even unable to deposit sip too please help again last month same issue
"Paytm Money: Stocks, MF, IPO",Unknown,1,You funded the account but my account is still under activation. Also you are not returning my money in your wallet saying your account is under approval.,you funded the account but my account is still under activation also you are not returning my money in your wallet saying your account is under approval
"Paytm Money: Stocks, MF, IPO",Unknown,1,Wrost app ever you will use. They have so much hidden charge on each . they will charge you per share 3 rupees for survice. No real time data for mutual fund. High charges,wrost app ever you will use they have so much hidden charge on each they will charge you per share rupees for survice no real time data for mutual fund high charges
"Paytm Money: Stocks, MF, IPO",Unknown,1,No any customer support very bad experience,no any customer support very bad experience
"Paytm Money: Stocks, MF, IPO",Unknown,1,Please improve your search experience in stock watchlist on web. Needs basic testing in real time to identify the issue.,please improve your search experience in stock watchlist on web needs basic testing in real time to identify the issue
"Paytm Money: Stocks, MF, IPO",Unknown,5,user friendly ui,user friendly ui
"Paytm Money: Stocks, MF, IPO",Unknown,1,This is the fraud apps don't use this apps there many hide and charges and no support and manipulate. Fraud app paytm money. 4 and half years I use this app but it's fraud app. I recommend avoid this app to invest money.,this is the fraud apps dont use this apps there many hide and charges and no support and manipulate fraud app paytm money and half years i use this app but its fraud app i recommend avoid this app to invest money
"Paytm Money: Stocks, MF, IPO",Unknown,1,This isn't working Better application and network issue is all time or Brokerage charges is high,this isnt working better application and network issue is all time or brokerage charges is high
"Paytm Money: Stocks, MF, IPO",Unknown,1,"Worst service, no one can listen your problem while you face app issue",worst service no one can listen your problem while you face app issue
"Paytm Money: Stocks, MF, IPO",Unknown,5,Can you add 5 year and all time charts,can you add year and all time charts
"Paytm Money: Stocks, MF, IPO",Unknown,1,Poor customer care just unreachable,poor customer care just unreachable
"Paytm Money: Stocks, MF, IPO",Unknown,5,👍,
"Paytm Money: Stocks, MF, IPO",Unknown,1,Third class service,third class service
"Paytm Money: Stocks, MF, IPO",Unknown,1,Very bad customer support,very bad customer support
"Paytm Money: Stocks, MF, IPO",Unknown,1,"Facing issues with pending order, not getting it canceled, modify or executed. Tried 25 plus time the paytm help no. But no response. Pathetic",facing issues with pending order not getting it canceled modify or executed tried plus time the paytm help no but no response pathetic
"Paytm Money: Stocks, MF, IPO",Unknown,1,Worst coustomer care,worst coustomer care
"Paytm Money: Stocks, MF, IPO",Unknown,2,Missing many features - Pls bring more sophisticated goal based investment tracking like ETMoney or Scripbox - Show historical performance of investments in MF - Add way to Switch MF (as in INDMoney),missing many features pls bring more sophisticated goal based investment tracking like etmoney or scripbox show historical performance of investments in mf add way to switch mf as in indmoney
"Paytm Money: Stocks, MF, IPO",Unknown,1,"No customer care facility, customer care number is out of service",no customer care facility customer care number is out of service
"Paytm Money: Stocks, MF, IPO",Unknown,1,Sir Aaj isme order cancel nahi ho rha isme nuksan ka jimmedar kon koi support,sir aaj isme order cancel nahi ho rha isme nuksan ka jimmedar kon koi support
"Paytm Money: Stocks, MF, IPO",Unknown,1,Very bad service,very bad service
"Paytm Money: Stocks, MF, IPO",Unknown,1,It's struck badly and no proper customer support,its struck badly and no proper customer support
"Paytm Money: Stocks, MF, IPO",Unknown,1,"Pls don't install this app, I stuck with my orders and no one was there to help me, no customer care service, no email support",pls dont install this app i stuck with my orders and no one was there to help me no customer care service no email support
"Paytm Money: Stocks, MF, IPO",Unknown,1,Very poor app,very poor app
"Paytm Money: Stocks, MF, IPO",Unknown,1,"Order not getting executed or cancelled or modified, not even able to raise ticket on the app, customer care number not getting connected",order not getting executed or cancelled or modified not even able to raise ticket on the app customer care number not getting connected
"Paytm Money: Stocks, MF, IPO",Unknown,1,Very bad service,very bad service
