Appname,Date,Score,Text,text
Adobe Premiere Rush,Unknown,1,"Horrendous buggy glitchy neglected app. Great idea. Sadly, it doesn't work. Trying to export a project with any kind of complexity simply fails. Every. Single. Time. Hours and hours wasted.",horrendous buggy glitchy neglected app great idea sadly it doesnt work trying to export a project with any kind of complexity simply fails every single time hours and hours wasted
Adobe Premiere Rush,Unknown,2,"The exported video has a lot of glitches which don't show up in the editing window, I don't know what the issue is.. tried it on multiple android devices yet it's the same",the exported video has a lot of glitches which dont show up in the editing window i dont know what the issue is tried it on multiple android devices yet its the same
Adobe Premiere Rush,Unknown,1,"Worst experience ever using this waste app, rendering make too long , Kindly other users do not use this one",worst experience ever using this waste app rendering make too long kindly other users do not use this one
Adobe Premiere Rush,Unknown,1,Automatically made my videos high pitched. Not user friendly at all. Sticking to CapCut,automatically made my videos high pitched not user friendly at all sticking to capcut
Adobe Premiere Rush,Unknown,1,i got a phone with 12Gb RAM but the app still keeps freezing,i got a phone with gb ram but the app still keeps freezing
Adobe Premiere Rush,Unknown,1,Not working properly! Disappointed. 😵😵,not working properly disappointed
Adobe Premiere Rush,Unknown,5,Best apps,best apps
Adobe Premiere Rush,Unknown,1,BAD,bad
Adobe Premiere Rush,Unknown,1,So useless...spent an hour editing only for it to fail at 16% while trying to save😭😭nktt,so uselessspent an hour editing only for it to fail at while trying to savenktt
Adobe Premiere Rush,Unknown,1,Every video I have uploaded within the past month has distorted audio. Sounds like it's slowed down but when I speed it up it still sounds terrible. I cleared my cache and data and still having this issue. Fix it please,every video i have uploaded within the past month has distorted audio sounds like its slowed down but when i speed it up it still sounds terrible i cleared my cache and data and still having this issue fix it please
Adobe Premiere Rush,Unknown,2,Why Adobe you disappointed us on mobile,why adobe you disappointed us on mobile
Adobe Premiere Rush,Unknown,1,"I'm unable to export a video in the app says ""some error occurred, please try again! It does not tell you what the error is so pointless doing an edit that cannot be exported.",im unable to export a video in the app says some error occurred please try again it does not tell you what the error is so pointless doing an edit that cannot be exported
Adobe Premiere Rush,Unknown,4,"This is my go-to android video editing app. It's precise, intuitive, stable, and can sync multiple audio tracks well (but not automatically). It's missing things like captions and 4:3 aspect ratio and sync with Premiere Pro that could make it exceptional.",this is my goto android video editing app its precise intuitive stable and can sync multiple audio tracks well but not automatically its missing things like captions and aspect ratio and sync with premiere pro that could make it exceptional
Adobe Premiere Rush,Unknown,1,Terrible... I was putting the finishing touches on a video that I've been working on for two days. I go to add an emoji to a graphic and it crashes and now it won't let me open the project back up without the app failing. I'm going to find a new app that won't get rid of all of my progress over an emoji.,terrible i was putting the finishing touches on a video that ive been working on for two days i go to add an emoji to a graphic and it crashes and now it wont let me open the project back up without the app failing im going to find a new app that wont get rid of all of my progress over an emoji
Adobe Premiere Rush,Unknown,1,Can't even export a single clip with speed effect,cant even export a single clip with speed effect
