Appname,Date,Score,Text,text
AndrOpen Office,Unknown,5,Excellent Free alternative to Microsoft office. Includes encryption for sensitive files...,excellent free alternative to microsoft office includes encryption for sensitive files
AndrOpen Office,Unknown,5,Very easy to use. Wish it was available to run on my Windows PC,very easy to use wish it was available to run on my windows pc
AndrOpen Office,Unknown,4,Great application with many functions. Very easy to use and supports a lot of file formats.,great application with many functions very easy to use and supports a lot of file formats
AndrOpen Office,Unknown,5,The Best App For Word Processing Productivity using ChromeOS,the best app for word processing productivity using chromeos
AndrOpen Office,Unknown,4,Really handy for opening all sorts of attached files,really handy for opening all sorts of attached files
AndrOpen Office,Unknown,4,"Great for my experience,",great for my experience
AndrOpen Office,Unknown,5,Very great app. Now i can do all my paper work in it as i have no laptop or computers.but please open pdf so i format word docs. Otherwise i give 100%.,very great app now i can do all my paper work in it as i have no laptop or computersbut please open pdf so i format word docs otherwise i give
AndrOpen Office,Unknown,5,I don't write in burmese letter ​ေ in spradsheet,i dont write in burmese letter in spradsheet
AndrOpen Office,Unknown,4,Made a mistake. Wrong program.,made a mistake wrong program
AndrOpen Office,Unknown,1,Can't even see show to change page orientation. Ridiculous,cant even see show to change page orientation ridiculous
AndrOpen Office,Unknown,4,"Does pretty much everything Microsoft Office does except Access. Not quite as full-feature as Office and a little clunky on a phone, but adequate for most home office needs. I've used it for years and haven't used Office since I retired (2 years ago).",does pretty much everything microsoft office does except access not quite as fullfeature as office and a little clunky on a phone but adequate for most home office needs ive used it for years and havent used office since i retired years ago
AndrOpen Office,Unknown,4,I like this app!,i like this app
AndrOpen Office,Unknown,2,"App acting up again, works on samsung A70 And doogee V20, says free version on samsung S22. All connecting to this google account. Lost my paid features again, really annoying...",app acting up again works on samsung a and doogee v says free version on samsung s all connecting to this google account lost my paid features again really annoying
AndrOpen Office,Unknown,1,"2/27/25 Have un-installed 6 times and again just now. Deleted the APK, ran Avast cleanup, and power off/on. Problem persists when offline. App wants to talk to Google Play and can't do so offline (this wasn't a problem before the pre-January update). Users cannot ALWAYS stay connected when they use your app. Please put it back the way it was.",have uninstalled times and again just now deleted the apk ran avast cleanup and power offon problem persists when offline app wants to talk to google play and cant do so offline this wasnt a problem before the prejanuary update users cannot always stay connected when they use your app please put it back the way it was
AndrOpen Office,Unknown,1,You cannot print. You cannot save as pdf. You cannot upload. What is the point of installing this software? There is no point. Uninstall it and never look back.,you cannot print you cannot save as pdf you cannot upload what is the point of installing this software there is no point uninstall it and never look back
AndrOpen Office,Unknown,5,"It allows simple editing on the phone, signing documents, and sent off while you are on the road.",it allows simple editing on the phone signing documents and sent off while you are on the road
AndrOpen Office,Unknown,5,Excellent,excellent
AndrOpen Office,Unknown,5,Works well for me. I can encrypt files I need to as well as have a word processor and spreadsheet.,works well for me i can encrypt files i need to as well as have a word processor and spreadsheet
AndrOpen Office,Unknown,5,OK,ok
AndrOpen Office,Unknown,1,Another bait and switch. Free... Unless you want to access any cloud storage or do anything but the absolute basics. Uninstall.,another bait and switch free unless you want to access any cloud storage or do anything but the absolute basics uninstall
AndrOpen Office,Unknown,5,"Overall, it's a nice app. Needs dark mode. Black background white text do not just invert colors.",overall its a nice app needs dark mode black background white text do not just invert colors
AndrOpen Office,Unknown,5,Hands down the best office software. Free and sensible. They listen to users to improve all the time,hands down the best office software free and sensible they listen to users to improve all the time
AndrOpen Office,Unknown,5,Last reviewed in 2014. I hope it's better now in 2025.,last reviewed in i hope its better now in
AndrOpen Office,Unknown,5,"This app is a nice throwback to older UI. One-time license purchase model, thank you~",this app is a nice throwback to older ui onetime license purchase model thank you
AndrOpen Office,Unknown,4,Open Office is awesome! Better than Word for sure! :-),open office is awesome better than word for sure
AndrOpen Office,Unknown,5,best app ever great for either finger poking office apps on screen or with bluetooth keyboard and mouse on Samsung Dex,best app ever great for either finger poking office apps on screen or with bluetooth keyboard and mouse on samsung dex
AndrOpen Office,Unknown,5,Very good,very good
AndrOpen Office,Unknown,5,nice,nice
