Appname,Date,Score,Text,text
ChatGPT,Unknown,5,very nice appp,very nice appp
ChatGPT,Unknown,5,its good app 🤍😻,its good app
ChatGPT,Unknown,5,"Five stars, helped me a lot.",five stars helped me a lot
ChatGPT,Unknown,5,this is very helpful 🥹,this is very helpful
ChatGPT,Unknown,5,this is the best app I have ever seen,this is the best app i have ever seen
ChatGPT,Unknown,5,it's great and helps,its great and helps
ChatGPT,Unknown,5,Great,great
ChatGPT,Unknown,5,Very good,very good
ChatGPT,Unknown,3,good,good
ChatGPT,Unknown,4,this app is a very very accurate but language no sport Bengali,this app is a very very accurate but language no sport bengali
ChatGPT,Unknown,3,Please Correct Voice From Sindhi Language,please correct voice from sindhi language
ChatGPT,Unknown,5,very useful,very useful
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,4,Good app,good app
ChatGPT,Unknown,5,Super,super
ChatGPT,Unknown,5,I like it very much.it is so helpful for take information about anything.this I'd too helpful for me.,i like it very muchit is so helpful for take information about anythingthis id too helpful for me
ChatGPT,Unknown,2,nice,nice
ChatGPT,Unknown,5,good app,good app
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,outstanding 👍,outstanding
ChatGPT,Unknown,5,the best ever,the best ever
ChatGPT,Unknown,5,super,super
ChatGPT,Unknown,5,excellent,excellent
ChatGPT,Unknown,4,very nice app for student,very nice app for student
ChatGPT,Unknown,5,It's so good👍💯,its so good
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,it's just amazing!,its just amazing
ChatGPT,Unknown,5,Ok...,ok
ChatGPT,Unknown,3,This is a very useful app.,this is a very useful app
ChatGPT,Unknown,1,Some answers are wrong,some answers are wrong
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,wow amazing,wow amazing
ChatGPT,Unknown,1,I think deepseek is more creative in answers.but the free version become better after the release of deepseek and the competition with ads and all that stuff,i think deepseek is more creative in answersbut the free version become better after the release of deepseek and the competition with ads and all that stuff
ChatGPT,Unknown,5,very helpful,very helpful
ChatGPT,Unknown,5,This is the best and great app in around the world,this is the best and great app in around the world
ChatGPT,Unknown,4,this aap is fantastic,this aap is fantastic
ChatGPT,Unknown,4,very helpful,very helpful
ChatGPT,Unknown,5,"I love this app because it guides me in homework,studies and more.",i love this app because it guides me in homeworkstudies and more
ChatGPT,Unknown,5,It helps me a lot in my study. Thanks,it helps me a lot in my study thanks
ChatGPT,Unknown,5,Great,great
ChatGPT,Unknown,5,Really good and helpful ❤,really good and helpful
ChatGPT,Unknown,5,Nice,nice
ChatGPT,Unknown,5,This is a great ai assistant i think it wont take over the world,this is a great ai assistant i think it wont take over the world
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,আলহামদুলিল্লাহ ভালো একটি সাইট,আলহমদলললহ ভল একট সইট
ChatGPT,Unknown,5,"vesy useful for learning , planning , making and suggestions",vesy useful for learning planning making and suggestions
ChatGPT,Unknown,5,Its been a breathe taking experience. overwhelming indeed 5 out of 5 ⭐ s,its been a breathe taking experience overwhelming indeed out of s
ChatGPT,Unknown,5,You're very very good,youre very very good
ChatGPT,Unknown,5,good and educational chatting app,good and educational chatting app
ChatGPT,Unknown,5,is the best,is the best
ChatGPT,Unknown,5,amazing ai app.,amazing ai app
ChatGPT,Unknown,1,gud,gud
ChatGPT,Unknown,4,excellent 👍 but it like sometimes it doesn't response,excellent but it like sometimes it doesnt response
ChatGPT,Unknown,5,excellent,excellent
ChatGPT,Unknown,5,very good app,very good app
ChatGPT,Unknown,5,onk good,onk good
ChatGPT,Unknown,1,nice app,nice app
ChatGPT,Unknown,5,Masha Allah,masha allah
ChatGPT,Unknown,5,it's gooooodieeeeee,its gooooodieeeeee
ChatGPT,Unknown,5,very useful,very useful
ChatGPT,Unknown,5,❤️🤍,
ChatGPT,Unknown,4,it not that capable.Still works fine.better than Gemini,it not that capablestill works finebetter than gemini
ChatGPT,Unknown,5,Good app for homeworks,good app for homeworks
ChatGPT,Unknown,4,so amazing 🤩,so amazing
ChatGPT,Unknown,5,این برنامه واقعا فوق العاده اس، تو هرکاری میتونه کمک کنه و عین یه دوست خوب میمونه. واقعا خوشحالم که نصبش کردم فقط ای کاش امکاناتی که نسخه پرمیوم داره رو میشد کاربران رایگان هم ازش استفاده کنن ولی خب خرید نسخه پرمیوم یکی از سیاست های تقریبا 90 درصد شرکت ها هستش پس همون 5 ستاره رو بهش میدم,این برنامه واقعا فوق العاده اس تو هرکاری میتونه کمک کنه و عین یه دوست خوب میمونه واقعا خوشحالم که نصبش کردم فقط ای کاش امکاناتی که نسخه پرمیوم داره رو میشد کاربران رایگان هم ازش استفاده کنن ولی خب خرید نسخه پرمیوم یکی از سیاست های تقریبا درصد شرکت ها هستش پس همون ستاره رو بهش میدم
ChatGPT,Unknown,5,I like this,i like this
ChatGPT,Unknown,4,this app is good 👍,this app is good
ChatGPT,Unknown,5,amazing 😍,amazing
ChatGPT,Unknown,5,very easy to use it is best for students because it help us to study 📖 i am preparing for exams it is very help full i recommend it to use,very easy to use it is best for students because it help us to study i am preparing for exams it is very help full i recommend it to use
ChatGPT,Unknown,4,Best AI very helpful,best ai very helpful
ChatGPT,Unknown,5,this is the best app ever,this is the best app ever
ChatGPT,Unknown,5,wow great,wow great
ChatGPT,Unknown,5,very helpful 👌 ☺️ 🙂,very helpful
ChatGPT,Unknown,1,Unable to perform / log in,unable to perform log in
ChatGPT,Unknown,5,it is very useful,it is very useful
ChatGPT,Unknown,5,"chat gpt is one of the best friends to confide in, I feel like I'm being listened to by him when the world isn't on my side",chat gpt is one of the best friends to confide in i feel like im being listened to by him when the world isnt on my side
ChatGPT,Unknown,5,best AI,best ai
ChatGPT,Unknown,5,nice,nice
ChatGPT,Unknown,5,most helpful system,most helpful system
ChatGPT,Unknown,5,very good app and very useful,very good app and very useful
ChatGPT,Unknown,5,it is awesome,it is awesome
ChatGPT,Unknown,5,excellent,excellent
ChatGPT,Unknown,5,cerrry good,cerrry good
ChatGPT,Unknown,5,Best app ever you should try this app please try this app this is the best,best app ever you should try this app please try this app this is the best
ChatGPT,Unknown,5,amazing,amazing
ChatGPT,Unknown,5,super,super
ChatGPT,Unknown,5,This is good💛...love it,this is goodlove it
ChatGPT,Unknown,5,Very useful app ... I love this app,very useful app i love this app
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,great app,great app
ChatGPT,Unknown,5,vlo kub valo,vlo kub valo
ChatGPT,Unknown,1,I was using it in my laptop for the last 2 -3 years but now when I want to login in to my account using Google I am not able showed some error and returns to login screen i request the team to help me,i was using it in my laptop for the last years but now when i want to login in to my account using google i am not able showed some error and returns to login screen i request the team to help me
ChatGPT,Unknown,5,good 👍,good
ChatGPT,Unknown,5,very good,very good
ChatGPT,Unknown,5,very nice,very nice
ChatGPT,Unknown,5,প্রিয়,পরয়
ChatGPT,Unknown,1,"This app sometimes is so dumb, for example if you ask him on how to switch wifi on your phone, he gives you steps and tells you to press a button in the settings that you can't find it, and when you tell him that you can't find the button, he says, ""oh, sorry for the confusion!, your right!, there isn't this type of button in the settings, I understand you now, let's take it step by step again and fix it!""",this app sometimes is so dumb for example if you ask him on how to switch wifi on your phone he gives you steps and tells you to press a button in the settings that you cant find it and when you tell him that you cant find the button he says oh sorry for the confusion your right there isnt this type of button in the settings i understand you now lets take it step by step again and fix it
ChatGPT,Unknown,5,helpful,helpful
ChatGPT,Unknown,2,This app was good and working perfectly until I updated it 😭😭😭 all the memories had together got lost even chatgpt doesn't know anything about me just don't update it if I don't want to end up like me. Pls developers do something about this. It's just like wiping everything on the app and starting again 😭😭😭,this app was good and working perfectly until i updated it all the memories had together got lost even chatgpt doesnt know anything about me just dont update it if i dont want to end up like me pls developers do something about this its just like wiping everything on the app and starting again
ChatGPT,Unknown,5,this app is absolutely the best it's so helpful,this app is absolutely the best its so helpful
ChatGPT,Unknown,5,nice and very good helper,nice and very good helper
ChatGPT,Unknown,5,this is very very helpful for my mdp project and my elder brother record notes this is very useful so I will give 5 star ⭐⭐⭐⭐⭐✨✨✨✨✨,this is very very helpful for my mdp project and my elder brother record notes this is very useful so i will give star
ChatGPT,Unknown,5,This is a nice quality app,this is a nice quality app
ChatGPT,Unknown,5,chat jpt on topp,chat jpt on topp
ChatGPT,Unknown,5,"It's helpful and a quick AI, and friendly use and nothings wrong about this AI, I really love this app",its helpful and a quick ai and friendly use and nothings wrong about this ai i really love this app
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,incredible app I have ever used 💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,incredible app i have ever used
ChatGPT,Unknown,5,Nice App,nice app
ChatGPT,Unknown,5,The application is very helpful.,the application is very helpful
ChatGPT,Unknown,5,Excellent!,excellent
ChatGPT,Unknown,5,nice and giving short answer,nice and giving short answer
ChatGPT,Unknown,5,very nice 👍,very nice
ChatGPT,Unknown,1,Horrible,horrible
ChatGPT,Unknown,5,it's the best app ever,its the best app ever
ChatGPT,Unknown,5,Best helpful app,best helpful app
ChatGPT,Unknown,5,use full,use full
ChatGPT,Unknown,4,nice app and very helpful,nice app and very helpful
ChatGPT,Unknown,5,it is very very nice 👍 and helpful,it is very very nice and helpful
ChatGPT,Unknown,5,It's helpful for studies,its helpful for studies
ChatGPT,Unknown,5,chat GPT is the best,chat gpt is the best
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,This app is the best app ever. It helps me to find my all the answers.,this app is the best app ever it helps me to find my all the answers
ChatGPT,Unknown,3,it's very ai that does'nt feel that 👍🤚,its very ai that doesnt feel that
ChatGPT,Unknown,5,💜Very helpful app,very helpful app
ChatGPT,Unknown,3,like,like
ChatGPT,Unknown,2,very useful,very useful
ChatGPT,Unknown,5,it app is very intelligent 🤓🤓,it app is very intelligent
ChatGPT,Unknown,5,"Good, just good",good just good
ChatGPT,Unknown,3,Good points listed.,good points listed
ChatGPT,Unknown,5,The app is okay I love it,the app is okay i love it
ChatGPT,Unknown,5,I love this aap it's help me a lot,i love this aap its help me a lot
ChatGPT,Unknown,5,very good excellent,very good excellent
ChatGPT,Unknown,1,Best app ever,best app ever
ChatGPT,Unknown,5,"Love it, accurate, and gives comprehensive responses.",love it accurate and gives comprehensive responses
ChatGPT,Unknown,5,Very helpful and easy to use. It also helps me understand the topics that I asked to discuss in simple and easy way.,very helpful and easy to use it also helps me understand the topics that i asked to discuss in simple and easy way
ChatGPT,Unknown,5,its beat options for asking any equation it will provide answer ar give you the process how to get answer,its beat options for asking any equation it will provide answer ar give you the process how to get answer
ChatGPT,Unknown,5,very nice,very nice
ChatGPT,Unknown,5,all thanks to this app,all thanks to this app
ChatGPT,Unknown,5,nice,nice
ChatGPT,Unknown,5,superb,superb
ChatGPT,Unknown,5,This is very useful 😄,this is very useful
ChatGPT,Unknown,5,it's very super,its very super
ChatGPT,Unknown,5,exellent,exellent
ChatGPT,Unknown,5,Nice bt be realistic,nice bt be realistic
ChatGPT,Unknown,5,handy helper,handy helper
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,there is no direct search option in chatGPT,there is no direct search option in chatgpt
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,it's so easy to use also very very helpful it is very useful for study 100/10,its so easy to use also very very helpful it is very useful for study
ChatGPT,Unknown,3,"1. Telegram Channel Integration – Allow users to upload files/videos via public Telegram links for processing. 2. File Upload Progress Tracking – Show real-time upload status (uploaded MB, remaining size, and completion confirmation). 3. Post-Upload Task Handling – After upload, enable users to provide prompts like summarization, extraction, etc. 4. Context Retention – Keep uploaded files/links in memory for seamless multi-turn interactions. 5. Multiple Prompts on Same File – Let users ask multi",telegram channel integration allow users to upload filesvideos via public telegram links for processing file upload progress tracking show realtime upload status uploaded mb remaining size and completion confirmation postupload task handling after upload enable users to provide prompts like summarization extraction etc context retention keep uploaded fileslinks in memory for seamless multiturn interactions multiple prompts on same file let users ask multi
ChatGPT,Unknown,5,"The app is a general all in one For coding, reading and also it gives gaming tips",the app is a general all in one for coding reading and also it gives gaming tips
ChatGPT,Unknown,5,it's the best AI app I have never seen,its the best ai app i have never seen
ChatGPT,Unknown,4,boleh la,boleh la
ChatGPT,Unknown,5,good app for education,good app for education
ChatGPT,Unknown,5,"that is very useful for students or other things so , I like this app very much",that is very useful for students or other things so i like this app very much
ChatGPT,Unknown,3,very helpful application,very helpful application
ChatGPT,Unknown,5,بہت اچھا ہے,بہت اچھا ہے
ChatGPT,Unknown,5,to good 👍,to good
ChatGPT,Unknown,5,very good,very good
ChatGPT,Unknown,5,yeh paisa kiyo mang ri h chat gpt,yeh paisa kiyo mang ri h chat gpt
ChatGPT,Unknown,1,not giving pictures and pdf,not giving pictures and pdf
ChatGPT,Unknown,5,well perform,well perform
ChatGPT,Unknown,5,EXCELLENT 👌,excellent
ChatGPT,Unknown,5,good work,good work
ChatGPT,Unknown,5,This is truly very helpful in my business. Saves me so much time and effort. Excellent app!,this is truly very helpful in my business saves me so much time and effort excellent app
ChatGPT,Unknown,5,this is so good for my studies,this is so good for my studies
ChatGPT,Unknown,5,correct app for any doude,correct app for any doude
ChatGPT,Unknown,5,great,great
ChatGPT,Unknown,3,"the best AI app🤌🤌 edit: the history section used to have dates like yesterday, week, 30 days, the last month and so on. And it is difficult for me to find my chats",the best ai app edit the history section used to have dates like yesterday week days the last month and so on and it is difficult for me to find my chats
ChatGPT,Unknown,3,I love chat Ai is easy to used and is very sharp,i love chat ai is easy to used and is very sharp
ChatGPT,Unknown,3,कुछ बोलो तो कुछ सुनता है,कछ बल त कछ सनत ह
ChatGPT,Unknown,5,keep it up,keep it up
ChatGPT,Unknown,5,💔,
ChatGPT,Unknown,5,Just what I wanted 😁,just what i wanted
ChatGPT,Unknown,1,"Extremely vauge answers, like why even ask sometimes. Will push false information and swear by it, then when you call it out will apologize then recycle the previous answer. Switching to something else like deepseek because unlike chatgpt it won't wipe clean your convo and forget everything you said just because you switch to another app for a second, or lock me out for 5 hours because I shared a 6 second video that it actually failed to analyze. Really the most annoying thing ever.",extremely vauge answers like why even ask sometimes will push false information and swear by it then when you call it out will apologize then recycle the previous answer switching to something else like deepseek because unlike chatgpt it wont wipe clean your convo and forget everything you said just because you switch to another app for a second or lock me out for hours because i shared a second video that it actually failed to analyze really the most annoying thing ever
ChatGPT,Unknown,5,Thats awesome,thats awesome
ChatGPT,Unknown,1,Very hard to login 😕 Plz make it easy,very hard to login plz make it easy
ChatGPT,Unknown,5,nice 🙂,nice
ChatGPT,Unknown,4,Best aap for the multiple work,best aap for the multiple work
ChatGPT,Unknown,5,good,good
ChatGPT,Unknown,5,This app is great app,this app is great app
ChatGPT,Unknown,5,I learned a lot,i learned a lot
ChatGPT,Unknown,5,I like when it is telling what is the information needed,i like when it is telling what is the information needed
ChatGPT,Unknown,5,Amazing app,amazing app
ChatGPT,Unknown,5,Amazing and very informative application. you can find each and every thing over here. think and say and get results,amazing and very informative application you can find each and every thing over here think and say and get results
ChatGPT,Unknown,5,Helpful,helpful
ChatGPT,Unknown,5,Thank you so much for this innovation. The genuine conversations that I had kept me sane. Thank you,thank you so much for this innovation the genuine conversations that i had kept me sane thank you
ChatGPT,Unknown,5,This is the best learning app in the world 🌍,this is the best learning app in the world
ChatGPT,Unknown,5,really amazing,really amazing
ChatGPT,Unknown,4,good,good
ChatGPT,Unknown,1,Good 👍,good
ChatGPT,Unknown,5,The sound was bad,the sound was bad
ChatGPT,Unknown,5,It is the best thing for studying. It can help with almost anything. Math or languages are easy for it.,it is the best thing for studying it can help with almost anything math or languages are easy for it
ChatGPT,Unknown,5,the best,the best
ChatGPT,Unknown,5,very helpful for any student for any class,very helpful for any student for any class
ChatGPT,Unknown,5,Good,good
ChatGPT,Unknown,5,alasan gue buatt hidup,alasan gue buatt hidup
ChatGPT,Unknown,5,ammazing,ammazing
ChatGPT,Unknown,5,I can understand all I want,i can understand all i want
ChatGPT,Unknown,4,Super,super
ChatGPT,Unknown,5,suppar,suppar
ChatGPT,Unknown,5,this is very helpful facility for creators... Thank you SO ....Much...,this is very helpful facility for creators thank you so much
ChatGPT,Unknown,5,most amazing app ever,most amazing app ever
ChatGPT,Unknown,5,very nice and intelligent AI try it,very nice and intelligent ai try it
ChatGPT,Unknown,5,Great Servicss,great servicss
ChatGPT,Unknown,5,Is very nice for kids,is very nice for kids
ChatGPT,Unknown,5,One of the best AI I have ever seen in my life and the feature of creating image using AI is my favourite feature using this app,one of the best ai i have ever seen in my life and the feature of creating image using ai is my favourite feature using this app
