Appname,Date,Score,Text,text
Focus To-Do: Pomodoro & Tasks,Unknown,4,Owesome,owesome
Focus To-Do: Pomodoro & Tasks,Unknown,5,Exceptional ✨😄,exceptional
Focus To-Do: Pomodoro & Tasks,Unknown,5,Best app for focus on studies,best app for focus on studies
Focus To-Do: Pomodoro & Tasks,Unknown,5,Great App? Truely!,great app truely
Focus To-Do: Pomodoro & Tasks,Unknown,4,Helped me to stay focus!,helped me to stay focus
Focus To-Do: Pomodoro & Tasks,Unknown,5,"The best app It is a perfect app for students, aspirations",the best app it is a perfect app for students aspirations
Focus To-Do: Pomodoro & Tasks,Unknown,5,Very helpful and enhance our productivity,very helpful and enhance our productivity
Focus To-Do: Pomodoro & Tasks,Unknown,1,In somedays it start asking for premium for every single thing ....... u can't use it then ...... worse app I wish there is any app without premium 😕 😒 u can use it for sometime only,in somedays it start asking for premium for every single thing u cant use it then worse app i wish there is any app without premium u can use it for sometime only
Focus To-Do: Pomodoro & Tasks,Unknown,5,I really like this app ... I think this is the easiest one for using for daily routine:)♡,i really like this app i think this is the easiest one for using for daily routine
Focus To-Do: Pomodoro & Tasks,Unknown,5,"No annoying ads. Works perfectly. After trying many other apps, this one is the best",no annoying ads works perfectly after trying many other apps this one is the best
Focus To-Do: Pomodoro & Tasks,Unknown,5,Good,good
Focus To-Do: Pomodoro & Tasks,Unknown,4,"I'm loving this app. The bells right after one pomodoro is completed, give me sense of accomplishment and i feel happy right away.",im loving this app the bells right after one pomodoro is completed give me sense of accomplishment and i feel happy right away
Focus To-Do: Pomodoro & Tasks,Unknown,5,"Hello, thank you for your wonderful program. My country is embargoed and I cannot get the premium 🥲. Can you help me?",hello thank you for your wonderful program my country is embargoed and i cannot get the premium can you help me
Focus To-Do: Pomodoro & Tasks,Unknown,5,Love,love
Focus To-Do: Pomodoro & Tasks,Unknown,5,It is good 👍 am working on it,it is good am working on it
Focus To-Do: Pomodoro & Tasks,Unknown,3,Nice,nice
Focus To-Do: Pomodoro & Tasks,Unknown,5,"Pomodoro, tasks, farm. Everything I need",pomodoro tasks farm everything i need
Focus To-Do: Pomodoro & Tasks,Unknown,5,تطبيق رائع جدا يسبب في انجاز المهام,تطبيق رائع جدا يسبب في انجاز المهام
