Appname,Date,Score,Text,text
Naver Calendar,Unknown,1,Bad,bad
Naver Calendar,Unknown,1,کتر نمیکنه اصلا. موقع ورود همش ارور میده و اصلا لود نمیشه,کتر نمیکنه اصلا موقع ورود همش ارور میده و اصلا لود نمیشه
Naver Calendar,Unknown,5,I love the cute stickers,i love the cute stickers
Naver Calendar,Unknown,1,requires account.,requires account
Naver Calendar,Unknown,3,언어설정 옵션 필요,언어설정 옵션 필요
Naver Calendar,Unknown,5,정말 잘 사용하고 있어요. 건의사항이 하나 있어요. 할일.task list 에서 할일 항목을 위아래로 옮길 수 있으면 좋을 것 같아요 옮기는 기능만 있으면 최고의 앱이 될것 같습니다!!,정말 잘 사용하고 있어요 건의사항이 하나 있어요 할일task list 에서 할일 항목을 위아래로 옮길 수 있으면 좋을 것 같아요 옮기는 기능만 있으면 최고의 앱이 될것 같습니다
Naver Calendar,Unknown,5,Excellent app with a lot of useful features. I love the ui and ux design.,excellent app with a lot of useful features i love the ui and ux design
Naver Calendar,Unknown,1,대체 몇번을 완료했다고 체크해야 완료가 되는겁니까? 최적화 신경좀 쓰시죠?,대체 몇번을 완료했다고 체크해야 완료가 되는겁니까 최적화 신경좀 쓰시죠
Naver Calendar,Unknown,1,Emosi buat login susah banget asli 😭,emosi buat login susah banget asli
Naver Calendar,Unknown,5,Excellent,excellent
Naver Calendar,Unknown,1,"The app is excellent! There isn't another calendar app that can be compared to this one. They won't have as many features as Naver Calendar, and if they do — it's most likely pay to use. Naver Calendar also has a very friendly and beautiful interface. What's the problem then? Naver Account. I'm tired of being forced out of my account, and forced to change my password so many times. While the UI is friendly, Naver sure isn't. They need to modernize it ASAP and make it easier for users overseas.",the app is excellent there isnt another calendar app that can be compared to this one they wont have as many features as naver calendar and if they do its most likely pay to use naver calendar also has a very friendly and beautiful interface whats the problem then naver account im tired of being forced out of my account and forced to change my password so many times while the ui is friendly naver sure isnt they need to modernize it asap and make it easier for users overseas
Naver Calendar,Unknown,1,How I install this app it says user name and i type in user name it's says 5- 20 and special characters and i type it it doesn't allow it,how i install this app it says user name and i type in user name its says and special characters and i type it it doesnt allow it
Naver Calendar,Unknown,1,Can I get to the app wouldn't let me sign in after I had already signed up with my Gmail,can i get to the app wouldnt let me sign in after i had already signed up with my gmail
Naver Calendar,Unknown,1,can't signup.,cant signup
Naver Calendar,Unknown,1,Can't sign up,cant sign up
Naver Calendar,Unknown,1,can't verify phone number,cant verify phone number
Naver Calendar,Unknown,1,Need a password to sign up what a bunch of BS,need a password to sign up what a bunch of bs
Naver Calendar,Unknown,2,icon does not appear on widget,icon does not appear on widget
Naver Calendar,Unknown,1,I cannot register and did not recieve any OTP code.,i cannot register and did not recieve any otp code
Naver Calendar,Unknown,1,Tried to sign up but there's no verification code,tried to sign up but theres no verification code
Naver Calendar,Unknown,1,More sign in garbage!,more sign in garbage
Naver Calendar,Unknown,5,Good,good
Naver Calendar,Unknown,5,너무 좋아요,너무 좋아요
Naver Calendar,Unknown,5,"what a wonderful app, literally the one i searched for! all-in-one and the best thing about this app is its all completely free! i just wish that the widgets could be adjustable more. like the fonts, i think it'll be nice if they smaller. ohh and the timetable one, i suggest to add 'custom time' to class, lunch, and cleaning times too! other than that, i absolutely love this app, thank you!",what a wonderful app literally the one i searched for allinone and the best thing about this app is its all completely free i just wish that the widgets could be adjustable more like the fonts i think itll be nice if they smaller ohh and the timetable one i suggest to add custom time to class lunch and cleaning times too other than that i absolutely love this app thank you
Naver Calendar,Unknown,5,Best calendar app I've owned. Very organized and clean. Useful,best calendar app ive owned very organized and clean useful
Naver Calendar,Unknown,1,Sign-in on naver apps is very hard.,signin on naver apps is very hard
Naver Calendar,Unknown,5,"no ads in here, easy to use, fit my taste.",no ads in here easy to use fit my taste
Naver Calendar,Unknown,1,Requires you to log in to facebook or line. Into the trash it goes.,requires you to log in to facebook or line into the trash it goes
Naver Calendar,Unknown,4,list 위젯을 쓰는데 업데이트 이후에 줄간격이 넓어지면서 화면에 보여지는 일정 갯수가 줄었어요 줄간격을 줄여주세요,list 위젯을 쓰는데 업데이트 이후에 줄간격이 넓어지면서 화면에 보여지는 일정 갯수가 줄었어요 줄간격을 줄여주세요
Naver Calendar,Unknown,1,Needs an account to use,needs an account to use
Naver Calendar,Unknown,5,ive always love calender with stickers. thats how i make my month interesting with all the event stickers. so far this is the best!,ive always love calender with stickers thats how i make my month interesting with all the event stickers so far this is the best
Naver Calendar,Unknown,1,왜 일정 만들려고 하면 자꾸 기간을 디폴트로 이틀로 잡나요?? 예전에는 ALL DAY로만 잡혀있고 기간은 그날 시작해서 그날 끝나는걸로 되어있었는데 이젠 매번 종료 날짜를 하루 앞당겨줘야 해요. 갤럭시노트20울트라입니다. 금일 업데이트하고 사용했는데도 이래요,왜 일정 만들려고 하면 자꾸 기간을 디폴트로 이틀로 잡나요 예전에는 all day로만 잡혀있고 기간은 그날 시작해서 그날 끝나는걸로 되어있었는데 이젠 매번 종료 날짜를 하루 앞당겨줘야 해요 갤럭시노트울트라입니다 금일 업데이트하고 사용했는데도 이래요
Naver Calendar,Unknown,3,Why are you not making the app for galaxy watches?,why are you not making the app for galaxy watches
Naver Calendar,Unknown,5,완전 좋다!! 사진 저장 가능해서 더 좋다!! Amazing!!,완전 좋다 사진 저장 가능해서 더 좋다 amazing
Naver Calendar,Unknown,4,Pleaseee add an option to set a time when making tasks 🥺,pleaseee add an option to set a time when making tasks
Naver Calendar,Unknown,4,I love this app so much. It is so cute I love that u can add stickers like on the samsung one i just hope they can add nore of it or allow the users to upload their own.,i love this app so much it is so cute i love that u can add stickers like on the samsung one i just hope they can add nore of it or allow the users to upload their own
Naver Calendar,Unknown,4,디자인도 깔끔하고 유용하게 쓰고 있지만 탭에서 가로화면으로 볼 때 가로모드가 지원이 안돼서 불편하네요 :( 가로로도 쓸 수 있으면 정말정말 좋겠어요!,디자인도 깔끔하고 유용하게 쓰고 있지만 탭에서 가로화면으로 볼 때 가로모드가 지원이 안돼서 불편하네요 가로로도 쓸 수 있으면 정말정말 좋겠어요
Naver Calendar,Unknown,5,Finally found a Calendar with the widgets I like and a Task List I can check off!,finally found a calendar with the widgets i like and a task list i can check off
Naver Calendar,Unknown,4,Second favourite calendar I've used. Love the stickers.,second favourite calendar ive used love the stickers
