Appname,Date,Score,Text,text
"Polaris Office: Edit&View, PDF",Unknown,5,Good,good
"Polaris Office: Edit&View, PDF",Unknown,1,Wasn't this free? I'm pretty sure I downloaded this ages ago because it was free? I tried to use it today and they try to force you subscipe and force you to watch ads every 5 seconds. It's madness!,wasnt this free im pretty sure i downloaded this ages ago because it was free i tried to use it today and they try to force you subscipe and force you to watch ads every seconds its madness
"Polaris Office: Edit&View, PDF",Unknown,5,Good,good
"Polaris Office: Edit&View, PDF",Unknown,1,Turned into an ad-riddled cashgrab. This is not the app I once installed.,turned into an adriddled cashgrab this is not the app i once installed
"Polaris Office: Edit&View, PDF",Unknown,1,"Riddled with ads, ineffective at doing pretty much anything.",riddled with ads ineffective at doing pretty much anything
"Polaris Office: Edit&View, PDF",Unknown,1,Loads of ads,loads of ads
"Polaris Office: Edit&View, PDF",Unknown,5,Good,good
"Polaris Office: Edit&View, PDF",Unknown,1,"It can't find any documents on my tablet. I've saved the document I'm working on in multiple places on my tablet, and this app is incapable of finding any of them. Blocked at the first step. Deleting and canceling.",it cant find any documents on my tablet ive saved the document im working on in multiple places on my tablet and this app is incapable of finding any of them blocked at the first step deleting and canceling
"Polaris Office: Edit&View, PDF",Unknown,5,Nice app,nice app
"Polaris Office: Edit&View, PDF",Unknown,1,My laptop needs to go into repair. I tried disconnecting the laptop from the account. It won't allow it to happen!,my laptop needs to go into repair i tried disconnecting the laptop from the account it wont allow it to happen
"Polaris Office: Edit&View, PDF",Unknown,5,This is the best app out there for word processing. So many functions & easy interface. This helped me a lot.,this is the best app out there for word processing so many functions easy interface this helped me a lot
"Polaris Office: Edit&View, PDF",Unknown,1,I already cancel my subscription but you still deduct 675 on my gcash . You are scammer too . Bring back my money!!!,i already cancel my subscription but you still deduct on my gcash you are scammer too bring back my money
"Polaris Office: Edit&View, PDF",Unknown,1,I used this app for years and it worked great until recently when I open it I get a add screen with no way to turn it off. Before I watched a commercial then I could use this app for a while with no issues. Now they try to force me to subscribe for using their app. I did this before then after changing my phone my subscription was gone. To me it is pure rip off! Update: I received a answer from open office saying I can pay a one time fee to stop these annoying comercials - that fee is monthly!,i used this app for years and it worked great until recently when i open it i get a add screen with no way to turn it off before i watched a commercial then i could use this app for a while with no issues now they try to force me to subscribe for using their app i did this before then after changing my phone my subscription was gone to me it is pure rip off update i received a answer from open office saying i can pay a one time fee to stop these annoying comercials that fee is monthly
"Polaris Office: Edit&View, PDF",Unknown,1,Wrost app full of ads.zero star don't recommendation,wrost app full of adszero star dont recommendation
"Polaris Office: Edit&View, PDF",Unknown,1,App doesn't work and open,app doesnt work and open
