Appname,Date,Score,Text,text
Regain: Study Timer for Focus,Unknown,5,O my god this so useful for leaving addiction specially in studies,o my god this so useful for leaving addiction specially in studies
Regain: Study Timer for Focus,Unknown,5,Best app to avoid distraction,best app to avoid distraction
Regain: Study Timer for Focus,Unknown,4,"I think that the study mode that we use should be customizable . If we want to see the home page of youtube, we can, and if we there is the video that is not in your study mode it we do not play that video",i think that the study mode that we use should be customizable if we want to see the home page of youtube we can and if we there is the video that is not in your study mode it we do not play that video
Regain: Study Timer for Focus,Unknown,5,This app increase your focus. You can see what you do. And block shorts and reels.,this app increase your focus you can see what you do and block shorts and reels
Regain: Study Timer for Focus,Unknown,5,Great app 💯,great app
Regain: Study Timer for Focus,Unknown,5,Very good app👍,very good app
Regain: Study Timer for Focus,Unknown,5,This is wonderful app,this is wonderful app
Regain: Study Timer for Focus,Unknown,4,very good,very good
Regain: Study Timer for Focus,Unknown,5,"Perfect app no extra premium bs, no ad drama, does what it's made for. 10/10",perfect app no extra premium bs no ad drama does what its made for
Regain: Study Timer for Focus,Unknown,5,"Very helpful app , it,s sometimes annoying but keeps us in check",very helpful app its sometimes annoying but keeps us in check
Regain: Study Timer for Focus,Unknown,5,🙂,
Regain: Study Timer for Focus,Unknown,5,Absolutely the best,absolutely the best
Regain: Study Timer for Focus,Unknown,4,"Nice app, very wonderful app for study and stay focused everyday. But I it might be much better if there was a restriction mode like type a long paragraph if। we want to give up our schedule also at the time of unblocking shorts and while changing your app limit. I Also noticed that if you save any video not related to study channel to your watch later list and then watch the video by tapping on the playlist, the study mode on YouTube would not work, I request you to fix this problem.",nice app very wonderful app for study and stay focused everyday but i it might be much better if there was a restriction mode like type a long paragraph if we want to give up our schedule also at the time of unblocking shorts and while changing your app limit i also noticed that if you save any video not related to study channel to your watch later list and then watch the video by tapping on the playlist the study mode on youtube would not work i request you to fix this problem
Regain: Study Timer for Focus,Unknown,5,Best apps modern problems require modern solutions,best apps modern problems require modern solutions
Regain: Study Timer for Focus,Unknown,5,Very Good App,very good app
Regain: Study Timer for Focus,Unknown,5,Good,good
Regain: Study Timer for Focus,Unknown,5,Bhai hats off to you 👍👍,bhai hats off to you
Regain: Study Timer for Focus,Unknown,5,Out of the world ❤️❤️❤️,out of the world
Regain: Study Timer for Focus,Unknown,5,This app made a man into Disciplined man,this app made a man into disciplined man
Regain: Study Timer for Focus,Unknown,4,love this,love this
Regain: Study Timer for Focus,Unknown,4,it's a good app no doubt,its a good app no doubt
Regain: Study Timer for Focus,Unknown,5,Exllent,exllent
Regain: Study Timer for Focus,Unknown,5,Very useful app. Every Neet/ Jee aspirants should use it. Ad free and subscription free.,very useful app every neet jee aspirants should use it ad free and subscription free
Regain: Study Timer for Focus,Unknown,5,awesome app!,awesome app
Regain: Study Timer for Focus,Unknown,5,Unique from other apps... truly The detection/warning of this app is too accurate as u get distracted,unique from other apps truly the detectionwarning of this app is too accurate as u get distracted
Regain: Study Timer for Focus,Unknown,5,"I used this app for 2-3 days and gave it a 5 star but slowly this app became useless ad somehow i was getting so many coins that i could use anything ""give up"" on schedules just by 10 coins or something i do not want that honestly it just makes the app timer etc useless . If there would be an option to keep the coin system or remove it . it would be great Only that is the problem but Rest is perfect REMOVED THE COINSS???? Perfect literally perfect",i used this app for days and gave it a star but slowly this app became useless ad somehow i was getting so many coins that i could use anything give up on schedules just by coins or something i do not want that honestly it just makes the app timer etc useless if there would be an option to keep the coin system or remove it it would be great only that is the problem but rest is perfect removed the coinss perfect literally perfect
Regain: Study Timer for Focus,Unknown,5,Best app i have ever used,best app i have ever used
Regain: Study Timer for Focus,Unknown,5,"An excellent app , no ads, proper procedures for limiting app usage Has been very useful to me I would recommend if you are a student and have trouble studying due to distractions",an excellent app no ads proper procedures for limiting app usage has been very useful to me i would recommend if you are a student and have trouble studying due to distractions
Regain: Study Timer for Focus,Unknown,5,LITTERALLY THE MOST OP APP IT CONTROLS OUR SCREEN TIME HELPS US FOCUS WITH NICE MUSIC AND THE UI ALSO IS SO GOOD JUST THE BEST APP TO GROW IN LIFE AND ALL THIS IS FREE bro whoever created this 🙇‍♂️ U are great man,litterally the most op app it controls our screen time helps us focus with nice music and the ui also is so good just the best app to grow in life and all this is free bro whoever created this u are great man
Regain: Study Timer for Focus,Unknown,1,Worst app ever,worst app ever
Regain: Study Timer for Focus,Unknown,5,Superb app designed to reduce your screen time and help you focus,superb app designed to reduce your screen time and help you focus
Regain: Study Timer for Focus,Unknown,5,Best app to reduce your screen time,best app to reduce your screen time
Regain: Study Timer for Focus,Unknown,5,Wonderful i really love it! Must give it a try to help yourself focus,wonderful i really love it must give it a try to help yourself focus
Regain: Study Timer for Focus,Unknown,5,Mahn! the best free version of app blockers on Android as of now. Tried a couple of them before I started to use regain. Sounds like a hair growth supplement but actually works well when it comes to limiting your time with the phone. Although there have been flaws in the app but the development team does takes care of it via updates.,mahn the best free version of app blockers on android as of now tried a couple of them before i started to use regain sounds like a hair growth supplement but actually works well when it comes to limiting your time with the phone although there have been flaws in the app but the development team does takes care of it via updates
