Appname,Date,Score,Text,text
"Squid: Take Notes, Markup PDFs",Unknown,1,"Until you pay money, you cannot use even a good template or a smart feature in free version because almost all things can be used in premium version. I already tested so many digital notes taking apps, and this app is one of the worst apps!!",until you pay money you cannot use even a good template or a smart feature in free version because almost all things can be used in premium version i already tested so many digital notes taking apps and this app is one of the worst apps
"Squid: Take Notes, Markup PDFs",Unknown,5,The writing is smooth and satisfying,the writing is smooth and satisfying
"Squid: Take Notes, Markup PDFs",Unknown,5,For a while I neglected my studying and but recently I found this app and I'm currently using it with my new stylus and it works amazing writes better than if I were writing on paper for once I'm not neglecting my studies no more I'm studying again thank you guys,for a while i neglected my studying and but recently i found this app and im currently using it with my new stylus and it works amazing writes better than if i were writing on paper for once im not neglecting my studies no more im studying again thank you guys
"Squid: Take Notes, Markup PDFs",Unknown,5,Great lightweight app,great lightweight app
"Squid: Take Notes, Markup PDFs",Unknown,4,Awesome app. I would buy if it was one time purchase but subscription is a no go for me,awesome app i would buy if it was one time purchase but subscription is a no go for me
"Squid: Take Notes, Markup PDFs",Unknown,2,"Been stagnant for several years. Needs more basic features like bookmarks and bookmark navigation and swipe to turn page. The inking is still great imo, but the lack of other features makes it hard to recommend this program anymore.",been stagnant for several years needs more basic features like bookmarks and bookmark navigation and swipe to turn page the inking is still great imo but the lack of other features makes it hard to recommend this program anymore
"Squid: Take Notes, Markup PDFs",Unknown,1,"This app is subscription slop. I would have been happy with paying one time for the app, but no. You have to have paid subscription to use it. Definitely skip this one, don't let these developers get away with abusive pricing.",this app is subscription slop i would have been happy with paying one time for the app but no you have to have paid subscription to use it definitely skip this one dont let these developers get away with abusive pricing
"Squid: Take Notes, Markup PDFs",Unknown,5,My favorite note taking app. Have been a user for several years,my favorite note taking app have been a user for several years
"Squid: Take Notes, Markup PDFs",Unknown,1,Yearly subscription is not good in Android,yearly subscription is not good in android
"Squid: Take Notes, Markup PDFs",Unknown,5,"Best Note Taking App out there. I use it with my table for documentation of inspections (on the go) and also for protocoling meetings. It just completely replaces the need for paper. Additional features like inserting image etc. are just great. Currently, it just defines my work a d could not go without it. Only missing feature but currently no real need (nice to have): synchronization of multiple devices or access over pc/browser.",best note taking app out there i use it with my table for documentation of inspections on the go and also for protocoling meetings it just completely replaces the need for paper additional features like inserting image etc are just great currently it just defines my work a d could not go without it only missing feature but currently no real need nice to have synchronization of multiple devices or access over pcbrowser
