Appname,Date,Score,Text,text
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Very good and simple app to scan,very good and simple app to scan
"Adobe Scan: PDF Scanner, OCR",Unknown,5,good captures,good captures
"Adobe Scan: PDF Scanner, OCR",Unknown,5,It is very easy to create a pdf,it is very easy to create a pdf
"Adobe Scan: PDF Scanner, OCR",Unknown,4,Great application,great application
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Excellent app,excellent app
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Very good,very good
"Adobe Scan: PDF Scanner, OCR",Unknown,5,It is a very realiable app for scanning,it is a very realiable app for scanning
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Works amazing!,works amazing
"Adobe Scan: PDF Scanner, OCR",Unknown,4,Good. I wish the quick scan option is not a premium feature,good i wish the quick scan option is not a premium feature
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Very useful one,very useful one
"Adobe Scan: PDF Scanner, OCR",Unknown,4,Nice Scanning But Slow,nice scanning but slow
"Adobe Scan: PDF Scanner, OCR",Unknown,5,excellent application for pdf making,excellent application for pdf making
"Adobe Scan: PDF Scanner, OCR",Unknown,5,"This is the best app, it helps without hesitation, what I like the most is that there are no ads to disturb you keep it like that.",this is the best app it helps without hesitation what i like the most is that there are no ads to disturb you keep it like that
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Excellent,excellent
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Very nice,very nice
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Most helpful app,most helpful app
"Adobe Scan: PDF Scanner, OCR",Unknown,1,Old picture,old picture
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Excellent 👌,excellent
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Lovely,lovely
"Adobe Scan: PDF Scanner, OCR",Unknown,5,It's all that I need. And free!,its all that i need and free
"Adobe Scan: PDF Scanner, OCR",Unknown,2,Provide options to increase decrease sharpness of batches image's.,provide options to increase decrease sharpness of batches images
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Love it 😀,love it
"Adobe Scan: PDF Scanner, OCR",Unknown,4,Awesome,awesome
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Great. Thank You :),great thank you
"Adobe Scan: PDF Scanner, OCR",Unknown,5,But it is late to download,but it is late to download
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Good,good
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Has all needed features.very quick and efficient,has all needed featuresvery quick and efficient
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Excellent,excellent
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Really great,really great
"Adobe Scan: PDF Scanner, OCR",Unknown,5,❤️,
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Great solution if you have no scanner or if you're on the go!,great solution if you have no scanner or if youre on the go
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Satisfactory experience.,satisfactory experience
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Nice 👍,nice
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Easy easy.,easy easy
"Adobe Scan: PDF Scanner, OCR",Unknown,1,Because he write text edit but he suggeste me subscribe 🥵🥵,because he write text edit but he suggeste me subscribe
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Nice 👍,nice
"Adobe Scan: PDF Scanner, OCR",Unknown,4,Excellent services,excellent services
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Good,good
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Nice,nice
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Great app,great app
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Excellent scan. My preferred scanner. Have been using it successfully for the past 2 years.,excellent scan my preferred scanner have been using it successfully for the past years
"Adobe Scan: PDF Scanner, OCR",Unknown,4,It's very good,its very good
"Adobe Scan: PDF Scanner, OCR",Unknown,1,It won't let me in.,it wont let me in
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Best scanner app till date,best scanner app till date
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Best app I've ever used.,best app ive ever used
"Adobe Scan: PDF Scanner, OCR",Unknown,5,No other app us better,no other app us better
"Adobe Scan: PDF Scanner, OCR",Unknown,5,User friendly,user friendly
"Adobe Scan: PDF Scanner, OCR",Unknown,5,cool,cool
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Good app,good app
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Nice,nice
"Adobe Scan: PDF Scanner, OCR",Unknown,5,Very fast and friendly,very fast and friendly
