Appname,Date,Score,Text,text
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,3,👍,
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,Nice,nice
Document Scanner - PDF Creator,Unknown,1,nice,nice
Document Scanner - PDF Creator,Unknown,5,very nice,very nice
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,4,okay,okay
Document Scanner - PDF Creator,Unknown,4,Nice Nice,nice nice
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,awsome👍🤩😍,awsome
Document Scanner - PDF Creator,Unknown,4,I like it and it is very helpful to me,i like it and it is very helpful to me
Document Scanner - PDF Creator,Unknown,5,Very best app must use,very best app must use
Document Scanner - PDF Creator,Unknown,5,nice,nice
Document Scanner - PDF Creator,Unknown,1,💓,
Document Scanner - PDF Creator,Unknown,5,superb,superb
Document Scanner - PDF Creator,Unknown,5,outstanding,outstanding
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,5,good po,good po
Document Scanner - PDF Creator,Unknown,5,superb ❣️,superb
Document Scanner - PDF Creator,Unknown,1,My recommend don't use this app.,my recommend dont use this app
Document Scanner - PDF Creator,Unknown,5,good 😊,good
Document Scanner - PDF Creator,Unknown,5,"bahut hi badhia, iske bina mera koi kaam chalta hi nahi.",bahut hi badhia iske bina mera koi kaam chalta hi nahi
Document Scanner - PDF Creator,Unknown,5,satisfied,satisfied
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,very helpful full,very helpful full
Document Scanner - PDF Creator,Unknown,4,editing of picture is not possible,editing of picture is not possible
Document Scanner - PDF Creator,Unknown,5,good app,good app
Document Scanner - PDF Creator,Unknown,5,good work,good work
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,5,great,great
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,it's good I'm impressed,its good im impressed
Document Scanner - PDF Creator,Unknown,5,very effective,very effective
Document Scanner - PDF Creator,Unknown,1,good,good
Document Scanner - PDF Creator,Unknown,4,Please Improve text quality,please improve text quality
Document Scanner - PDF Creator,Unknown,4,a good & easy app to use.,a good easy app to use
Document Scanner - PDF Creator,Unknown,5,NICe,nice
Document Scanner - PDF Creator,Unknown,4,👍,
Document Scanner - PDF Creator,Unknown,5,Good 👍,good
Document Scanner - PDF Creator,Unknown,4,nice application for paper scanning,nice application for paper scanning
Document Scanner - PDF Creator,Unknown,5,it is very nice appn,it is very nice appn
Document Scanner - PDF Creator,Unknown,5,good working 😀,good working
Document Scanner - PDF Creator,Unknown,4,nice,nice
Document Scanner - PDF Creator,Unknown,5,👍😊,
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,very good,very good
Document Scanner - PDF Creator,Unknown,5,❤️❤️❤️❤️❤️❤️❤️,
Document Scanner - PDF Creator,Unknown,5,बहुत अच्छा,बहत अचछ
Document Scanner - PDF Creator,Unknown,4,Good Experience....For App,good experiencefor app
Document Scanner - PDF Creator,Unknown,5,Osem document scanner app I liked,osem document scanner app i liked
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,Nice 😊😊😊👏👏👏👏,nice
Document Scanner - PDF Creator,Unknown,5,best quality,best quality
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,1,good,good
Document Scanner - PDF Creator,Unknown,5,best app,best app
Document Scanner - PDF Creator,Unknown,5,good super,good super
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,best app for doc scan,best app for doc scan
Document Scanner - PDF Creator,Unknown,5,excellent,excellent
Document Scanner - PDF Creator,Unknown,5,Really fantastic app,really fantastic app
Document Scanner - PDF Creator,Unknown,5,nice 👍🙂🙂,nice
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,very nice 👍,very nice
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,5,Use full app,use full app
Document Scanner - PDF Creator,Unknown,5,good👍,good
Document Scanner - PDF Creator,Unknown,4,very good,very good
Document Scanner - PDF Creator,Unknown,3,ok,ok
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,very nice app,very nice app
Document Scanner - PDF Creator,Unknown,3,nice,nice
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,नाइस,नइस
Document Scanner - PDF Creator,Unknown,5,best for students,best for students
Document Scanner - PDF Creator,Unknown,5,good 😊,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,Good,good
Document Scanner - PDF Creator,Unknown,5,Very nice,very nice
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,super app 🫡,super app
Document Scanner - PDF Creator,Unknown,5,nice,nice
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,1,nice experience,nice experience
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,in Happy,in happy
Document Scanner - PDF Creator,Unknown,5,it's good application we all need that app,its good application we all need that app
Document Scanner - PDF Creator,Unknown,5,gud app,gud app
Document Scanner - PDF Creator,Unknown,4,superb,superb
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,does the job for me very very well. No issues 👍👍👍,does the job for me very very well no issues
Document Scanner - PDF Creator,Unknown,1,ok,ok
Document Scanner - PDF Creator,Unknown,5,very nice 👍👍🙂🙂,very nice
Document Scanner - PDF Creator,Unknown,5,very good 😊 app,very good app
Document Scanner - PDF Creator,Unknown,3,good quality,good quality
Document Scanner - PDF Creator,Unknown,5,good work,good work
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,4,too good,too good
Document Scanner - PDF Creator,Unknown,1,good,good
Document Scanner - PDF Creator,Unknown,5,Mahadev 🕉️,mahadev
Document Scanner - PDF Creator,Unknown,5,too good and fast application,too good and fast application
Document Scanner - PDF Creator,Unknown,5,"Good experience giving , best application for scanning documents",good experience giving best application for scanning documents
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,3,good app,good app
Document Scanner - PDF Creator,Unknown,5,excellent service this app,excellent service this app
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,very nice,very nice
Document Scanner - PDF Creator,Unknown,4,"good app, can do better for batch picture options .",good app can do better for batch picture options
Document Scanner - PDF Creator,Unknown,4,It's good,its good
Document Scanner - PDF Creator,Unknown,1,Very bad photo quality,very bad photo quality
Document Scanner - PDF Creator,Unknown,5,best,best
Document Scanner - PDF Creator,Unknown,5,good working,good working
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,nice,nice
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,excellent 👍🏻,excellent
Document Scanner - PDF Creator,Unknown,5,superb,superb
Document Scanner - PDF Creator,Unknown,5,good apps,good apps
Document Scanner - PDF Creator,Unknown,5,very good app,very good app
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,5,Good,good
Document Scanner - PDF Creator,Unknown,5,very good scanner,very good scanner
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,owsm,owsm
Document Scanner - PDF Creator,Unknown,5,ok,ok
Document Scanner - PDF Creator,Unknown,5,best,best
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,good 👍,good
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,5,good app to convert file into pdf and jog,good app to convert file into pdf and jog
Document Scanner - PDF Creator,Unknown,5,ok,ok
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,Great,great
Document Scanner - PDF Creator,Unknown,5,Good👍,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,ok,ok
Document Scanner - PDF Creator,Unknown,5,👍 nice,nice
Document Scanner - PDF Creator,Unknown,5,This is easy to mak pdf,this is easy to mak pdf
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,5,excellent,excellent
Document Scanner - PDF Creator,Unknown,5,Good,good
Document Scanner - PDF Creator,Unknown,5,ok,ok
