Appname,Date,Score,Text,text
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Very helpful,very helpful
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use features. My go to app when I need to edit pics of maps and plans that are sent via web,easy to use features my go to app when i need to edit pics of maps and plans that are sent via web
Microsoft Lens - PDF Scanner,Unknown,5,Vey nice app,vey nice app
Microsoft Lens - PDF Scanner,Unknown,4,"So far so good. I like it better than Adobe Scan, though I think the cropping function could do with some improvement.",so far so good i like it better than adobe scan though i think the cropping function could do with some improvement
Microsoft Lens - PDF Scanner,Unknown,5,"Amazing app , so helpful. Thanks for this ☺️🫶",amazing app so helpful thanks for this
Microsoft Lens - PDF Scanner,Unknown,5,So far it's been a life saver,so far its been a life saver
Microsoft Lens - PDF Scanner,Unknown,5,I use this frequently to scan documents or to make pdf,i use this frequently to scan documents or to make pdf
Microsoft Lens - PDF Scanner,Unknown,5,Works great so far,works great so far
Microsoft Lens - PDF Scanner,Unknown,5,It's very helpful app,its very helpful app
Microsoft Lens - PDF Scanner,Unknown,5,Ever appreciated,ever appreciated
Microsoft Lens - PDF Scanner,Unknown,5,Very nice app,very nice app
Microsoft Lens - PDF Scanner,Unknown,5,Simply the best!!!,simply the best
Microsoft Lens - PDF Scanner,Unknown,5,"Good , and free of cost like money 💰",good and free of cost like money
Microsoft Lens - PDF Scanner,Unknown,5,Very Good,very good
Microsoft Lens - PDF Scanner,Unknown,5,Exalent,exalent
Microsoft Lens - PDF Scanner,Unknown,5,Looks good.,looks good
Microsoft Lens - PDF Scanner,Unknown,5,I've had this for years and love it.,ive had this for years and love it
Microsoft Lens - PDF Scanner,Unknown,5,Ok,ok
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,4,Great up,great up
Microsoft Lens - PDF Scanner,Unknown,5,Hi good,hi good
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use. Clear pic,easy to use clear pic
Microsoft Lens - PDF Scanner,Unknown,5,It's a hands-on app!,its a handson app
Microsoft Lens - PDF Scanner,Unknown,5,Just easy to use! Great app to have on hand. Send my PDFs directly to my laptop.,just easy to use great app to have on hand send my pdfs directly to my laptop
Microsoft Lens - PDF Scanner,Unknown,5,Overall best app i really liked this app it's very easy to use and simple interface .,overall best app i really liked this app its very easy to use and simple interface
Microsoft Lens - PDF Scanner,Unknown,1,can't insert more than 100 images in one shot. useless,cant insert more than images in one shot useless
Microsoft Lens - PDF Scanner,Unknown,5,Easy way to capture whiteboards and documents that are saved directly into OneDrive.,easy way to capture whiteboards and documents that are saved directly into onedrive
Microsoft Lens - PDF Scanner,Unknown,5,"Easy scan , and automatically saves on PDF file.,superb!",easy scan and automatically saves on pdf filesuperb
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use and it is the best scanner app.,easy to use and it is the best scanner app
Microsoft Lens - PDF Scanner,Unknown,5,very useful app,very useful app
Microsoft Lens - PDF Scanner,Unknown,5,Soo good simple and very very effective,soo good simple and very very effective
Microsoft Lens - PDF Scanner,Unknown,5,Great!,great
Microsoft Lens - PDF Scanner,Unknown,5,Great app 😄,great app
Microsoft Lens - PDF Scanner,Unknown,4,Good for official & personal work.,good for official personal work
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Superb,superb
Microsoft Lens - PDF Scanner,Unknown,1,"Why did you change the photo taking ui???? It's horrible now!!! It takes more clicks to save a photo now! Why does deleting a photo i just took a second ago take so many clicks to delete? I'm deleting it because it's a bad photo, I'm about to take another one that's hopefully better so why does it take me so long to delete it so i can take another??",why did you change the photo taking ui its horrible now it takes more clicks to save a photo now why does deleting a photo i just took a second ago take so many clicks to delete im deleting it because its a bad photo im about to take another one thats hopefully better so why does it take me so long to delete it so i can take another
Microsoft Lens - PDF Scanner,Unknown,5,व्हेरी गुड,वहर गड
Microsoft Lens - PDF Scanner,Unknown,5,Great app,great app
Microsoft Lens - PDF Scanner,Unknown,5,Ok,ok
Microsoft Lens - PDF Scanner,Unknown,4,Part of my life!,part of my life
Microsoft Lens - PDF Scanner,Unknown,5,Very useful,very useful
Microsoft Lens - PDF Scanner,Unknown,5,Very good,very good
Microsoft Lens - PDF Scanner,Unknown,5,"I have been using Microsoft Lens for all my project works , documents etc . It really helps me a lot as the app is very user friendly and bugs free . Allover an excellent app . Thank you Team Microsoft.",i have been using microsoft lens for all my project works documents etc it really helps me a lot as the app is very user friendly and bugs free allover an excellent app thank you team microsoft
Microsoft Lens - PDF Scanner,Unknown,5,easy and fast to take documents,easy and fast to take documents
Microsoft Lens - PDF Scanner,Unknown,1,"Very bad document detection, very finicky.",very bad document detection very finicky
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Very good app for instant scanning documents,very good app for instant scanning documents
Microsoft Lens - PDF Scanner,Unknown,4,ممتاز,ممتاز
Microsoft Lens - PDF Scanner,Unknown,5,ok,ok
Microsoft Lens - PDF Scanner,Unknown,5,Best app 👍,best app
Microsoft Lens - PDF Scanner,Unknown,5,Fantastic!,fantastic
Microsoft Lens - PDF Scanner,Unknown,5,Handy,handy
Microsoft Lens - PDF Scanner,Unknown,5,Excellent for converting and merging,excellent for converting and merging
Microsoft Lens - PDF Scanner,Unknown,5,Works....,works
Microsoft Lens - PDF Scanner,Unknown,5,Great tool,great tool
Microsoft Lens - PDF Scanner,Unknown,5,App is really good. I'm so much helpful by using this app....,app is really good im so much helpful by using this app
Microsoft Lens - PDF Scanner,Unknown,5,Excellent app..,excellent app
Microsoft Lens - PDF Scanner,Unknown,5,Good tool,good tool
Microsoft Lens - PDF Scanner,Unknown,4,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Very clear images but requires small storage space.,very clear images but requires small storage space
Microsoft Lens - PDF Scanner,Unknown,5,Great app for quick scans,great app for quick scans
Microsoft Lens - PDF Scanner,Unknown,5,Very very convenient.,very very convenient
Microsoft Lens - PDF Scanner,Unknown,1,"QR code scanner is not working, and navigation is not as intuitive as one would expect of a Microsoft product",qr code scanner is not working and navigation is not as intuitive as one would expect of a microsoft product
Microsoft Lens - PDF Scanner,Unknown,5,Makes my camera quality superb,makes my camera quality superb
Microsoft Lens - PDF Scanner,Unknown,5,Great,great
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,5,The best apps for capture scan dokumen,the best apps for capture scan dokumen
Microsoft Lens - PDF Scanner,Unknown,4,Good and super,good and super
Microsoft Lens - PDF Scanner,Unknown,5,Very useful for students.,very useful for students
Microsoft Lens - PDF Scanner,Unknown,5,Very beautiful app very very useful no ads and very easy and user friendly app love it 💗💗💗💗💗,very beautiful app very very useful no ads and very easy and user friendly app love it
Microsoft Lens - PDF Scanner,Unknown,5,"It's the best PDF scanner that I found, very easy to manage.",its the best pdf scanner that i found very easy to manage
Microsoft Lens - PDF Scanner,Unknown,5,Best to make pdf And to make documents list,best to make pdf and to make documents list
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Very good,very good
Microsoft Lens - PDF Scanner,Unknown,5,Excellent app,excellent app
Microsoft Lens - PDF Scanner,Unknown,5,Mantap. Hasil scannya bagus,mantap hasil scannya bagus
Microsoft Lens - PDF Scanner,Unknown,5,Best app for scanning,best app for scanning
Microsoft Lens - PDF Scanner,Unknown,5,This app is the best in it's service.,this app is the best in its service
Microsoft Lens - PDF Scanner,Unknown,2,It doesn't work on Samsung A13 after update.,it doesnt work on samsung a after update
Microsoft Lens - PDF Scanner,Unknown,5,Very practical,very practical
Microsoft Lens - PDF Scanner,Unknown,5,Love it,love it
Microsoft Lens - PDF Scanner,Unknown,5,Nice..,nice
Microsoft Lens - PDF Scanner,Unknown,5,"Great, just gets better every time i use it",great just gets better every time i use it
Microsoft Lens - PDF Scanner,Unknown,5,Love this app,love this app
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,It's a very good app I will suggest it to everyone,its a very good app i will suggest it to everyone
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,5,Best,best
Microsoft Lens - PDF Scanner,Unknown,5,Good scan and drive support.,good scan and drive support
Microsoft Lens - PDF Scanner,Unknown,5,"So easy, fantastic app",so easy fantastic app
Microsoft Lens - PDF Scanner,Unknown,5,Fine,fine
Microsoft Lens - PDF Scanner,Unknown,5,It's a very Good App.,its a very good app
Microsoft Lens - PDF Scanner,Unknown,5,It's a good app available for creating & editing PDF,its a good app available for creating editing pdf
Microsoft Lens - PDF Scanner,Unknown,5,Works perfectly 👍🏻,works perfectly
Microsoft Lens - PDF Scanner,Unknown,5,Super easy to use. Fantastic app.,super easy to use fantastic app
Microsoft Lens - PDF Scanner,Unknown,5,Awsm experience,awsm experience
Microsoft Lens - PDF Scanner,Unknown,5,👍,
Microsoft Lens - PDF Scanner,Unknown,5,Superb app,superb app
Microsoft Lens - PDF Scanner,Unknown,5,Best I ever seen,best i ever seen
Microsoft Lens - PDF Scanner,Unknown,5,Good feature as it directly upload to drive and it will appear in other logged in device.,good feature as it directly upload to drive and it will appear in other logged in device
Microsoft Lens - PDF Scanner,Unknown,5,This app is cool. I started using this app for my documents a few days ago and it works well like a scanner! This app is useful for every photos too!,this app is cool i started using this app for my documents a few days ago and it works well like a scanner this app is useful for every photos too
Microsoft Lens - PDF Scanner,Unknown,5,very good,very good
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Awesome app,awesome app
Microsoft Lens - PDF Scanner,Unknown,5,Very easy very useful.,very easy very useful
Microsoft Lens - PDF Scanner,Unknown,5,Excellent but more than one scan we should use for attachment,excellent but more than one scan we should use for attachment
Microsoft Lens - PDF Scanner,Unknown,1,Need to waste time on login when I just want to scan smth offline,need to waste time on login when i just want to scan smth offline
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,5,Nice scanner,nice scanner
Microsoft Lens - PDF Scanner,Unknown,4,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Very nice aap,very nice aap
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Super convenient for making PDFs,super convenient for making pdfs
Microsoft Lens - PDF Scanner,Unknown,5,Perfect Scanner,perfect scanner
Microsoft Lens - PDF Scanner,Unknown,5,Great app,great app
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use,easy to use
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use with no hassle.,easy to use with no hassle
Microsoft Lens - PDF Scanner,Unknown,4,This scanner is not bright after scaning document,this scanner is not bright after scaning document
Microsoft Lens - PDF Scanner,Unknown,5,Great,great
Microsoft Lens - PDF Scanner,Unknown,5,Exellent app,exellent app
Microsoft Lens - PDF Scanner,Unknown,5,Best app for creating documents or images from written notes. It has options to save in different formats and also to share directly from the app itself.,best app for creating documents or images from written notes it has options to save in different formats and also to share directly from the app itself
Microsoft Lens - PDF Scanner,Unknown,5,good app,good app
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Wow!,wow
Microsoft Lens - PDF Scanner,Unknown,5,Excelente App,excelente app
Microsoft Lens - PDF Scanner,Unknown,4,So very Helpful,so very helpful
Microsoft Lens - PDF Scanner,Unknown,4,VeryGood app .... Best user friendly app...but It would be better if you provided an Eraser tool for unwanted dot or black spot...... personaly request.....,verygood app best user friendly appbut it would be better if you provided an eraser tool for unwanted dot or black spot personaly request
Microsoft Lens - PDF Scanner,Unknown,5,Osm,osm
Microsoft Lens - PDF Scanner,Unknown,5,"Great app, makes scanning documents a piece of cake!!",great app makes scanning documents a piece of cake
Microsoft Lens - PDF Scanner,Unknown,5,Wow,wow
Microsoft Lens - PDF Scanner,Unknown,5,Good app,good app
Microsoft Lens - PDF Scanner,Unknown,5,Very easy and efficient.,very easy and efficient
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,5,Very easy to use. My go-to app to quickly scan in documents.,very easy to use my goto app to quickly scan in documents
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,2,Too many ads.,too many ads
Microsoft Lens - PDF Scanner,Unknown,5,Best,best
Microsoft Lens - PDF Scanner,Unknown,5,Good and easy to scan,good and easy to scan
Microsoft Lens - PDF Scanner,Unknown,1,"I have to enable some shady online stuff to store a PDF lokaly? I just wanted to scan a sheet of paper and store it on my phone like I always do. that tales 10 seconds. now I had to fiddle around for 10 minutes to get it to do that. it stole my time. than it nags me further to rate the app. here you go, hope you are finally happy now.",i have to enable some shady online stuff to store a pdf lokaly i just wanted to scan a sheet of paper and store it on my phone like i always do that tales seconds now i had to fiddle around for minutes to get it to do that it stole my time than it nags me further to rate the app here you go hope you are finally happy now
Microsoft Lens - PDF Scanner,Unknown,1,"I changed my phone and logged in a different phone with same email id, but all old records are gone. Pls suggest a way out to recover my old files.",i changed my phone and logged in a different phone with same email id but all old records are gone pls suggest a way out to recover my old files
Microsoft Lens - PDF Scanner,Unknown,5,Very nice,very nice
Microsoft Lens - PDF Scanner,Unknown,5,Great But Pls Also Add Auto Document Capture Option,great but pls also add auto document capture option
Microsoft Lens - PDF Scanner,Unknown,5,Nice,nice
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Very good app. Save you from old scan devices. Easy to use. I recommend!,very good app save you from old scan devices easy to use i recommend
Microsoft Lens - PDF Scanner,Unknown,4,Nice app,nice app
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,I love this app,i love this app
Microsoft Lens - PDF Scanner,Unknown,5,Super,super
Microsoft Lens - PDF Scanner,Unknown,1,"Used to work perfectly, now it takes too long to save to pdf or onedrive.",used to work perfectly now it takes too long to save to pdf or onedrive
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use,easy to use
Microsoft Lens - PDF Scanner,Unknown,5,Superrrr,superrrr
Microsoft Lens - PDF Scanner,Unknown,4,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,5,Super !,super
Microsoft Lens - PDF Scanner,Unknown,5,Really helpful app. Easy to use. No annoying adds.,really helpful app easy to use no annoying adds
Microsoft Lens - PDF Scanner,Unknown,5,Amazing app,amazing app
Microsoft Lens - PDF Scanner,Unknown,5,its sooo helpfull for scanning doccuments,its sooo helpfull for scanning doccuments
Microsoft Lens - PDF Scanner,Unknown,5,Good .... Best user friendly app...but It would be better if you provided an Eraser tool for unwanted dot or black spot...... personaly request.....,good best user friendly appbut it would be better if you provided an eraser tool for unwanted dot or black spot personaly request
Microsoft Lens - PDF Scanner,Unknown,5,Nice and easy to use APK.,nice and easy to use apk
Microsoft Lens - PDF Scanner,Unknown,1,"I clicked to install it on my PC and got the message Lens will be installed shortly. No Date, time or anything otherwlse. 10 minutes later I am tired of waiting and closing my system.",i clicked to install it on my pc and got the message lens will be installed shortly no date time or anything otherwlse minutes later i am tired of waiting and closing my system
Microsoft Lens - PDF Scanner,Unknown,5,"Magic, usefull",magic usefull
Microsoft Lens - PDF Scanner,Unknown,5,Najbolja aplikacija,najbolja aplikacija
Microsoft Lens - PDF Scanner,Unknown,5,This is very super app it's making my work easier,this is very super app its making my work easier
Microsoft Lens - PDF Scanner,Unknown,5,Very good for PDF files and pictures good as well,very good for pdf files and pictures good as well
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,1,"This app has an amazing image after you take the picture,but it bugs all the time!",this app has an amazing image after you take the picturebut it bugs all the time
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,Great app. No ad. Works goooood.,great app no ad works goooood
Microsoft Lens - PDF Scanner,Unknown,5,Nice app very useful,nice app very useful
Microsoft Lens - PDF Scanner,Unknown,4,Very Cool,very cool
Microsoft Lens - PDF Scanner,Unknown,5,Excellent,excellent
Microsoft Lens - PDF Scanner,Unknown,1,Garbage it don't even work,garbage it dont even work
Microsoft Lens - PDF Scanner,Unknown,5,Best pdf scaner ever love it,best pdf scaner ever love it
Microsoft Lens - PDF Scanner,Unknown,5,Easy to use,easy to use
Microsoft Lens - PDF Scanner,Unknown,5,Simply super 👍,simply super
Microsoft Lens - PDF Scanner,Unknown,5,"I decided to try this for reading my books with it's text-to-speech feature, and it actually works. I've wasted so much time and energy with other scanner apps. This app is incredible.",i decided to try this for reading my books with its texttospeech feature and it actually works ive wasted so much time and energy with other scanner apps this app is incredible
Microsoft Lens - PDF Scanner,Unknown,5,Good,good
Microsoft Lens - PDF Scanner,Unknown,5,"Excellent scan to capture documents, even on curved edges",excellent scan to capture documents even on curved edges
Microsoft Lens - PDF Scanner,Unknown,5,Great,great
Microsoft Lens - PDF Scanner,Unknown,4,This work pretty well.,this work pretty well
Microsoft Lens - PDF Scanner,Unknown,5,"Awesome, easy to use.. been using it for 1.5 years",awesome easy to use been using it for years
Microsoft Lens - PDF Scanner,Unknown,5,This is the best app I have used so far,this is the best app i have used so far
Microsoft Lens - PDF Scanner,Unknown,5,Best scan app for docs,best scan app for docs
Microsoft Lens - PDF Scanner,Unknown,5,Useful,useful
Microsoft Lens - PDF Scanner,Unknown,3,I have yet to experience Lens. It is supposed to be good.,i have yet to experience lens it is supposed to be good
Microsoft Lens - PDF Scanner,Unknown,5,Best app for scan documents,best app for scan documents
Microsoft Lens - PDF Scanner,Unknown,5,Excellent Tool,excellent tool
Microsoft Lens - PDF Scanner,Unknown,5,Great,great
Microsoft Lens - PDF Scanner,Unknown,5,Good software to create pdfs thanks,good software to create pdfs thanks
