Appname,Date,Score,Text,text
PDF Scanner - Document Scanner,Unknown,5,5star,star
PDF Scanner - Document Scanner,Unknown,5,Nice,nice
PDF Scanner - Document Scanner,Unknown,5,It's quick and make things easier,its quick and make things easier
PDF Scanner - Document Scanner,Unknown,5,Very helpful,very helpful
PDF Scanner - Document Scanner,Unknown,5,Easy to use I recommend,easy to use i recommend
PDF Scanner - Document Scanner,Unknown,5,As easy as 123,as easy as
PDF Scanner - Document Scanner,Unknown,5,Very nice,very nice
PDF Scanner - Document Scanner,Unknown,1,Unable to reach support team ! Email bounced !!,unable to reach support team email bounced
PDF Scanner - Document Scanner,Unknown,5,Good PDF scanner,good pdf scanner
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Very very good app,very very good app
PDF Scanner - Document Scanner,Unknown,5,Very good,very good
PDF Scanner - Document Scanner,Unknown,5,Very good app,very good app
PDF Scanner - Document Scanner,Unknown,5,EXCELENTE!!!,excelente
PDF Scanner - Document Scanner,Unknown,5,Very nice,very nice
PDF Scanner - Document Scanner,Unknown,4,The problem it's a trial because when you download it it's says free why trials and payments,the problem its a trial because when you download it its says free why trials and payments
PDF Scanner - Document Scanner,Unknown,1,"This app keeps on showing ad that eat my data, so I want to remove your app",this app keeps on showing ad that eat my data so i want to remove your app
PDF Scanner - Document Scanner,Unknown,5,Yes this app is useful for scan documents and save it,yes this app is useful for scan documents and save it
PDF Scanner - Document Scanner,Unknown,5,Good work,good work
PDF Scanner - Document Scanner,Unknown,5,Nice 👍👍👍👍👍👍👍👍,nice
PDF Scanner - Document Scanner,Unknown,2,I did a payment I can't find how to cancel my account,i did a payment i cant find how to cancel my account
PDF Scanner - Document Scanner,Unknown,5,Convenient and easy to use wherever I am.,convenient and easy to use wherever i am
PDF Scanner - Document Scanner,Unknown,5,This is outstanding!,this is outstanding
PDF Scanner - Document Scanner,Unknown,5,Nice app with easy to use,nice app with easy to use
PDF Scanner - Document Scanner,Unknown,5,It. Is. Perfect. I love it.😊,it is perfect i love it
PDF Scanner - Document Scanner,Unknown,5,Everything works great for me I don't have any complaints,everything works great for me i dont have any complaints
PDF Scanner - Document Scanner,Unknown,5,User friendly. Clear pictures,user friendly clear pictures
PDF Scanner - Document Scanner,Unknown,5,Much effective and user friendly. It is a helpful and easy to operate software. I must appreciate and pay a bundle of thanks to the developers and the company. Thanks again and look forward to have more supportive softwares from your side.,much effective and user friendly it is a helpful and easy to operate software i must appreciate and pay a bundle of thanks to the developers and the company thanks again and look forward to have more supportive softwares from your side
PDF Scanner - Document Scanner,Unknown,5,Awesome app,awesome app
PDF Scanner - Document Scanner,Unknown,5,Ok,ok
PDF Scanner - Document Scanner,Unknown,5,Best app👍👍,best app
PDF Scanner - Document Scanner,Unknown,5,good,good
PDF Scanner - Document Scanner,Unknown,1,Preferable 🥰,preferable
PDF Scanner - Document Scanner,Unknown,5,All is good,all is good
PDF Scanner - Document Scanner,Unknown,5,Excellent app,excellent app
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,5,Awesome,awesome
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Awesome,awesome
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,4,Good but history available hona chiye tha,good but history available hona chiye tha
PDF Scanner - Document Scanner,Unknown,5,Good app,good app
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Okkayy,okkayy
PDF Scanner - Document Scanner,Unknown,1,Horrible. It's always blurry,horrible its always blurry
PDF Scanner - Document Scanner,Unknown,1,Rubbish,rubbish
PDF Scanner - Document Scanner,Unknown,5,I really enjoyed this app9,i really enjoyed this app
PDF Scanner - Document Scanner,Unknown,4,Nice,nice
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Nice,nice
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Great application with different choices,great application with different choices
PDF Scanner - Document Scanner,Unknown,5,Easy to chnage png . Into pdf .hogh quality,easy to chnage png into pdf hogh quality
PDF Scanner - Document Scanner,Unknown,1,"Very bad experience on using this scanner. My stored documents got deleted again and again many times and this problem is still running, unfixed problem. In just one click one docs goes disappeared",very bad experience on using this scanner my stored documents got deleted again and again many times and this problem is still running unfixed problem in just one click one docs goes disappeared
PDF Scanner - Document Scanner,Unknown,5,It very easy to use and you even do CV thanks to PDF scan.👌,it very easy to use and you even do cv thanks to pdf scan
PDF Scanner - Document Scanner,Unknown,5,Amazing and bet PDF Scanner,amazing and bet pdf scanner
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,5,Nice App,nice app
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,5,Great app 👌,great app
PDF Scanner - Document Scanner,Unknown,5,Simple and easy to use,simple and easy to use
PDF Scanner - Document Scanner,Unknown,5,تحفة وسريع بجد ممتاز ☺️,تحفة وسريع بجد ممتاز
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Good helpfull 😄,good helpfull
PDF Scanner - Document Scanner,Unknown,5,Exceptional,exceptional
PDF Scanner - Document Scanner,Unknown,5,The Best app... Always...,the best app always
PDF Scanner - Document Scanner,Unknown,5,Nice,nice
PDF Scanner - Document Scanner,Unknown,1,error.. scan multipage but only 1-2 pages can be saved and show the same page repeatly!,error scan multipage but only pages can be saved and show the same page repeatly
PDF Scanner - Document Scanner,Unknown,4,Good but too many Ads,good but too many ads
PDF Scanner - Document Scanner,Unknown,5,Vary good,vary good
PDF Scanner - Document Scanner,Unknown,5,Thanks for making this app👌🙏,thanks for making this app
PDF Scanner - Document Scanner,Unknown,5,The app is so good and does not have any problem or glitches,the app is so good and does not have any problem or glitches
PDF Scanner - Document Scanner,Unknown,5,Easy to work whit,easy to work whit
PDF Scanner - Document Scanner,Unknown,5,Great app to use,great app to use
PDF Scanner - Document Scanner,Unknown,5,Super cool app.,super cool app
PDF Scanner - Document Scanner,Unknown,5,So great 👍,so great
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,1,Documents shared are distorted,documents shared are distorted
PDF Scanner - Document Scanner,Unknown,5,absolutely amazing!!!,absolutely amazing
PDF Scanner - Document Scanner,Unknown,4,good,good
PDF Scanner - Document Scanner,Unknown,5,Nice,nice
PDF Scanner - Document Scanner,Unknown,5,Nice app. Easy to use,nice app easy to use
PDF Scanner - Document Scanner,Unknown,5,Super,super
PDF Scanner - Document Scanner,Unknown,5,Nice,nice
PDF Scanner - Document Scanner,Unknown,5,super app... very useful to everyone.....,super app very useful to everyone
PDF Scanner - Document Scanner,Unknown,5,This app is the best app using it for more then 5+yrs and it's free,this app is the best app using it for more then yrs and its free
PDF Scanner - Document Scanner,Unknown,1,Not free. Don't bother,not free dont bother
PDF Scanner - Document Scanner,Unknown,5,Great app,great app
PDF Scanner - Document Scanner,Unknown,5,From high school I've been using same app and i so love it👏it so easy n simple n it also stores my files.,from high school ive been using same app and i so love itit so easy n simple n it also stores my files
PDF Scanner - Document Scanner,Unknown,5,Very good app,very good app
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Great experience,great experience
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,5,"useless, credit card required",useless credit card required
PDF Scanner - Document Scanner,Unknown,5,Nice app,nice app
PDF Scanner - Document Scanner,Unknown,5,Good.........,good
PDF Scanner - Document Scanner,Unknown,5,Very good,very good
PDF Scanner - Document Scanner,Unknown,2,PDF Compressor feature is highly required.,pdf compressor feature is highly required
PDF Scanner - Document Scanner,Unknown,5,Easy user friendly childs play.,easy user friendly childs play
PDF Scanner - Document Scanner,Unknown,4,Good aps,good aps
PDF Scanner - Document Scanner,Unknown,5,If there was any additional I would have added So far no problem with it,if there was any additional i would have added so far no problem with it
PDF Scanner - Document Scanner,Unknown,5,PDF Scanner is the best,pdf scanner is the best
PDF Scanner - Document Scanner,Unknown,5,"It's quick and efficient, very user friendly",its quick and efficient very user friendly
PDF Scanner - Document Scanner,Unknown,5,"Overall,good app.",overallgood app
PDF Scanner - Document Scanner,Unknown,5,This app is very user friendly Actually does as advertised,this app is very user friendly actually does as advertised
PDF Scanner - Document Scanner,Unknown,5,Been using this scanner for how many years. So helpful.,been using this scanner for how many years so helpful
PDF Scanner - Document Scanner,Unknown,5,So far So good 👍,so far so good
PDF Scanner - Document Scanner,Unknown,5,awesome,awesome
PDF Scanner - Document Scanner,Unknown,5,This app is very useful,this app is very useful
PDF Scanner - Document Scanner,Unknown,5,It was my first time using the app but it felt like a lifetime and I would proudly recommend this app to anyone,it was my first time using the app but it felt like a lifetime and i would proudly recommend this app to anyone
PDF Scanner - Document Scanner,Unknown,5,It's a helpful app,its a helpful app
PDF Scanner - Document Scanner,Unknown,5,Great app 👌👌👌👌,great app
PDF Scanner - Document Scanner,Unknown,5,Efficient,efficient
PDF Scanner - Document Scanner,Unknown,5,"Accountant, Accountable",accountant accountable
PDF Scanner - Document Scanner,Unknown,5,Fast and quick,fast and quick
PDF Scanner - Document Scanner,Unknown,5,Very good 👍🏻,very good
PDF Scanner - Document Scanner,Unknown,5,"This is really great, it works well",this is really great it works well
PDF Scanner - Document Scanner,Unknown,4,Easy,easy
PDF Scanner - Document Scanner,Unknown,5,Real easy to use,real easy to use
PDF Scanner - Document Scanner,Unknown,5,Perferct scanner,perferct scanner
PDF Scanner - Document Scanner,Unknown,4,Good 👍,good
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Easy to use and good quality,easy to use and good quality
PDF Scanner - Document Scanner,Unknown,5,Perfect,perfect
PDF Scanner - Document Scanner,Unknown,5,"It's amazing, I love it",its amazing i love it
PDF Scanner - Document Scanner,Unknown,5,Excellent,excellent
PDF Scanner - Document Scanner,Unknown,5,Good 👍,good
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,2,I can't get my documents why,i cant get my documents why
PDF Scanner - Document Scanner,Unknown,5,Thanks app working wounders,thanks app working wounders
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Super,super
PDF Scanner - Document Scanner,Unknown,5,It is simple and easy cos it does all with the best,it is simple and easy cos it does all with the best
PDF Scanner - Document Scanner,Unknown,5,This is the best PDF Scanner app I've ever used.service is good 👍👍,this is the best pdf scanner app ive ever usedservice is good
PDF Scanner - Document Scanner,Unknown,5,Very good app!,very good app
PDF Scanner - Document Scanner,Unknown,5,I love this app,i love this app
PDF Scanner - Document Scanner,Unknown,2,you cant rotate the pictures after editing,you cant rotate the pictures after editing
PDF Scanner - Document Scanner,Unknown,5,Super easy to use.,super easy to use
PDF Scanner - Document Scanner,Unknown,5,great,great
PDF Scanner - Document Scanner,Unknown,5,Terbaik,terbaik
PDF Scanner - Document Scanner,Unknown,5,Very nice to use it is very helpful,very nice to use it is very helpful
PDF Scanner - Document Scanner,Unknown,5,Perfect,perfect
PDF Scanner - Document Scanner,Unknown,5,Amazing 😍,amazing
PDF Scanner - Document Scanner,Unknown,5,Does the job,does the job
PDF Scanner - Document Scanner,Unknown,5,This is an amazing app as far as scanning documents is concerned.,this is an amazing app as far as scanning documents is concerned
PDF Scanner - Document Scanner,Unknown,5,Easy work to process,easy work to process
PDF Scanner - Document Scanner,Unknown,5,Awesome 👍😎,awesome
PDF Scanner - Document Scanner,Unknown,5,Absolutely 💯 and thank you it's really helpful,absolutely and thank you its really helpful
PDF Scanner - Document Scanner,Unknown,5,Wonderful,wonderful
PDF Scanner - Document Scanner,Unknown,5,Its easy to used and speed up the work. Thankyou,its easy to used and speed up the work thankyou
PDF Scanner - Document Scanner,Unknown,5,good,good
PDF Scanner - Document Scanner,Unknown,5,Very good to use easy and convinient,very good to use easy and convinient
PDF Scanner - Document Scanner,Unknown,5,Fantastic,fantastic
PDF Scanner - Document Scanner,Unknown,5,Very good app,very good app
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Usefull and easy to used. Output is excellent.,usefull and easy to used output is excellent
PDF Scanner - Document Scanner,Unknown,1,"Beware of your data this app is of same parent app, too much ads also",beware of your data this app is of same parent app too much ads also
PDF Scanner - Document Scanner,Unknown,5,Bigup,bigup
PDF Scanner - Document Scanner,Unknown,5,I just love this app it's convenient and easy to use,i just love this app its convenient and easy to use
PDF Scanner - Document Scanner,Unknown,1,Paid full 🌕 I won't believe it,paid full i wont believe it
PDF Scanner - Document Scanner,Unknown,5,Simply the best 👌,simply the best
PDF Scanner - Document Scanner,Unknown,5,Good and easy app.,good and easy app
PDF Scanner - Document Scanner,Unknown,5,Very good and useful app,very good and useful app
PDF Scanner - Document Scanner,Unknown,5,Very good,very good
PDF Scanner - Document Scanner,Unknown,5,Very good good n fast,very good good n fast
PDF Scanner - Document Scanner,Unknown,5,Aap is excellent working,aap is excellent working
PDF Scanner - Document Scanner,Unknown,1,Best,best
PDF Scanner - Document Scanner,Unknown,4,My first time of using this I pray it works as I want and please does it work offline?,my first time of using this i pray it works as i want and please does it work offline
PDF Scanner - Document Scanner,Unknown,5,Good,good
PDF Scanner - Document Scanner,Unknown,5,Perfect 👍,perfect
PDF Scanner - Document Scanner,Unknown,2,Very good,very good
PDF Scanner - Document Scanner,Unknown,5,Excellent job 👏,excellent job
PDF Scanner - Document Scanner,Unknown,5,Efficiency guaranteed,efficiency guaranteed
